Date,Open,High,Low,Close,Volume
31-Dec-13,23.08,23.31,23.00,23.11,129680
30-Dec-13,23.34,23.34,23.09,23.11,77555
27-Dec-13,23.67,23.68,23.33,23.41,37448
26-Dec-13,23.64,23.80,23.46,23.58,114612
24-Dec-13,23.69,23.81,23.50,23.60,65323
23-Dec-13,23.50,23.79,23.10,23.74,94490
20-Dec-13,22.90,23.64,22.79,23.52,347986
19-Dec-13,23.30,23.47,22.90,22.93,61326
18-Dec-13,22.98,23.47,22.78,23.35,85229
17-Dec-13,23.15,23.29,22.96,23.00,69562
16-Dec-13,22.88,23.27,22.78,23.20,76753
13-Dec-13,23.00,23.11,22.76,22.85,92251
12-Dec-13,23.00,23.25,22.85,22.95,114229
11-Dec-13,23.52,23.70,23.00,23.05,217486
10-Dec-13,23.57,23.66,23.41,23.47,77482
9-Dec-13,23.62,23.69,23.40,23.66,90891
6-Dec-13,23.58,23.80,23.50,23.66,90931
5-Dec-13,23.25,23.67,23.25,23.48,41009
4-Dec-13,23.37,23.59,23.05,23.33,119797
3-Dec-13,23.59,23.83,23.36,23.54,89967
2-Dec-13,24.18,24.18,23.58,23.68,65678
29-Nov-13,24.69,24.69,24.11,24.23,41392
27-Nov-13,23.93,24.65,23.92,24.58,104056
26-Nov-13,23.78,24.14,23.75,23.84,51347
25-Nov-13,23.63,24.18,23.58,23.78,69107
22-Nov-13,23.46,23.86,23.27,23.58,165404
21-Nov-13,23.53,23.62,23.13,23.52,113886
20-Nov-13,24.04,24.63,23.41,23.57,125244
19-Nov-13,23.66,24.27,23.40,24.03,128506
18-Nov-13,23.11,23.72,22.96,23.59,214952
15-Nov-13,23.01,23.19,22.73,23.11,81330
14-Nov-13,23.52,23.52,23.00,23.07,41399
13-Nov-13,22.79,23.60,22.54,23.46,85770
12-Nov-13,22.40,22.73,22.01,22.68,96605
11-Nov-13,22.71,22.78,22.46,22.48,99888
8-Nov-13,22.63,23.75,22.63,22.87,67764
7-Nov-13,23.25,23.28,22.59,22.73,89119
6-Nov-13,23.42,23.49,23.00,23.24,57826
5-Nov-13,23.41,23.51,23.19,23.25,38815
4-Nov-13,23.45,23.63,23.14,23.41,80413
1-Nov-13,23.30,23.61,23.23,23.28,108343
31-Oct-13,23.77,23.85,23.45,23.48,79613
30-Oct-13,24.41,24.50,23.74,23.82,75225
29-Oct-13,24.74,24.91,24.41,24.47,45906
28-Oct-13,24.71,24.79,24.57,24.65,56865
25-Oct-13,24.16,24.95,24.15,24.71,125669
24-Oct-13,24.00,24.16,23.77,24.06,81541
23-Oct-13,23.78,24.16,23.60,23.90,88309
22-Oct-13,24.79,24.83,23.79,24.00,146386
21-Oct-13,24.52,24.85,24.49,24.77,157832
18-Oct-13,24.71,24.72,24.44,24.55,106944
17-Oct-13,24.20,24.60,24.06,24.47,91184
16-Oct-13,24.18,24.45,24.00,24.28,121448
15-Oct-13,24.04,24.06,23.80,23.99,100175
14-Oct-13,24.01,24.18,23.67,24.00,174239
11-Oct-13,23.55,24.19,23.34,24.18,175873
10-Oct-13,23.29,23.81,23.21,23.53,144620
9-Oct-13,23.00,23.25,22.91,23.14,262546
8-Oct-13,22.85,23.02,22.65,22.95,208935
7-Oct-13,23.04,23.78,22.57,22.74,449172
4-Oct-13,20.94,21.19,20.94,21.12,25896
3-Oct-13,21.25,21.25,20.62,20.94,72302
2-Oct-13,21.34,21.58,21.15,21.28,53925
1-Oct-13,21.61,21.71,21.38,21.42,56073
30-Sep-13,21.69,21.86,21.53,21.66,70685
27-Sep-13,22.14,22.17,21.63,21.78,37325
26-Sep-13,22.52,22.58,22.04,22.18,28958
25-Sep-13,22.67,22.93,22.39,22.47,33732
24-Sep-13,22.91,23.00,22.49,22.71,38053
23-Sep-13,22.70,22.96,22.46,22.92,55492
20-Sep-13,22.60,22.83,22.60,22.76,126393
19-Sep-13,22.46,22.65,22.28,22.57,53459
18-Sep-13,21.98,22.54,21.90,22.48,44970
17-Sep-13,21.64,22.11,21.53,22.00,33351
16-Sep-13,21.65,21.83,21.35,21.66,107453
13-Sep-13,21.56,21.63,21.27,21.49,22728
12-Sep-13,21.50,21.91,21.39,21.47,25397
11-Sep-13,21.59,21.70,21.22,21.54,56967
10-Sep-13,21.60,21.72,21.53,21.65,40529
9-Sep-13,21.04,21.59,20.94,21.58,37055
6-Sep-13,21.24,21.33,20.87,20.98,38528
5-Sep-13,21.47,21.55,21.07,21.14,47601
4-Sep-13,21.77,21.77,21.41,21.45,44362
3-Sep-13,21.26,21.84,21.23,21.72,87953
30-Aug-13,21.11,21.25,21.01,21.09,124246
29-Aug-13,21.10,21.32,20.89,21.14,96762
28-Aug-13,21.04,21.36,20.95,21.10,99397
27-Aug-13,21.11,21.32,20.99,21.05,99553
26-Aug-13,21.41,21.41,21.21,21.24,49067
23-Aug-13,21.40,21.50,21.26,21.41,51232
22-Aug-13,21.49,21.50,21.31,21.41,22398
21-Aug-13,21.69,21.69,21.11,21.41,55300
20-Aug-13,21.42,21.81,21.20,21.75,46550
19-Aug-13,21.86,21.86,21.22,21.46,81305
16-Aug-13,21.85,21.94,21.75,21.86,55948
15-Aug-13,21.88,22.01,21.78,21.82,97355
14-Aug-13,21.98,22.16,21.90,22.00,100040
13-Aug-13,21.88,22.24,21.65,22.00,128337
12-Aug-13,21.91,22.10,21.75,21.92,88098
9-Aug-13,22.22,22.37,21.87,22.05,46775
8-Aug-13,22.03,22.24,22.00,22.07,54818
7-Aug-13,21.83,22.08,21.83,21.92,57005
6-Aug-13,21.84,22.05,21.66,21.95,40097
5-Aug-13,21.87,22.07,21.66,21.82,36429
2-Aug-13,21.75,21.96,21.75,21.87,30510
1-Aug-13,21.98,22.00,21.65,21.88,47617
31-Jul-13,22.02,22.13,21.63,21.89,40635
30-Jul-13,22.50,22.67,21.87,21.93,63753
29-Jul-13,22.71,22.91,22.29,22.37,50652
26-Jul-13,22.43,22.82,22.36,22.79,43644
25-Jul-13,22.87,22.92,22.44,22.60,88760
24-Jul-13,23.16,23.36,22.78,22.86,73826
23-Jul-13,23.21,23.21,22.38,23.03,60428
22-Jul-13,23.27,23.27,22.99,23.08,66014
19-Jul-13,23.22,23.43,22.97,23.40,60359
18-Jul-13,23.58,23.58,22.97,23.34,174076
17-Jul-13,23.26,23.49,23.24,23.43,86638
16-Jul-13,22.94,23.24,22.54,23.24,116468
15-Jul-13,22.84,22.94,22.55,22.89,97473
12-Jul-13,22.79,22.99,22.61,22.87,35735
11-Jul-13,22.39,22.86,22.25,22.76,104637
10-Jul-13,22.28,22.36,22.10,22.26,66990
9-Jul-13,22.30,22.41,22.08,22.35,94657
8-Jul-13,21.78,22.27,21.75,22.25,104379
5-Jul-13,21.99,21.99,21.29,21.69,69626
3-Jul-13,21.13,21.70,21.13,21.68,27399
2-Jul-13,21.15,21.32,21.06,21.27,41528
1-Jul-13,21.05,21.54,20.95,21.17,78083
28-Jun-13,20.99,21.06,20.82,20.96,155615
27-Jun-13,20.81,21.37,20.77,21.10,90074
26-Jun-13,21.02,21.10,20.52,20.73,77436
25-Jun-13,20.04,21.04,20.04,20.98,117955
24-Jun-13,20.52,20.74,20.10,20.28,98376
21-Jun-13,20.70,21.03,20.51,20.75,180928
20-Jun-13,21.46,21.69,20.70,20.71,208681
19-Jun-13,22.07,22.09,21.58,21.62,44718
18-Jun-13,21.89,22.32,21.85,22.10,47044
17-Jun-13,21.89,21.99,21.65,21.83,65542
14-Jun-13,22.01,22.02,21.77,21.79,58027
13-Jun-13,22.15,22.27,22.00,22.10,122003
12-Jun-13,21.99,22.34,21.77,22.14,139669
11-Jun-13,21.93,22.16,21.72,21.80,44727
10-Jun-13,22.27,22.27,22.00,22.15,121378
7-Jun-13,22.44,22.44,22.08,22.27,90657
6-Jun-13,22.07,22.36,21.72,22.26,124578
5-Jun-13,22.56,22.60,22.10,22.10,50001
4-Jun-13,22.65,23.10,22.50,22.65,134515
3-Jun-13,22.60,22.81,22.33,22.67,164081
31-May-13,22.41,22.85,22.23,22.59,96412
30-May-13,22.59,22.68,22.48,22.58,58993
29-May-13,21.78,22.60,21.70,22.46,212717
28-May-13,22.08,22.43,21.49,21.94,97981
24-May-13,21.73,22.06,21.53,21.86,118108
23-May-13,21.16,21.79,21.16,21.78,424993
22-May-13,21.46,21.96,21.27,21.37,247890
21-May-13,21.64,21.71,21.45,21.46,52044
20-May-13,21.47,21.64,21.29,21.58,106320
17-May-13,21.45,21.86,21.42,21.46,200068
16-May-13,21.41,21.50,21.20,21.36,79064
15-May-13,21.56,21.65,21.38,21.48,94466
14-May-13,21.49,22.00,21.27,21.52,633040
13-May-13,21.15,21.41,21.01,21.36,89429
10-May-13,21.65,21.65,21.01,21.25,68031
9-May-13,21.66,21.90,21.50,21.55,112681
8-May-13,22.02,22.25,21.52,21.64,102947
7-May-13,21.97,22.39,21.85,22.02,87741
6-May-13,21.95,22.16,21.82,21.90,141016
3-May-13,21.70,22.13,21.70,21.92,39954
2-May-13,21.48,21.53,21.13,21.46,106716
1-May-13,21.57,21.69,21.10,21.45,123018
30-Apr-13,21.65,21.91,21.44,21.70,145571
29-Apr-13,21.76,21.93,21.54,21.63,62537
26-Apr-13,21.81,21.94,21.46,21.74,50704
25-Apr-13,21.79,22.06,21.71,21.81,179011
24-Apr-13,21.76,22.02,21.63,21.80,285702
23-Apr-13,21.60,21.86,21.60,21.80,94517
22-Apr-13,21.76,21.92,21.22,21.41,68266
19-Apr-13,21.83,21.98,21.64,21.86,96753
18-Apr-13,22.37,22.37,21.65,21.84,169730
17-Apr-13,23.05,23.08,22.09,22.40,120917
16-Apr-13,23.41,23.51,22.73,23.19,100844
15-Apr-13,23.57,23.67,23.22,23.31,114434
12-Apr-13,23.67,23.97,23.60,23.76,33456
11-Apr-13,24.50,24.52,23.49,23.63,100856
10-Apr-13,23.62,24.89,23.62,24.58,123444
9-Apr-13,23.24,23.71,23.14,23.48,58975
8-Apr-13,23.38,23.90,23.13,23.28,184717
5-Apr-13,21.19,23.50,21.19,23.04,749157
4-Apr-13,21.32,21.62,21.28,21.50,110773
3-Apr-13,21.07,21.53,21.05,21.35,91854
2-Apr-13,21.91,22.03,21.07,21.18,99106
1-Apr-13,22.14,22.37,21.66,21.75,181849
28-Mar-13,22.55,22.56,22.16,22.20,46888
27-Mar-13,22.35,22.60,22.33,22.49,76539
26-Mar-13,22.79,22.79,21.63,22.53,44012
25-Mar-13,22.57,22.86,22.34,22.68,43465
22-Mar-13,22.30,22.59,22.30,22.58,23062
21-Mar-13,22.50,22.53,22.21,22.22,39576
20-Mar-13,22.32,22.82,22.27,22.72,35927
19-Mar-13,22.35,22.41,21.85,22.28,28772
18-Mar-13,22.30,22.48,22.18,22.37,24747
15-Mar-13,22.40,22.68,22.17,22.56,106012
14-Mar-13,21.90,22.34,21.81,22.27,102568
13-Mar-13,21.68,21.94,21.63,21.84,28039
12-Mar-13,21.62,21.99,21.52,21.71,99341
11-Mar-13,21.74,21.86,21.59,21.72,61817
8-Mar-13,21.86,21.86,21.47,21.69,32543
7-Mar-13,21.45,21.71,21.30,21.67,41417
6-Mar-13,20.96,21.51,20.89,21.49,93316
5-Mar-13,21.22,21.54,20.50,20.96,87448
4-Mar-13,21.24,21.26,20.90,21.19,50263
1-Mar-13,21.47,21.68,21.10,21.25,64413
28-Feb-13,21.05,21.66,21.05,21.51,108270
27-Feb-13,21.03,21.36,20.95,21.03,415975
26-Feb-13,21.42,21.68,21.10,21.11,49220
25-Feb-13,22.07,22.14,21.02,21.30,119011
22-Feb-13,21.58,22.10,21.46,22.04,38574
21-Feb-13,20.55,21.56,20.51,21.44,37876
20-Feb-13,21.46,21.47,20.50,20.50,52913
19-Feb-13,21.13,21.44,21.06,21.39,24375
15-Feb-13,21.10,21.47,20.87,21.13,45671
14-Feb-13,20.88,21.14,20.65,20.97,17344
13-Feb-13,21.02,21.13,20.83,20.95,28959
12-Feb-13,20.94,21.17,20.87,21.03,22847
11-Feb-13,20.83,20.90,20.66,20.86,28052
8-Feb-13,20.87,20.90,20.68,20.80,29740
7-Feb-13,20.88,21.02,20.76,20.90,65250
6-Feb-13,20.79,20.97,20.55,20.85,38148
5-Feb-13,20.52,20.97,20.30,20.92,51337
4-Feb-13,21.27,21.27,19.84,20.52,77679
1-Feb-13,21.06,21.82,20.75,21.40,123230
31-Jan-13,21.00,21.29,20.91,21.03,64980
30-Jan-13,21.49,21.49,20.52,20.98,291696
29-Jan-13,20.53,21.60,20.53,21.57,120685
28-Jan-13,20.20,20.61,20.20,20.58,86758
25-Jan-13,20.31,20.42,20.01,20.16,46830
24-Jan-13,20.63,20.68,20.11,20.17,24751
23-Jan-13,20.50,20.65,20.39,20.57,30421
22-Jan-13,20.17,20.49,20.07,20.48,24734
18-Jan-13,20.13,20.29,19.97,20.22,75524
17-Jan-13,19.60,20.15,19.60,20.08,88520
16-Jan-13,20.14,20.14,19.53,19.60,50962
15-Jan-13,19.72,20.22,19.17,20.13,58546
14-Jan-13,20.23,20.24,19.58,19.85,90814
11-Jan-13,20.75,20.75,20.25,20.28,52208
10-Jan-13,20.98,20.98,20.62,20.70,57488
9-Jan-13,20.87,20.91,20.42,20.88,307504
8-Jan-13,20.67,20.87,20.54,20.78,57901
7-Jan-13,20.26,20.71,20.13,20.64,50250
4-Jan-13,20.36,20.49,20.12,20.38,81969
3-Jan-13,20.38,20.38,20.17,20.26,42852
2-Jan-13,20.67,20.81,20.12,20.30,121900
31-Dec-12,19.75,20.31,19.69,20.27,83753
28-Dec-12,19.84,19.84,19.67,19.77,66513
27-Dec-12,19.81,19.96,19.64,19.93,68533
26-Dec-12,19.61,19.81,19.37,19.76,47961
24-Dec-12,19.70,19.80,19.46,19.62,31671
21-Dec-12,19.87,19.96,19.57,19.73,141945
20-Dec-12,19.75,20.04,19.60,19.98,63206
19-Dec-12,19.70,19.99,19.59,19.80,69969
18-Dec-12,19.45,19.86,19.45,19.68,53968
17-Dec-12,19.25,19.55,19.25,19.48,56665
14-Dec-12,19.30,19.45,19.21,19.25,49125
13-Dec-12,19.27,19.47,19.22,19.30,45094
12-Dec-12,19.31,19.35,19.23,19.27,63606
11-Dec-12,18.91,19.27,18.83,19.23,132297
10-Dec-12,18.70,18.80,18.61,18.77,46262
7-Dec-12,18.62,18.72,18.56,18.67,57640
6-Dec-12,18.45,18.63,18.40,18.63,51260
5-Dec-12,18.50,18.50,18.35,18.41,70844
4-Dec-12,18.40,18.47,18.25,18.46,64922
3-Dec-12,18.11,18.36,18.10,18.36,87557
30-Nov-12,18.16,18.16,17.89,18.10,129215
29-Nov-12,17.76,18.10,17.62,18.09,385943
28-Nov-12,17.71,17.76,17.51,17.66,85919
27-Nov-12,17.90,18.07,17.77,17.79,54644
26-Nov-12,18.01,18.08,17.86,17.93,67339
23-Nov-12,17.89,18.12,17.77,18.09,120767
21-Nov-12,18.20,18.20,17.82,17.92,75595
20-Nov-12,18.22,18.27,18.00,18.26,96317
19-Nov-12,18.00,18.35,17.63,18.34,208410
16-Nov-12,18.17,18.54,18.00,18.44,160380
15-Nov-12,18.20,18.39,17.56,18.23,246073
14-Nov-12,18.81,18.96,18.00,18.25,201769
13-Nov-12,18.95,18.98,18.58,18.83,98258
12-Nov-12,19.71,19.74,18.84,18.98,101624
9-Nov-12,20.36,20.50,19.49,19.63,116686
8-Nov-12,21.12,21.13,20.58,20.60,81582
7-Nov-12,21.62,21.68,21.16,21.20,103990
6-Nov-12,21.85,22.06,21.60,21.74,111279
5-Nov-12,21.97,22.17,21.79,21.81,41102
2-Nov-12,22.26,22.26,21.95,22.04,82295
1-Nov-12,22.19,22.56,22.05,22.16,72445
31-Oct-12,21.98,22.34,21.96,22.14,91142
26-Oct-12,22.33,22.33,22.00,22.00,37847
25-Oct-12,22.34,22.46,22.14,22.33,22702
24-Oct-12,22.33,22.37,22.16,22.20,20910
23-Oct-12,22.16,22.27,22.00,22.22,69491
22-Oct-12,22.40,22.42,22.14,22.26,104656
19-Oct-12,22.35,22.74,22.23,22.47,140394
18-Oct-12,22.66,22.76,22.51,22.51,57159
17-Oct-12,22.55,22.73,22.44,22.61,26791
16-Oct-12,22.67,22.67,22.35,22.46,43999
15-Oct-12,22.59,22.68,22.47,22.63,48150
12-Oct-12,22.56,22.69,22.51,22.54,70073
11-Oct-12,22.43,22.71,22.30,22.61,76918
10-Oct-12,22.41,22.46,22.25,22.31,43048
9-Oct-12,22.55,22.56,22.23,22.36,56451
8-Oct-12,22.61,22.79,22.46,22.57,23789
5-Oct-12,22.90,23.08,22.61,22.75,32862
4-Oct-12,22.73,23.07,22.66,22.90,26188
3-Oct-12,22.87,23.07,22.70,22.73,40696
2-Oct-12,22.74,22.97,22.65,22.81,54644
1-Oct-12,22.86,23.11,22.66,22.74,40392
28-Sep-12,22.88,23.07,22.66,22.82,43271
27-Sep-12,22.98,23.23,22.92,23.01,77722
26-Sep-12,23.01,23.12,22.73,23.00,55864
25-Sep-12,23.25,23.49,22.89,22.94,89415
24-Sep-12,22.91,23.25,22.87,23.09,48872
21-Sep-12,23.22,23.22,22.81,22.98,81223
20-Sep-12,22.66,22.94,22.58,22.92,51601
19-Sep-12,22.85,23.02,22.78,22.83,36917
18-Sep-12,22.84,22.96,22.72,22.82,44142
17-Sep-12,22.86,23.08,22.71,22.93,39158
14-Sep-12,23.19,23.42,22.99,23.02,101801
13-Sep-12,22.65,23.27,22.65,23.09,121355
12-Sep-12,22.39,22.70,22.35,22.60,80137
11-Sep-12,22.20,22.49,22.15,22.31,51295
10-Sep-12,22.15,22.38,22.15,22.24,34326
7-Sep-12,22.56,22.56,22.04,22.15,56475
6-Sep-12,22.22,22.48,22.02,22.37,57527
5-Sep-12,22.14,22.33,21.92,22.08,64989
4-Sep-12,21.83,22.10,21.65,22.04,76037
31-Aug-12,22.18,22.18,21.61,21.78,121639
30-Aug-12,22.29,22.29,22.01,22.04,20124
29-Aug-12,22.13,22.50,21.91,22.32,44586
28-Aug-12,22.00,22.23,21.87,22.15,34171
27-Aug-12,22.10,22.22,21.85,21.99,64021
24-Aug-12,21.87,22.16,21.85,22.01,102110
23-Aug-12,22.20,22.21,21.90,21.97,62993
22-Aug-12,22.10,22.30,22.05,22.20,54535
21-Aug-12,22.31,22.75,22.07,22.14,70146
20-Aug-12,22.36,22.49,22.06,22.25,62584
17-Aug-12,22.31,22.46,22.05,22.32,66808
16-Aug-12,22.44,22.44,22.15,22.36,68884
15-Aug-12,22.43,22.53,22.21,22.37,90819
14-Aug-12,23.04,23.04,22.21,22.41,160077
13-Aug-12,23.38,23.47,22.77,22.84,92863
10-Aug-12,24.09,24.15,23.05,23.26,166673
9-Aug-12,24.61,25.22,23.92,24.01,264308
8-Aug-12,24.45,24.70,24.21,24.56,57335
7-Aug-12,24.51,24.82,24.38,24.41,61713
6-Aug-12,24.38,24.74,24.25,24.34,64659
3-Aug-12,24.19,24.64,24.10,24.24,70783
2-Aug-12,23.51,24.06,23.51,23.99,93627
1-Aug-12,24.19,24.29,23.50,23.52,86553
31-Jul-12,24.11,24.37,24.07,24.11,87779
30-Jul-12,24.40,24.40,24.03,24.07,47026
27-Jul-12,24.00,24.45,23.80,24.39,74747
26-Jul-12,24.21,24.53,23.75,23.93,62212
25-Jul-12,24.35,24.59,23.96,24.10,144513
24-Jul-12,23.79,24.44,23.66,24.29,266001
23-Jul-12,23.74,23.89,23.55,23.58,185756
20-Jul-12,23.28,23.40,22.95,23.22,135894
19-Jul-12,23.88,23.93,23.30,23.41,63748
18-Jul-12,23.15,24.26,23.15,23.80,251678
17-Jul-12,23.10,23.43,22.75,23.11,217729
16-Jul-12,23.02,23.16,22.87,23.00,187092
13-Jul-12,23.00,23.16,22.88,23.00,72094
12-Jul-12,22.93,23.19,22.84,23.02,86794
11-Jul-12,22.90,23.19,22.64,23.02,184526
10-Jul-12,22.65,22.81,22.55,22.71,79107
9-Jul-12,22.50,22.71,22.34,22.62,49411
6-Jul-12,22.36,22.60,22.36,22.49,24626
5-Jul-12,22.55,22.68,22.21,22.53,52478
3-Jul-12,22.55,22.68,22.49,22.56,43493
2-Jul-12,22.41,22.55,22.37,22.55,57557
29-Jun-12,22.38,22.57,22.11,22.41,61257
28-Jun-12,22.11,22.13,21.63,21.97,66852
