Date,Open,High,Low,Close,Volume
31-Dec-13,15.09,15.43,15.01,15.02,171136
30-Dec-13,14.85,15.12,14.63,14.97,198152
27-Dec-13,14.97,15.23,14.80,14.85,164416
26-Dec-13,14.91,15.09,14.79,14.91,155481
24-Dec-13,14.75,15.03,14.44,14.82,55856
23-Dec-13,14.69,15.03,14.60,14.70,221835
20-Dec-13,14.34,14.92,14.03,14.49,408354
19-Dec-13,14.25,14.42,14.22,14.27,188315
18-Dec-13,13.78,14.44,13.66,14.24,194984
17-Dec-13,13.73,13.84,13.54,13.80,276243
16-Dec-13,13.95,13.95,13.60,13.71,201333
13-Dec-13,14.17,14.21,13.75,13.83,483557
12-Dec-13,13.92,13.92,13.40,13.49,221752
11-Dec-13,14.21,14.31,13.76,13.92,252846
10-Dec-13,14.45,14.55,14.07,14.23,191284
9-Dec-13,14.65,14.73,14.46,14.52,146134
6-Dec-13,14.93,15.00,14.56,14.60,165049
5-Dec-13,14.62,14.98,14.54,14.74,128752
4-Dec-13,14.52,14.97,14.35,14.60,234276
3-Dec-13,14.76,15.03,14.43,14.59,199911
2-Dec-13,15.26,15.35,14.75,14.81,151903
29-Nov-13,14.96,15.45,14.95,15.27,156087
27-Nov-13,14.94,15.04,14.70,14.94,142036
26-Nov-13,14.77,14.94,14.54,14.89,136176
25-Nov-13,14.95,15.16,14.67,14.78,98481
22-Nov-13,15.01,15.18,14.83,14.92,180750
21-Nov-13,14.54,15.01,14.51,14.94,196532
20-Nov-13,14.57,14.64,14.42,14.47,135217
19-Nov-13,14.79,14.80,14.44,14.53,188016
18-Nov-13,14.96,15.32,14.70,14.82,255411
15-Nov-13,14.54,14.96,14.44,14.94,233937
14-Nov-13,14.61,14.71,14.16,14.55,169425
13-Nov-13,14.24,14.82,14.18,14.65,305199
12-Nov-13,14.07,14.36,13.77,14.33,200496
11-Nov-13,13.92,14.13,13.60,14.10,106895
8-Nov-13,13.80,13.99,13.66,13.95,203867
7-Nov-13,13.83,13.93,13.59,13.79,217985
6-Nov-13,13.96,13.97,13.62,13.80,245699
5-Nov-13,14.75,15.00,13.60,13.88,567901
4-Nov-13,13.83,14.25,13.72,14.16,549508
1-Nov-13,14.15,14.30,13.58,13.72,336255
31-Oct-13,14.24,14.32,13.91,14.15,215115
30-Oct-13,14.85,14.87,13.95,14.27,902897
29-Oct-13,14.18,14.88,14.13,14.83,308503
28-Oct-13,14.44,14.59,13.90,14.16,219443
25-Oct-13,14.52,14.61,14.15,14.47,155552
24-Oct-13,14.33,14.68,14.21,14.50,191293
23-Oct-13,14.40,14.48,14.08,14.30,214602
22-Oct-13,14.66,14.85,14.34,14.50,210378
21-Oct-13,14.58,14.66,14.43,14.58,253375
18-Oct-13,14.62,14.68,14.35,14.55,240349
17-Oct-13,14.46,14.55,14.28,14.51,189652
16-Oct-13,14.78,15.00,14.41,14.57,233270
15-Oct-13,14.76,14.86,14.50,14.63,218229
14-Oct-13,14.56,14.85,14.35,14.82,153873
11-Oct-13,14.31,14.69,14.23,14.65,194429
10-Oct-13,14.47,14.65,14.27,14.38,268495
9-Oct-13,14.77,14.77,14.03,14.27,340877
8-Oct-13,15.23,15.25,14.51,14.70,418489
7-Oct-13,14.63,15.27,14.63,15.21,328127
4-Oct-13,14.51,14.81,14.34,14.60,228634
3-Oct-13,14.99,15.00,14.36,14.52,226750
2-Oct-13,14.95,15.05,14.50,14.98,319836
1-Oct-13,15.50,15.50,14.68,15.06,373999
30-Sep-13,15.45,15.51,15.04,15.49,381817
27-Sep-13,15.41,15.86,15.15,15.69,258109
26-Sep-13,15.49,15.63,15.11,15.54,300498
25-Sep-13,15.13,15.80,15.12,15.41,382207
24-Sep-13,15.38,15.38,14.99,15.14,274515
23-Sep-13,15.23,15.60,15.03,15.39,338472
20-Sep-13,15.08,15.32,14.93,15.22,505373
19-Sep-13,14.64,15.00,14.51,14.97,210222
18-Sep-13,14.50,14.59,14.04,14.56,148599
17-Sep-13,14.13,14.52,14.12,14.46,136592
16-Sep-13,14.98,14.98,14.12,14.12,204400
13-Sep-13,14.80,14.80,14.38,14.76,254310
12-Sep-13,14.61,14.80,14.42,14.75,269102
11-Sep-13,14.50,14.66,14.02,14.63,231451
10-Sep-13,13.80,14.72,13.65,14.59,357012
9-Sep-13,13.34,13.62,13.29,13.47,121466
6-Sep-13,13.43,13.53,13.05,13.31,128898
5-Sep-13,13.44,13.55,13.20,13.32,93511
4-Sep-13,13.13,13.47,12.86,13.38,211264
3-Sep-13,13.16,13.29,12.99,13.11,195045
30-Aug-13,12.95,13.06,12.82,12.95,223321
29-Aug-13,12.62,12.98,12.58,12.94,215096
28-Aug-13,12.28,12.64,12.15,12.60,174535
27-Aug-13,12.52,12.84,12.22,12.24,176002
26-Aug-13,12.26,12.94,12.22,12.76,293995
23-Aug-13,12.13,12.23,12.02,12.19,292167
22-Aug-13,12.10,12.26,11.97,12.06,161777
21-Aug-13,12.05,12.21,11.80,12.04,221828
20-Aug-13,12.30,12.34,11.68,12.08,543290
19-Aug-13,12.78,12.78,12.12,12.15,346205
16-Aug-13,13.08,13.21,12.77,12.80,200956
15-Aug-13,13.42,13.63,12.95,13.14,396306
14-Aug-13,13.55,13.72,13.39,13.66,193678
13-Aug-13,13.87,13.94,13.28,13.59,156266
12-Aug-13,13.45,14.08,13.37,13.93,274936
9-Aug-13,14.39,14.61,13.36,13.65,425771
8-Aug-13,16.43,16.48,14.31,14.58,689258
7-Aug-13,15.50,15.51,14.98,15.13,411597
6-Aug-13,15.73,15.73,15.20,15.50,349213
5-Aug-13,15.10,15.61,15.04,15.59,189899
2-Aug-13,15.09,15.34,14.97,15.05,79895
1-Aug-13,15.12,15.56,15.05,15.16,111331
31-Jul-13,15.06,15.23,14.89,14.92,153365
30-Jul-13,14.66,15.03,14.62,15.02,116627
29-Jul-13,14.34,14.61,14.23,14.60,109831
26-Jul-13,14.47,14.65,14.21,14.43,118325
25-Jul-13,14.53,14.66,14.19,14.63,263082
24-Jul-13,14.82,15.09,14.50,14.53,187465
23-Jul-13,14.99,14.99,14.60,14.66,177241
22-Jul-13,14.91,15.04,14.72,14.91,159516
19-Jul-13,15.03,15.12,14.74,14.95,173220
18-Jul-13,15.36,15.36,14.92,15.16,168949
17-Jul-13,14.55,15.35,14.55,15.34,277658
16-Jul-13,14.80,14.86,14.30,14.33,110501
15-Jul-13,15.11,15.20,14.43,14.79,134088
12-Jul-13,14.45,15.32,14.38,14.98,302621
11-Jul-13,14.09,14.50,14.00,14.49,230519
10-Jul-13,13.98,14.10,13.80,13.91,63949
9-Jul-13,14.39,14.39,13.96,14.02,186792
8-Jul-13,14.32,14.46,14.10,14.30,155403
5-Jul-13,14.33,14.33,13.90,14.25,81283
3-Jul-13,13.72,14.16,13.64,14.09,90851
2-Jul-13,14.19,14.41,13.56,13.71,189016
1-Jul-13,13.88,14.24,13.82,14.21,172552
28-Jun-13,14.13,14.18,13.53,13.73,772039
27-Jun-13,14.38,14.38,14.05,14.19,139683
26-Jun-13,13.36,14.31,13.34,14.30,337455
25-Jun-13,12.96,13.26,12.72,13.22,317388
24-Jun-13,13.11,13.11,12.77,12.90,356300
21-Jun-13,13.54,13.60,13.14,13.29,285120
20-Jun-13,13.87,13.92,13.31,13.50,255929
19-Jun-13,14.08,14.12,13.95,14.01,165599
18-Jun-13,13.85,14.16,13.59,14.12,187531
17-Jun-13,13.90,13.92,13.75,13.85,113344
14-Jun-13,13.83,14.04,13.68,13.76,154108
13-Jun-13,13.76,13.92,13.47,13.86,206084
12-Jun-13,14.37,14.38,13.56,13.73,285674
11-Jun-13,14.34,14.45,14.22,14.26,147758
10-Jun-13,14.68,14.80,14.43,14.52,116896
7-Jun-13,14.57,14.71,14.07,14.59,319708
6-Jun-13,14.03,14.49,13.87,14.47,423135
5-Jun-13,14.16,14.29,13.95,13.98,282903
4-Jun-13,14.58,14.65,14.06,14.13,214738
3-Jun-13,14.79,15.04,14.30,14.55,338066
31-May-13,14.68,15.13,14.44,14.76,259615
30-May-13,14.58,14.85,14.38,14.79,217481
29-May-13,14.11,14.67,14.11,14.58,396404
28-May-13,13.88,14.30,13.79,14.26,302388
24-May-13,13.54,13.64,13.36,13.63,183127
23-May-13,13.67,13.83,13.51,13.63,286269
22-May-13,13.92,14.19,13.69,13.83,335155
21-May-13,13.96,14.02,13.78,13.89,312213
20-May-13,13.84,14.18,13.67,13.92,304233
17-May-13,14.09,14.20,13.77,13.91,235716
16-May-13,13.65,14.24,13.65,14.05,289708
15-May-13,13.32,13.96,13.23,13.64,334260
14-May-13,13.58,13.59,13.10,13.33,710715
13-May-13,13.83,13.87,13.42,13.61,301605
10-May-13,13.85,14.10,13.30,13.91,495862
9-May-13,14.13,14.15,13.71,13.73,376679
8-May-13,14.51,14.61,14.08,14.20,484051
7-May-13,14.33,14.59,13.80,14.57,548093
6-May-13,14.14,14.78,13.53,14.14,947211
3-May-13,14.45,14.98,14.01,14.08,2590560
2-May-13,10.50,11.36,10.46,11.08,762331
1-May-13,11.19,11.20,10.42,10.44,285812
30-Apr-13,11.28,11.35,11.04,11.09,171479
29-Apr-13,10.83,11.63,10.83,11.20,431617
26-Apr-13,10.60,11.01,10.59,10.80,252987
25-Apr-13,10.85,11.06,10.58,10.60,431455
24-Apr-13,10.93,11.03,10.70,10.77,178537
23-Apr-13,10.47,11.06,10.47,10.99,206029
22-Apr-13,10.44,10.46,10.12,10.39,476899
19-Apr-13,10.61,10.83,10.36,10.45,365366
18-Apr-13,11.28,11.39,10.61,10.63,425512
17-Apr-13,11.38,11.38,10.84,11.28,230591
16-Apr-13,11.60,11.75,11.44,11.48,252167
15-Apr-13,11.38,11.79,11.38,11.57,374189
12-Apr-13,11.74,11.74,11.25,11.46,270542
11-Apr-13,11.65,11.95,11.50,11.77,189544
10-Apr-13,10.85,11.93,10.84,11.69,540292
9-Apr-13,11.00,11.00,10.75,10.80,388300
