Date,Open,High,Low,Close,Volume
31-Dec-13,-,-,-,37.61,0
30-Dec-13,-,-,-,37.61,0
27-Dec-13,37.61,37.61,37.61,37.61,3003
24-Dec-13,-,-,-,36.04,0
23-Dec-13,-,-,-,36.04,0
20-Dec-13,-,-,-,36.04,0
19-Dec-13,36.04,36.04,36.04,36.04,3003
18-Dec-13,36.82,36.82,36.82,36.82,3003
17-Dec-13,37.15,37.15,37.15,37.15,3003
16-Dec-13,37.20,-,-,37.20,0
13-Dec-13,-,-,-,37.43,0
12-Dec-13,-,-,-,37.43,0
11-Dec-13,-,-,-,37.43,0
10-Dec-13,-,-,-,37.43,0
9-Dec-13,-,-,-,37.43,0
6-Dec-13,-,-,-,37.43,0
5-Dec-13,37.43,-,-,37.43,0
4-Dec-13,37.36,37.36,37.36,37.36,3003
3-Dec-13,-,-,-,38.36,0
2-Dec-13,-,-,-,38.36,0
29-Nov-13,-,-,-,38.36,0
28-Nov-13,-,-,-,38.36,0
27-Nov-13,-,-,-,38.36,0
26-Nov-13,-,-,-,38.36,0
25-Nov-13,-,-,-,38.36,0
22-Nov-13,-,-,-,38.36,0
21-Nov-13,38.36,-,-,38.36,0
20-Nov-13,-,-,-,39.00,0
19-Nov-13,39.00,-,-,39.00,0
18-Nov-13,-,-,-,40.10,0
15-Nov-13,-,-,-,40.10,0
14-Nov-13,-,-,-,40.10,0
13-Nov-13,-,-,-,40.10,0
12-Nov-13,-,-,-,40.10,0
11-Nov-13,-,-,-,40.10,0
8-Nov-13,-,-,-,40.10,0
7-Nov-13,-,-,-,40.10,0
6-Nov-13,-,-,-,40.10,0
5-Nov-13,-,-,-,40.10,0
4-Nov-13,-,-,-,40.10,0
1-Nov-13,40.10,40.10,40.10,40.10,6
31-Oct-13,40.02,-,-,40.02,0
30-Oct-13,-,-,-,39.85,0
29-Oct-13,-,-,-,39.85,0
28-Oct-13,-,-,-,39.85,0
25-Oct-13,-,-,-,39.85,0
24-Oct-13,39.85,-,-,39.85,0
23-Oct-13,-,-,-,37.79,0
22-Oct-13,-,-,-,37.79,0
21-Oct-13,-,-,-,37.79,0
18-Oct-13,-,-,-,37.79,0
17-Oct-13,-,-,-,37.79,0
16-Oct-13,-,-,-,37.79,0
15-Oct-13,-,-,-,37.79,0
14-Oct-13,37.79,-,-,37.79,0
11-Oct-13,-,-,-,38.63,0
10-Oct-13,-,-,-,38.63,0
9-Oct-13,-,-,-,38.63,0
8-Oct-13,38.57,38.57,38.57,38.63,900
7-Oct-13,-,-,-,38.37,0
4-Oct-13,-,-,-,38.37,0
3-Oct-13,-,-,-,38.37,0
2-Oct-13,-,-,-,38.37,0
1-Oct-13,38.37,38.37,38.37,38.37,15003
30-Sep-13,-,-,-,39.01,0
27-Sep-13,39.01,39.01,39.01,39.01,12000
26-Sep-13,-,-,-,39.32,0
25-Sep-13,-,-,-,39.32,0
24-Sep-13,-,-,-,39.32,0
20-Sep-13,-,-,-,40.64,0
19-Sep-13,40.64,40.64,40.64,40.64,13000
18-Sep-13,-,-,-,39.60,0
17-Sep-13,39.60,39.60,39.60,39.60,600
16-Sep-13,40.07,-,-,40.07,0
13-Sep-13,-,-,-,40.53,0
12-Sep-13,-,-,-,40.53,0
11-Sep-13,-,-,-,40.53,0
10-Sep-13,40.53,-,-,40.53,0
9-Sep-13,-,-,-,40.60,0
6-Sep-13,-,-,-,40.60,0
5-Sep-13,40.86,40.86,40.86,40.60,590
4-Sep-13,-,-,-,42.02,0
3-Sep-13,-,-,-,42.02,0
2-Sep-13,-,-,-,42.02,0
30-Aug-13,-,-,-,42.02,0
29-Aug-13,42.02,-,-,42.02,0
28-Aug-13,-,-,-,42.30,0
27-Aug-13,-,-,-,42.30,0
23-Aug-13,42.30,-,-,42.30,0
22-Aug-13,42.35,42.35,42.35,42.35,775
21-Aug-13,-,-,-,41.48,0
20-Aug-13,-,-,-,41.48,0
19-Aug-13,-,-,-,41.48,0
16-Aug-13,-,-,-,41.48,0
15-Aug-13,-,-,-,41.48,0
14-Aug-13,-,-,-,41.48,0
13-Aug-13,41.48,41.48,41.48,41.48,2000
12-Aug-13,-,-,-,40.50,0
9-Aug-13,-,-,-,40.50,0
8-Aug-13,40.50,40.50,40.50,40.50,1800
7-Aug-13,-,-,-,39.04,0
6-Aug-13,-,-,-,39.04,0
5-Aug-13,-,-,-,39.04,0
2-Aug-13,39.14,39.14,39.04,39.04,2000
1-Aug-13,-,-,-,38.25,0
