Date,Open,High,Low,Close,Volume
31-Dec-13,1.64,1.65,1.55,1.55,3703534
30-Dec-13,1.67,1.68,1.60,1.63,2205131
27-Dec-13,1.70,1.73,1.55,1.66,6297711
26-Dec-13,1.75,1.78,1.70,1.72,2375509
24-Dec-13,1.75,1.80,1.69,1.75,2413230
23-Dec-13,1.86,1.86,1.76,1.77,2968763
20-Dec-13,1.80,1.87,1.80,1.84,3883126
19-Dec-13,1.84,1.84,1.74,1.80,3627827
18-Dec-13,1.88,1.89,1.78,1.82,3046140
17-Dec-13,1.89,1.95,1.74,1.81,10139269
16-Dec-13,1.98,2.06,1.90,1.95,8675374
13-Dec-13,2.06,2.17,2.02,2.09,15814843
12-Dec-13,1.82,1.99,1.81,1.98,14546671
11-Dec-13,1.85,1.89,1.72,1.77,7313344
10-Dec-13,1.66,1.88,1.48,1.87,22999561
9-Dec-13,1.92,1.93,1.61,1.68,25205637
6-Dec-13,2.08,2.24,1.84,2.06,52213623
5-Dec-13,1.45,1.96,1.43,1.81,69953580
4-Dec-13,1.05,1.28,1.01,1.27,37281660
3-Dec-13,0.84,0.84,0.76,0.79,4677056
2-Dec-13,0.75,0.82,0.74,0.82,8797339
29-Nov-13,0.71,0.74,0.71,0.74,3051180
27-Nov-13,0.67,0.71,0.66,0.71,3116673
26-Nov-13,0.65,0.68,0.63,0.66,1961636
25-Nov-13,0.68,0.68,0.62,0.63,1153054
22-Nov-13,0.66,0.68,0.64,0.66,1134986
21-Nov-13,0.66,0.66,0.62,0.64,1766953
20-Nov-13,0.67,0.67,0.64,0.64,701744
19-Nov-13,0.68,0.69,0.64,0.66,2120598
18-Nov-13,0.70,0.71,0.66,0.68,2640169
15-Nov-13,0.68,0.73,0.68,0.68,6650445
14-Nov-13,0.61,0.67,0.58,0.67,7134160
13-Nov-13,0.53,0.59,0.53,0.55,3075592
12-Nov-13,0.55,0.55,0.52,0.53,909828
11-Nov-13,0.54,0.56,0.52,0.53,980617
8-Nov-13,0.50,0.54,0.50,0.53,691259
7-Nov-13,0.47,0.54,0.47,0.52,2556319
6-Nov-13,0.55,0.58,0.45,0.48,3493109
5-Nov-13,0.59,0.59,0.54,0.55,1361408
4-Nov-13,0.57,0.59,0.57,0.57,809030
1-Nov-13,0.60,0.60,0.57,0.58,531417
31-Oct-13,0.62,0.62,0.58,0.58,1192918
30-Oct-13,0.62,0.63,0.60,0.61,634488
29-Oct-13,0.61,0.62,0.60,0.60,1038006
28-Oct-13,0.60,0.61,0.59,0.60,1053320
25-Oct-13,0.57,0.60,0.56,0.58,1319846
24-Oct-13,0.55,0.59,0.55,0.56,1658663
23-Oct-13,0.60,0.60,0.56,0.57,1519537
22-Oct-13,0.61,0.63,0.58,0.58,2379553
21-Oct-13,0.64,0.64,0.61,0.62,1323454
18-Oct-13,0.61,0.64,0.61,0.63,982280
17-Oct-13,0.60,0.62,0.59,0.61,1562109
16-Oct-13,0.62,0.62,0.57,0.58,3030649
