Date,Open,High,Low,Close,Volume
31-Dec-13,29.00,29.01,28.34,28.42,31066
30-Dec-13,29.00,29.08,28.84,28.93,20426
27-Dec-13,28.74,29.02,28.68,28.99,28466
26-Dec-13,29.10,29.16,28.58,28.58,68092
24-Dec-13,29.05,29.31,28.95,29.12,13552
23-Dec-13,28.80,29.20,28.80,29.00,37990
20-Dec-13,28.50,28.99,28.40,28.72,157198
19-Dec-13,28.06,28.28,28.03,28.25,58676
18-Dec-13,28.23,28.23,27.72,28.12,34390
17-Dec-13,26.68,28.24,26.26,27.85,82602
16-Dec-13,26.69,26.98,26.30,26.62,93724
13-Dec-13,27.65,27.69,26.60,26.68,50848
12-Dec-13,26.32,28.22,26.16,27.49,74300
11-Dec-13,26.20,26.22,25.84,26.06,47474
10-Dec-13,26.30,26.30,25.90,26.17,38982
9-Dec-13,25.99,26.57,25.69,26.34,46324
6-Dec-13,26.42,26.51,25.83,26.00,52026
5-Dec-13,26.58,26.74,26.12,26.26,63920
4-Dec-13,26.96,27.02,26.37,26.55,49562
3-Dec-13,26.88,27.36,26.80,27.06,37494
2-Dec-13,27.00,27.27,26.77,26.84,45310
29-Nov-13,27.82,27.86,27.01,27.01,16586
27-Nov-13,27.25,27.91,26.55,27.74,77494
26-Nov-13,27.40,27.82,27.25,27.31,15314
25-Nov-13,26.92,27.53,26.58,27.38,134944
22-Nov-13,27.22,27.54,27.07,27.16,89068
21-Nov-13,27.25,27.25,26.98,27.12,28158
20-Nov-13,26.36,27.25,26.22,27.22,35222
19-Nov-13,25.71,26.80,25.71,26.34,38902
18-Nov-13,24.50,26.18,23.74,25.93,62876
15-Nov-13,24.92,25.00,23.76,24.54,82906
14-Nov-13,24.92,25.12,24.76,24.96,996418
13-Nov-13,24.76,25.00,24.66,24.99,8118
12-Nov-13,25.33,25.33,24.88,25.06,6746
11-Nov-13,26.20,26.20,25.27,25.44,13194
8-Nov-13,25.01,26.44,24.62,26.23,28796
7-Nov-13,26.48,26.60,25.50,25.50,13168
6-Nov-13,26.94,26.94,26.38,26.43,6788
5-Nov-13,26.67,27.03,26.38,26.58,12740
4-Nov-13,26.36,27.21,26.36,26.73,14142
1-Nov-13,27.16,27.34,25.56,26.89,19094
31-Oct-13,27.30,27.44,26.90,27.18,22346
30-Oct-13,27.40,27.50,27.25,27.25,8980
29-Oct-13,27.35,27.52,27.32,27.50,29826
28-Oct-13,27.26,27.42,27.06,27.41,57756
25-Oct-13,27.36,27.36,27.06,27.16,14160
24-Oct-13,27.16,27.32,27.10,27.30,45092
23-Oct-13,27.14,27.30,27.06,27.16,43482
22-Oct-13,27.10,27.88,27.06,27.23,56822
21-Oct-13,27.31,27.48,26.90,27.00,66394
18-Oct-13,26.91,27.50,26.56,27.26,26356
17-Oct-13,26.30,26.90,26.30,26.66,58016
16-Oct-13,26.96,27.00,26.34,26.65,19012
15-Oct-13,26.80,26.99,26.76,26.78,12526
14-Oct-13,26.12,27.00,25.94,26.72,28734
11-Oct-13,25.73,26.30,25.72,26.26,49020
10-Oct-13,24.80,25.92,24.69,25.88,38208
9-Oct-13,25.66,25.66,24.16,24.28,23038
8-Oct-13,25.82,25.82,25.62,25.63,10838
7-Oct-13,26.04,26.32,25.76,26.15,16818
4-Oct-13,25.50,26.10,25.50,25.76,16344
3-Oct-13,25.66,25.88,25.44,25.51,74262
