Date,Open,High,Low,Close,Volume
31-Dec-13,6.42,6.51,6.35,6.43,888824
30-Dec-13,6.38,6.48,6.36,6.43,610361
27-Dec-13,6.42,6.47,6.38,6.40,683188
26-Dec-13,6.42,6.42,6.33,6.39,835547
24-Dec-13,6.33,6.42,6.26,6.38,547585
23-Dec-13,6.35,6.39,6.30,6.34,1145417
20-Dec-13,6.23,6.36,6.16,6.28,2053540
19-Dec-13,6.37,6.42,6.22,6.26,1208039
18-Dec-13,6.34,6.50,6.27,6.40,2285924
17-Dec-13,6.63,6.67,6.32,6.34,4055203
16-Dec-13,5.98,6.42,5.98,6.40,3021345
13-Dec-13,5.87,5.98,5.87,5.93,978951
12-Dec-13,5.95,6.02,5.87,5.87,1051083
11-Dec-13,6.05,6.10,5.93,5.95,1451869
10-Dec-13,6.04,6.12,5.99,6.02,939017
9-Dec-13,5.94,6.07,5.85,6.04,871232
6-Dec-13,6.01,6.10,5.94,5.96,1219255
5-Dec-13,5.94,6.01,5.91,5.98,1267035
4-Dec-13,5.95,6.06,5.88,5.96,1175903
3-Dec-13,5.93,6.05,5.93,5.98,1868764
2-Dec-13,5.98,6.12,5.94,5.96,1677299
29-Nov-13,6.01,6.17,5.98,6.00,1167164
27-Nov-13,5.92,6.07,5.92,5.97,1370127
26-Nov-13,5.91,6.05,5.91,5.93,1735658
25-Nov-13,5.81,5.96,5.80,5.92,1313312
22-Nov-13,5.86,5.94,5.81,5.81,1469816
21-Nov-13,5.66,5.93,5.66,5.87,1614516
20-Nov-13,5.68,5.78,5.64,5.65,1179283
19-Nov-13,5.72,5.84,5.63,5.64,1865162
18-Nov-13,5.76,5.85,5.71,5.74,1393971
15-Nov-13,5.77,5.82,5.73,5.76,1442542
14-Nov-13,5.82,5.86,5.72,5.77,1163226
13-Nov-13,5.77,5.92,5.77,5.84,1259840
12-Nov-13,5.67,5.88,5.67,5.81,1468073
11-Nov-13,5.74,5.83,5.64,5.71,1097641
8-Nov-13,5.61,5.79,5.60,5.76,1378164
7-Nov-13,5.80,5.85,5.62,5.63,2814110
6-Nov-13,5.83,5.85,5.73,5.79,2434464
5-Nov-13,5.86,5.92,5.80,5.81,2649378
4-Nov-13,5.96,5.96,5.86,5.89,2147857
1-Nov-13,5.81,5.99,5.81,5.92,2565762
31-Oct-13,5.80,5.91,5.75,5.86,3383498
30-Oct-13,5.80,5.95,5.75,5.81,3231839
29-Oct-13,5.79,5.99,5.67,5.78,6044731
28-Oct-13,6.55,6.90,6.55,6.70,2308802
25-Oct-13,6.61,6.71,6.49,6.53,2629314
24-Oct-13,6.64,6.66,6.54,6.56,2255803
23-Oct-13,6.83,6.84,6.62,6.64,1306753
22-Oct-13,7.06,7.06,6.82,6.88,1493054
21-Oct-13,6.86,7.06,6.86,7.01,1260635
18-Oct-13,6.89,7.04,6.82,6.94,2596293
17-Oct-13,6.77,6.86,6.74,6.82,1857703
16-Oct-13,6.63,6.85,6.63,6.82,1858607
15-Oct-13,6.68,6.74,6.59,6.60,739766
14-Oct-13,6.54,6.71,6.51,6.69,787989
11-Oct-13,6.47,6.60,6.46,6.59,1153405
10-Oct-13,6.48,6.54,6.42,6.50,1062220
9-Oct-13,6.42,6.45,6.28,6.37,1214804
8-Oct-13,6.50,6.53,6.41,6.41,1385571
7-Oct-13,6.52,6.59,6.50,6.51,519296
4-Oct-13,6.57,6.65,6.51,6.61,612677
3-Oct-13,6.63,6.65,6.45,6.59,1251083
2-Oct-13,6.63,6.71,6.61,6.66,985334
1-Oct-13,6.62,6.86,6.62,6.68,1486409
30-Sep-13,6.53,6.67,6.52,6.62,883320
27-Sep-13,6.63,6.70,6.60,6.63,767782
26-Sep-13,6.69,6.76,6.64,6.69,1276523
25-Sep-13,6.64,6.73,6.63,6.69,1315207
24-Sep-13,6.54,6.70,6.47,6.65,1196853
23-Sep-13,6.56,6.62,6.46,6.55,1324460
20-Sep-13,6.57,6.63,6.49,6.58,2675527
19-Sep-13,6.62,6.64,6.49,6.56,989142
18-Sep-13,6.65,6.66,6.49,6.61,1165403
17-Sep-13,6.67,6.73,6.57,6.65,1565503
16-Sep-13,6.63,6.73,6.56,6.69,2618865
13-Sep-13,6.53,6.57,6.42,6.54,955250
12-Sep-13,6.55,6.57,6.46,6.49,1122962
11-Sep-13,6.59,6.64,6.51,6.54,1153696
10-Sep-13,6.49,6.65,6.48,6.62,1383560
9-Sep-13,6.34,6.49,6.34,6.47,1530736
6-Sep-13,6.45,6.47,6.28,6.37,965265
5-Sep-13,6.36,6.46,6.32,6.40,1064241
4-Sep-13,6.26,6.40,6.24,6.36,1274562
3-Sep-13,6.30,6.41,6.21,6.23,1497459
30-Aug-13,6.31,6.34,6.22,6.23,1268278
29-Aug-13,6.23,6.35,6.23,6.33,936735
28-Aug-13,6.14,6.26,6.13,6.23,1772014
27-Aug-13,6.24,6.33,6.16,6.16,2840209
26-Aug-13,6.35,6.50,6.32,6.42,1868596
23-Aug-13,6.36,6.40,6.27,6.35,738915
22-Aug-13,6.28,6.41,6.28,6.36,955496
21-Aug-13,6.35,6.39,6.27,6.28,1383559
20-Aug-13,6.26,6.42,6.23,6.36,1547983
19-Aug-13,6.33,6.35,6.20,6.22,2071313
16-Aug-13,6.22,6.35,6.22,6.28,1225360
15-Aug-13,6.33,6.40,6.24,6.26,2148655
14-Aug-13,6.45,6.50,6.38,6.41,2659224
13-Aug-13,6.45,6.49,6.39,6.45,1559679
12-Aug-13,6.31,6.49,6.31,6.47,1813583
9-Aug-13,6.56,6.58,6.40,6.45,2542053
8-Aug-13,6.60,6.62,6.51,6.53,1095727
7-Aug-13,6.49,6.56,6.45,6.54,1434139
6-Aug-13,6.74,6.75,6.42,6.53,3237539
5-Aug-13,6.56,6.75,6.53,6.72,4036047
2-Aug-13,6.60,6.62,6.43,6.53,1652187
1-Aug-13,6.63,6.67,6.58,6.63,1864508
31-Jul-13,6.60,6.66,6.51,6.60,3548631
30-Jul-13,6.29,6.61,6.29,6.59,7421258
29-Jul-13,6.90,7.14,6.79,7.01,3597762
26-Jul-13,7.00,7.05,6.88,6.90,2814012
25-Jul-13,6.98,7.13,6.96,7.08,4985200
24-Jul-13,7.06,7.10,6.95,7.01,1217755
23-Jul-13,7.08,7.14,7.01,7.04,2115497
22-Jul-13,6.98,7.10,6.97,7.07,2985343
19-Jul-13,6.84,6.99,6.83,6.98,1521577
18-Jul-13,6.73,6.89,6.72,6.88,2702464
17-Jul-13,6.70,6.77,6.67,6.73,1367188
16-Jul-13,6.75,6.79,6.66,6.70,1492198
15-Jul-13,6.73,6.77,6.69,6.72,982650
12-Jul-13,6.54,6.74,6.51,6.70,1324056
11-Jul-13,6.48,6.55,6.38,6.55,1252657
10-Jul-13,6.35,6.44,6.33,6.41,1246011
9-Jul-13,6.32,6.42,6.31,6.37,901185
8-Jul-13,6.49,6.50,6.29,6.30,1293234
5-Jul-13,6.48,6.49,6.32,6.49,1177668
3-Jul-13,6.31,6.43,6.26,6.36,700215
2-Jul-13,6.30,6.39,6.25,6.35,1155424
1-Jul-13,6.37,6.38,6.19,6.32,2611282
28-Jun-13,6.27,6.36,6.15,6.36,17771565
27-Jun-13,6.15,6.33,6.14,6.32,1792017
26-Jun-13,6.11,6.15,5.99,6.12,1584968
25-Jun-13,5.92,6.08,5.86,6.07,1198832
24-Jun-13,5.95,5.96,5.85,5.88,1585917
21-Jun-13,6.07,6.07,5.92,6.03,1482563
20-Jun-13,6.11,6.14,6.01,6.03,1216709
19-Jun-13,6.23,6.33,6.12,6.17,1634512
18-Jun-13,6.11,6.27,6.11,6.25,2139753
17-Jun-13,6.12,6.17,6.06,6.12,2283188
14-Jun-13,6.10,6.15,6.01,6.05,681560
13-Jun-13,5.94,6.15,5.88,6.14,940583
12-Jun-13,5.96,6.03,5.91,5.92,791732
11-Jun-13,6.02,6.08,5.91,5.93,716607
10-Jun-13,6.19,6.23,6.05,6.12,833787
7-Jun-13,6.17,6.27,6.12,6.24,1131864
6-Jun-13,6.06,6.16,6.02,6.13,1346282
5-Jun-13,6.05,6.10,5.99,6.05,866720
4-Jun-13,6.01,6.14,6.01,6.08,1057580
3-Jun-13,6.00,6.09,5.97,6.03,1638740
31-May-13,6.01,6.07,5.97,6.00,731268
30-May-13,5.94,6.05,5.89,6.02,637854
29-May-13,5.72,5.99,5.72,5.91,929351
28-May-13,5.94,5.99,5.88,5.89,679988
24-May-13,5.85,5.92,5.80,5.88,477284
23-May-13,5.79,5.90,5.76,5.85,1163696
22-May-13,6.02,6.07,5.82,5.86,949765
21-May-13,6.06,6.10,6.00,6.04,776406
20-May-13,6.06,6.14,6.04,6.08,564983
17-May-13,6.08,6.08,6.04,6.06,335986
16-May-13,6.07,6.12,6.02,6.02,588848
15-May-13,5.94,6.06,5.93,6.06,826350
14-May-13,5.87,5.99,5.84,5.97,797498
13-May-13,5.90,5.92,5.84,5.86,597004
10-May-13,5.84,5.92,5.81,5.91,499677
9-May-13,5.86,5.90,5.80,5.81,824964
8-May-13,5.81,5.90,5.74,5.87,726913
7-May-13,5.81,5.84,5.72,5.82,930647
6-May-13,5.75,5.85,5.72,5.77,687023
3-May-13,5.74,5.86,5.72,5.76,1540363
2-May-13,5.60,5.69,5.55,5.68,1074024
1-May-13,5.76,5.77,5.53,5.56,1769234
30-Apr-13,5.71,5.82,5.66,5.76,1449141
29-Apr-13,5.67,5.75,5.54,5.69,1997208
26-Apr-13,6.24,6.24,5.70,5.70,4593908
25-Apr-13,6.35,6.46,6.27,6.31,3041245
24-Apr-13,6.24,6.36,6.23,6.32,1447816
23-Apr-13,6.19,6.28,6.11,6.22,1502782
22-Apr-13,6.20,6.20,6.03,6.16,1676380
19-Apr-13,6.15,6.18,5.99,6.15,1531891
18-Apr-13,6.39,6.39,6.12,6.16,2296828
17-Apr-13,6.53,6.54,6.28,6.36,2734261
16-Apr-13,6.65,6.66,6.48,6.57,2269988
15-Apr-13,6.73,6.73,6.54,6.58,2446606
12-Apr-13,6.68,6.79,6.61,6.74,2343128
11-Apr-13,6.72,6.75,6.62,6.69,1119544
10-Apr-13,6.58,6.78,6.58,6.75,1519087
9-Apr-13,6.51,6.60,6.44,6.55,1152513
8-Apr-13,6.38,6.52,6.34,6.50,1809316
5-Apr-13,6.44,6.50,6.30,6.46,3049669
4-Apr-13,6.52,6.55,6.39,6.55,1014137
3-Apr-13,6.59,6.64,6.42,6.49,1543090
2-Apr-13,6.69,6.75,6.55,6.61,1870295
1-Apr-13,6.76,6.82,6.59,6.70,1299711
28-Mar-13,6.70,6.80,6.67,6.79,862312
27-Mar-13,6.64,6.75,6.54,6.74,1263529
26-Mar-13,6.67,6.70,6.63,6.66,668853
25-Mar-13,6.68,6.72,6.55,6.67,1195960
22-Mar-13,6.75,6.78,6.67,6.69,928320
21-Mar-13,6.67,6.77,6.63,6.74,1844662
20-Mar-13,6.67,6.78,6.65,6.72,1041474
19-Mar-13,6.67,6.72,6.55,6.64,749918
18-Mar-13,6.63,6.73,6.50,6.67,963330
15-Mar-13,6.85,6.88,6.70,6.74,1095607
14-Mar-13,6.74,6.86,6.74,6.85,1167412
13-Mar-13,6.69,6.78,6.64,6.74,4109141
12-Mar-13,6.74,6.75,6.65,6.70,806549
11-Mar-13,6.61,6.75,6.61,6.71,1043781
8-Mar-13,6.63,6.70,6.61,6.65,991370
7-Mar-13,6.59,6.69,6.56,6.63,1430486
6-Mar-13,6.55,6.59,6.48,6.56,2025443
5-Mar-13,6.46,6.58,6.46,6.55,1304852
4-Mar-13,6.49,6.53,6.40,6.42,1918085
1-Mar-13,6.47,6.54,6.39,6.53,1676632
28-Feb-13,6.54,6.67,6.49,6.49,2433384
27-Feb-13,6.43,6.62,6.43,6.56,1098694
26-Feb-13,6.41,6.49,6.40,6.44,1333554
25-Feb-13,6.56,6.64,6.41,6.42,1803973
22-Feb-13,6.52,6.61,6.52,6.55,1029468
21-Feb-13,6.51,6.56,6.43,6.49,1642404
20-Feb-13,6.68,6.74,6.54,6.55,2632711
19-Feb-13,6.54,6.69,6.54,6.67,1345291
15-Feb-13,6.57,6.61,6.51,6.55,1820092
14-Feb-13,6.49,6.59,6.44,6.57,1053740
13-Feb-13,6.50,6.57,6.42,6.50,1165215
12-Feb-13,6.42,6.51,6.41,6.50,2604620
11-Feb-13,6.47,6.49,6.40,6.48,2068454
8-Feb-13,6.50,6.50,6.44,6.49,1439922
7-Feb-13,6.50,6.51,6.38,6.44,1967046
6-Feb-13,6.41,6.51,6.41,6.45,1674023
5-Feb-13,6.40,6.54,6.40,6.46,2701080
4-Feb-13,6.44,6.59,6.37,6.41,3440935
1-Feb-13,6.34,6.84,6.34,6.53,8293077
31-Jan-13,5.63,5.84,5.62,5.78,2839801
30-Jan-13,5.79,5.85,5.66,5.71,2940711
29-Jan-13,5.90,5.93,5.73,5.78,1932444
28-Jan-13,5.85,5.97,5.83,5.90,3525304
25-Jan-13,5.75,5.97,5.73,5.83,4651490
24-Jan-13,5.70,5.79,5.69,5.72,2555206
23-Jan-13,5.67,5.76,5.65,5.76,1045920
22-Jan-13,5.67,5.72,5.64,5.69,776653
18-Jan-13,5.78,5.84,5.67,5.68,1182001
17-Jan-13,5.71,5.83,5.70,5.74,1854602
16-Jan-13,5.46,5.71,5.45,5.64,2479640
15-Jan-13,5.40,5.48,5.34,5.46,1371783
14-Jan-13,5.32,5.55,5.30,5.40,5346949
11-Jan-13,5.37,5.39,5.31,5.34,3288944
10-Jan-13,5.35,5.41,5.28,5.37,4275400
9-Jan-13,5.35,5.40,5.26,5.28,1342880
8-Jan-13,5.43,5.50,5.34,5.36,1499608
7-Jan-13,5.54,5.54,5.42,5.44,1365490
4-Jan-13,5.52,5.58,5.49,5.54,1398637
3-Jan-13,5.46,5.60,5.41,5.53,1379567
2-Jan-13,5.30,5.55,5.30,5.47,2646240
31-Dec-12,5.12,5.23,5.09,5.21,1304925
28-Dec-12,5.12,5.22,5.10,5.12,729983
27-Dec-12,5.16,5.19,5.09,5.17,703963
26-Dec-12,5.22,5.33,5.16,5.18,539375
24-Dec-12,5.28,5.28,5.18,5.22,419418
21-Dec-12,5.26,5.32,5.20,5.25,1668461
20-Dec-12,5.40,5.44,5.33,5.36,1026509
19-Dec-12,5.30,5.42,5.28,5.39,1208540
18-Dec-12,5.31,5.33,5.23,5.27,3763891
17-Dec-12,5.40,5.47,5.24,5.30,1645879
14-Dec-12,5.38,5.47,5.33,5.41,2843286
13-Dec-12,5.30,5.49,5.25,5.41,2754817
12-Dec-12,5.47,5.50,5.36,5.39,2915892
11-Dec-12,5.28,5.50,5.27,5.42,3565142
10-Dec-12,5.17,5.26,5.15,5.26,694672
7-Dec-12,5.21,5.22,5.11,5.17,1188844
6-Dec-12,5.11,5.22,5.09,5.19,1213445
5-Dec-12,5.25,5.28,5.10,5.12,2239546
4-Dec-12,5.17,5.27,5.09,5.23,1399836
3-Dec-12,5.19,5.23,5.11,5.18,1613985
30-Nov-12,5.16,5.24,5.11,5.15,2283161
29-Nov-12,5.03,5.19,5.02,5.16,1490826
28-Nov-12,5.02,5.08,4.91,5.02,5462199
27-Nov-12,4.94,5.09,4.91,5.03,2090035
26-Nov-12,4.89,5.03,4.87,4.99,1399166
23-Nov-12,4.87,4.94,4.84,4.90,604429
21-Nov-12,4.87,4.87,4.80,4.83,1057370
20-Nov-12,4.87,4.94,4.80,4.85,1194370
19-Nov-12,4.84,4.92,4.76,4.88,1704536
16-Nov-12,4.80,4.81,4.65,4.79,1509256
15-Nov-12,4.81,4.84,4.72,4.79,1760249
14-Nov-12,4.97,5.01,4.81,4.82,1011406
13-Nov-12,4.89,5.00,4.88,4.94,1707385
12-Nov-12,5.00,5.02,4.87,4.98,1072285
9-Nov-12,5.02,5.09,4.95,4.97,1219872
8-Nov-12,5.10,5.16,4.99,5.00,2109815
7-Nov-12,5.06,5.11,5.01,5.10,2151941
6-Nov-12,5.05,5.19,5.05,5.12,1465613
5-Nov-12,4.89,5.08,4.74,5.05,1975938
2-Nov-12,4.87,5.20,4.87,4.94,2483785
1-Nov-12,4.70,4.95,4.63,4.92,2846157
31-Oct-12,4.92,4.96,4.68,4.69,3144714
26-Oct-12,4.76,5.00,4.72,4.89,4625285
25-Oct-12,4.78,4.85,4.71,4.73,4148050
24-Oct-12,4.98,5.01,4.72,4.75,2879194
23-Oct-12,4.78,4.95,4.71,4.94,3846052
22-Oct-12,4.88,4.95,4.80,4.84,2370090
19-Oct-12,5.05,5.06,4.82,4.87,3222265
18-Oct-12,5.20,5.22,5.01,5.05,2489954
17-Oct-12,5.23,5.28,5.14,5.22,2273935
16-Oct-12,5.09,5.29,5.08,5.26,1978085
15-Oct-12,5.05,5.09,4.96,5.05,2470295
12-Oct-12,5.07,5.11,4.96,5.02,1866328
11-Oct-12,5.15,5.16,5.05,5.06,1324178
10-Oct-12,5.20,5.22,5.04,5.10,2680187
9-Oct-12,5.31,5.47,5.14,5.22,1680655
8-Oct-12,5.44,5.52,5.30,5.33,1710429
5-Oct-12,5.48,5.58,5.40,5.44,2958923
4-Oct-12,5.50,5.54,5.38,5.44,3808821
3-Oct-12,5.64,5.67,5.42,5.48,12443139
2-Oct-12,5.66,5.68,5.55,5.64,1916199
1-Oct-12,5.64,5.77,5.49,5.60,3731438
28-Sep-12,5.69,5.86,5.60,5.60,4007313
27-Sep-12,5.68,5.82,5.64,5.74,4001627
