Date,Open,High,Low,Close,Volume
31-Dec-13,14.51,14.90,14.19,14.69,14942
30-Dec-13,14.51,14.75,14.51,14.52,4761
27-Dec-13,14.33,14.61,14.33,14.52,1149
26-Dec-13,14.50,14.62,14.35,14.54,2697
24-Dec-13,14.47,14.47,14.31,14.46,2564
23-Dec-13,14.32,14.52,14.05,14.43,10851
20-Dec-13,14.06,14.33,14.06,14.20,10912
19-Dec-13,14.15,14.35,14.05,14.23,37872
18-Dec-13,14.26,14.50,14.05,14.05,8001
17-Dec-13,14.32,14.43,14.16,14.17,4285
16-Dec-13,14.03,14.50,14.00,14.23,18260
13-Dec-13,14.00,14.40,14.00,14.33,36060
12-Dec-13,14.25,14.49,14.00,14.00,22024
11-Dec-13,14.25,14.38,14.03,14.22,19309
10-Dec-13,14.15,14.50,13.84,14.18,16786
9-Dec-13,14.05,14.35,14.05,14.15,10970
6-Dec-13,14.00,14.15,13.95,14.07,19454
5-Dec-13,13.75,13.99,13.75,13.95,12457
4-Dec-13,13.93,13.93,13.49,13.75,18936
3-Dec-13,13.76,13.84,13.60,13.75,5220
2-Dec-13,13.83,13.83,13.57,13.73,1713
29-Nov-13,13.88,13.95,13.75,13.75,646
27-Nov-13,13.74,13.95,13.50,13.70,6259
26-Nov-13,13.75,13.97,13.52,13.63,6596
25-Nov-13,13.92,13.99,13.78,13.84,9967
22-Nov-13,13.66,14.00,13.60,13.82,4972
21-Nov-13,13.41,13.63,13.17,13.58,3381
20-Nov-13,13.48,13.69,13.25,13.34,6533
19-Nov-13,13.43,13.74,13.21,13.42,11281
18-Nov-13,13.55,13.70,13.32,13.35,6709
15-Nov-13,13.94,13.95,13.21,13.62,4877
14-Nov-13,13.44,13.85,13.36,13.85,4411
13-Nov-13,13.16,13.68,13.00,13.68,28723
12-Nov-13,13.99,13.99,13.00,13.38,24512
11-Nov-13,14.26,14.39,13.63,13.93,6830
8-Nov-13,14.09,14.52,13.90,13.95,11283
7-Nov-13,14.52,14.78,13.85,14.03,12736
6-Nov-13,14.45,14.68,14.17,14.48,18313
5-Nov-13,14.65,14.78,14.50,14.63,9828
4-Nov-13,14.27,14.82,14.26,14.65,27091
1-Nov-13,13.99,14.30,13.95,14.25,21037
31-Oct-13,14.01,14.01,13.76,13.99,5930
30-Oct-13,14.07,14.10,13.99,14.09,15349
29-Oct-13,13.70,14.20,13.66,14.01,16583
28-Oct-13,13.10,13.62,12.00,13.51,38058
25-Oct-13,13.15,13.15,12.91,13.06,3269
24-Oct-13,13.25,13.25,13.10,13.14,8971
23-Oct-13,13.33,13.33,13.07,13.24,6905
22-Oct-13,13.12,13.29,13.12,13.28,5770
21-Oct-13,13.21,13.24,13.10,13.11,4038
18-Oct-13,13.21,13.30,13.04,13.18,9787
17-Oct-13,13.16,13.32,13.11,13.18,5058
16-Oct-13,13.10,13.22,13.10,13.16,5256
15-Oct-13,13.07,13.26,13.00,13.11,22799
14-Oct-13,13.10,13.24,13.04,13.10,22130
11-Oct-13,13.19,13.23,13.01,13.15,15763
10-Oct-13,13.08,13.29,12.96,13.14,51780
9-Oct-13,13.09,13.21,12.98,13.01,9403
8-Oct-13,13.09,13.22,12.94,13.22,12845
7-Oct-13,13.08,13.22,12.94,13.20,22211
4-Oct-13,12.94,13.33,12.92,13.23,24490
3-Oct-13,13.11,13.26,12.90,13.04,55535
2-Oct-13,12.95,13.33,12.88,13.28,23672
1-Oct-13,12.98,13.28,12.90,13.04,25093
30-Sep-13,13.26,13.30,12.98,13.25,12495
27-Sep-13,13.13,13.28,12.95,13.27,29762
26-Sep-13,13.20,13.27,13.19,13.19,3866
25-Sep-13,13.07,13.25,13.07,13.12,5793
24-Sep-13,13.10,13.25,13.03,13.07,5299
23-Sep-13,13.00,13.14,12.87,13.10,14795
20-Sep-13,12.94,13.15,12.77,12.97,23075
19-Sep-13,13.13,13.18,12.87,12.91,10847
