Date,Open,High,Low,Close,Volume
31-Dec-13,3.16,3.27,3.09,3.17,17777
30-Dec-13,3.41,3.49,3.12,3.18,65697
27-Dec-13,3.40,3.40,3.34,3.38,32963
26-Dec-13,3.36,3.50,3.36,3.40,48445
24-Dec-13,3.35,3.35,3.25,3.34,8828
23-Dec-13,3.65,3.65,3.22,3.28,69674
20-Dec-13,3.60,3.60,3.51,3.55,37056
19-Dec-13,3.60,3.70,3.52,3.61,63224
18-Dec-13,3.63,3.74,3.63,3.70,42043
17-Dec-13,3.63,3.74,3.62,3.64,32718
16-Dec-13,3.79,3.80,3.68,3.69,28257
13-Dec-13,3.65,3.80,3.65,3.80,20304
12-Dec-13,3.65,3.83,3.60,3.64,70992
11-Dec-13,3.74,3.82,3.74,3.77,68432
10-Dec-13,3.85,3.85,3.65,3.85,67570
9-Dec-13,3.79,4.00,3.76,3.77,84869
6-Dec-13,3.86,3.88,3.74,3.74,56133
5-Dec-13,4.10,4.10,3.65,3.82,136734
4-Dec-13,3.76,4.00,3.63,3.97,227234
3-Dec-13,3.70,3.71,3.55,3.67,73005
2-Dec-13,3.34,3.75,3.30,3.68,198008
29-Nov-13,3.09,3.25,3.07,3.25,66298
27-Nov-13,2.88,3.09,2.86,3.09,77383
26-Nov-13,2.88,3.00,2.86,2.94,60647
25-Nov-13,3.00,3.00,2.88,3.00,59340
22-Nov-13,3.00,3.09,2.96,3.06,74075
21-Nov-13,3.02,3.10,2.97,3.09,100175
20-Nov-13,2.99,3.08,2.77,3.05,89212
19-Nov-13,2.81,3.00,2.57,3.00,104612
18-Nov-13,2.70,2.85,2.70,2.83,80112
15-Nov-13,2.90,2.90,2.32,2.64,367561
14-Nov-13,3.01,3.08,2.90,2.90,88910
13-Nov-13,3.00,3.14,2.99,3.09,90046
12-Nov-13,3.00,3.09,2.87,3.00,55741
11-Nov-13,3.00,3.15,2.95,2.99,65356
8-Nov-13,2.87,3.10,2.86,3.09,75538
7-Nov-13,3.05,3.10,2.82,2.92,78187
6-Nov-13,3.11,3.15,2.92,3.04,154581
5-Nov-13,2.76,3.10,2.76,3.09,170002
4-Nov-13,2.76,2.85,2.76,2.80,45855
1-Nov-13,2.80,2.95,2.78,2.85,80556
31-Oct-13,2.85,2.85,2.75,2.75,43660
30-Oct-13,2.88,2.95,2.62,2.80,91033
29-Oct-13,2.81,2.87,2.60,2.85,86892
28-Oct-13,2.38,2.94,2.30,2.58,205499
25-Oct-13,2.35,2.38,2.30,2.35,45228
24-Oct-13,2.47,2.47,2.27,2.28,67564
23-Oct-13,2.52,2.62,2.45,2.49,50031
22-Oct-13,2.49,2.60,2.45,2.52,50122
21-Oct-13,2.80,2.80,2.50,2.50,47100
18-Oct-13,2.63,2.65,2.50,2.64,40986
17-Oct-13,2.54,2.65,2.50,2.63,28742
16-Oct-13,2.67,2.67,2.43,2.57,158917
15-Oct-13,2.43,2.87,2.40,2.68,384852
14-Oct-13,2.15,2.46,2.14,2.39,182890
11-Oct-13,1.99,2.10,1.93,2.10,116083
10-Oct-13,2.03,2.03,1.92,1.92,15027
9-Oct-13,1.97,2.08,1.91,2.02,37325
8-Oct-13,2.08,2.10,2.00,2.00,43084
7-Oct-13,1.84,2.10,1.84,2.00,43984
4-Oct-13,2.01,2.10,1.80,1.81,72833
3-Oct-13,2.00,2.10,1.75,1.96,65208
2-Oct-13,1.98,2.14,1.97,2.03,86337
1-Oct-13,2.15,2.15,1.90,1.90,103993
30-Sep-13,2.34,2.40,1.89,2.03,168453
27-Sep-13,1.52,2.40,1.49,2.38,450290
26-Sep-13,1.50,1.52,1.49,1.49,32830
25-Sep-13,1.46,1.55,1.46,1.49,12800
24-Sep-13,1.60,1.60,1.46,1.46,15500
23-Sep-13,1.55,1.62,1.50,1.52,43852
20-Sep-13,1.51,1.56,1.47,1.50,12376
19-Sep-13,1.53,1.55,1.49,1.49,31837
18-Sep-13,1.62,1.63,1.51,1.55,29994
17-Sep-13,1.59,1.61,1.50,1.59,24101
16-Sep-13,1.55,1.68,1.51,1.52,37043
13-Sep-13,1.50,1.70,1.50,1.50,66845
12-Sep-13,1.49,1.49,1.43,1.44,12194
11-Sep-13,1.46,1.49,1.45,1.46,18279
10-Sep-13,1.47,1.60,1.47,1.49,39947
9-Sep-13,1.51,1.61,1.49,1.60,20865
6-Sep-13,1.56,1.66,1.51,1.52,24198
5-Sep-13,1.48,1.56,1.46,1.56,16347
4-Sep-13,1.51,1.56,1.51,1.53,8576
3-Sep-13,1.53,1.56,1.50,1.55,21677
30-Aug-13,1.77,1.77,1.48,1.48,31574
29-Aug-13,1.49,1.77,1.47,1.69,31531
28-Aug-13,1.49,1.50,1.47,1.47,9580
27-Aug-13,1.45,1.47,1.40,1.47,22391
26-Aug-13,1.45,1.50,1.45,1.49,17920
23-Aug-13,1.50,1.50,1.40,1.49,24678
22-Aug-13,1.49,1.74,1.46,1.50,9498
21-Aug-13,1.50,1.51,1.45,1.48,16000
20-Aug-13,1.53,1.53,1.41,1.49,36800
19-Aug-13,1.66,1.66,1.57,1.57,20117
16-Aug-13,1.80,1.82,1.69,1.69,17371
15-Aug-13,1.69,1.75,1.67,1.75,30329
14-Aug-13,1.71,1.71,1.65,1.70,16850
13-Aug-13,1.74,1.75,1.67,1.71,23802
12-Aug-13,1.78,1.80,1.67,1.67,23380
9-Aug-13,1.62,1.78,1.62,1.78,62163
8-Aug-13,1.74,1.76,1.36,1.62,77831
7-Aug-13,1.35,1.50,1.31,1.50,43870
6-Aug-13,1.70,1.74,1.36,1.48,18591
5-Aug-13,1.66,1.79,1.60,1.75,43838
2-Aug-13,1.70,1.85,1.69,1.83,29612
1-Aug-13,1.87,1.87,1.65,1.77,27973
31-Jul-13,1.50,1.73,1.32,1.73,50285
30-Jul-13,1.75,1.75,1.53,1.53,10477
29-Jul-13,1.90,1.90,1.64,1.69,17043
26-Jul-13,2.00,2.02,1.87,1.90,23210
25-Jul-13,2.18,2.20,2.00,2.05,32180
24-Jul-13,2.29,2.35,2.19,2.19,22082
23-Jul-13,2.50,2.50,2.31,2.44,26664
22-Jul-13,2.61,2.71,2.52,2.52,16750
19-Jul-13,2.81,2.81,2.57,2.57,8606
18-Jul-13,2.59,2.94,2.55,2.90,15791
17-Jul-13,3.00,3.00,2.75,2.98,21494
16-Jul-13,3.00,3.05,2.94,3.05,15080
15-Jul-13,3.00,3.07,2.92,3.07,26160
12-Jul-13,3.08,3.24,2.99,3.00,28051
11-Jul-13,3.05,3.25,2.96,3.08,36158
10-Jul-13,3.40,3.49,2.92,3.00,79804
9-Jul-13,3.24,3.63,3.24,3.49,17046
8-Jul-13,3.32,3.50,3.20,3.20,167371
5-Jul-13,3.70,3.70,3.55,3.67,7171
3-Jul-13,3.35,3.64,3.35,3.64,21713
2-Jul-13,3.88,3.88,3.50,3.84,36261
1-Jul-13,4.20,4.20,3.30,3.89,31933
28-Jun-13,3.45,4.20,3.31,4.20,16613
