Date,Open,High,Low,Close,Volume
31-Dec-13,32.81,32.97,32.50,32.53,90631
30-Dec-13,32.87,33.01,32.68,32.71,39545
27-Dec-13,33.17,33.19,32.74,32.95,80162
26-Dec-13,33.25,33.25,32.84,33.03,68491
24-Dec-13,33.18,33.36,32.97,33.03,50883
23-Dec-13,32.45,33.25,32.19,33.25,192986
20-Dec-13,31.57,32.41,31.51,32.20,625706
19-Dec-13,31.52,31.74,31.41,31.42,123288
18-Dec-13,31.15,31.65,30.79,31.64,156954
17-Dec-13,31.37,31.48,30.89,31.03,147697
16-Dec-13,30.60,31.42,30.40,31.39,236684
13-Dec-13,31.02,31.03,30.52,30.54,135036
12-Dec-13,31.06,31.51,30.82,30.93,105135
11-Dec-13,31.26,31.35,30.86,31.00,238951
10-Dec-13,31.43,31.58,30.95,31.15,113035
9-Dec-13,32.04,32.22,31.41,31.57,151554
6-Dec-13,31.70,32.32,31.41,31.93,118112
5-Dec-13,31.50,31.60,31.20,31.44,92688
4-Dec-13,31.61,32.08,31.34,31.51,86985
3-Dec-13,32.18,32.32,31.64,31.67,158093
2-Dec-13,32.57,32.71,32.01,32.18,105671
29-Nov-13,32.79,32.79,32.41,32.55,64022
27-Nov-13,32.50,32.68,32.27,32.59,105689
26-Nov-13,32.71,32.71,32.30,32.44,128256
25-Nov-13,32.58,32.94,32.44,32.67,59803
22-Nov-13,32.12,32.59,31.80,32.45,83251
21-Nov-13,31.45,32.15,31.45,32.14,107923
20-Nov-13,31.57,31.58,31.17,31.30,87583
19-Nov-13,31.58,31.90,31.28,31.44,103075
18-Nov-13,31.78,31.99,31.43,31.66,45114
15-Nov-13,31.94,32.01,31.47,31.62,112478
14-Nov-13,31.91,32.14,31.48,31.99,129198
13-Nov-13,31.47,32.03,31.22,32.00,341043
12-Nov-13,31.67,32.00,31.29,31.64,293418
11-Nov-13,32.31,32.31,31.61,31.70,314885
8-Nov-13,31.00,32.45,30.25,32.27,120408
7-Nov-13,31.48,31.51,30.92,31.02,99711
6-Nov-13,31.57,31.57,31.15,31.35,46362
5-Nov-13,31.26,31.49,30.00,31.38,92230
4-Nov-13,31.22,31.52,30.83,31.43,100246
1-Nov-13,30.90,31.38,30.46,31.01,210065
31-Oct-13,31.02,31.34,30.89,31.00,112265
30-Oct-13,31.41,31.62,30.96,31.04,104670
29-Oct-13,31.37,31.49,31.03,31.49,43484
28-Oct-13,31.13,31.47,31.00,31.38,96465
25-Oct-13,31.37,31.56,30.56,31.21,63295
24-Oct-13,31.36,31.45,31.08,31.26,46724
23-Oct-13,31.09,31.40,30.87,31.34,146456
22-Oct-13,31.02,31.24,30.87,31.16,102441
21-Oct-13,31.18,31.25,30.96,31.00,91943
18-Oct-13,31.76,31.82,31.09,31.21,179367
17-Oct-13,30.70,31.42,30.50,31.41,219432
16-Oct-13,31.71,31.96,30.51,31.21,160478
15-Oct-13,31.68,31.97,31.53,31.62,176306
14-Oct-13,31.44,31.90,31.16,31.83,75960
11-Oct-13,30.61,31.93,30.61,31.85,125518
10-Oct-13,30.24,30.86,30.22,30.78,83016
9-Oct-13,29.76,30.16,29.75,29.91,102489
8-Oct-13,29.97,29.97,29.48,29.74,125825
7-Oct-13,29.98,29.98,29.75,29.95,55287
4-Oct-13,30.11,30.46,30.11,30.18,98081
3-Oct-13,30.25,30.44,29.93,30.19,80499
2-Oct-13,30.42,30.42,30.03,30.25,125268
