Date,Open,High,Low,Close,Volume
31-Dec-13,58.02,58.29,57.81,58.14,172919
30-Dec-13,57.90,58.06,57.55,57.98,152669
27-Dec-13,58.26,58.60,57.53,58.01,174491
26-Dec-13,58.23,58.44,57.95,58.06,213052
24-Dec-13,57.50,58.34,57.50,58.02,88192
23-Dec-13,57.35,57.53,57.00,57.52,163653
20-Dec-13,56.29,57.40,55.85,57.10,462979
19-Dec-13,57.20,57.65,56.02,56.03,165712
18-Dec-13,56.38,57.50,55.96,57.44,135598
17-Dec-13,56.24,56.40,55.94,56.29,139837
16-Dec-13,56.14,56.66,55.84,56.49,169398
13-Dec-13,56.11,56.46,55.67,56.04,225052
12-Dec-13,55.88,56.03,55.51,55.91,169587
11-Dec-13,56.22,56.22,55.49,55.83,200028
10-Dec-13,56.19,56.73,55.97,56.04,166806
9-Dec-13,55.54,56.24,55.31,56.19,169562
6-Dec-13,55.62,55.69,54.62,55.52,240627
5-Dec-13,54.73,55.21,54.40,54.94,104461
4-Dec-13,54.84,55.49,54.26,54.80,140482
3-Dec-13,54.99,55.31,54.39,54.99,180491
2-Dec-13,56.11,56.12,55.03,55.22,237152
29-Nov-13,56.73,56.97,55.96,56.04,74018
27-Nov-13,56.00,56.62,55.85,56.46,179458
26-Nov-13,55.50,56.66,55.31,55.98,205699
25-Nov-13,55.43,55.74,55.28,55.51,138547
22-Nov-13,55.18,55.50,54.79,55.43,101603
21-Nov-13,54.83,55.29,54.58,55.06,110441
20-Nov-13,54.74,54.92,54.45,54.55,127899
19-Nov-13,54.57,54.99,54.20,54.55,110778
18-Nov-13,54.67,55.00,54.27,54.45,192413
15-Nov-13,54.01,54.63,53.51,54.62,271238
14-Nov-13,54.51,54.56,53.79,54.10,199115
13-Nov-13,53.97,54.55,53.38,54.52,208355
12-Nov-13,54.00,54.40,53.50,54.20,221130
11-Nov-13,53.75,54.32,53.35,54.13,155300
8-Nov-13,52.92,53.79,52.92,53.70,404527
7-Nov-13,54.54,54.81,52.80,53.09,271404
6-Nov-13,54.95,54.95,54.16,54.31,141044
5-Nov-13,54.61,55.23,54.44,54.52,207162
4-Nov-13,54.61,55.10,54.24,54.95,311959
1-Nov-13,54.29,54.78,53.91,54.15,268224
31-Oct-13,54.72,55.03,54.33,54.38,173070
30-Oct-13,55.46,56.01,54.74,54.77,194191
29-Oct-13,55.45,55.85,55.21,55.45,119349
28-Oct-13,55.08,55.36,54.83,55.35,126503
25-Oct-13,55.30,55.47,54.91,55.17,142763
24-Oct-13,54.12,55.30,54.12,55.02,235310
23-Oct-13,52.83,54.23,52.52,54.16,247530
22-Oct-13,53.07,53.54,52.51,53.20,202845
21-Oct-13,53.44,53.81,52.69,53.05,271641
18-Oct-13,52.70,53.58,52.11,53.53,391785
17-Oct-13,52.61,53.63,50.58,52.77,799754
16-Oct-13,55.16,55.68,54.65,54.83,191946
15-Oct-13,54.81,54.95,54.35,54.82,175891
14-Oct-13,54.78,55.32,54.75,55.06,135865
11-Oct-13,53.65,55.20,53.65,55.18,124350
10-Oct-13,53.69,53.86,53.09,53.79,122116
9-Oct-13,53.13,53.43,52.88,52.89,168262
8-Oct-13,54.28,54.38,52.99,53.02,193560
7-Oct-13,54.60,54.74,54.16,54.22,208598
4-Oct-13,54.47,55.16,54.47,55.03,156772
3-Oct-13,55.63,56.26,54.28,54.57,230845
2-Oct-13,55.78,55.88,55.38,55.62,166728
1-Oct-13,56.02,56.58,55.90,56.09,258516
30-Sep-13,55.79,56.47,55.64,56.07,199476
27-Sep-13,56.04,56.51,56.04,56.25,148511
26-Sep-13,56.64,56.96,56.16,56.54,317744
25-Sep-13,56.76,57.01,56.32,56.48,149836
24-Sep-13,57.12,57.23,56.70,56.79,161259
23-Sep-13,56.86,57.39,56.38,57.22,148812
20-Sep-13,58.79,58.87,56.98,57.00,398933
19-Sep-13,57.60,58.48,57.51,58.39,192759
18-Sep-13,56.13,57.78,56.13,57.63,238388
17-Sep-13,55.48,56.15,55.48,56.12,131745
16-Sep-13,55.98,56.02,55.17,55.44,123065
13-Sep-13,55.05,55.57,54.68,55.17,138273
12-Sep-13,54.94,55.27,54.73,54.77,91405
11-Sep-13,54.71,55.42,54.71,55.17,106263
10-Sep-13,54.26,55.00,54.24,54.98,75134
9-Sep-13,53.11,54.08,53.08,54.08,95655
6-Sep-13,53.70,53.70,52.97,53.22,90026
5-Sep-13,53.10,53.48,53.10,53.31,101438
4-Sep-13,52.62,53.21,52.62,53.16,255466
3-Sep-13,52.64,52.86,51.76,52.61,148729
30-Aug-13,52.81,52.81,51.88,52.09,124301
29-Aug-13,52.42,53.11,52.24,52.98,129285
28-Aug-13,52.68,52.84,52.25,52.45,109926
27-Aug-13,53.25,53.82,52.59,52.70,153484
26-Aug-13,53.85,54.15,53.62,53.83,94377
23-Aug-13,53.79,53.89,53.43,53.83,69420
22-Aug-13,53.30,53.85,53.30,53.75,67228
21-Aug-13,53.20,53.66,53.20,53.20,101708
20-Aug-13,53.07,53.66,53.05,53.36,87168
19-Aug-13,52.14,53.24,52.14,52.97,155857
16-Aug-13,52.15,52.60,52.11,52.16,91137
15-Aug-13,53.54,53.93,52.18,52.21,231991
14-Aug-13,53.96,54.13,53.77,53.99,216234
13-Aug-13,53.49,54.19,53.32,54.01,105800
12-Aug-13,53.09,53.60,52.64,53.57,91306
9-Aug-13,53.57,53.90,53.20,53.54,114433
8-Aug-13,54.17,54.17,53.65,53.67,89279
7-Aug-13,54.45,54.68,53.78,53.80,155711
6-Aug-13,54.70,54.92,54.39,54.71,200852
5-Aug-13,54.19,55.30,54.19,54.93,158542
2-Aug-13,53.56,54.57,53.54,54.45,380363
1-Aug-13,53.30,54.21,53.04,53.89,261000
31-Jul-13,52.95,53.35,52.72,52.78,165352
30-Jul-13,52.86,53.00,52.56,52.91,165403
29-Jul-13,53.10,53.47,52.63,52.68,201614
26-Jul-13,52.21,52.91,52.21,52.87,242948
25-Jul-13,51.99,52.75,51.88,52.67,232265
24-Jul-13,52.37,52.62,51.96,52.22,390473
23-Jul-13,52.56,52.56,52.04,52.19,508954
22-Jul-13,52.41,53.18,52.36,52.51,312249
19-Jul-13,53.33,53.87,52.40,52.69,230143
18-Jul-13,53.33,54.38,53.02,53.30,312785
17-Jul-13,54.20,54.20,52.06,53.44,396268
16-Jul-13,54.41,54.59,53.58,53.63,250550
15-Jul-13,54.86,55.10,54.44,54.53,210514
12-Jul-13,55.03,55.27,54.74,54.87,136323
11-Jul-13,55.00,55.06,54.61,54.92,118571
10-Jul-13,54.24,54.57,54.10,54.34,213386
9-Jul-13,54.23,54.32,54.01,54.27,159879
8-Jul-13,54.28,54.44,53.78,54.00,140439
5-Jul-13,54.51,54.63,53.66,53.99,185555
3-Jul-13,53.45,54.09,53.28,53.65,132383
2-Jul-13,53.67,54.21,53.39,53.84,205353
1-Jul-13,52.92,53.99,52.58,53.63,251756
28-Jun-13,52.10,52.85,51.85,52.41,607773
27-Jun-13,51.88,52.67,51.81,52.15,143661
26-Jun-13,52.19,53.12,51.67,51.71,209790
25-Jun-13,51.68,52.59,50.92,51.92,345959
24-Jun-13,50.68,51.69,50.37,51.31,396174
21-Jun-13,50.75,51.42,50.00,51.29,464272
20-Jun-13,50.80,51.20,50.19,50.56,321562
19-Jun-13,51.00,52.79,50.95,51.57,918345
18-Jun-13,53.49,54.88,53.35,54.72,134792
17-Jun-13,53.35,53.98,52.86,53.35,161475
14-Jun-13,53.53,53.96,53.07,53.09,126561
13-Jun-13,52.72,53.61,52.43,53.55,158148
12-Jun-13,53.36,53.36,52.57,52.68,194941
11-Jun-13,52.97,53.33,52.56,52.91,153455
10-Jun-13,53.35,53.65,53.05,53.64,244224
7-Jun-13,52.85,53.85,52.13,53.26,268776
6-Jun-13,50.52,52.45,50.04,52.44,334890
5-Jun-13,50.58,50.92,50.42,50.43,214612
4-Jun-13,51.16,51.57,50.44,50.75,295213
3-Jun-13,51.51,52.11,50.58,51.25,292207
31-May-13,51.64,52.26,51.42,51.45,156665
30-May-13,51.99,52.28,51.89,52.06,49777
29-May-13,52.41,52.59,51.63,51.82,147965
28-May-13,52.12,53.05,52.12,52.99,191590
24-May-13,51.86,52.00,51.39,51.69,92000
23-May-13,51.51,52.52,51.07,52.26,194751
22-May-13,52.82,53.78,51.73,52.05,239052
21-May-13,52.56,53.22,52.38,52.92,218142
20-May-13,52.67,53.14,52.46,52.65,176951
17-May-13,52.57,53.02,52.46,53.01,262508
16-May-13,52.35,53.07,52.35,52.52,198882
15-May-13,52.79,53.06,52.58,52.64,218557
14-May-13,51.51,53.04,51.47,52.86,302278
