Date,Open,High,Low,Close,Volume
31-Dec-13,52.36,53.32,52.27,52.84,433711
30-Dec-13,51.63,52.61,51.08,52.41,398212
27-Dec-13,52.19,52.23,51.36,51.63,359055
26-Dec-13,52.04,52.45,51.94,51.97,468797
24-Dec-13,51.00,52.17,50.88,51.94,230207
23-Dec-13,51.95,52.22,50.69,50.90,801138
20-Dec-13,50.56,52.05,49.88,51.57,1660359
19-Dec-13,51.60,52.11,50.64,50.78,830233
18-Dec-13,51.56,52.18,51.22,52.04,861548
17-Dec-13,51.77,52.11,51.41,51.99,629931
16-Dec-13,52.40,53.07,51.67,51.78,585038
13-Dec-13,52.99,53.33,52.19,52.20,482775
12-Dec-13,52.37,53.12,52.04,52.70,602050
11-Dec-13,52.72,53.20,52.00,52.17,507251
10-Dec-13,53.50,54.03,52.23,52.70,668411
9-Dec-13,53.96,54.16,53.45,53.70,553824
6-Dec-13,54.11,54.43,53.55,53.98,502934
5-Dec-13,53.96,54.31,53.27,53.78,398443
4-Dec-13,54.45,54.60,53.00,54.11,604675
3-Dec-13,55.55,55.86,54.40,54.90,493369
2-Dec-13,58.29,58.74,55.35,55.89,592969
29-Nov-13,58.36,58.84,57.71,58.40,147234
27-Nov-13,57.58,58.24,57.09,58.02,281459
26-Nov-13,57.35,58.14,57.02,57.69,398818
25-Nov-13,58.27,58.27,57.04,57.10,337773
22-Nov-13,57.45,57.87,56.66,57.79,424261
21-Nov-13,55.35,57.68,55.02,57.51,571348
20-Nov-13,54.87,56.16,54.44,54.93,479649
19-Nov-13,55.46,55.77,54.84,54.94,454907
18-Nov-13,56.73,57.50,55.45,55.56,323059
15-Nov-13,56.53,56.83,56.06,56.76,697200
14-Nov-13,56.85,57.32,56.30,56.60,515052
13-Nov-13,56.72,56.98,56.05,56.85,661470
12-Nov-13,57.20,57.49,56.90,56.98,353887
11-Nov-13,57.32,57.75,56.92,57.17,460053
8-Nov-13,57.32,57.80,56.44,57.30,445088
7-Nov-13,58.26,58.70,57.27,57.40,558956
6-Nov-13,58.98,59.56,58.11,58.17,273904
5-Nov-13,58.52,59.95,58.50,58.54,617424
4-Nov-13,59.34,60.03,58.87,58.97,669645
1-Nov-13,59.24,59.84,58.87,59.02,514642
31-Oct-13,63.00,63.24,57.53,59.45,1520325
30-Oct-13,63.53,63.96,62.25,62.94,394291
29-Oct-13,62.16,63.56,61.42,63.37,414659
28-Oct-13,61.14,62.23,60.74,62.22,293352
25-Oct-13,61.64,61.77,60.73,61.17,202695
24-Oct-13,61.28,62.08,61.23,61.65,251651
23-Oct-13,61.29,61.74,60.62,61.18,209934
22-Oct-13,62.39,62.40,61.05,61.65,291694
21-Oct-13,62.34,62.39,61.76,62.00,402955
18-Oct-13,61.42,62.16,61.02,62.13,450512
17-Oct-13,59.89,61.03,59.89,60.84,424383
16-Oct-13,59.45,60.29,59.45,60.18,403518
15-Oct-13,60.55,60.80,59.14,59.19,407771
14-Oct-13,58.81,60.70,58.50,60.54,440285
11-Oct-13,58.34,59.75,57.79,59.10,383669
10-Oct-13,57.53,58.48,57.44,58.36,364460
9-Oct-13,57.03,57.45,56.20,56.79,399066
8-Oct-13,58.61,58.79,56.42,56.73,556005
7-Oct-13,58.52,58.73,58.01,58.50,353944
4-Oct-13,58.72,59.59,58.54,58.77,384906
3-Oct-13,59.59,59.92,58.18,58.86,442440
2-Oct-13,60.39,60.42,59.11,59.59,548624
1-Oct-13,60.00,61.16,59.72,61.02,397030
30-Sep-13,58.63,60.00,58.61,59.93,485972
27-Sep-13,60.47,60.84,59.41,59.59,331724
26-Sep-13,60.47,61.60,60.30,61.23,450417
25-Sep-13,60.02,60.82,59.31,60.24,440803
24-Sep-13,59.03,60.58,58.20,59.81,335293
23-Sep-13,59.00,59.48,58.17,59.17,354592
20-Sep-13,59.22,59.57,58.53,59.09,486090
19-Sep-13,58.97,59.94,58.69,59.52,335139
18-Sep-13,59.24,59.31,58.15,58.63,327310
