Date,Open,High,Low,Close,Volume
31-Dec-13,23.35,23.71,23.25,23.42,176531
30-Dec-13,24.03,24.05,23.26,23.34,128701
27-Dec-13,23.93,24.11,23.45,23.97,151133
26-Dec-13,23.90,23.96,23.45,23.82,118017
24-Dec-13,23.69,23.92,23.56,23.81,49138
23-Dec-13,23.25,23.66,23.13,23.62,162173
20-Dec-13,22.88,23.28,22.63,23.05,375294
19-Dec-13,22.19,23.04,22.09,22.77,192727
18-Dec-13,22.04,22.34,21.70,22.26,136109
17-Dec-13,22.18,22.20,21.75,22.07,124559
16-Dec-13,22.14,22.44,22.05,22.24,114916
13-Dec-13,22.33,22.49,21.95,22.11,92660
12-Dec-13,22.62,22.65,22.16,22.22,91944
11-Dec-13,22.66,22.97,22.52,22.66,394765
10-Dec-13,22.49,22.75,22.39,22.65,220734
9-Dec-13,23.05,23.23,22.11,22.47,232193
6-Dec-13,22.80,23.27,22.80,22.95,252083
5-Dec-13,21.58,23.73,21.52,22.48,531741
4-Dec-13,20.85,21.60,20.21,21.51,312612
3-Dec-13,21.15,21.24,20.81,20.87,133557
2-Dec-13,21.65,21.65,21.15,21.27,194463
29-Nov-13,20.46,21.90,20.02,21.68,197493
27-Nov-13,20.40,20.63,20.00,20.34,351032
26-Nov-13,20.29,20.46,20.06,20.33,182225
25-Nov-13,20.36,20.49,20.16,20.27,165916
22-Nov-13,20.43,20.43,20.09,20.36,83747
21-Nov-13,20.00,20.52,19.84,20.45,279265
20-Nov-13,19.74,20.05,19.33,19.96,295956
19-Nov-13,19.37,19.84,19.30,19.69,124624
18-Nov-13,19.86,20.00,19.29,19.43,134636
15-Nov-13,19.74,19.89,19.58,19.80,185560
14-Nov-13,20.02,20.17,19.66,19.77,101901
13-Nov-13,19.97,20.42,19.80,20.08,412337
12-Nov-13,19.79,20.25,19.78,20.07,236500
11-Nov-13,20.32,20.41,19.23,19.82,250663
8-Nov-13,19.42,20.90,18.86,20.57,306091
7-Nov-13,19.50,20.05,18.18,19.68,567119
6-Nov-13,18.12,18.26,17.68,17.83,224610
5-Nov-13,17.47,18.16,17.35,17.92,132273
4-Nov-13,17.43,17.72,17.25,17.53,585475
1-Nov-13,18.03,18.20,17.35,17.43,394913
31-Oct-13,18.62,18.62,17.77,18.09,277981
30-Oct-13,19.10,19.15,18.48,18.71,131191
29-Oct-13,19.30,19.33,18.66,19.15,255730
28-Oct-13,19.62,19.73,19.18,19.29,80520
25-Oct-13,19.89,19.91,19.29,19.60,100880
24-Oct-13,19.38,19.91,19.29,19.80,75692
23-Oct-13,19.76,19.77,19.31,19.41,103739
22-Oct-13,20.16,20.25,19.69,19.89,102147
21-Oct-13,20.35,20.97,19.98,20.11,138907
18-Oct-13,19.90,20.26,19.56,20.25,151635
17-Oct-13,19.63,19.91,19.37,19.68,166823
16-Oct-13,20.21,20.42,19.66,19.75,237057
15-Oct-13,19.85,20.11,19.30,20.10,270235
14-Oct-13,19.70,20.14,19.51,19.85,286742
11-Oct-13,18.86,19.56,18.82,19.30,156903
10-Oct-13,18.39,19.00,18.35,18.89,117732
9-Oct-13,18.09,18.39,17.58,18.16,165403
8-Oct-13,18.63,18.71,17.81,18.00,129525
7-Oct-13,18.68,18.94,18.60,18.67,166081
4-Oct-13,19.14,19.40,18.54,18.86,166050
3-Oct-13,18.42,19.34,17.84,19.19,334745
2-Oct-13,18.53,18.53,18.24,18.47,122933
1-Oct-13,18.38,18.60,18.26,18.54,89513
30-Sep-13,18.11,18.42,17.92,18.36,182975
27-Sep-13,18.20,18.46,18.00,18.40,139157
26-Sep-13,18.05,18.51,18.01,18.37,121349
25-Sep-13,17.93,18.45,17.56,18.05,185823
24-Sep-13,17.93,18.15,17.72,17.84,181406
23-Sep-13,17.88,18.11,17.38,17.85,247365
20-Sep-13,17.34,17.80,17.20,17.64,348103
19-Sep-13,17.40,17.46,17.12,17.25,114097
18-Sep-13,17.37,17.50,16.99,17.38,109595
17-Sep-13,17.03,17.43,17.00,17.42,96192
16-Sep-13,17.30,17.40,16.95,17.06,268682
13-Sep-13,16.39,17.39,16.24,17.17,459609
12-Sep-13,16.27,16.27,15.92,16.07,103041
11-Sep-13,16.22,16.37,16.05,16.31,121067
10-Sep-13,16.05,16.34,15.87,16.27,83350
9-Sep-13,16.18,16.18,15.91,16.00,85611
6-Sep-13,16.13,16.34,15.64,16.14,111251
5-Sep-13,16.03,16.25,15.88,16.03,91881
4-Sep-13,16.11,16.28,15.91,15.96,154832
3-Sep-13,16.35,16.47,16.03,16.11,137344
30-Aug-13,16.37,16.58,16.01,16.13,141750
29-Aug-13,16.36,16.61,16.02,16.38,188865
28-Aug-13,16.52,16.60,16.30,16.35,90694
27-Aug-13,16.59,16.87,16.45,16.46,88838
26-Aug-13,16.90,16.90,16.68,16.79,47972
23-Aug-13,16.92,17.10,16.75,16.88,127452
22-Aug-13,16.95,17.17,16.57,16.89,77495
21-Aug-13,17.01,17.15,16.53,16.93,86096
20-Aug-13,16.78,17.45,16.78,17.07,192261
19-Aug-13,16.95,17.13,16.70,16.80,87521
16-Aug-13,16.90,17.13,16.71,16.95,117497
15-Aug-13,16.82,17.01,16.65,16.99,194816
14-Aug-13,16.89,17.18,16.86,17.08,147275
13-Aug-13,16.28,16.99,16.28,16.94,84198
12-Aug-13,16.55,16.60,16.20,16.33,209703
9-Aug-13,16.80,16.81,16.49,16.62,116600
8-Aug-13,16.87,17.07,16.59,16.82,102123
7-Aug-13,16.65,16.82,16.55,16.71,108235
6-Aug-13,16.90,17.10,16.50,16.65,165731
5-Aug-13,16.12,17.56,16.12,16.90,515467
2-Aug-13,15.76,16.25,15.66,16.03,221207
1-Aug-13,14.00,15.95,13.75,15.88,642331
31-Jul-13,13.60,13.95,13.54,13.65,191009
30-Jul-13,13.46,13.75,13.43,13.60,152604
29-Jul-13,13.50,13.67,13.28,13.44,82947
26-Jul-13,13.45,13.71,13.38,13.50,121274
25-Jul-13,13.55,13.63,13.33,13.57,167555
24-Jul-13,14.10,14.10,13.50,13.53,112647
23-Jul-13,14.35,14.35,14.02,14.03,115519
22-Jul-13,14.31,14.39,14.24,14.33,93732
19-Jul-13,14.41,14.60,14.19,14.30,117162
18-Jul-13,14.26,14.57,14.22,14.41,123014
17-Jul-13,14.20,14.30,14.05,14.22,107619
16-Jul-13,13.84,14.15,13.73,14.11,136771
15-Jul-13,13.87,14.00,13.57,13.84,141563
12-Jul-13,13.26,13.89,12.99,13.76,138186
11-Jul-13,13.08,13.28,12.99,13.24,177834
10-Jul-13,13.44,13.53,12.51,12.98,308342
9-Jul-13,14.28,14.40,13.27,13.43,283924
8-Jul-13,14.39,14.69,14.03,14.44,224977
5-Jul-13,13.92,14.39,13.83,14.39,103225
3-Jul-13,13.58,13.90,13.57,13.79,52591
2-Jul-13,13.52,13.74,13.40,13.69,94938
1-Jul-13,13.43,13.59,13.27,13.57,178556
28-Jun-13,13.22,13.50,13.10,13.34,918153
27-Jun-13,12.92,13.37,12.92,13.29,125757
26-Jun-13,13.20,13.25,12.87,12.87,87018
25-Jun-13,13.20,13.25,13.00,13.16,85734
24-Jun-13,13.21,13.30,12.98,13.11,120394
21-Jun-13,13.34,13.43,13.03,13.30,257616
20-Jun-13,13.26,13.37,13.00,13.28,106482
19-Jun-13,13.69,13.78,13.42,13.48,123150
18-Jun-13,13.64,13.87,13.56,13.65,121260
17-Jun-13,13.72,13.95,13.63,13.66,154027
14-Jun-13,13.72,13.85,13.40,13.58,91427
13-Jun-13,13.28,13.75,13.28,13.70,146858
12-Jun-13,13.42,13.53,13.12,13.23,101365
11-Jun-13,13.29,13.40,13.01,13.34,126098
10-Jun-13,13.22,13.51,13.19,13.44,128692
7-Jun-13,13.10,13.29,13.06,13.21,118558
6-Jun-13,12.95,13.10,12.81,13.10,140152
5-Jun-13,12.84,13.10,12.52,12.96,149358
4-Jun-13,12.97,13.03,12.71,12.83,148675
3-Jun-13,12.62,13.00,12.44,12.99,248516
31-May-13,12.82,12.82,12.04,12.60,184681
30-May-13,12.55,12.93,12.52,12.93,170304
29-May-13,12.44,12.66,12.40,12.54,126073
28-May-13,12.50,12.87,12.39,12.49,257474
24-May-13,12.23,12.43,12.11,12.43,164327
23-May-13,12.05,12.42,11.99,12.34,203351
22-May-13,12.38,12.65,12.17,12.30,213883
21-May-13,12.49,12.57,12.24,12.40,154342
20-May-13,12.25,12.55,12.18,12.53,228165
17-May-13,12.00,12.38,11.94,12.31,328909
16-May-13,11.72,12.00,11.68,11.90,293506
15-May-13,11.49,11.71,11.44,11.68,106889
14-May-13,11.39,11.64,11.39,11.49,146775
13-May-13,11.56,11.56,11.32,11.51,129533
10-May-13,11.37,11.67,11.34,11.56,69868
9-May-13,11.60,11.60,10.76,11.39,209862
8-May-13,11.42,11.73,11.37,11.73,95897
7-May-13,11.48,11.49,11.11,11.42,109627
6-May-13,11.07,11.49,11.00,11.48,114620
3-May-13,11.07,11.37,10.88,11.10,279742
2-May-13,10.68,11.12,10.55,10.91,601195
1-May-13,10.45,10.74,10.04,10.48,567956
30-Apr-13,10.25,10.59,10.25,10.48,122341
29-Apr-13,10.43,10.45,10.25,10.30,81086
26-Apr-13,10.51,10.56,10.30,10.36,100384
25-Apr-13,10.53,10.65,10.49,10.52,103439
24-Apr-13,10.32,10.56,10.32,10.51,71629
23-Apr-13,10.14,10.32,10.05,10.30,128190
22-Apr-13,10.28,10.28,10.00,10.04,92776
19-Apr-13,10.37,10.55,10.17,10.23,161035
18-Apr-13,10.23,10.57,10.23,10.37,76760
17-Apr-13,10.43,10.64,10.13,10.18,97211
16-Apr-13,10.33,10.59,10.33,10.50,109586
15-Apr-13,10.80,10.90,10.12,10.21,142661
12-Apr-13,11.00,11.05,10.85,10.90,82097
11-Apr-13,10.98,11.12,10.98,11.01,70927
10-Apr-13,10.73,11.10,10.58,11.03,161408
9-Apr-13,10.85,10.91,10.65,10.67,125762
8-Apr-13,10.92,10.97,10.77,10.80,50583
5-Apr-13,10.86,11.09,10.84,10.84,100365
4-Apr-13,11.00,11.14,10.97,11.06,83698
3-Apr-13,11.40,11.40,10.93,10.95,90093
2-Apr-13,11.39,11.55,11.29,11.36,93597
