Date,Open,High,Low,Close,Volume
31-Dec-13,97.73,97.95,97.43,97.73,24746
30-Dec-13,97.52,97.65,97.18,97.48,37805
27-Dec-13,97.83,97.83,97.10,97.48,82918
26-Dec-13,97.75,97.96,97.42,97.50,26237
24-Dec-13,97.26,97.68,96.97,97.50,24142
23-Dec-13,96.42,97.06,96.37,97.06,46300
20-Dec-13,94.40,95.96,94.40,95.80,41041
19-Dec-13,95.04,95.04,94.39,94.65,34489
18-Dec-13,94.16,95.15,93.39,95.15,74142
17-Dec-13,94.16,95.86,93.35,93.95,61064
16-Dec-13,93.62,94.20,93.29,94.01,35904
13-Dec-13,92.98,93.37,92.60,93.07,28634
12-Dec-13,92.61,93.09,92.35,92.73,30470
11-Dec-13,94.15,94.24,92.33,92.53,56569
10-Dec-13,94.53,94.87,93.82,94.00,39765
9-Dec-13,95.02,95.08,94.31,94.74,70028
6-Dec-13,94.93,95.34,94.65,94.75,33417
5-Dec-13,94.30,94.54,93.91,94.09,41485
4-Dec-13,93.97,94.89,93.31,94.15,136610
3-Dec-13,94.67,94.99,93.87,94.33,241789
2-Dec-13,96.07,96.07,94.57,94.76,39630
29-Nov-13,96.29,96.43,95.88,96.01,8154
27-Nov-13,95.51,95.89,95.14,95.86,53112
26-Nov-13,94.62,95.48,94.50,95.27,42585
25-Nov-13,94.55,94.85,94.36,94.52,28750
22-Nov-13,94.11,94.63,93.84,94.51,52804
21-Nov-13,92.84,94.05,92.72,93.91,29743
20-Nov-13,92.78,93.08,92.04,92.43,68277
19-Nov-13,93.13,93.46,92.10,92.49,41112
18-Nov-13,94.08,94.08,92.73,93.11,55379
15-Nov-13,93.48,93.72,93.05,93.67,69404
14-Nov-13,93.33,93.37,92.21,93.30,112108
13-Nov-13,91.80,93.32,91.80,93.32,23934
12-Nov-13,92.30,92.46,91.80,92.28,23782
11-Nov-13,92.32,92.63,91.91,92.43,37297
8-Nov-13,90.89,92.44,90.81,92.28,67982
7-Nov-13,92.73,92.73,90.50,90.50,37173
6-Nov-13,93.00,93.14,92.01,92.14,31481
5-Nov-13,92.57,92.76,91.94,92.67,28004
4-Nov-13,92.26,92.82,91.75,92.77,28508
1-Nov-13,92.21,93.35,90.90,91.63,51935
31-Oct-13,92.46,92.74,91.66,92.00,36745
30-Oct-13,93.81,93.81,92.28,92.69,21090
29-Oct-13,93.79,93.81,93.03,93.72,47255
28-Oct-13,93.59,93.59,92.91,93.40,40035
25-Oct-13,93.71,93.82,93.00,93.46,29141
24-Oct-13,92.93,93.53,92.79,93.25,35345
23-Oct-13,92.84,93.17,92.35,92.79,32233
22-Oct-13,93.46,93.68,92.79,93.20,26954
21-Oct-13,93.31,93.85,92.73,92.92,59995
18-Oct-13,92.43,93.10,92.23,92.96,79813
17-Oct-13,91.00,91.97,90.90,91.85,71457
16-Oct-13,91.08,91.39,90.64,91.22,25857
15-Oct-13,90.87,91.00,90.01,90.25,43840
14-Oct-13,90.09,91.13,90.04,90.86,23415
11-Oct-13,89.15,90.53,89.12,90.48,54628
10-Oct-13,88.47,89.33,88.27,89.26,29283
9-Oct-13,87.70,87.70,86.63,87.30,98169
8-Oct-13,89.02,89.02,87.34,87.45,22737
7-Oct-13,89.18,89.30,88.74,88.76,24836
4-Oct-13,89.23,90.08,89.09,89.89,18209
3-Oct-13,89.91,90.20,88.64,89.16,21528
2-Oct-13,90.06,90.32,89.65,90.11,27501
1-Oct-13,89.40,90.49,89.40,90.31,26271
30-Sep-13,88.44,89.58,88.25,89.54,24446
27-Sep-13,89.26,89.71,89.16,89.33,38503
26-Sep-13,89.55,90.01,89.25,89.63,20807
25-Sep-13,89.48,90.10,89.12,89.29,15721
24-Sep-13,89.12,89.98,88.68,89.29,16891
23-Sep-13,89.42,90.13,88.54,89.08,36808
20-Sep-13,89.74,89.74,89.20,89.20,33034
19-Sep-13,90.03,91.88,89.30,89.60,33506
18-Sep-13,88.77,89.98,87.64,89.55,28347
17-Sep-13,88.00,88.78,87.96,88.72,30995
16-Sep-13,88.94,88.94,87.87,87.95,18350
13-Sep-13,87.64,87.86,87.19,87.82,24723
12-Sep-13,87.80,87.97,87.25,87.29,80266
11-Sep-13,87.91,88.28,87.65,88.15,45287
10-Sep-13,87.91,87.98,87.53,87.98,41963
9-Sep-13,86.27,87.29,86.22,87.25,25309
6-Sep-13,86.28,86.33,84.85,85.87,23353
5-Sep-13,85.59,85.97,85.41,85.72,25015
4-Sep-13,84.70,85.47,84.57,85.40,21531
3-Sep-13,84.91,85.56,83.88,84.61,14567
30-Aug-13,85.49,85.49,83.92,84.12,34508
29-Aug-13,84.72,85.74,84.65,85.45,47561
28-Aug-13,84.52,85.03,84.52,84.63,28248
27-Aug-13,85.50,85.79,84.30,84.42,41354
26-Aug-13,86.82,87.03,86.22,86.50,26989
23-Aug-13,86.33,86.54,85.89,86.54,27408
22-Aug-13,85.43,88.56,85.43,86.29,18232
21-Aug-13,85.21,85.84,84.69,85.03,41058
20-Aug-13,84.63,85.70,84.54,85.57,18683
19-Aug-13,85.28,85.31,84.21,84.21,17181
16-Aug-13,85.45,85.76,85.11,85.26,32179
15-Aug-13,86.40,86.42,85.28,85.52,44105
14-Aug-13,88.31,88.31,87.14,87.14,23791
13-Aug-13,87.62,87.62,86.86,87.39,20629
12-Aug-13,86.55,87.50,86.40,87.46,22223
9-Aug-13,87.06,87.57,86.79,87.08,33760
8-Aug-13,87.25,87.44,86.84,87.21,32587
7-Aug-13,87.11,88.20,86.71,86.90,13262
6-Aug-13,88.18,88.21,87.21,87.52,138474
5-Aug-13,88.06,88.41,87.85,88.22,31173
2-Aug-13,87.92,88.13,87.69,88.06,34870
1-Aug-13,87.52,88.24,87.52,88.13,62070
31-Jul-13,86.95,87.65,86.78,86.89,58549
30-Jul-13,86.79,87.02,86.44,86.78,82272
29-Jul-13,87.12,87.32,86.40,86.73,56720
