Date,Open,High,Low,Close,Volume
31-Dec-13,30.80,31.45,30.57,31.13,464513
30-Dec-13,30.89,30.98,30.46,30.57,186302
27-Dec-13,30.87,30.99,30.36,30.81,236271
26-Dec-13,30.51,31.31,30.51,30.77,104105
24-Dec-13,30.56,30.91,30.31,30.39,125139
23-Dec-13,30.14,30.92,30.10,30.44,266880
20-Dec-13,29.02,30.08,29.02,30.04,471053
19-Dec-13,29.15,29.72,28.77,28.95,359088
18-Dec-13,28.50,29.79,27.99,29.16,785507
17-Dec-13,28.06,28.40,27.77,28.31,160320
16-Dec-13,27.59,28.25,27.38,28.06,148790
13-Dec-13,27.72,27.90,27.31,27.52,139296
12-Dec-13,27.53,27.79,27.30,27.59,274440
11-Dec-13,27.84,27.88,27.07,27.49,182663
10-Dec-13,27.57,27.99,27.32,27.71,184854
9-Dec-13,27.87,28.28,27.16,27.55,225872
6-Dec-13,27.59,28.11,27.50,27.79,171370
5-Dec-13,27.37,27.89,27.06,27.21,224167
4-Dec-13,27.40,27.78,26.88,27.35,175220
3-Dec-13,27.62,27.97,27.13,27.47,352344
2-Dec-13,28.76,28.76,27.53,27.60,117494
29-Nov-13,28.78,29.10,28.64,28.76,64234
27-Nov-13,28.43,28.73,28.43,28.57,99232
26-Nov-13,27.86,28.91,27.69,28.43,190312
25-Nov-13,27.94,28.18,27.59,27.89,150407
22-Nov-13,27.74,28.40,27.51,27.92,174012
21-Nov-13,27.45,27.71,27.32,27.68,143105
20-Nov-13,27.85,27.85,27.04,27.26,161111
19-Nov-13,27.97,28.46,27.59,27.80,231545
18-Nov-13,28.29,28.60,27.64,28.00,233903
15-Nov-13,28.13,28.27,27.76,28.16,173797
14-Nov-13,28.41,28.61,28.02,28.15,232502
13-Nov-13,28.20,28.46,27.79,28.39,107738
12-Nov-13,28.16,28.45,27.88,28.32,109511
11-Nov-13,28.40,28.68,27.97,28.27,178401
8-Nov-13,27.23,28.76,27.23,28.38,232918
7-Nov-13,28.02,28.04,27.09,27.24,174443
6-Nov-13,28.62,28.73,27.75,27.78,346464
5-Nov-13,28.05,28.88,26.10,28.33,404620
4-Nov-13,25.75,26.17,25.50,26.02,208019
1-Nov-13,25.99,26.24,25.26,25.63,181546
31-Oct-13,26.01,26.25,25.60,26.04,173144
30-Oct-13,26.88,26.99,25.68,25.97,209540
29-Oct-13,27.00,27.00,26.57,26.94,77537
28-Oct-13,27.00,27.08,26.79,26.90,155402
25-Oct-13,27.28,27.28,26.77,26.97,109558
24-Oct-13,27.09,27.16,26.90,27.13,229642
23-Oct-13,26.52,27.36,26.52,27.04,212898
22-Oct-13,26.68,26.84,26.06,26.52,234375
21-Oct-13,27.03,27.32,27.03,27.30,233937
18-Oct-13,26.71,27.08,26.18,26.91,228197
17-Oct-13,25.85,26.49,25.74,26.48,120984
16-Oct-13,25.96,26.17,25.91,25.99,155160
15-Oct-13,25.85,26.10,25.64,25.87,368928
14-Oct-13,24.90,26.12,24.70,25.85,349899
11-Oct-13,24.06,25.00,24.06,25.00,232629
10-Oct-13,23.87,24.25,23.75,24.06,202273
9-Oct-13,23.57,23.82,23.42,23.69,137457
8-Oct-13,24.32,24.36,22.95,23.50,345741
7-Oct-13,24.47,24.59,24.24,24.25,191521
4-Oct-13,24.74,24.88,24.55,24.66,65694
3-Oct-13,25.47,25.47,24.71,24.76,211012
2-Oct-13,25.68,25.89,25.45,25.47,411544
1-Oct-13,25.54,26.32,25.49,25.78,245412
30-Sep-13,25.13,25.56,24.91,25.48,271911
27-Sep-13,25.49,25.75,25.27,25.31,100959
26-Sep-13,25.56,25.80,25.39,25.63,221676
25-Sep-13,25.56,25.76,25.43,25.45,237676
24-Sep-13,25.70,25.70,25.45,25.51,234654
23-Sep-13,25.26,26.03,25.25,25.71,219435
20-Sep-13,24.98,25.40,24.87,25.25,347013
19-Sep-13,25.09,25.22,24.83,24.94,126799
18-Sep-13,24.75,25.07,24.33,24.94,200126
17-Sep-13,24.44,24.75,24.28,24.72,121036
16-Sep-13,24.74,24.75,24.30,24.39,132386
13-Sep-13,24.52,24.85,24.15,24.37,166093
12-Sep-13,24.50,24.90,24.44,24.50,264325
11-Sep-13,24.50,24.84,24.28,24.39,87999
10-Sep-13,24.77,25.00,24.43,24.57,147735
9-Sep-13,24.04,24.71,24.04,24.59,375986
6-Sep-13,23.27,24.13,23.05,24.08,457686
5-Sep-13,23.13,23.28,22.78,23.05,112576
4-Sep-13,22.51,23.05,22.39,23.02,417658
3-Sep-13,22.58,22.65,21.80,22.41,211387
30-Aug-13,22.77,22.89,22.29,22.48,148225
29-Aug-13,22.66,23.08,22.60,22.79,88081
28-Aug-13,22.34,22.76,22.32,22.65,124730
27-Aug-13,22.70,22.92,22.14,22.32,138277
26-Aug-13,23.19,23.62,22.84,22.92,553518
23-Aug-13,23.21,23.34,22.94,23.14,80350
22-Aug-13,22.90,23.20,22.88,23.16,71686
21-Aug-13,22.84,23.04,22.75,22.85,146362
20-Aug-13,22.57,22.89,22.50,22.86,110869
19-Aug-13,22.69,22.79,22.47,22.51,96080
16-Aug-13,22.70,22.87,22.47,22.74,118027
15-Aug-13,22.90,23.26,22.56,22.70,282028
14-Aug-13,23.27,23.34,22.97,23.16,169575
13-Aug-13,23.25,23.35,23.08,23.24,143154
12-Aug-13,23.01,23.22,22.93,23.19,218074
9-Aug-13,22.50,23.20,22.34,23.09,255665
8-Aug-13,22.49,22.66,22.05,22.50,283495
7-Aug-13,21.12,22.33,21.12,22.27,303115
6-Aug-13,21.53,21.66,20.98,21.05,91088
5-Aug-13,21.60,21.88,21.33,21.54,129900
2-Aug-13,20.89,21.67,20.76,21.58,183922
1-Aug-13,20.94,21.37,20.79,20.94,198907
31-Jul-13,20.69,21.10,20.52,20.80,142377
30-Jul-13,20.73,20.77,20.29,20.57,144307
29-Jul-13,20.94,21.09,20.54,20.58,193476
26-Jul-13,21.39,21.42,20.97,21.05,171334
25-Jul-13,21.53,21.64,21.32,21.57,210238
24-Jul-13,21.78,21.88,21.33,21.50,139009
23-Jul-13,21.60,21.65,21.38,21.60,172593
22-Jul-13,21.45,21.58,21.38,21.50,144768
19-Jul-13,21.49,21.67,21.47,21.50,91757
18-Jul-13,22.23,22.44,21.48,21.61,256084
17-Jul-13,22.09,22.30,21.94,22.23,395632
16-Jul-13,21.77,22.03,21.76,21.92,176741
15-Jul-13,21.70,21.98,21.60,21.69,336388
12-Jul-13,21.81,21.91,21.63,21.75,217886
11-Jul-13,20.72,22.00,20.67,21.88,264389
10-Jul-13,19.82,20.43,19.82,20.34,163716
