Date,Open,High,Low,Close,Volume
31-Dec-13,1.63,1.65,1.61,1.61,8356
30-Dec-13,1.66,1.66,1.61,1.61,19518
27-Dec-13,1.57,1.66,1.57,1.66,149242
26-Dec-13,1.61,1.61,1.60,1.60,12280
24-Dec-13,1.60,1.63,1.60,1.61,42671
23-Dec-13,1.65,1.69,1.60,1.61,11954
20-Dec-13,1.70,1.70,1.59,1.65,8217
19-Dec-13,1.64,1.70,1.59,1.65,62638
18-Dec-13,1.72,1.72,1.58,1.64,32319
17-Dec-13,1.75,1.75,1.67,1.68,74929
16-Dec-13,1.74,1.79,1.70,1.75,59104
13-Dec-13,1.75,1.75,1.65,1.71,15796
12-Dec-13,1.75,1.75,1.68,1.75,26896
11-Dec-13,1.71,1.79,1.69,1.78,26992
10-Dec-13,1.75,1.79,1.75,1.79,30598
9-Dec-13,1.75,1.78,1.72,1.73,31839
6-Dec-13,1.75,1.83,1.72,1.75,85249
5-Dec-13,1.80,1.80,1.72,1.73,37141
4-Dec-13,1.82,1.85,1.77,1.85,25376
3-Dec-13,1.90,1.90,1.84,1.89,20173
2-Dec-13,1.95,1.95,1.90,1.90,9184
29-Nov-13,2.01,2.04,1.98,2.00,11711
27-Nov-13,2.05,2.15,1.98,2.01,27851
26-Nov-13,2.16,2.22,2.05,2.05,14690
25-Nov-13,2.22,2.23,2.10,2.15,51903
22-Nov-13,2.04,2.31,1.98,2.16,132034
21-Nov-13,1.96,2.07,1.90,2.01,62492
20-Nov-13,1.89,1.89,1.87,1.87,400
19-Nov-13,1.87,1.87,1.87,1.87,200
18-Nov-13,1.96,2.00,1.87,1.95,5950
15-Nov-13,1.88,1.89,1.87,1.87,9695
14-Nov-13,1.92,1.99,1.86,1.87,2581
13-Nov-13,1.77,1.80,1.77,1.80,6363
12-Nov-13,1.84,1.84,1.64,1.83,4540
11-Nov-13,1.80,1.84,1.65,1.84,2228
8-Nov-13,1.71,1.84,1.71,1.75,5560
7-Nov-13,1.84,1.84,1.68,1.70,1440
6-Nov-13,1.84,1.84,1.80,1.83,1465
5-Nov-13,1.85,1.89,1.83,1.85,4461
4-Nov-13,1.86,1.86,1.86,1.86,464
1-Nov-13,1.84,1.84,1.84,1.84,300
31-Oct-13,1.86,1.86,1.66,1.66,2300
30-Oct-13,1.66,1.68,1.65,1.66,1900
29-Oct-13,1.62,1.66,1.60,1.66,13480
28-Oct-13,1.65,1.65,1.52,1.52,6396
25-Oct-13,1.75,1.75,1.63,1.64,4189
24-Oct-13,1.80,1.80,1.75,1.77,10800
23-Oct-13,1.80,1.80,1.77,1.77,17960
21-Oct-13,1.80,1.80,1.80,1.80,1227
18-Oct-13,1.80,1.87,1.80,1.85,3100
17-Oct-13,1.80,1.80,1.80,1.80,1100
16-Oct-13,1.80,1.80,1.80,1.80,1900
15-Oct-13,1.80,1.80,1.80,1.80,1000
14-Oct-13,1.83,1.83,1.83,1.83,1500
11-Oct-13,1.87,1.87,1.87,1.87,274
10-Oct-13,1.84,1.85,1.83,1.85,1840
9-Oct-13,1.83,1.85,1.83,1.85,1300
7-Oct-13,1.85,1.85,1.83,1.85,10864
4-Oct-13,1.87,1.87,1.83,1.87,1500
3-Oct-13,1.83,1.87,1.83,1.87,9670
2-Oct-13,1.90,1.90,1.88,1.88,755
1-Oct-13,1.90,1.90,1.83,1.90,2800
30-Sep-13,1.90,1.91,1.90,1.90,14840
27-Sep-13,2.00,2.02,1.91,1.91,3112
26-Sep-13,1.95,2.01,1.90,2.00,5073
25-Sep-13,2.03,2.03,1.91,2.03,3676
24-Sep-13,1.91,2.03,1.90,2.03,5110
23-Sep-13,1.93,2.10,1.93,2.03,9278
20-Sep-13,2.05,2.10,1.90,1.90,17227
19-Sep-13,2.25,2.25,2.05,2.15,11555
18-Sep-13,2.14,2.20,1.87,2.15,52186
17-Sep-13,2.00,2.22,1.80,1.84,27658
16-Sep-13,1.85,2.18,1.78,1.93,36268
13-Sep-13,1.85,1.87,1.85,1.85,12192
12-Sep-13,1.86,1.89,1.84,1.84,4319
11-Sep-13,1.92,1.92,1.84,1.84,7237
10-Sep-13,1.99,2.05,1.90,1.98,17121
9-Sep-13,1.94,2.00,1.90,1.95,19148
6-Sep-13,1.80,1.80,1.71,1.78,8019
5-Sep-13,1.75,1.77,1.67,1.75,6623
4-Sep-13,1.55,1.78,1.55,1.74,4094
3-Sep-13,1.63,1.63,1.49,1.56,4287
30-Aug-13,1.53,1.62,1.53,1.62,1475
29-Aug-13,1.53,1.60,1.53,1.60,2300
28-Aug-13,1.53,1.61,1.51,1.56,11540
26-Aug-13,1.65,1.65,1.53,1.53,3650
23-Aug-13,1.65,1.65,1.65,1.65,400
22-Aug-13,1.66,1.66,1.66,1.66,150
21-Aug-13,1.54,1.65,1.54,1.65,4369
20-Aug-13,1.62,1.65,1.59,1.60,12500
19-Aug-13,1.53,1.72,1.53,1.59,6224
16-Aug-13,1.54,1.56,1.53,1.54,16700
15-Aug-13,1.58,1.63,1.55,1.55,43150
14-Aug-13,1.67,1.67,1.58,1.59,2685
13-Aug-13,1.57,1.69,1.57,1.65,24980
12-Aug-13,1.57,1.57,1.57,1.57,497
9-Aug-13,1.61,1.62,1.61,1.61,3198
8-Aug-13,1.61,1.61,1.61,1.61,300
7-Aug-13,1.62,1.62,1.62,1.62,100
6-Aug-13,1.55,1.61,1.55,1.59,3217
5-Aug-13,1.55,1.55,1.55,1.55,100
2-Aug-13,1.55,1.56,1.50,1.56,2399
1-Aug-13,1.55,1.56,1.55,1.56,467
31-Jul-13,1.58,1.58,1.55,1.55,200
30-Jul-13,1.47,1.59,1.47,1.55,3634
29-Jul-13,1.47,1.52,1.47,1.52,3100
26-Jul-13,1.48,1.48,1.47,1.47,432
25-Jul-13,1.55,1.59,1.55,1.56,2175
24-Jul-13,1.61,1.62,1.52,1.52,2670
23-Jul-13,1.47,1.52,1.47,1.51,2493
22-Jul-13,1.49,1.49,1.49,1.49,100
18-Jul-13,1.48,1.52,1.48,1.51,530
17-Jul-13,1.50,1.50,1.50,1.50,2675
15-Jul-13,1.51,1.59,1.50,1.55,12802
12-Jul-13,1.46,1.55,1.45,1.55,8677
11-Jul-13,1.49,1.57,1.47,1.52,9457
10-Jul-13,1.48,1.48,1.47,1.47,255
9-Jul-13,1.46,1.55,1.46,1.55,17431
8-Jul-13,1.55,1.55,1.44,1.50,7200
5-Jul-13,1.55,1.59,1.42,1.59,13678
3-Jul-13,1.56,1.56,1.55,1.55,2840
2-Jul-13,1.58,1.58,1.54,1.55,1900
1-Jul-13,1.56,1.56,1.54,1.54,344
28-Jun-13,1.60,1.61,1.54,1.55,2899
27-Jun-13,1.65,1.65,1.65,1.65,300
26-Jun-13,1.61,1.66,1.60,1.65,1900
25-Jun-13,1.78,1.80,1.41,1.64,18866
24-Jun-13,1.60,1.72,1.60,1.71,3100
21-Jun-13,1.62,1.70,1.61,1.69,16423
20-Jun-13,1.55,1.62,1.55,1.60,9789
19-Jun-13,1.55,1.59,1.55,1.59,5600
18-Jun-13,1.52,1.55,1.52,1.55,1833
17-Jun-13,1.57,1.57,1.52,1.53,4247
14-Jun-13,1.58,1.59,1.57,1.57,1266
13-Jun-13,1.55,1.56,1.53,1.56,1500
12-Jun-13,1.51,1.57,1.51,1.54,7409
11-Jun-13,1.51,1.57,1.51,1.51,500
10-Jun-13,1.42,1.54,1.42,1.54,13179
7-Jun-13,1.44,1.48,1.42,1.42,4050
6-Jun-13,1.48,1.50,1.42,1.49,52126
5-Jun-13,1.53,1.53,1.51,1.51,1200
4-Jun-13,1.53,1.53,1.52,1.53,1100
3-Jun-13,1.58,1.58,1.50,1.56,10797
31-May-13,1.59,1.60,1.54,1.59,6509
30-May-13,1.60,1.60,1.55,1.55,5450
29-May-13,1.59,1.62,1.55,1.60,35140
28-May-13,1.51,1.60,1.46,1.58,46766
24-May-13,1.59,1.59,1.57,1.57,3780
23-May-13,1.65,1.70,1.42,1.58,85285
22-May-13,1.58,1.60,1.47,1.47,8215
21-May-13,1.46,1.60,1.46,1.60,1995
20-May-13,1.53,1.58,1.42,1.43,7168
17-May-13,1.58,1.58,1.58,1.58,300
16-May-13,1.57,1.57,1.57,1.57,2932
15-May-13,1.58,1.60,1.58,1.60,778
14-May-13,1.58,1.61,1.57,1.57,7800
13-May-13,1.57,1.57,1.57,1.57,1556
10-May-13,1.60,1.60,1.55,1.56,825
9-May-13,1.61,1.61,1.60,1.60,4404
8-May-13,1.58,1.65,1.58,1.60,16400
7-May-13,1.57,1.64,1.55,1.56,10200
6-May-13,1.46,1.62,1.46,1.62,13123
3-May-13,1.44,1.47,1.44,1.47,4000
2-May-13,1.46,1.58,1.45,1.46,8766
1-May-13,1.46,1.57,1.44,1.45,5631
30-Apr-13,1.43,1.46,1.42,1.46,11400
29-Apr-13,1.47,1.58,1.42,1.58,11374
26-Apr-13,1.42,1.49,1.42,1.45,8127
25-Apr-13,1.48,1.51,1.42,1.43,27062
24-Apr-13,1.52,1.52,1.49,1.51,7800
23-Apr-13,1.48,1.55,1.48,1.55,5425
22-Apr-13,1.50,1.50,1.50,1.50,1100
19-Apr-13,1.51,1.58,1.48,1.52,5300
18-Apr-13,1.58,1.58,1.53,1.53,300
17-Apr-13,1.58,1.60,1.56,1.58,8600
16-Apr-13,1.58,1.58,1.55,1.55,1210
15-Apr-13,1.58,1.60,1.58,1.58,2100
12-Apr-13,1.64,1.65,1.61,1.61,4034
11-Apr-13,1.50,1.65,1.48,1.60,7333
10-Apr-13,1.53,1.54,1.48,1.48,10600
9-Apr-13,1.52,1.58,1.52,1.56,19288
8-Apr-13,1.66,1.68,1.51,1.51,34325
5-Apr-13,1.62,1.66,1.62,1.65,1800
4-Apr-13,1.61,1.62,1.61,1.61,1100
3-Apr-13,1.61,1.61,1.60,1.60,1250
2-Apr-13,1.66,1.66,1.57,1.59,6364
1-Apr-13,1.69,1.70,1.60,1.69,6097
28-Mar-13,1.77,1.77,1.69,1.69,1500
27-Mar-13,1.79,1.79,1.70,1.76,2235
26-Mar-13,1.79,1.79,1.79,1.79,800
25-Mar-13,1.79,1.85,1.79,1.79,10301
22-Mar-13,1.69,1.86,1.69,1.73,25080
21-Mar-13,1.74,1.75,1.69,1.70,5880
20-Mar-13,1.81,1.81,1.70,1.74,1471
19-Mar-13,1.76,1.76,1.76,1.76,400
18-Mar-13,1.70,1.78,1.70,1.70,8554
15-Mar-13,1.74,1.74,1.71,1.71,800
14-Mar-13,1.78,1.78,1.70,1.70,2741
13-Mar-13,1.81,1.81,1.78,1.78,930
12-Mar-13,1.76,1.76,1.70,1.76,1400
