Date,Open,High,Low,Close,Volume
31-Dec-13,25.34,25.90,25.03,25.72,76901
30-Dec-13,25.35,25.73,25.21,25.44,65035
27-Dec-13,26.61,26.81,25.32,25.44,50255
26-Dec-13,26.57,26.74,24.40,26.67,55951
24-Dec-13,24.34,26.60,24.34,26.38,38104
23-Dec-13,26.38,26.73,25.66,26.06,51574
20-Dec-13,25.94,26.61,25.53,26.30,118826
19-Dec-13,26.41,26.51,25.60,25.81,40909
18-Dec-13,25.95,26.63,25.35,26.55,64728
17-Dec-13,25.56,25.93,25.09,25.83,83691
16-Dec-13,25.94,26.18,24.56,25.64,79662
13-Dec-13,26.49,26.79,25.54,25.93,47799
12-Dec-13,25.77,26.58,25.60,26.53,56260
11-Dec-13,26.15,26.15,25.46,25.70,63490
10-Dec-13,26.75,26.83,25.83,26.09,96101
9-Dec-13,27.44,27.88,26.70,26.83,71955
6-Dec-13,26.74,27.71,26.36,27.34,59732
5-Dec-13,26.83,27.69,26.36,26.48,91038
4-Dec-13,26.66,27.88,26.21,26.74,118969
3-Dec-13,26.84,27.35,26.39,26.81,59982
2-Dec-13,27.34,27.93,26.69,26.97,70430
29-Nov-13,27.76,27.76,27.34,27.42,18518
27-Nov-13,27.74,27.81,27.35,27.59,36637
26-Nov-13,27.47,27.99,26.14,27.64,106326
25-Nov-13,27.78,27.92,26.03,27.52,41398
22-Nov-13,27.72,27.96,26.35,27.57,34974
21-Nov-13,27.50,27.95,27.21,27.67,76178
20-Nov-13,27.36,27.50,26.20,27.39,39773
19-Nov-13,27.00,27.40,26.91,27.19,176155
18-Nov-13,27.06,27.16,26.97,27.02,97821
15-Nov-13,27.05,27.10,26.78,27.05,69554
14-Nov-13,27.14,27.14,26.78,27.10,46387
13-Nov-13,27.20,27.32,26.73,27.18,75028
12-Nov-13,26.77,27.46,26.64,27.43,73836
11-Nov-13,26.70,27.35,26.51,26.89,126512
8-Nov-13,26.24,26.96,25.98,26.86,222266
7-Nov-13,30.12,30.12,24.81,26.26,371633
6-Nov-13,29.99,30.14,29.35,29.91,47998
5-Nov-13,29.83,30.34,29.37,29.74,83436
4-Nov-13,29.77,30.31,29.45,29.87,74770
1-Nov-13,29.83,30.15,29.49,29.76,79967
31-Oct-13,30.05,30.41,29.51,29.89,55588
30-Oct-13,30.21,30.50,29.56,29.92,162258
29-Oct-13,30.00,30.33,29.20,30.21,96188
28-Oct-13,29.76,30.00,29.56,29.98,44094
25-Oct-13,29.60,29.94,29.15,29.79,63436
24-Oct-13,29.19,29.56,28.96,29.48,142215
23-Oct-13,29.14,29.49,29.10,29.19,48152
22-Oct-13,29.45,29.46,29.15,29.23,25955
21-Oct-13,29.30,29.66,28.93,29.26,69509
18-Oct-13,28.56,29.19,28.56,29.18,35515
17-Oct-13,28.36,28.54,28.03,28.32,32022
16-Oct-13,28.03,28.65,27.83,28.44,56615
15-Oct-13,28.96,28.96,27.66,27.98,54864
14-Oct-13,28.85,29.26,28.25,29.14,22102
11-Oct-13,28.02,29.26,28.02,29.00,44125
10-Oct-13,27.27,28.10,26.94,28.02,88720
9-Oct-13,27.60,27.84,26.67,26.92,90224
8-Oct-13,28.13,28.40,27.59,27.74,47411
7-Oct-13,28.29,28.90,28.05,28.15,30697
4-Oct-13,28.68,29.15,28.52,28.69,31874
3-Oct-13,28.71,29.00,28.41,28.72,30109
2-Oct-13,29.06,29.26,28.56,28.84,90987
1-Oct-13,28.81,29.42,28.66,29.22,117205
30-Sep-13,28.54,29.00,28.01,28.69,116145
27-Sep-13,28.12,29.00,28.12,28.75,68549
