Date,Open,High,Low,Close,Volume
31-Dec-13,26.74,27.53,26.00,26.52,224366
30-Dec-13,27.27,27.99,26.47,26.66,82553
27-Dec-13,27.60,27.60,26.03,27.20,77873
26-Dec-13,27.52,27.78,27.25,27.49,108416
24-Dec-13,28.02,28.19,27.34,27.49,64186
23-Dec-13,27.55,28.20,27.40,27.88,99763
20-Dec-13,27.88,28.35,27.08,27.50,760179
19-Dec-13,28.05,28.50,27.22,27.73,128161
18-Dec-13,28.42,28.64,27.27,28.02,171881
17-Dec-13,29.14,29.75,28.01,28.08,126708
16-Dec-13,28.33,29.92,27.92,29.04,267773
13-Dec-13,27.73,28.45,27.30,28.16,171368
12-Dec-13,29.20,30.55,27.21,27.73,971445
11-Dec-13,28.11,28.49,27.30,27.39,328986
10-Dec-13,27.91,28.50,27.60,28.16,110023
9-Dec-13,28.08,28.49,27.71,28.02,61630
6-Dec-13,27.52,28.52,27.11,28.05,99929
5-Dec-13,26.61,27.43,26.37,27.30,55950
4-Dec-13,27.14,27.47,26.35,26.69,65784
3-Dec-13,28.54,29.17,26.82,27.35,100060
2-Dec-13,28.23,29.25,28.23,28.56,55349
29-Nov-13,27.94,28.25,27.30,28.23,16159
27-Nov-13,28.08,28.47,26.99,27.71,46794
26-Nov-13,27.00,28.49,26.96,27.98,169444
25-Nov-13,27.24,27.79,26.74,26.93,60758
22-Nov-13,25.65,27.25,25.00,27.11,92519
21-Nov-13,26.38,26.38,25.38,25.55,87250
20-Nov-13,26.42,27.45,26.01,26.17,40095
19-Nov-13,25.86,26.81,25.50,26.25,31131
18-Nov-13,26.85,27.57,25.79,25.93,76279
15-Nov-13,26.88,27.70,26.62,26.72,62606
14-Nov-13,27.15,27.49,26.80,27.09,102500
13-Nov-13,25.37,27.09,25.37,27.07,48905
12-Nov-13,25.86,25.86,25.37,25.54,19167
11-Nov-13,25.03,26.49,25.00,25.86,111050
8-Nov-13,23.31,25.00,23.31,24.90,81716
7-Nov-13,23.90,24.17,23.27,23.29,63643
6-Nov-13,24.19,24.34,23.77,23.85,161772
5-Nov-13,24.24,24.40,23.82,24.18,77256
4-Nov-13,24.50,24.64,24.22,24.34,79512
1-Nov-13,24.02,24.68,23.72,24.26,153000
31-Oct-13,24.52,24.77,23.70,24.04,664709
30-Oct-13,24.19,24.40,23.88,24.21,168913
29-Oct-13,23.85,24.38,23.63,24.10,93558
28-Oct-13,23.69,23.99,23.27,23.74,106092
25-Oct-13,23.00,23.60,22.72,23.60,87527
24-Oct-13,22.64,23.09,22.28,22.86,209571
23-Oct-13,22.64,22.85,21.95,22.70,134184
22-Oct-13,21.92,22.74,21.79,22.68,188556
21-Oct-13,20.93,22.15,20.68,21.83,137944
18-Oct-13,20.96,21.02,20.36,20.97,83079
17-Oct-13,19.82,21.00,19.52,20.67,104137
16-Oct-13,20.41,20.59,19.91,19.93,82890
15-Oct-13,20.27,20.43,19.75,20.33,143781
14-Oct-13,20.60,20.60,20.25,20.39,75879
11-Oct-13,20.91,21.15,20.26,20.67,303326
10-Oct-13,20.95,21.32,20.44,21.00,152636
9-Oct-13,21.25,21.31,20.25,20.75,313475
8-Oct-13,22.00,22.20,21.15,21.20,220934
7-Oct-13,22.00,22.40,21.25,21.97,298183
4-Oct-13,22.25,23.10,21.99,22.07,296504
3-Oct-13,23.69,25.26,21.95,22.08,2404944
2-Oct-13,19.85,23.48,19.85,23.37,226896
1-Oct-13,20.17,20.17,18.93,20.04,142295
30-Sep-13,20.24,20.75,19.73,20.23,192776
27-Sep-13,19.97,20.32,19.10,20.24,45530
26-Sep-13,20.08,20.45,19.50,19.99,34541
25-Sep-13,19.80,20.55,19.78,20.04,29228
24-Sep-13,20.92,20.92,19.60,19.86,93933
23-Sep-13,20.77,21.10,20.42,20.97,29660
20-Sep-13,20.17,21.82,19.76,20.98,148863
19-Sep-13,19.48,20.28,19.36,20.18,52809
18-Sep-13,20.02,20.09,19.04,19.78,49797
17-Sep-13,20.25,20.46,20.04,20.22,64910
16-Sep-13,20.35,20.53,19.84,20.10,51591
13-Sep-13,19.79,20.35,19.68,20.15,44043
12-Sep-13,19.70,20.22,19.70,19.78,34947
11-Sep-13,19.86,20.39,19.61,19.77,36023
10-Sep-13,19.96,20.54,19.56,19.99,103914
9-Sep-13,20.00,20.09,19.78,20.00,37843
6-Sep-13,20.04,20.39,19.63,19.71,107283
5-Sep-13,20.20,20.78,20.10,20.14,81850
4-Sep-13,20.02,20.64,19.75,20.20,60374
3-Sep-13,20.06,20.58,19.85,20.17,42256
30-Aug-13,21.10,21.43,19.73,20.04,32111
29-Aug-13,20.64,21.75,19.76,21.18,63294
28-Aug-13,19.98,21.26,19.00,20.73,25233
27-Aug-13,20.91,21.32,19.28,20.08,62319
26-Aug-13,18.88,22.48,18.86,20.99,116503
23-Aug-13,17.64,18.84,17.64,18.76,50319
22-Aug-13,17.26,17.75,17.17,17.72,26684
21-Aug-13,17.16,17.46,16.48,17.28,49178
20-Aug-13,17.00,17.47,17.00,17.25,28565
19-Aug-13,16.15,17.89,15.75,17.03,89522
16-Aug-13,16.00,16.62,15.62,16.05,295505
15-Aug-13,15.83,16.71,15.83,16.09,994421
14-Aug-13,16.00,16.16,15.71,16.00,104614
13-Aug-13,16.37,16.37,15.74,16.00,125858
12-Aug-13,15.49,16.32,15.00,16.26,51526
9-Aug-13,16.92,16.92,15.50,15.75,61828
8-Aug-13,17.32,17.32,16.69,16.89,37177
7-Aug-13,17.15,17.49,17.15,17.16,13232
6-Aug-13,17.61,17.62,17.05,17.14,49130
5-Aug-13,17.80,17.80,17.50,17.64,16647
2-Aug-13,17.49,17.91,17.41,17.65,53505
1-Aug-13,17.34,18.19,16.88,17.63,58956
31-Jul-13,16.69,17.53,16.65,17.37,49683
30-Jul-13,16.95,17.19,16.68,16.73,19189
29-Jul-13,17.20,17.30,16.72,16.99,72477
26-Jul-13,17.08,17.37,16.95,17.25,19777
25-Jul-13,17.12,17.36,16.88,17.25,132909
24-Jul-13,16.90,17.38,16.61,17.18,162877
23-Jul-13,16.58,16.78,16.11,16.68,77213
22-Jul-13,16.69,17.29,16.12,16.42,84215
19-Jul-13,17.17,17.59,16.49,16.58,55435
18-Jul-13,16.98,17.70,16.93,17.29,55501
17-Jul-13,16.73,17.32,16.66,16.97,40000
16-Jul-13,17.12,18.00,16.21,16.66,77931
15-Jul-13,15.53,18.20,15.53,16.75,171492
12-Jul-13,13.34,15.58,13.34,15.53,66109
11-Jul-13,13.39,13.87,13.17,13.40,185651
10-Jul-13,13.18,13.45,13.03,13.20,115484
9-Jul-13,12.25,13.35,12.25,13.15,69793
8-Jul-13,12.70,12.90,12.57,12.72,59477
5-Jul-13,12.78,12.81,12.14,12.53,23755
3-Jul-13,12.47,12.71,12.16,12.59,17233
2-Jul-13,12.99,13.38,12.27,12.39,102569
1-Jul-13,13.00,13.52,12.57,12.98,108085
28-Jun-13,12.01,13.36,12.01,12.91,1657217
27-Jun-13,11.38,12.31,10.95,11.95,96175
26-Jun-13,11.69,12.22,10.68,11.18,52208
25-Jun-13,11.57,11.95,11.40,11.68,33073
24-Jun-13,12.08,12.34,11.14,11.36,65946
21-Jun-13,13.50,13.77,11.95,12.06,142699
20-Jun-13,13.04,14.00,13.04,13.71,93733
19-Jun-13,12.82,13.84,12.51,13.00,88967
18-Jun-13,11.06,12.89,11.00,12.77,80685
17-Jun-13,11.43,11.46,10.92,11.01,87560
14-Jun-13,10.79,11.55,10.45,11.36,114364
13-Jun-13,10.62,11.36,10.46,10.56,14157
12-Jun-13,11.01,11.01,10.17,10.98,26653
11-Jun-13,10.85,11.33,10.85,11.01,15882
10-Jun-13,10.79,11.00,10.78,10.93,26744
7-Jun-13,9.46,10.80,9.46,10.79,23264
