Date,Open,High,Low,Close,Volume
31-Dec-13,6.43,6.60,6.38,6.38,3799
30-Dec-13,6.37,6.50,6.35,6.35,2700
27-Dec-13,6.53,6.78,6.35,6.35,10099
26-Dec-13,6.42,6.53,6.42,6.53,2440
23-Dec-13,6.33,6.33,6.33,6.33,225
20-Dec-13,6.30,6.30,6.30,6.30,2384
17-Dec-13,6.25,6.25,6.25,6.25,103
16-Dec-13,6.25,6.25,6.25,6.25,2024
13-Dec-13,6.25,6.53,6.25,6.25,1832
12-Dec-13,6.25,6.25,6.25,6.25,700
10-Dec-13,6.25,6.31,6.25,6.31,3800
9-Dec-13,6.25,6.26,6.25,6.25,2717
4-Dec-13,6.19,6.31,6.19,6.25,2518
2-Dec-13,6.19,6.19,6.19,6.19,100
26-Nov-13,6.18,6.18,6.18,6.18,200
15-Nov-13,6.22,6.22,6.22,6.22,3100
13-Nov-13,6.22,6.22,6.22,6.22,100
12-Nov-13,6.22,6.22,6.22,6.22,100
11-Nov-13,6.16,6.22,6.12,6.12,500
8-Nov-13,6.16,6.16,6.11,6.11,7300
7-Nov-13,6.30,6.30,6.30,6.30,100
5-Nov-13,6.08,6.08,6.08,6.08,6421
4-Nov-13,6.14,6.20,6.08,6.14,5000
31-Oct-13,6.40,6.40,6.20,6.24,559
30-Oct-13,6.50,6.50,6.12,6.12,3780
28-Oct-13,6.26,6.26,6.25,6.25,300
25-Oct-13,6.45,6.61,6.13,6.16,600
22-Oct-13,6.11,6.16,6.08,6.08,600
21-Oct-13,6.11,6.11,6.11,6.11,500
18-Oct-13,6.11,6.11,6.08,6.11,3700
17-Oct-13,6.26,6.26,6.16,6.16,600
16-Oct-13,6.30,6.30,6.11,6.21,2100
15-Oct-13,6.30,6.30,6.13,6.20,399
14-Oct-13,6.25,6.40,6.11,6.13,6099
11-Oct-13,6.25,6.38,6.23,6.30,4300
10-Oct-13,6.38,6.38,6.26,6.26,1001
9-Oct-13,6.68,6.68,6.31,6.31,2493
1-Oct-13,6.44,6.70,6.35,6.40,600
27-Sep-13,6.53,6.53,6.33,6.34,400
19-Sep-13,6.37,6.50,6.25,6.31,8510
18-Sep-13,6.27,6.27,6.27,6.27,200
12-Sep-13,6.25,6.25,6.25,6.25,200
11-Sep-13,6.36,6.36,6.25,6.25,1424
10-Sep-13,6.30,6.45,6.28,6.40,2400
6-Sep-13,6.28,6.60,6.28,6.28,3250
5-Sep-13,6.10,6.58,6.10,6.21,300
4-Sep-13,6.55,6.55,6.21,6.41,300
30-Aug-13,6.35,6.60,6.26,6.50,13400
29-Aug-13,6.47,6.50,6.45,6.46,2550
28-Aug-13,6.66,6.68,6.30,6.30,6800
27-Aug-13,6.40,6.75,6.25,6.43,8082
21-Aug-13,6.39,6.39,6.39,6.39,100
19-Aug-13,6.39,6.39,6.39,6.39,300
15-Aug-13,6.43,6.43,6.43,6.43,184
12-Aug-13,6.49,6.49,5.88,6.01,1600
9-Aug-13,5.85,5.85,5.85,5.85,300
8-Aug-13,5.88,5.88,5.88,5.88,100
7-Aug-13,5.97,5.97,5.97,5.97,100
6-Aug-13,6.04,6.11,5.95,5.95,300
2-Aug-13,6.02,6.02,6.02,6.02,400
1-Aug-13,6.50,6.50,6.50,6.50,300
31-Jul-13,6.50,6.50,6.50,6.50,400
30-Jul-13,6.50,6.50,6.40,6.50,5450
29-Jul-13,5.93,5.93,5.91,5.91,500
22-Jul-13,6.50,6.50,6.50,6.50,2000
16-Jul-13,5.97,6.00,5.97,6.00,1700
15-Jul-13,6.00,6.00,6.00,6.00,2000
12-Jul-13,5.98,5.98,5.80,5.80,900
8-Jul-13,5.75,5.75,5.74,5.75,2650
27-Jun-13,5.61,5.61,5.61,5.61,500
24-Jun-13,5.60,5.60,5.60,5.60,300
7-Jun-13,5.64,5.66,5.64,5.65,800
5-Jun-13,5.62,5.62,5.62,5.62,100
4-Jun-13,5.62,5.62,5.62,5.62,500
23-May-13,5.60,5.60,5.60,5.60,100
22-May-13,5.78,5.78,5.71,5.71,600
21-May-13,5.76,5.77,5.71,5.71,864
20-May-13,5.71,5.71,5.71,5.71,665
17-May-13,6.00,6.00,6.00,6.00,500
9-May-13,6.00,6.00,6.00,6.00,400
8-May-13,6.00,6.00,6.00,6.00,1000
2-May-13,5.63,5.65,5.62,5.62,300
1-May-13,5.68,5.68,5.68,5.68,125
30-Apr-13,5.83,5.83,5.65,5.65,1377
29-Apr-13,5.85,5.85,5.65,5.65,1529
26-Apr-13,5.76,5.98,5.68,5.98,1967
25-Apr-13,5.73,5.73,5.67,5.67,300
24-Apr-13,5.71,5.77,5.65,5.70,2700
23-Apr-13,7.00,7.00,6.00,6.23,2018
12-Apr-13,6.90,6.90,6.90,6.90,1427
9-Apr-13,7.01,7.01,7.01,7.01,1400
8-Apr-13,6.35,7.00,6.34,7.00,900
5-Apr-13,7.00,7.00,7.00,7.00,800
4-Apr-13,7.25,7.25,7.25,7.25,300
1-Apr-13,6.21,6.21,6.21,6.21,500
27-Mar-13,6.97,6.97,6.97,6.97,300
