Date,Open,High,Low,Close,Volume
31-Dec-13,17.50,17.58,16.93,16.97,124619
30-Dec-13,17.99,17.99,17.44,17.50,45622
27-Dec-13,18.30,18.30,17.62,17.80,75743
26-Dec-13,19.00,19.20,17.77,18.31,103834
24-Dec-13,18.20,19.20,17.90,19.10,87226
23-Dec-13,18.83,18.83,17.64,18.41,200014
20-Dec-13,18.75,19.12,18.05,18.84,780559
19-Dec-13,18.93,18.97,18.46,18.77,77228
18-Dec-13,19.22,19.30,18.69,19.00,181222
17-Dec-13,19.30,19.72,18.61,19.15,325464
16-Dec-13,17.07,19.57,16.94,19.34,540267
13-Dec-13,16.86,17.16,15.63,16.98,114521
12-Dec-13,15.92,17.13,15.92,16.77,85763
11-Dec-13,16.42,16.48,15.60,15.96,44723
10-Dec-13,16.98,17.26,16.02,16.47,41797
9-Dec-13,16.83,17.26,16.70,16.99,72283
6-Dec-13,16.11,16.92,15.97,16.62,55902
5-Dec-13,15.73,16.19,15.51,15.98,44736
4-Dec-13,15.47,15.92,15.34,15.68,60587
3-Dec-13,15.63,15.65,15.20,15.59,49798
2-Dec-13,15.75,16.61,15.22,15.61,66490
29-Nov-13,15.58,16.98,15.38,15.67,28350
27-Nov-13,15.12,15.82,14.66,15.48,29365
26-Nov-13,14.76,15.40,14.47,15.00,96253
25-Nov-13,14.68,14.89,14.33,14.71,18566
22-Nov-13,14.78,15.48,14.69,14.75,50824
21-Nov-13,14.04,15.52,13.81,14.75,53863
20-Nov-13,15.25,15.25,13.93,14.06,95291
19-Nov-13,13.56,14.31,13.27,14.16,79403
18-Nov-13,14.59,14.73,13.15,13.59,88264
15-Nov-13,15.86,16.10,14.48,14.56,259359
14-Nov-13,17.29,17.34,15.42,15.87,114347
13-Nov-13,16.34,16.65,16.04,16.31,41418
12-Nov-13,16.96,17.12,15.62,16.42,138387
11-Nov-13,16.86,17.20,16.25,17.03,83356
8-Nov-13,16.68,17.31,16.66,16.86,61780
7-Nov-13,17.27,17.30,16.17,16.70,101985
6-Nov-13,18.12,18.33,16.90,17.25,279860
5-Nov-13,18.27,18.90,17.97,17.98,67696
4-Nov-13,17.51,18.38,16.57,18.29,214971
1-Nov-13,17.87,19.00,16.51,17.50,338331
