Date,Open,High,Low,Close,Volume
31-Dec-13,32.76,34.30,32.34,34.02,55301
30-Dec-13,32.34,32.90,32.13,32.48,17023
27-Dec-13,32.20,33.11,30.66,32.69,28035
26-Dec-13,32.20,33.18,31.57,32.34,24030
24-Dec-13,32.27,33.18,31.50,32.20,15802
23-Dec-13,31.15,32.90,29.75,31.99,36676
20-Dec-13,28.49,31.01,28.49,30.73,156590
19-Dec-13,28.28,29.75,27.72,28.49,25984
18-Dec-13,27.58,28.63,27.30,28.07,21304
17-Dec-13,28.84,29.05,27.65,27.79,28534
16-Dec-13,29.40,29.75,28.07,28.63,42758
13-Dec-13,29.54,30.73,28.91,29.33,27945
12-Dec-13,28.98,30.03,28.63,29.68,23249
11-Dec-13,30.17,31.22,29.05,29.26,40719
10-Dec-13,29.61,30.45,29.40,29.96,28893
9-Dec-13,30.10,30.44,28.70,29.54,36916
6-Dec-13,30.59,31.50,29.75,30.31,23093
5-Dec-13,31.71,32.34,30.10,30.52,38578
4-Dec-13,32.20,32.76,31.71,31.92,33864
3-Dec-13,33.04,33.11,31.71,32.27,34336
2-Dec-13,32.34,34.23,31.15,33.11,55548
29-Nov-13,31.99,33.53,31.85,32.06,39315
27-Nov-13,30.31,32.55,30.10,31.64,62305
26-Nov-13,28.84,31.36,28.77,30.03,60212
25-Nov-13,26.25,29.26,25.41,28.84,115619
22-Nov-13,25.90,26.32,25.55,25.90,19912
21-Nov-13,25.55,26.32,25.20,25.69,81098
20-Nov-13,25.90,26.11,25.48,25.55,17011
19-Nov-13,25.83,26.46,25.55,25.90,16300
18-Nov-13,26.04,26.95,25.76,25.83,30764
15-Nov-13,26.18,26.64,25.69,26.25,27415
14-Nov-13,27.09,27.37,25.69,26.39,40865
13-Nov-13,27.09,27.65,26.67,27.30,25290
12-Nov-13,27.65,27.65,26.81,27.23,21307
11-Nov-13,27.02,27.72,26.25,27.58,13789
8-Nov-13,25.13,27.65,25.06,26.95,74417
