Date,Open,High,Low,Close,Volume
31-Dec-13,3.15,3.18,3.12,3.12,4371
30-Dec-13,3.17,3.17,3.15,3.15,6318
27-Dec-13,3.15,3.20,3.15,3.20,7445
26-Dec-13,3.15,3.19,3.11,3.14,15938
24-Dec-13,3.16,3.16,3.15,3.15,1640
23-Dec-13,3.15,3.16,3.15,3.15,3634
20-Dec-13,3.10,3.19,3.10,3.19,7010
19-Dec-13,3.11,3.20,3.10,3.17,15578
18-Dec-13,3.03,3.10,3.03,3.10,4482
17-Dec-13,3.03,3.10,3.03,3.06,1913
16-Dec-13,3.01,3.06,3.01,3.03,1441
13-Dec-13,3.03,3.10,3.03,3.08,3580
12-Dec-13,3.04,3.05,3.04,3.05,700
11-Dec-13,3.10,3.16,3.01,3.07,119669
10-Dec-13,3.15,3.22,3.15,3.20,22452
9-Dec-13,3.18,3.21,3.06,3.16,46699
6-Dec-13,3.13,3.33,3.12,3.16,30025
5-Dec-13,3.17,3.35,3.10,3.15,37995
4-Dec-13,3.46,3.46,3.15,3.21,35059
3-Dec-13,3.18,3.50,3.16,3.25,117958
2-Dec-13,3.05,3.21,3.04,3.13,217296
29-Nov-13,3.19,3.21,3.06,3.06,5800
27-Nov-13,3.17,3.22,3.15,3.22,13813
26-Nov-13,3.04,3.06,3.04,3.06,1050
25-Nov-13,3.10,3.17,3.05,3.17,1664
22-Nov-13,3.12,3.12,3.12,3.12,980
21-Nov-13,3.15,3.15,3.05,3.11,4850
20-Nov-13,3.13,3.19,3.06,3.07,11900
19-Nov-13,3.25,3.26,3.06,3.06,5540
18-Nov-13,3.35,3.36,2.93,3.06,22478
15-Nov-13,3.40,3.44,3.32,3.36,20896
14-Nov-13,3.32,3.40,3.31,3.35,16160
13-Nov-13,3.40,3.48,3.35,3.35,8100
12-Nov-13,3.50,3.50,3.31,3.36,19000
11-Nov-13,3.55,3.62,3.20,3.45,61550
8-Nov-13,3.24,3.68,3.24,3.50,138546
7-Nov-13,3.06,3.30,3.05,3.30,75696
6-Nov-13,3.10,3.12,3.04,3.04,50500
5-Nov-13,3.12,3.20,3.12,3.20,25753
4-Nov-13,3.15,3.20,3.15,3.16,10565
31-Oct-13,3.15,3.20,3.15,3.20,2400
30-Oct-13,3.12,3.12,3.12,3.12,100
29-Oct-13,3.16,3.16,3.15,3.15,2200
28-Oct-13,3.20,3.20,3.20,3.20,11180
25-Oct-13,3.08,3.20,3.08,3.18,4600
24-Oct-13,3.06,3.06,3.06,3.06,400
23-Oct-13,3.06,3.08,3.06,3.08,1333
22-Oct-13,3.07,3.07,3.07,3.07,100
21-Oct-13,3.10,3.10,3.06,3.07,6009
18-Oct-13,3.10,3.10,3.06,3.06,400
17-Oct-13,3.14,3.15,3.05,3.06,1800
16-Oct-13,3.15,3.15,3.05,3.05,7485
15-Oct-13,3.10,3.18,3.06,3.06,21282
14-Oct-13,3.08,3.08,3.06,3.06,1382
11-Oct-13,3.09,3.14,3.09,3.14,200
10-Oct-13,3.09,3.25,3.05,3.13,10800
9-Oct-13,3.20,3.20,3.09,3.10,25300
8-Oct-13,3.10,3.12,3.06,3.08,31113
7-Oct-13,3.19,3.20,3.10,3.15,2915
4-Oct-13,3.20,3.25,3.14,3.19,25100
3-Oct-13,3.10,3.29,3.10,3.27,23959
2-Oct-13,3.20,3.25,3.10,3.10,22057
1-Oct-13,3.21,3.31,3.12,3.23,11854
30-Sep-13,3.20,3.20,3.20,3.20,5200
27-Sep-13,3.39,3.39,3.11,3.15,11381
26-Sep-13,3.32,3.41,3.32,3.40,585
25-Sep-13,3.33,3.33,3.25,3.25,575
23-Sep-13,3.48,3.48,3.28,3.41,38485
20-Sep-13,3.16,3.69,3.16,3.69,55482
19-Sep-13,3.27,3.32,3.21,3.31,5600
18-Sep-13,3.30,3.35,3.17,3.35,2300
17-Sep-13,3.28,3.35,3.28,3.30,900
16-Sep-13,3.30,3.30,3.11,3.30,34340
13-Sep-13,3.30,3.30,3.18,3.28,47350
12-Sep-13,3.28,3.40,3.27,3.30,1300
11-Sep-13,3.35,3.35,3.30,3.30,2163
10-Sep-13,3.44,3.44,3.26,3.35,2336
9-Sep-13,3.38,3.40,3.31,3.32,7150
6-Sep-13,3.42,3.45,3.42,3.45,6700
5-Sep-13,3.42,3.44,3.42,3.43,3450
4-Sep-13,3.48,3.48,3.43,3.43,700
3-Sep-13,3.51,3.63,3.43,3.43,6840
30-Aug-13,3.41,3.41,3.41,3.41,100
29-Aug-13,3.43,3.50,3.39,3.41,23850
28-Aug-13,3.46,3.46,3.45,3.45,3300
27-Aug-13,3.52,3.56,3.50,3.50,2900
26-Aug-13,3.65,3.65,3.60,3.60,400
20-Aug-13,3.52,3.68,3.52,3.68,600
19-Aug-13,3.47,3.51,3.47,3.51,1400
16-Aug-13,3.44,3.50,3.42,3.46,5600
15-Aug-13,3.55,3.57,3.50,3.50,37956
14-Aug-13,3.73,3.73,3.55,3.55,1400
13-Aug-13,3.48,3.48,3.48,3.48,200
12-Aug-13,3.67,3.67,3.48,3.54,8402
9-Aug-13,3.43,3.72,3.43,3.72,17496
8-Aug-13,3.50,3.50,3.45,3.45,3600
7-Aug-13,3.55,3.55,3.45,3.46,21885
6-Aug-13,3.60,3.66,3.51,3.55,63297
5-Aug-13,3.44,4.66,3.44,3.65,485883
2-Aug-13,3.41,3.45,3.40,3.40,6600
1-Aug-13,3.35,3.45,3.35,3.45,4950
31-Jul-13,3.45,3.45,3.33,3.45,1500
30-Jul-13,3.49,3.49,3.39,3.39,3100
29-Jul-13,3.43,3.43,3.32,3.33,40768
26-Jul-13,3.47,3.50,3.43,3.50,1117
24-Jul-13,3.44,3.50,3.44,3.49,1900
23-Jul-13,3.51,3.51,3.50,3.50,800
19-Jul-13,3.58,3.59,3.42,3.55,15875
18-Jul-13,3.50,3.58,3.46,3.57,5800
16-Jul-13,3.59,3.59,3.56,3.56,300
15-Jul-13,3.59,3.65,3.59,3.59,19323
12-Jul-13,3.73,3.73,3.46,3.69,1300
11-Jul-13,3.63,3.63,3.48,3.48,7902
9-Jul-13,3.52,3.60,3.52,3.57,2559
8-Jul-13,3.43,3.52,3.43,3.52,488
5-Jul-13,3.48,3.48,3.39,3.39,33965
3-Jul-13,3.50,3.51,3.46,3.48,14422
2-Jul-13,3.53,3.54,3.53,3.54,5400
1-Jul-13,3.56,3.56,3.56,3.56,100
28-Jun-13,3.52,3.61,3.52,3.61,325
27-Jun-13,3.58,3.63,3.58,3.63,1450
26-Jun-13,3.51,3.60,3.51,3.60,2700
25-Jun-13,3.51,3.60,3.51,3.60,3864
24-Jun-13,3.47,3.49,3.47,3.49,500
21-Jun-13,3.45,3.54,3.45,3.54,270
20-Jun-13,3.45,3.45,3.45,3.45,100
18-Jun-13,3.60,3.63,3.58,3.59,9440
14-Jun-13,3.54,3.56,3.50,3.50,19500
12-Jun-13,3.63,3.63,3.63,3.63,213
11-Jun-13,3.56,3.56,3.56,3.56,300
10-Jun-13,3.63,3.63,3.63,3.63,151
7-Jun-13,3.51,3.57,3.51,3.57,716
5-Jun-13,3.54,3.57,3.53,3.57,3719
4-Jun-13,3.60,3.60,3.54,3.54,4000
3-Jun-13,3.54,3.57,3.51,3.57,9426
31-May-13,3.62,3.62,3.52,3.54,7771
29-May-13,3.62,3.63,3.62,3.63,800
28-May-13,3.62,3.62,3.62,3.62,2100
24-May-13,3.62,3.64,3.55,3.63,1459
23-May-13,3.56,3.65,3.55,3.65,6550
22-May-13,3.62,3.62,3.62,3.62,5391
21-May-13,3.63,3.63,3.62,3.62,3865
20-May-13,3.65,3.70,3.62,3.65,6663
17-May-13,3.68,3.70,3.62,3.62,7240
16-May-13,3.67,3.67,3.57,3.62,2275
15-May-13,3.67,3.75,3.67,3.67,3100
14-May-13,3.75,3.75,3.71,3.71,16771
13-May-13,3.72,3.80,3.72,3.75,5245
10-May-13,3.69,3.69,3.69,3.69,1000
8-May-13,3.63,3.69,3.62,3.63,4700
7-May-13,3.65,3.81,3.65,3.72,3351
6-May-13,3.62,3.62,3.62,3.62,8674
3-May-13,3.69,3.69,3.62,3.62,1610
