Date,Open,High,Low,Close,Volume
31-Dec-13,0.51,0.53,0.49,0.53,19886
30-Dec-13,0.50,0.54,0.49,0.54,4753
27-Dec-13,0.55,0.57,0.52,0.52,8275
26-Dec-13,0.56,0.56,0.52,0.52,1901
24-Dec-13,0.56,0.57,0.49,0.57,1209
23-Dec-13,0.53,0.53,0.50,0.53,5727
20-Dec-13,0.53,0.56,0.53,0.53,8245
19-Dec-13,0.59,0.59,0.53,0.55,10243
18-Dec-13,0.60,0.61,0.55,0.55,50737
17-Dec-13,0.52,0.59,0.48,0.58,114691
16-Dec-13,0.51,0.51,0.49,0.50,15257
13-Dec-13,0.49,0.49,0.49,0.49,2000
12-Dec-13,0.48,0.49,0.48,0.49,2308
11-Dec-13,0.53,0.53,0.50,0.50,4452
10-Dec-13,0.52,0.53,0.51,0.53,3599
9-Dec-13,0.50,0.50,0.50,0.50,2570
6-Dec-13,0.50,0.50,0.50,0.50,6400
5-Dec-13,0.50,0.52,0.50,0.52,8612
4-Dec-13,0.50,0.50,0.50,0.50,7400
3-Dec-13,0.48,0.53,0.48,0.48,20238
2-Dec-13,0.56,0.56,0.54,0.54,4103
29-Nov-13,0.57,0.57,0.56,0.56,4500
27-Nov-13,0.57,0.57,0.56,0.57,11400
26-Nov-13,0.57,0.58,0.57,0.58,2900
25-Nov-13,0.59,0.59,0.56,0.57,28300
22-Nov-13,0.58,0.59,0.58,0.59,12017
21-Nov-13,0.52,0.58,0.52,0.57,25045
20-Nov-13,0.60,0.60,0.48,0.49,18182
19-Nov-13,0.59,0.60,0.59,0.59,6000
18-Nov-13,0.62,0.62,0.55,0.59,13370
15-Nov-13,0.45,0.58,0.45,0.58,49786
14-Nov-13,0.65,0.65,0.60,0.60,6900
13-Nov-13,0.65,0.66,0.56,0.66,10350
12-Nov-13,0.60,0.66,0.60,0.64,450
11-Nov-13,0.60,0.68,0.60,0.62,17882
8-Nov-13,0.70,0.70,0.60,0.60,30500
7-Nov-13,0.72,0.72,0.63,0.64,33485
6-Nov-13,0.74,0.74,0.74,0.74,100
5-Nov-13,0.70,0.75,0.70,0.75,11030
4-Nov-13,0.65,0.66,0.65,0.66,8986
1-Nov-13,0.75,0.76,0.72,0.72,7772
31-Oct-13,0.79,0.79,0.75,0.77,5600
30-Oct-13,0.79,0.79,0.75,0.75,16700
29-Oct-13,0.75,0.79,0.75,0.79,3204
28-Oct-13,0.78,0.78,0.73,0.73,2400
25-Oct-13,0.79,0.79,0.74,0.75,19000
24-Oct-13,0.79,0.79,0.79,0.79,1873
23-Oct-13,0.77,0.81,0.77,0.77,14260
22-Oct-13,0.76,0.80,0.76,0.77,14855
21-Oct-13,0.86,0.86,0.76,0.79,151004
18-Oct-13,0.82,0.89,0.82,0.86,16983
17-Oct-13,0.88,0.90,0.82,0.83,69016
16-Oct-13,1.02,1.02,0.85,0.87,146366
15-Oct-13,1.09,1.09,1.05,1.08,12652
14-Oct-13,1.09,1.09,1.05,1.05,8500
11-Oct-13,1.05,1.10,1.05,1.05,4560
10-Oct-13,1.07,1.08,1.05,1.05,9821
9-Oct-13,1.20,1.20,1.01,1.10,32650
8-Oct-13,1.27,1.27,1.06,1.06,34349
7-Oct-13,1.17,1.21,1.11,1.21,4600
4-Oct-13,1.18,1.26,1.14,1.14,16027
3-Oct-13,1.04,1.16,1.04,1.16,6539
2-Oct-13,1.11,1.12,1.02,1.09,65669
1-Oct-13,1.19,1.19,1.14,1.14,57924
30-Sep-13,1.35,1.35,1.20,1.28,22693
27-Sep-13,1.34,1.35,1.31,1.35,40965
26-Sep-13,1.25,1.34,1.25,1.34,9578
25-Sep-13,1.35,1.35,1.22,1.29,24600
24-Sep-13,1.19,1.25,1.19,1.24,24208
23-Sep-13,1.31,1.32,1.19,1.19,14400
20-Sep-13,1.28,1.28,1.18,1.28,39752
19-Sep-13,1.25,1.34,1.25,1.29,34142
18-Sep-13,1.20,1.40,1.12,1.34,87349
17-Sep-13,1.15,1.25,1.05,1.18,81402
16-Sep-13,0.95,1.40,0.95,1.18,372312
13-Sep-13,0.85,0.95,0.85,0.95,47719
12-Sep-13,0.89,0.89,0.82,0.85,8004
11-Sep-13,0.89,0.90,0.81,0.81,9646
10-Sep-13,0.92,0.95,0.91,0.95,13104
9-Sep-13,0.92,0.93,0.92,0.92,12600
6-Sep-13,0.92,0.95,0.92,0.95,16403
5-Sep-13,0.94,0.95,0.94,0.94,6671
4-Sep-13,0.95,0.95,0.92,0.94,28144
3-Sep-13,0.92,1.00,0.86,0.95,121108
30-Aug-13,0.78,0.78,0.78,0.78,165
29-Aug-13,0.85,0.86,0.78,0.78,7600
28-Aug-13,0.87,0.87,0.87,0.87,700
27-Aug-13,0.87,0.92,0.87,0.92,1245
26-Aug-13,0.92,0.92,0.87,0.89,10300
23-Aug-13,0.90,0.92,0.90,0.92,2220
22-Aug-13,0.85,0.95,0.77,0.95,52162
21-Aug-13,0.87,0.95,0.87,0.95,1975
20-Aug-13,0.91,0.97,0.86,0.96,8280
19-Aug-13,0.95,0.96,0.90,0.94,17300
16-Aug-13,0.97,0.97,0.95,0.96,700
15-Aug-13,1.00,1.00,0.95,1.00,3280
14-Aug-13,0.95,1.04,0.95,1.01,13145
13-Aug-13,0.98,1.19,0.86,0.95,211434
12-Aug-13,0.90,1.00,0.86,0.98,101863
9-Aug-13,0.83,0.90,0.83,0.85,16207
7-Aug-13,0.81,0.84,0.78,0.84,21110
6-Aug-13,0.71,0.91,0.69,0.83,34069
5-Aug-13,0.88,0.96,0.88,0.89,7055
1-Aug-13,0.95,0.95,0.95,0.95,2600
31-Jul-13,0.93,0.94,0.93,0.93,2193
30-Jul-13,0.94,1.00,0.94,0.98,4394
24-Jul-13,0.92,1.00,0.85,1.00,34465
22-Jul-13,0.91,1.00,0.89,0.96,36014
19-Jul-13,1.00,1.01,1.00,1.01,3150
18-Jul-13,1.02,1.02,1.00,1.00,13337
17-Jul-13,1.00,1.01,1.00,1.00,34611
16-Jul-13,0.96,1.00,0.96,1.00,12833
15-Jul-13,1.00,1.00,0.86,0.94,53757
12-Jul-13,0.86,0.86,0.86,0.86,300
11-Jul-13,0.90,0.90,0.87,0.87,1867
10-Jul-13,0.93,0.93,0.89,0.89,6829
9-Jul-13,0.93,0.94,0.93,0.94,3300
8-Jul-13,0.95,0.99,0.95,0.99,200
5-Jul-13,0.99,0.99,0.95,0.95,2000
2-Jul-13,0.95,0.95,0.95,0.95,100
1-Jul-13,1.02,1.02,1.00,1.00,5838
28-Jun-13,0.95,1.02,0.95,1.02,11680
27-Jun-13,1.00,1.02,0.98,0.98,13100
26-Jun-13,0.93,0.93,0.93,0.93,120
25-Jun-13,1.02,1.02,0.87,0.93,1249
24-Jun-13,1.02,1.02,1.02,1.02,100
21-Jun-13,1.02,1.02,1.02,1.02,100
20-Jun-13,0.92,1.00,0.92,1.00,8370
19-Jun-13,0.98,1.00,0.98,0.98,2972
18-Jun-13,0.93,0.97,0.92,0.92,13100
17-Jun-13,1.01,1.01,0.95,0.95,7786
14-Jun-13,1.00,1.01,1.00,1.01,9990
13-Jun-13,0.95,1.00,0.91,1.00,16594
12-Jun-13,0.93,0.93,0.92,0.93,6215
11-Jun-13,0.93,0.93,0.93,0.93,2000
10-Jun-13,0.90,0.90,0.90,0.90,2400
