Date,Open,High,Low,Close,Volume
31-Dec-13,24.50,25.40,23.80,25.20,12337
30-Dec-13,24.10,25.00,23.10,24.60,6803
27-Dec-13,24.20,24.20,23.30,24.00,4307
26-Dec-13,25.00,25.00,24.00,24.10,5903
24-Dec-13,25.00,25.00,24.80,24.90,1435
23-Dec-13,25.00,25.00,24.00,25.00,7872
20-Dec-13,24.80,25.00,24.20,24.90,11487
19-Dec-13,24.90,25.40,23.71,24.60,5261
18-Dec-13,25.30,25.50,24.70,25.20,5783
17-Dec-13,24.59,25.50,24.20,25.10,4435
16-Dec-13,24.30,25.10,23.20,24.90,8775
13-Dec-13,24.00,25.10,23.20,24.40,5688
12-Dec-13,23.70,24.70,23.00,24.00,8276
11-Dec-13,25.00,25.00,22.40,23.30,9757
10-Dec-13,23.50,26.00,23.50,24.90,9571
9-Dec-13,22.90,23.80,22.50,23.50,8630
6-Dec-13,23.50,24.00,22.40,23.00,13604
5-Dec-13,23.20,23.70,22.30,23.20,6131
4-Dec-13,25.00,25.00,23.20,23.20,12866
3-Dec-13,25.00,25.60,23.50,25.20,6564
2-Dec-13,27.50,27.50,24.70,25.00,10168
29-Nov-13,27.10,29.00,26.52,27.70,10487
27-Nov-13,26.40,28.40,24.50,28.10,14460
26-Nov-13,24.50,26.70,24.50,26.00,12268
25-Nov-13,23.80,24.80,23.80,24.30,4178
22-Nov-13,24.70,24.80,23.50,23.90,5046
21-Nov-13,24.20,25.30,23.30,24.80,11011
20-Nov-13,23.90,25.50,23.10,24.20,16597
19-Nov-13,21.40,24.50,20.60,23.90,13753
18-Nov-13,23.50,24.40,21.40,21.50,11232
15-Nov-13,23.90,25.10,22.70,23.40,13401
14-Nov-13,24.00,25.80,22.20,24.10,17733
13-Nov-13,21.50,25.60,21.50,24.20,25227
12-Nov-13,25.00,25.00,16.80,21.90,93586
11-Nov-13,28.30,35.90,26.30,28.00,87205
8-Nov-13,20.00,29.79,19.95,28.10,63027
7-Nov-13,19.90,21.00,19.70,19.80,8950
6-Nov-13,20.20,21.40,19.80,19.90,6340
5-Nov-13,20.30,20.30,19.60,20.00,8364
4-Nov-13,20.30,22.00,19.80,20.30,15541
1-Nov-13,20.50,21.10,19.90,20.20,28283
31-Oct-13,21.88,21.90,20.20,20.90,13254
30-Oct-13,21.60,22.40,20.60,20.90,11467
29-Oct-13,21.70,22.30,21.10,21.50,4553
28-Oct-13,21.80,22.00,21.30,21.60,6463
25-Oct-13,22.10,22.10,21.20,21.70,4036
24-Oct-13,21.80,23.50,21.20,22.00,8912
23-Oct-13,22.00,22.30,21.40,21.80,6608
22-Oct-13,22.30,23.90,21.60,22.20,14394
21-Oct-13,23.70,23.80,22.60,23.10,7605
18-Oct-13,24.10,24.30,23.20,23.90,7570
17-Oct-13,23.60,24.10,23.10,23.85,3383
16-Oct-13,24.00,24.40,23.60,23.80,5837
15-Oct-13,24.20,24.60,22.90,23.70,4561
14-Oct-13,24.10,24.40,23.30,24.40,3879
11-Oct-13,23.60,24.30,23.60,24.10,3930
10-Oct-13,23.80,23.80,22.51,23.60,5736
9-Oct-13,25.00,25.00,23.40,23.40,4442
8-Oct-13,25.10,25.80,25.10,25.10,3502
7-Oct-13,24.50,25.40,24.50,25.10,3938
4-Oct-13,24.50,24.90,22.10,24.80,6669
3-Oct-13,25.50,25.50,24.20,24.60,9991
2-Oct-13,25.90,26.40,25.10,25.70,4650
1-Oct-13,27.60,27.60,25.20,26.20,13085
30-Sep-13,26.90,27.90,26.50,27.20,7060
27-Sep-13,26.80,27.01,26.60,26.90,2629
26-Sep-13,27.60,27.60,26.60,26.90,3772
25-Sep-13,27.30,30.00,27.00,27.50,9496
24-Sep-13,27.40,27.60,26.80,27.30,7021
23-Sep-13,27.00,27.60,27.00,27.30,2597
20-Sep-13,27.40,27.50,27.20,27.20,10044
19-Sep-13,27.50,27.60,27.20,27.40,4454
18-Sep-13,27.04,27.60,27.00,27.50,3522
17-Sep-13,27.60,28.60,27.30,27.50,10195
16-Sep-13,27.50,27.70,27.00,27.60,18580
13-Sep-13,27.30,27.60,27.00,27.50,23354
12-Sep-13,27.30,27.50,27.10,27.40,3343
11-Sep-13,27.50,27.50,27.10,27.40,2001
10-Sep-13,27.30,27.50,26.80,27.50,5974
9-Sep-13,27.50,27.50,26.40,27.30,5370
6-Sep-13,27.30,27.50,27.00,27.30,4738
5-Sep-13,27.40,27.60,27.10,27.30,3775
4-Sep-13,27.40,27.40,26.40,27.30,4864
3-Sep-13,27.70,28.10,26.90,27.40,5084
30-Aug-13,27.40,28.20,26.70,27.40,5440
29-Aug-13,27.30,27.85,27.30,27.50,2414
28-Aug-13,27.10,27.95,26.91,27.40,2769
27-Aug-13,27.40,28.10,26.80,27.00,5134
26-Aug-13,28.60,28.60,27.40,27.70,10300
23-Aug-13,28.40,28.60,28.10,28.40,1844
22-Aug-13,28.80,28.90,28.20,28.50,2100
21-Aug-13,29.00,29.80,28.30,28.60,3674
20-Aug-13,28.20,29.70,27.80,29.00,5245
19-Aug-13,29.10,29.40,28.10,28.10,4628
16-Aug-13,29.00,30.00,28.70,29.40,7303
15-Aug-13,30.30,30.40,29.00,29.20,3770
14-Aug-13,30.10,31.00,29.91,30.50,1950
13-Aug-13,30.80,30.90,29.74,30.20,2602
12-Aug-13,30.90,31.50,30.80,30.90,2348
9-Aug-13,29.90,32.10,29.60,31.30,15947
8-Aug-13,32.90,33.00,30.00,30.40,16283
7-Aug-13,32.60,33.20,32.30,32.60,4827
6-Aug-13,33.50,33.50,32.00,32.60,9760
5-Aug-13,33.80,33.80,32.90,33.30,11465
2-Aug-13,34.20,34.20,33.01,33.60,6874
1-Aug-13,33.90,34.10,33.40,34.10,5356
31-Jul-13,33.50,34.40,33.30,34.00,4733
30-Jul-13,34.00,34.30,33.10,33.50,4111
29-Jul-13,34.70,36.25,33.50,33.80,7674
26-Jul-13,40.60,41.70,34.90,35.00,34831
25-Jul-13,41.20,43.00,41.20,42.10,8682
24-Jul-13,40.40,41.40,40.10,41.10,16094
23-Jul-13,40.50,40.50,39.51,40.40,2902
22-Jul-13,40.20,40.60,40.20,40.50,4400
19-Jul-13,40.20,40.50,40.20,40.50,2575
18-Jul-13,40.50,40.50,39.90,40.50,3930
17-Jul-13,40.00,40.50,37.70,40.50,3372
16-Jul-13,40.50,40.50,39.20,39.60,4812
15-Jul-13,40.30,40.60,40.30,40.50,3775
12-Jul-13,40.00,40.50,39.60,40.50,4384
11-Jul-13,40.00,40.50,39.60,40.20,5715
10-Jul-13,40.00,40.19,39.70,40.00,4362
9-Jul-13,39.50,40.50,38.70,40.30,5254
8-Jul-13,39.70,39.70,38.80,39.40,4450
5-Jul-13,38.40,39.70,37.50,39.60,4787
3-Jul-13,38.10,38.20,37.00,37.90,4283
2-Jul-13,37.10,37.90,36.40,37.90,11145
1-Jul-13,36.50,37.61,34.50,37.20,13057
28-Jun-13,36.20,37.20,34.40,36.10,125954
27-Jun-13,36.50,37.40,35.50,36.40,10114
26-Jun-13,36.50,37.40,35.50,36.30,9127
25-Jun-13,37.50,39.00,35.40,36.30,8532
24-Jun-13,36.80,38.25,34.65,37.20,13541
21-Jun-13,38.30,39.10,36.30,36.90,14720
20-Jun-13,39.50,40.00,37.90,38.60,5916
19-Jun-13,38.80,39.90,38.70,39.70,6624
18-Jun-13,37.20,40.50,37.10,38.80,10645
17-Jun-13,36.30,37.50,36.00,37.20,8694
14-Jun-13,36.00,36.70,35.00,36.00,9900
13-Jun-13,34.70,36.20,34.00,35.70,2747
12-Jun-13,37.40,37.40,34.80,34.80,5345
11-Jun-13,35.80,36.90,35.40,36.50,4667
10-Jun-13,34.00,36.70,33.91,36.30,6182
7-Jun-13,34.40,34.70,33.60,33.90,22681
6-Jun-13,33.70,34.30,32.80,34.00,3758
5-Jun-13,34.10,34.50,33.40,33.80,4849
4-Jun-13,34.40,35.25,32.90,34.00,10996
3-Jun-13,36.10,36.30,34.00,34.20,20580
31-May-13,36.10,36.70,35.90,36.10,7733
30-May-13,37.30,37.30,36.50,36.80,3116
29-May-13,36.70,37.50,36.10,37.20,4075
28-May-13,37.20,38.50,36.00,37.10,8620
24-May-13,35.90,37.00,35.30,36.80,3337
23-May-13,35.10,36.00,34.00,36.00,5522
22-May-13,34.90,36.60,33.70,35.70,8962
21-May-13,35.50,35.65,34.40,35.00,12604
20-May-13,31.20,35.90,30.80,35.40,15922
17-May-13,32.90,33.10,29.30,32.40,12455
16-May-13,33.80,33.80,31.50,32.90,9748
15-May-13,33.90,34.30,33.00,34.10,7198
14-May-13,35.00,35.00,33.70,34.50,6304
13-May-13,34.50,37.00,33.70,34.50,2982
10-May-13,36.20,36.39,33.50,34.10,11337
9-May-13,35.90,36.20,35.10,35.60,2517
8-May-13,36.20,36.80,35.10,36.10,2515
7-May-13,36.10,36.60,35.50,36.10,2941
6-May-13,36.20,37.00,35.40,36.00,4143
3-May-13,36.10,37.30,36.00,36.40,3373
2-May-13,35.40,37.31,35.10,35.30,4718
1-May-13,40.30,40.30,35.00,35.00,11054
30-Apr-13,34.90,38.78,34.60,38.20,4180
29-Apr-13,34.40,35.80,34.20,35.00,1278
26-Apr-13,34.50,35.90,34.50,34.50,2335
25-Apr-13,32.90,36.00,32.90,34.70,6069
24-Apr-13,33.80,34.30,32.80,33.10,3064
23-Apr-13,35.90,36.19,33.40,33.90,5468
22-Apr-13,34.60,37.40,34.60,35.60,7043
19-Apr-13,34.20,35.50,33.60,34.30,4520
18-Apr-13,34.60,35.75,33.60,34.00,4818
17-Apr-13,36.60,36.60,34.00,34.60,2691
16-Apr-13,37.20,38.00,36.20,36.40,7171
15-Apr-13,40.70,41.00,36.80,36.90,8937
12-Apr-13,43.20,43.80,40.90,41.10,10646
11-Apr-13,44.50,45.30,44.20,44.40,6220
10-Apr-13,46.70,46.70,44.50,45.50,8264
9-Apr-13,46.90,47.30,46.00,46.70,4109
8-Apr-13,49.90,49.90,46.00,46.60,11035
5-Apr-13,48.80,50.00,47.50,49.80,3721
4-Apr-13,49.80,50.10,48.30,50.10,3743
3-Apr-13,51.10,51.10,48.70,50.20,3725
2-Apr-13,51.00,51.80,49.60,50.50,4344
1-Apr-13,49.20,51.40,49.00,51.40,7429
28-Mar-13,49.80,50.20,49.00,49.60,7728
27-Mar-13,47.11,50.30,47.11,50.00,3619
26-Mar-13,50.90,50.90,48.80,50.40,4074
25-Mar-13,51.50,51.50,50.00,50.40,3910
22-Mar-13,51.00,51.70,50.20,51.40,5817
21-Mar-13,52.10,52.10,45.70,50.60,10640
20-Mar-13,54.00,54.00,50.60,53.10,7211
19-Mar-13,54.10,55.00,51.00,54.10,24810
18-Mar-13,61.60,61.60,53.40,54.90,30162
15-Mar-13,62.50,63.50,61.60,62.40,14661
14-Mar-13,63.20,63.80,61.90,62.90,13574
