Date,Open,High,Low,Close,Volume
31-Dec-13,25.90,25.90,25.80,25.80,3550
30-Dec-13,25.95,25.95,25.80,25.80,2150
27-Dec-13,25.82,25.95,25.78,25.94,1285
26-Dec-13,25.95,25.95,25.95,25.95,1412
24-Dec-13,25.90,25.90,25.90,25.90,200
23-Dec-13,26.10,26.12,25.78,26.04,19004
20-Dec-13,26.05,26.49,26.02,26.03,2846
19-Dec-13,26.00,26.25,25.90,26.25,7623
18-Dec-13,26.00,26.15,25.83,26.00,4807
17-Dec-13,26.09,26.15,26.08,26.15,1499
16-Dec-13,26.20,26.20,26.10,26.15,10937
13-Dec-13,26.10,26.20,26.08,26.20,2970
12-Dec-13,26.28,26.30,26.00,26.06,4804
11-Dec-13,26.39,26.60,26.10,26.50,5031
10-Dec-13,26.40,26.60,26.28,26.60,3259
9-Dec-13,26.40,26.40,26.40,26.40,500
6-Dec-13,26.30,26.46,26.19,26.46,4974
5-Dec-13,26.28,26.28,26.28,26.28,100
4-Dec-13,26.14,26.36,26.14,26.30,2151
3-Dec-13,26.24,26.24,26.15,26.17,2300
2-Dec-13,26.27,26.36,26.25,26.36,7567
27-Nov-13,26.25,26.30,26.18,26.30,6417
26-Nov-13,26.48,26.49,26.11,26.20,5324
25-Nov-13,26.31,26.50,26.25,26.25,5418
22-Nov-13,26.25,26.35,26.25,26.35,1473
21-Nov-13,26.30,26.30,26.29,26.29,1300
20-Nov-13,26.49,26.49,26.26,26.36,1350
19-Nov-13,26.48,26.48,26.26,26.29,2375
18-Nov-13,26.00,26.00,26.00,26.00,242
15-Nov-13,26.48,26.48,26.36,26.36,1054
14-Nov-13,26.24,26.25,26.24,26.25,1250
13-Nov-13,26.24,26.24,25.92,26.24,1400
12-Nov-13,26.06,26.06,26.06,26.06,300
11-Nov-13,26.00,26.00,25.99,26.00,2730
8-Nov-13,26.38,26.38,25.78,26.15,5815
7-Nov-13,26.50,26.50,26.44,26.44,1210
6-Nov-13,26.35,26.36,26.34,26.36,5600
5-Nov-13,26.38,26.38,26.30,26.33,1680
4-Nov-13,26.31,26.40,26.30,26.40,700
30-Oct-13,26.49,26.50,26.31,26.31,500
29-Oct-13,26.50,26.66,26.24,26.55,12840
28-Oct-13,26.28,26.48,26.23,26.48,3336
25-Oct-13,26.94,27.70,26.15,26.38,15741
24-Oct-13,25.94,25.94,25.86,25.86,900
23-Oct-13,26.15,26.21,26.00,26.00,1400
22-Oct-13,26.01,26.10,26.00,26.10,2400
21-Oct-13,25.87,26.16,25.76,26.00,7025
18-Oct-13,25.84,26.45,25.84,26.00,7498
17-Oct-13,25.60,26.00,25.60,25.83,4114
16-Oct-13,25.70,25.84,25.60,25.66,4510
15-Oct-13,25.52,25.69,25.52,25.69,3960
14-Oct-13,25.52,25.70,25.52,25.60,8593
11-Oct-13,25.60,25.84,25.60,25.80,1857
10-Oct-13,25.63,25.80,25.63,25.63,5225
9-Oct-13,25.51,25.80,25.50,25.62,5364
8-Oct-13,25.80,25.80,25.51,25.51,8125
7-Oct-13,25.73,25.80,25.50,25.70,7000
4-Oct-13,25.57,25.80,25.50,25.80,9033
3-Oct-13,25.55,25.55,25.50,25.51,6882
2-Oct-13,25.54,25.54,25.50,25.50,1481
1-Oct-13,25.40,25.53,25.37,25.50,4900
30-Sep-13,25.54,25.55,25.50,25.51,1091
27-Sep-13,25.49,25.57,25.49,25.57,1286
26-Sep-13,25.58,25.58,25.54,25.54,1200
25-Sep-13,25.58,25.58,25.35,25.41,21977
24-Sep-13,25.35,25.50,25.35,25.38,1785
23-Sep-13,25.27,25.49,25.27,25.48,1966
20-Sep-13,25.27,25.45,25.27,25.45,1864
19-Sep-13,25.50,25.50,25.29,25.40,19164
18-Sep-13,25.50,25.58,25.45,25.58,11193
17-Sep-13,25.63,25.75,25.46,25.60,21574
16-Sep-13,25.64,25.74,25.36,25.45,10015
13-Sep-13,25.56,25.57,25.33,25.45,12405
12-Sep-13,25.60,25.60,25.60,25.60,4000
11-Sep-13,25.81,25.95,25.34,25.54,2970
10-Sep-13,25.98,26.00,25.98,26.00,1100
9-Sep-13,26.00,26.15,25.85,25.85,11826
6-Sep-13,25.97,26.00,25.97,25.99,1650
5-Sep-13,26.40,26.40,25.82,25.82,5930
4-Sep-13,25.95,25.97,25.95,25.97,1501
3-Sep-13,26.06,26.25,25.79,25.79,4925
30-Aug-13,25.75,26.00,25.75,25.90,6248
29-Aug-13,25.99,25.99,25.75,25.99,750
28-Aug-13,25.66,26.00,25.66,25.75,11026
27-Aug-13,26.10,26.20,25.68,25.68,5673
26-Aug-13,25.79,26.11,25.79,26.10,4310
23-Aug-13,25.72,25.86,25.65,25.66,10740
22-Aug-13,25.75,25.75,25.60,25.65,6850
21-Aug-13,25.60,25.70,25.55,25.60,3957
20-Aug-13,25.60,25.74,25.57,25.70,9050
19-Aug-13,26.00,26.00,25.57,25.61,7290
16-Aug-13,25.60,25.99,25.60,25.99,800
15-Aug-13,25.99,26.00,25.88,25.90,3427
14-Aug-13,26.00,26.19,25.88,26.00,4145
13-Aug-13,26.00,26.20,26.00,26.00,7489
12-Aug-13,26.00,26.01,26.00,26.01,400
9-Aug-13,26.10,26.10,26.10,26.10,2035
8-Aug-13,26.10,26.11,26.10,26.11,250
7-Aug-13,26.00,26.09,26.00,26.09,1100
6-Aug-13,25.89,26.40,25.89,26.07,5981
5-Aug-13,26.06,26.25,25.93,26.00,13271
2-Aug-13,26.05,26.20,26.05,26.05,3730
1-Aug-13,26.23,26.23,26.02,26.23,1680
31-Jul-13,26.31,26.31,26.01,26.05,2431
30-Jul-13,26.02,27.11,26.00,26.10,7823
29-Jul-13,26.01,26.02,26.00,26.00,10557
26-Jul-13,26.00,26.01,26.00,26.00,2100
25-Jul-13,26.09,26.09,26.00,26.05,2325
24-Jul-13,26.00,26.09,26.00,26.02,1630
23-Jul-13,26.06,26.09,25.89,26.09,5194
22-Jul-13,26.05,26.05,25.88,26.00,3312
19-Jul-13,25.96,25.96,25.90,25.90,300
18-Jul-13,25.80,26.06,25.80,25.85,6508
17-Jul-13,25.75,25.87,25.75,25.76,2502
16-Jul-13,25.77,25.99,25.77,25.98,4347
15-Jul-13,25.90,25.97,25.68,25.85,3550
12-Jul-13,25.88,25.95,25.75,25.95,4200
11-Jul-13,25.94,25.94,25.94,25.94,400
10-Jul-13,25.72,25.95,25.72,25.76,3670
9-Jul-13,25.68,26.05,25.68,25.80,10258
8-Jul-13,25.81,25.81,25.70,25.75,8550
5-Jul-13,26.00,26.00,25.75,25.75,1950
3-Jul-13,25.75,25.95,25.75,25.85,4096
2-Jul-13,25.80,25.80,25.75,25.78,4085
1-Jul-13,26.00,26.01,25.75,25.80,5740
28-Jun-13,26.00,26.00,25.76,25.84,3625
27-Jun-13,26.00,26.25,25.95,25.99,6150
26-Jun-13,25.70,26.24,25.65,25.75,3000
25-Jun-13,25.51,26.33,25.51,25.65,7437
24-Jun-13,25.51,25.60,25.50,25.55,6240
21-Jun-13,25.90,26.10,25.30,25.96,13053
20-Jun-13,25.56,25.89,25.56,25.89,400
19-Jun-13,25.34,25.95,25.34,25.80,13410
18-Jun-13,25.39,25.45,25.31,25.32,8976
17-Jun-13,25.16,25.40,25.16,25.18,11085
14-Jun-13,25.30,25.30,25.12,25.17,1528
13-Jun-13,25.30,25.30,25.20,25.25,13960
12-Jun-13,25.12,25.48,25.12,25.36,4500
11-Jun-13,25.77,25.88,25.75,25.80,16399
10-Jun-13,25.96,26.10,25.95,26.09,12900
7-Jun-13,26.05,26.10,25.94,25.94,5660
6-Jun-13,26.00,26.00,25.75,25.85,5800
5-Jun-13,25.90,26.06,25.90,26.06,5108
4-Jun-13,26.08,26.08,25.90,25.90,9800
3-Jun-13,25.88,26.06,25.88,26.06,810
31-May-13,25.99,26.00,25.85,25.85,6463
30-May-13,25.99,26.04,25.90,25.99,12056
29-May-13,25.74,25.91,25.74,25.85,2900
28-May-13,25.94,25.95,25.75,25.90,8973
24-May-13,25.88,25.92,25.80,25.80,8855
23-May-13,25.67,25.77,25.67,25.77,1898
22-May-13,25.85,25.85,25.65,25.75,13952
21-May-13,25.84,25.88,25.80,25.85,7710
20-May-13,25.99,25.99,25.74,25.86,5852
17-May-13,25.82,25.89,25.74,25.76,4160
16-May-13,25.85,25.85,25.72,25.75,6814
15-May-13,25.75,25.88,25.65,25.65,10528
14-May-13,25.74,25.75,25.70,25.70,10230
13-May-13,25.68,25.75,25.68,25.75,6250
10-May-13,25.66,25.70,25.61,25.61,1794
9-May-13,25.66,25.75,25.65,25.70,9955
8-May-13,25.50,25.66,25.50,25.66,5788
7-May-13,25.58,25.59,25.57,25.58,2940
6-May-13,25.64,25.64,25.56,25.57,2616
3-May-13,25.59,25.64,25.59,25.64,6271
2-May-13,25.59,25.60,25.57,25.58,6723
1-May-13,25.53,25.60,25.52,25.56,6880
30-Apr-13,25.60,25.60,25.53,25.60,6657
29-Apr-13,25.60,25.60,25.51,25.59,8205
26-Apr-13,25.57,25.57,25.53,25.56,2550
25-Apr-13,25.57,25.57,25.51,25.57,9162
24-Apr-13,25.63,25.67,25.50,25.56,29499
23-Apr-13,25.67,25.67,25.55,25.56,15008
22-Apr-13,25.64,25.65,25.56,25.56,3490
