Date,Open,High,Low,Close,Volume
31-Dec-13,17.40,17.83,17.35,17.78,294662
30-Dec-13,17.67,17.88,17.33,17.50,305905
27-Dec-13,17.81,17.99,17.66,17.83,287052
26-Dec-13,17.85,17.91,17.41,17.57,208377
24-Dec-13,17.86,17.90,17.70,17.80,54453
23-Dec-13,17.82,17.99,17.70,17.81,311136
20-Dec-13,17.83,17.90,17.46,17.72,598861
19-Dec-13,17.67,18.11,17.41,17.83,358339
18-Dec-13,17.82,17.86,17.28,17.79,352090
17-Dec-13,17.67,18.03,17.51,17.86,457488
16-Dec-13,18.00,18.00,17.50,17.71,529935
13-Dec-13,17.24,17.96,17.14,17.96,672398
12-Dec-13,17.06,17.54,17.06,17.23,411523
11-Dec-13,17.76,17.94,17.16,17.18,528066
10-Dec-13,17.72,17.93,17.60,17.78,498692
9-Dec-13,18.21,18.27,17.24,17.82,1129795
6-Dec-13,18.87,18.98,18.10,18.29,607109
5-Dec-13,18.62,19.10,18.50,18.81,478367
4-Dec-13,18.93,19.05,18.43,18.86,790278
3-Dec-13,19.25,19.88,18.57,18.67,1555187
2-Dec-13,19.00,19.00,18.44,18.96,474654
29-Nov-13,18.42,19.07,18.41,18.97,565688
27-Nov-13,18.36,18.68,18.04,18.41,711593
26-Nov-13,19.88,19.88,17.94,18.18,1556931
25-Nov-13,18.77,18.95,18.17,18.86,1100283
22-Nov-13,19.06,19.47,18.73,18.99,845406
21-Nov-13,18.69,18.90,18.47,18.74,545059
20-Nov-13,18.66,18.91,18.25,18.42,425943
19-Nov-13,17.89,18.74,17.89,18.54,1201123
18-Nov-13,17.71,19.02,17.71,17.95,1061516
15-Nov-13,18.79,19.57,18.79,19.25,1114196
14-Nov-13,18.74,19.30,18.38,18.77,1147868
13-Nov-13,18.16,18.80,17.81,18.79,627188
12-Nov-13,17.38,18.30,17.33,18.10,976599
11-Nov-13,17.00,17.45,16.88,17.32,601888
8-Nov-13,16.35,17.08,16.30,17.05,543051
7-Nov-13,16.81,16.88,16.26,16.35,469196
6-Nov-13,17.18,17.35,16.65,16.88,662683
5-Nov-13,17.14,17.23,16.73,17.05,1059811
4-Nov-13,17.59,17.71,17.06,17.25,570497
1-Nov-13,17.53,17.70,17.34,17.57,492980
31-Oct-13,16.92,17.74,16.88,17.53,691875
30-Oct-13,17.35,17.60,16.71,17.03,857709
29-Oct-13,17.14,17.50,16.49,17.34,1005788
28-Oct-13,17.32,17.77,16.90,16.96,1144274
25-Oct-13,18.55,18.60,17.37,17.59,2094710
24-Oct-13,19.35,19.35,18.60,18.66,933602
23-Oct-13,19.77,19.92,18.66,19.41,1362270
22-Oct-13,20.29,20.38,19.60,19.96,958149
21-Oct-13,19.61,20.21,19.50,20.17,1010190
18-Oct-13,19.70,20.25,19.43,19.71,794633
