Date,Open,High,Low,Close,Volume
31-Dec-13,19.45,19.56,19.45,19.55,927
30-Dec-13,19.84,19.84,19.84,19.84,232
27-Dec-13,19.63,19.86,19.63,19.86,489
23-Dec-13,19.52,19.52,19.46,19.46,444
20-Dec-13,19.85,19.86,19.40,19.45,1589
19-Dec-13,19.50,19.64,19.40,19.64,1588
18-Dec-13,19.85,19.85,19.85,19.85,251
17-Dec-13,19.51,19.82,19.50,19.55,2469
16-Dec-13,19.25,19.85,19.25,19.63,3987
13-Dec-13,19.03,20.05,19.00,19.13,2639
12-Dec-13,19.19,19.57,18.90,19.57,3207
11-Dec-13,18.79,19.85,18.79,19.10,3279
10-Dec-13,20.10,20.10,18.46,18.94,14497
9-Dec-13,20.05,20.25,20.05,20.25,1226
6-Dec-13,20.07,20.08,20.06,20.06,500
5-Dec-13,20.19,20.25,20.05,20.05,3350
4-Dec-13,20.01,20.12,20.01,20.11,1200
3-Dec-13,20.20,20.25,20.05,20.25,2184
2-Dec-13,20.27,20.27,20.27,20.27,159
29-Nov-13,20.25,20.25,20.01,20.03,6514
27-Nov-13,20.23,20.23,20.06,20.06,464
26-Nov-13,20.01,20.25,20.01,20.04,4473
25-Nov-13,20.11,20.20,20.01,20.20,1450
22-Nov-13,20.33,20.33,20.20,20.20,1800
21-Nov-13,20.25,20.25,20.24,20.25,4800
20-Nov-13,20.01,20.25,20.01,20.25,1100
19-Nov-13,20.22,20.25,20.01,20.01,5671
18-Nov-13,20.38,20.38,20.12,20.28,997
15-Nov-13,20.08,20.49,20.07,20.49,1700
14-Nov-13,20.22,20.74,20.12,20.20,6013
13-Nov-13,20.50,20.50,20.50,20.50,450
12-Nov-13,20.71,20.99,20.51,20.51,680
11-Nov-13,20.76,21.24,20.42,20.75,3017
8-Nov-13,20.13,20.60,20.13,20.60,621
7-Nov-13,21.00,21.00,20.01,20.60,2147
6-Nov-13,20.99,20.99,20.79,20.97,1039
5-Nov-13,20.35,21.00,20.35,20.57,3704
4-Nov-13,20.70,20.70,20.25,20.41,1100
1-Nov-13,20.98,20.98,20.65,20.65,1300
31-Oct-13,20.17,20.61,19.54,20.47,5331
30-Oct-13,20.38,20.48,19.60,20.18,1200
29-Oct-13,20.12,20.12,20.12,20.12,200
28-Oct-13,20.46,20.46,19.67,20.45,1200
25-Oct-13,20.33,20.49,20.31,20.31,1981
24-Oct-13,20.49,20.49,20.32,20.38,595
23-Oct-13,20.20,20.20,19.80,20.07,2474
22-Oct-13,19.47,20.49,19.47,20.17,3302
21-Oct-13,20.10,20.39,20.10,20.13,1204
18-Oct-13,19.50,20.37,19.50,19.95,2760
17-Oct-13,20.05,20.72,19.70,19.94,7477
16-Oct-13,20.10,20.21,19.52,20.05,4308
15-Oct-13,19.70,20.99,19.68,20.21,3535
14-Oct-13,20.47,20.72,19.14,20.01,1295
11-Oct-13,19.92,20.94,19.71,20.07,4959
10-Oct-13,19.74,21.50,19.61,19.88,11921
9-Oct-13,19.32,20.30,19.32,19.65,4124
8-Oct-13,19.74,19.75,19.25,19.49,1010
7-Oct-13,19.87,20.83,19.50,19.50,5005
4-Oct-13,21.06,21.06,19.42,20.09,6218
3-Oct-13,21.23,21.23,20.01,21.07,1910
2-Oct-13,21.99,22.00,21.24,21.24,10819
1-Oct-13,21.00,21.99,20.97,21.95,7874
30-Sep-13,19.55,20.25,19.21,20.05,3013
27-Sep-13,20.03,20.03,19.88,19.88,600
26-Sep-13,19.64,20.60,19.58,20.12,13305
25-Sep-13,18.87,19.41,18.78,19.40,9432
24-Sep-13,18.76,18.87,18.40,18.87,1112
23-Sep-13,18.60,18.67,18.46,18.67,3618
20-Sep-13,18.15,18.84,18.15,18.84,13858
19-Sep-13,17.76,18.43,17.76,18.15,5176
18-Sep-13,17.39,18.36,17.37,17.88,3741
17-Sep-13,17.41,17.60,17.00,17.23,6626
16-Sep-13,17.63,17.67,17.22,17.22,5472
13-Sep-13,17.90,17.90,17.05,17.68,2826
12-Sep-13,18.13,18.13,17.01,17.56,4508
11-Sep-13,18.18,18.69,18.13,18.14,2612
10-Sep-13,18.40,18.66,18.14,18.40,3080
9-Sep-13,18.39,18.71,18.16,18.37,1550
6-Sep-13,18.66,18.66,18.13,18.16,4726
5-Sep-13,18.25,18.48,18.25,18.48,1300
4-Sep-13,18.53,18.53,18.16,18.16,989
3-Sep-13,18.87,18.87,18.54,18.61,2448
30-Aug-13,18.50,18.50,18.50,18.50,301
29-Aug-13,18.25,18.85,18.25,18.46,1938
28-Aug-13,18.22,18.22,18.22,18.22,314
27-Aug-13,18.43,18.43,18.13,18.20,2624
26-Aug-13,18.60,18.61,18.32,18.47,6728
23-Aug-13,18.70,18.97,18.20,18.70,4836
22-Aug-13,17.66,18.90,17.66,18.90,1801
21-Aug-13,18.33,18.75,17.10,17.98,7729
20-Aug-13,18.63,18.63,18.36,18.36,300
19-Aug-13,18.36,18.36,18.36,18.36,400
16-Aug-13,18.52,18.52,17.90,18.20,6477
15-Aug-13,18.84,18.84,18.37,18.37,300
14-Aug-13,18.78,19.00,18.64,19.00,6690
13-Aug-13,18.85,18.85,18.33,18.45,4436
12-Aug-13,18.57,18.88,18.57,18.87,3390
9-Aug-13,18.37,18.84,18.37,18.84,1500
8-Aug-13,18.63,18.63,18.60,18.63,1300
7-Aug-13,18.62,18.80,18.62,18.66,1250
6-Aug-13,19.00,19.15,18.32,18.75,2620
5-Aug-13,18.29,18.83,18.00,18.40,14076
2-Aug-13,17.83,18.50,17.50,18.02,19000
1-Aug-13,17.36,17.90,17.25,17.90,11951
31-Jul-13,17.45,17.49,16.85,17.44,5914
30-Jul-13,17.54,17.54,17.07,17.25,8317
29-Jul-13,16.90,17.69,16.50,17.54,9011
25-Jul-13,16.31,16.86,16.21,16.31,1740
24-Jul-13,16.72,16.81,16.03,16.55,1800
23-Jul-13,16.48,16.99,16.40,16.61,4477
22-Jul-13,16.00,16.40,16.00,16.40,1300
19-Jul-13,15.98,15.98,15.90,15.90,673
18-Jul-13,16.28,16.28,16.28,16.28,100
17-Jul-13,16.20,16.20,16.20,16.20,500
16-Jul-13,15.90,15.90,15.90,15.90,103
12-Jul-13,15.90,15.90,15.90,15.90,500
11-Jul-13,15.60,15.95,15.60,15.95,985
10-Jul-13,15.85,15.85,15.52,15.52,800
9-Jul-13,15.90,15.90,15.89,15.89,200
8-Jul-13,15.55,15.90,15.55,15.75,2473
5-Jul-13,15.39,15.86,15.39,15.86,200
3-Jul-13,15.36,15.36,15.36,15.36,100
2-Jul-13,15.21,15.30,15.21,15.30,330
1-Jul-13,15.25,15.25,15.25,15.25,131
28-Jun-13,15.84,15.90,15.69,15.82,3157
27-Jun-13,15.19,15.96,15.18,15.96,3400
26-Jun-13,15.47,15.47,15.47,15.47,101
25-Jun-13,15.36,15.36,15.36,15.36,300
24-Jun-13,15.68,15.68,15.18,15.18,650
21-Jun-13,15.80,15.80,15.80,15.80,534
20-Jun-13,15.75,15.87,15.43,15.87,1481
19-Jun-13,16.13,16.15,16.00,16.09,469
18-Jun-13,16.00,16.00,15.90,15.91,600
17-Jun-13,16.17,16.24,15.60,16.24,940
14-Jun-13,16.00,16.00,16.00,16.00,400
13-Jun-13,15.96,16.00,15.96,16.00,500
12-Jun-13,15.73,15.73,15.73,15.73,100
10-Jun-13,16.13,16.13,15.77,15.79,1400
7-Jun-13,15.85,15.85,15.85,15.85,197
6-Jun-13,16.10,16.10,15.61,15.81,1338
5-Jun-13,16.95,16.95,15.88,15.88,9278
4-Jun-13,16.12,16.12,16.03,16.03,200
3-Jun-13,15.80,16.40,15.80,16.09,2868
31-May-13,16.51,16.51,15.56,16.46,1520
30-May-13,16.37,16.77,16.35,16.77,1600
29-May-13,16.95,16.95,16.23,16.23,1938
28-May-13,16.38,16.70,16.38,16.63,2383
24-May-13,16.22,16.49,16.22,16.49,5820
23-May-13,15.98,16.30,15.93,16.26,1373
22-May-13,16.21,16.21,16.21,16.21,119
21-May-13,16.25,16.35,16.25,16.27,1400
20-May-13,16.25,16.26,16.25,16.25,2635
17-May-13,16.42,16.42,16.10,16.10,994
16-May-13,16.22,16.22,16.01,16.01,465
15-May-13,16.20,16.30,16.15,16.15,7500
14-May-13,15.50,16.25,15.50,16.10,5200
13-May-13,15.36,15.36,15.36,15.36,1720
10-May-13,15.95,16.18,15.95,16.18,395
9-May-13,16.06,16.06,15.91,15.91,751
8-May-13,15.96,15.96,15.91,15.91,1300
7-May-13,16.30,16.30,15.91,15.93,1671
6-May-13,16.35,16.35,16.15,16.15,790
3-May-13,16.00,16.33,15.95,15.99,7859
2-May-13,15.56,16.10,15.56,15.99,5450
1-May-13,15.48,15.50,15.48,15.50,300
30-Apr-13,15.36,15.36,15.25,15.36,1190
29-Apr-13,15.66,15.70,15.65,15.65,777
26-Apr-13,15.99,15.99,15.63,15.70,910
25-Apr-13,16.49,16.49,15.53,15.63,3200
24-Apr-13,15.41,16.39,15.41,16.39,1950
23-Apr-13,16.31,16.31,15.30,15.45,1688
22-Apr-13,15.83,16.03,15.83,16.00,8904
19-Apr-13,14.95,14.95,14.95,14.95,300
17-Apr-13,15.14,15.14,15.06,15.08,700
16-Apr-13,14.88,15.00,14.88,14.98,1600
15-Apr-13,14.88,14.90,14.55,14.90,842
12-Apr-13,15.08,15.08,14.80,14.90,4835
11-Apr-13,15.18,15.19,15.08,15.15,850
10-Apr-13,14.94,15.24,14.74,14.79,2487
9-Apr-13,15.47,15.48,15.01,15.06,1300
8-Apr-13,14.76,15.03,14.76,15.03,1984
5-Apr-13,15.00,15.00,15.00,15.00,180
4-Apr-13,15.23,15.23,15.20,15.20,591
1-Apr-13,15.00,15.44,14.96,15.44,2634
28-Mar-13,15.05,15.17,15.05,15.12,1720
27-Mar-13,15.00,15.10,15.00,15.05,4258
26-Mar-13,15.03,15.17,15.03,15.09,2873
25-Mar-13,14.96,14.96,14.96,14.96,130
22-Mar-13,14.97,15.03,14.57,14.75,700
21-Mar-13,15.00,15.19,15.00,15.19,580
20-Mar-13,15.18,15.21,14.75,15.15,5636
19-Mar-13,14.88,14.88,14.56,14.56,600
15-Mar-13,15.34,15.34,15.18,15.18,2311
14-Mar-13,15.12,15.78,15.10,15.11,1124
13-Mar-13,15.45,15.45,14.94,15.14,1913
12-Mar-13,14.88,15.50,14.88,15.47,1050
7-Mar-13,15.02,15.13,14.76,15.00,1018
4-Mar-13,14.93,15.77,14.93,14.94,800
1-Mar-13,16.13,16.13,14.75,14.81,550
28-Feb-13,14.76,14.76,14.70,14.70,261
26-Feb-13,15.10,15.10,15.10,15.10,100
25-Feb-13,15.14,15.25,14.34,15.23,6265
22-Feb-13,15.65,15.90,15.11,15.15,797
21-Feb-13,15.41,15.70,15.35,15.55,2350
20-Feb-13,15.59,16.35,15.50,15.50,34630
19-Feb-13,15.35,15.62,15.35,15.62,774
15-Feb-13,15.56,15.56,15.51,15.55,882
14-Feb-13,15.99,16.00,15.62,15.62,1964
13-Feb-13,15.58,15.65,15.58,15.61,915
12-Feb-13,15.52,15.53,15.51,15.53,734
11-Feb-13,15.51,16.20,15.51,15.62,950
8-Feb-13,15.85,16.05,15.70,15.88,2437
7-Feb-13,16.20,16.20,15.65,15.99,2479
6-Feb-13,15.90,16.43,15.90,16.43,1264
5-Feb-13,15.98,15.98,15.55,15.95,1200
4-Feb-13,16.00,16.16,15.55,16.16,1001
1-Feb-13,16.05,16.05,16.00,16.00,200
31-Jan-13,16.10,16.15,15.98,16.15,2744
30-Jan-13,15.70,16.05,15.70,16.00,4456
29-Jan-13,16.19,16.93,15.68,16.40,4850
28-Jan-13,16.33,16.33,15.52,16.30,3100
25-Jan-13,15.30,16.82,15.30,16.33,12509
24-Jan-13,16.25,16.82,15.73,16.81,7468
23-Jan-13,16.00,16.25,15.87,16.25,2484
22-Jan-13,16.26,16.50,15.73,15.82,1832
18-Jan-13,16.23,16.23,16.23,16.23,195
17-Jan-13,16.47,16.60,15.70,16.46,8629
16-Jan-13,16.50,16.50,15.76,16.38,1952
15-Jan-13,15.92,16.50,15.92,16.50,893
14-Jan-13,16.18,16.55,16.00,16.15,5155
11-Jan-13,15.50,16.00,15.12,16.00,6840
10-Jan-13,15.05,15.45,15.05,15.45,4900
9-Jan-13,14.99,15.20,14.99,15.05,1979
8-Jan-13,15.17,15.17,14.95,15.09,2600
7-Jan-13,14.00,14.60,14.00,14.60,6252
4-Jan-13,13.91,14.59,13.91,14.00,1542
3-Jan-13,13.72,14.00,13.72,14.00,2260
2-Jan-13,13.80,14.00,13.56,13.56,3590
31-Dec-12,13.18,13.96,13.18,13.96,2400
28-Dec-12,13.19,13.45,13.19,13.35,2580
27-Dec-12,13.24,13.42,13.24,13.31,600
26-Dec-12,13.12,13.23,13.12,13.23,555
24-Dec-12,13.44,13.44,13.07,13.39,1700
21-Dec-12,13.77,13.78,13.77,13.78,523
20-Dec-12,14.00,14.00,13.50,13.83,680
18-Dec-12,13.76,14.32,13.76,13.84,3778
17-Dec-12,13.43,14.52,13.40,13.80,1900
14-Dec-12,13.30,13.65,13.30,13.65,2372
13-Dec-12,13.49,13.49,13.25,13.40,1048
12-Dec-12,13.85,13.89,13.67,13.67,900
11-Dec-12,13.50,13.96,13.50,13.79,4456
10-Dec-12,13.46,14.44,13.26,13.51,3682
7-Dec-12,13.46,14.80,13.03,13.17,2796
6-Dec-12,13.60,13.60,13.50,13.50,600
5-Dec-12,13.70,13.70,13.42,13.42,1928
4-Dec-12,13.66,15.00,13.42,13.46,4334
3-Dec-12,13.70,13.70,13.70,13.70,765
30-Nov-12,14.78,14.78,13.14,13.60,13891
29-Nov-12,14.72,15.17,14.01,14.90,605
28-Nov-12,14.85,14.85,14.85,14.85,100
27-Nov-12,14.33,14.48,14.31,14.44,2100
26-Nov-12,15.20,15.20,14.00,14.64,700
21-Nov-12,14.01,14.07,14.01,14.07,659
20-Nov-12,14.29,14.29,14.03,14.05,1364
19-Nov-12,14.25,14.25,13.75,14.07,3864
16-Nov-12,14.00,14.49,13.75,14.00,3600
15-Nov-12,14.05,14.05,14.00,14.00,1900
14-Nov-12,13.95,14.01,13.50,14.01,900
13-Nov-12,13.99,14.00,13.99,14.00,623
12-Nov-12,13.46,13.98,13.46,13.98,1700
9-Nov-12,14.12,14.12,13.51,13.51,2700
8-Nov-12,14.19,14.59,14.16,14.16,1410
7-Nov-12,14.15,14.15,14.09,14.09,818
6-Nov-12,14.00,14.40,14.00,14.15,1018
5-Nov-12,14.22,14.22,14.00,14.00,1088
2-Nov-12,-,-,-,14.05,0
1-Nov-12,-,-,-,14.05,0
31-Oct-12,-,-,-,14.05,0
26-Oct-12,14.00,14.00,14.00,14.00,300
25-Oct-12,14.00,14.00,13.98,14.00,3441
24-Oct-12,14.05,14.07,14.05,14.07,1000
23-Oct-12,14.03,14.05,14.00,14.05,4937
22-Oct-12,14.25,14.25,14.20,14.22,1148
19-Oct-12,14.30,14.30,14.03,14.10,3321
18-Oct-12,14.27,14.46,14.00,14.31,6908
17-Oct-12,14.25,14.40,14.00,14.00,2455
16-Oct-12,13.92,14.67,13.91,14.57,2325
15-Oct-12,13.80,14.30,13.80,14.00,7928
12-Oct-12,13.50,14.14,13.50,13.80,9835
11-Oct-12,13.48,13.70,13.48,13.50,5436
10-Oct-12,13.59,13.70,13.46,13.50,8885
9-Oct-12,13.75,13.75,13.05,13.18,3052
8-Oct-12,13.20,13.56,13.17,13.31,948
5-Oct-12,13.47,13.64,13.47,13.60,822
4-Oct-12,13.53,13.69,13.06,13.18,1300
3-Oct-12,13.60,13.60,13.60,13.60,594
2-Oct-12,13.59,13.59,13.59,13.59,381
1-Oct-12,13.68,13.70,13.68,13.70,1919
28-Sep-12,13.36,13.36,13.36,13.36,113
27-Sep-12,13.47,13.47,13.34,13.34,1252
26-Sep-12,13.29,13.70,13.07,13.70,400
25-Sep-12,13.56,13.80,13.05,13.10,1602
24-Sep-12,13.95,13.95,13.50,13.50,3080
21-Sep-12,14.00,14.00,13.95,13.95,1826
20-Sep-12,13.19,13.38,13.14,13.38,3590
19-Sep-12,13.47,13.96,13.47,13.66,6200
18-Sep-12,13.23,13.54,13.23,13.27,1538
17-Sep-12,13.20,13.25,13.20,13.24,1750
14-Sep-12,12.89,13.24,12.70,13.08,21179
13-Sep-12,12.79,12.89,12.61,12.62,1000
12-Sep-12,12.76,12.95,12.60,12.95,6433
11-Sep-12,12.95,12.95,12.52,12.63,1606
10-Sep-12,12.87,12.95,12.75,12.85,9323
7-Sep-12,12.36,12.74,12.27,12.69,2930
6-Sep-12,12.27,12.49,12.24,12.31,40520
5-Sep-12,13.00,13.00,12.45,12.51,22445
4-Sep-12,12.09,12.93,12.09,12.85,33596
31-Aug-12,12.63,12.63,12.02,12.20,12945
30-Aug-12,12.35,12.55,12.00,12.45,15580
29-Aug-12,12.30,12.60,12.00,12.60,17331
28-Aug-12,12.48,12.48,12.20,12.32,6451
27-Aug-12,12.70,12.70,12.46,12.65,8609
24-Aug-12,12.70,12.70,12.55,12.70,7250
23-Aug-12,12.75,12.87,12.75,12.87,2900
22-Aug-12,12.53,13.00,12.51,12.80,11669
21-Aug-12,12.85,12.85,12.71,12.85,6750
20-Aug-12,12.56,12.96,12.51,12.96,11912
17-Aug-12,12.83,12.83,12.66,12.66,322
16-Aug-12,13.13,13.13,12.75,12.93,5002
15-Aug-12,12.55,13.23,12.50,13.23,20772
14-Aug-12,13.02,13.02,13.00,13.00,300
13-Aug-12,13.00,13.08,13.00,13.00,4495
10-Aug-12,13.28,13.28,12.75,13.00,5217
9-Aug-12,12.73,13.00,12.73,13.00,5400
8-Aug-12,12.61,13.03,12.55,13.03,11354
7-Aug-12,12.85,12.98,12.60,12.73,11049
6-Aug-12,13.05,13.16,12.97,12.99,8772
3-Aug-12,12.99,13.08,12.50,13.08,1627
2-Aug-12,13.22,13.22,13.19,13.19,852
1-Aug-12,13.10,13.10,13.10,13.10,200
31-Jul-12,13.44,13.44,13.16,13.40,2480
30-Jul-12,13.50,13.50,13.14,13.30,5141
27-Jul-12,13.10,13.50,13.10,13.50,2498
26-Jul-12,13.37,13.75,13.15,13.20,1700
25-Jul-12,13.21,13.50,13.07,13.20,8155
24-Jul-12,13.42,13.65,13.42,13.43,900
23-Jul-12,13.10,13.46,13.03,13.37,1802
20-Jul-12,-,-,-,13.11,0
