Date,Open,High,Low,Close,Volume
31-Dec-13,1.68,1.86,1.68,1.79,70750
30-Dec-13,1.72,1.75,1.61,1.72,97834
27-Dec-13,1.68,1.69,1.66,1.69,7220
26-Dec-13,1.70,1.72,1.66,1.71,29105
24-Dec-13,1.68,1.75,1.68,1.73,16791
23-Dec-13,1.65,1.75,1.65,1.67,50340
20-Dec-13,1.76,1.76,1.62,1.62,70169
19-Dec-13,1.81,1.84,1.67,1.69,89169
18-Dec-13,1.73,1.79,1.69,1.78,33589
17-Dec-13,1.73,1.76,1.71,1.76,16449
16-Dec-13,1.75,1.78,1.70,1.70,42571
13-Dec-13,1.76,1.80,1.70,1.70,33586
12-Dec-13,1.80,1.81,1.75,1.79,26003
11-Dec-13,1.85,1.85,1.78,1.82,33155
10-Dec-13,1.80,1.87,1.75,1.86,27810
9-Dec-13,1.73,1.87,1.69,1.84,26399
6-Dec-13,1.74,1.76,1.68,1.69,18500
5-Dec-13,1.81,1.86,1.75,1.75,39122
4-Dec-13,1.80,1.86,1.77,1.78,18118
3-Dec-13,1.81,1.86,1.75,1.75,10604
2-Dec-13,1.82,1.87,1.79,1.80,64218
29-Nov-13,1.83,1.84,1.82,1.82,8470
27-Nov-13,1.83,1.83,1.80,1.81,17159
26-Nov-13,1.83,1.86,1.80,1.80,28642
25-Nov-13,1.87,1.87,1.83,1.83,27789
22-Nov-13,1.75,1.87,1.75,1.87,62376
21-Nov-13,1.67,1.67,1.63,1.65,33692
20-Nov-13,1.74,1.74,1.63,1.69,58609
19-Nov-13,1.84,1.85,1.75,1.75,61567
18-Nov-13,1.87,1.87,1.83,1.84,58536
15-Nov-13,1.87,1.92,1.83,1.87,43304
14-Nov-13,2.10,2.10,1.90,1.90,49971
13-Nov-13,2.25,2.26,1.90,2.10,68277
12-Nov-13,2.25,2.30,2.25,2.27,13692
11-Nov-13,2.34,2.34,2.25,2.28,16695
8-Nov-13,2.36,2.36,2.31,2.32,7349
7-Nov-13,2.36,2.44,2.36,2.39,3423
6-Nov-13,2.36,2.45,2.36,2.36,9432
5-Nov-13,2.39,2.39,2.35,2.35,3910
4-Nov-13,2.48,2.48,2.38,2.38,1065
1-Nov-13,2.35,2.40,2.35,2.37,5397
31-Oct-13,2.37,2.37,2.35,2.35,10171
30-Oct-13,2.46,2.49,2.41,2.49,13700
29-Oct-13,2.45,2.48,2.41,2.48,3156
28-Oct-13,2.44,2.45,2.35,2.42,13351
25-Oct-13,2.40,2.41,2.38,2.40,9488
24-Oct-13,2.38,2.45,2.38,2.41,3203
23-Oct-13,2.40,2.42,2.36,2.40,12300
22-Oct-13,2.35,2.40,2.34,2.38,3150
21-Oct-13,2.33,2.44,2.31,2.40,8361
18-Oct-13,2.39,2.41,2.36,2.38,6727
17-Oct-13,2.36,2.41,2.36,2.40,15867
16-Oct-13,2.36,2.37,2.31,2.33,5758
15-Oct-13,2.37,2.40,2.35,2.39,7873
14-Oct-13,2.35,2.39,2.35,2.39,1856
11-Oct-13,2.30,2.35,2.30,2.35,7081
10-Oct-13,2.30,2.32,2.28,2.30,3675
9-Oct-13,2.34,2.34,2.31,2.31,1600
8-Oct-13,2.39,2.39,2.35,2.37,25224
7-Oct-13,2.34,2.36,2.34,2.35,6000
4-Oct-13,2.36,2.40,2.35,2.36,4131
3-Oct-13,2.35,2.35,2.29,2.35,4675
2-Oct-13,2.40,2.44,2.31,2.34,20128
1-Oct-13,2.38,2.38,2.36,2.38,7751
30-Sep-13,2.37,2.37,2.30,2.32,3585
27-Sep-13,2.32,2.38,2.26,2.38,8719
26-Sep-13,2.15,2.33,2.15,2.33,3401
25-Sep-13,2.34,2.36,2.20,2.34,4976
24-Sep-13,2.27,2.34,2.23,2.34,8658
23-Sep-13,2.28,2.31,2.24,2.25,35995
20-Sep-13,2.24,2.34,2.22,2.32,25090
19-Sep-13,2.31,2.31,2.27,2.28,23088
18-Sep-13,2.36,2.36,2.30,2.33,29297
17-Sep-13,2.36,2.41,2.36,2.37,8035
16-Sep-13,2.47,2.49,2.31,2.36,11610
13-Sep-13,2.50,2.50,2.48,2.48,2110
12-Sep-13,2.49,2.53,2.45,2.45,4163
11-Sep-13,2.46,2.57,2.46,2.50,12881
10-Sep-13,2.51,2.57,2.46,2.49,27551
9-Sep-13,2.57,2.57,2.48,2.48,8957
6-Sep-13,2.50,2.59,2.47,2.55,7434
5-Sep-13,2.53,2.54,2.47,2.47,8228
4-Sep-13,2.50,2.51,2.50,2.51,9296
3-Sep-13,2.51,2.53,2.50,2.51,14785
30-Aug-13,2.55,2.63,2.53,2.54,2240
29-Aug-13,2.58,2.58,2.51,2.56,3463
28-Aug-13,2.58,2.59,2.58,2.58,1758
27-Aug-13,2.53,2.63,2.53,2.60,5282
26-Aug-13,2.62,2.63,2.56,2.56,5596
23-Aug-13,2.49,2.53,2.48,2.53,19412
22-Aug-13,2.50,2.69,2.48,2.48,11412
21-Aug-13,2.49,2.56,2.47,2.47,25647
20-Aug-13,2.43,2.54,2.43,2.49,14051
