Date,Open,High,Low,Close,Volume
31-Dec-13,17.96,18.00,17.86,17.92,33260
30-Dec-13,17.83,17.95,17.83,17.94,23165
27-Dec-13,17.84,17.89,17.73,17.76,36237
26-Dec-13,17.89,17.89,17.73,17.73,105725
24-Dec-13,17.64,17.77,17.64,17.69,15031
23-Dec-13,17.55,17.60,17.50,17.53,47273
20-Dec-13,17.47,17.79,17.32,17.46,43202
19-Dec-13,17.01,17.41,17.01,17.39,89056
18-Dec-13,17.20,17.23,16.88,17.22,110436
17-Dec-13,16.99,17.25,16.87,17.21,47702
16-Dec-13,16.68,16.98,16.68,16.98,36462
13-Dec-13,16.69,16.80,16.61,16.69,18498
12-Dec-13,16.75,16.75,16.52,16.63,47306
11-Dec-13,17.19,17.19,16.70,16.75,42245
10-Dec-13,16.84,17.24,16.84,17.13,31060
9-Dec-13,17.22,17.34,16.94,17.00,35155
6-Dec-13,17.48,17.60,17.15,17.21,32226
5-Dec-13,17.40,17.51,17.32,17.35,32505
4-Dec-13,17.46,17.57,17.30,17.42,46170
3-Dec-13,17.31,17.43,17.17,17.35,44714
2-Dec-13,17.38,17.38,17.08,17.16,47785
29-Nov-13,17.49,17.49,17.20,17.26,39339
27-Nov-13,17.01,17.24,16.94,17.24,54468
26-Nov-13,16.88,17.07,16.67,17.04,58641
25-Nov-13,17.20,17.24,16.84,16.95,44693
22-Nov-13,17.29,17.29,17.06,17.13,41107
21-Nov-13,17.29,17.30,17.01,17.30,47259
20-Nov-13,17.09,17.72,16.82,16.92,28401
19-Nov-13,17.38,17.42,16.86,16.93,46602
18-Nov-13,17.81,17.81,17.28,17.36,123015
15-Nov-13,18.03,18.03,17.65,17.73,41909
14-Nov-13,17.93,17.98,17.65,17.78,63918
13-Nov-13,17.55,17.77,17.39,17.77,57115
12-Nov-13,17.67,17.67,17.40,17.49,39614
11-Nov-13,17.44,17.74,17.33,17.74,52576
8-Nov-13,17.11,17.46,17.00,17.45,57496
7-Nov-13,17.60,17.67,16.95,16.97,119416
6-Nov-13,18.09,18.09,17.61,17.80,75134
5-Nov-13,18.22,18.22,17.90,18.11,85755
4-Nov-13,17.58,17.97,17.58,17.95,55634
1-Nov-13,17.22,17.46,17.20,17.33,75924
31-Oct-13,16.88,17.15,16.50,17.03,50514
30-Oct-13,17.45,17.45,16.96,17.04,97889
29-Oct-13,17.09,17.35,17.09,17.35,31276
28-Oct-13,17.32,17.32,16.89,17.06,85001
25-Oct-13,17.67,17.67,17.16,17.28,66154
24-Oct-13,17.47,17.60,17.37,17.52,35300
23-Oct-13,17.68,17.68,17.20,17.35,79671
