Date,Open,High,Low,Close,Volume
31-Dec-13,21.86,21.92,21.70,21.80,25772
30-Dec-13,21.54,21.75,21.41,21.65,10037
27-Dec-13,21.08,21.57,21.08,21.29,8314
26-Dec-13,21.30,21.30,20.99,21.22,9938
24-Dec-13,21.30,21.30,21.20,21.23,15736
23-Dec-13,21.16,21.16,20.92,21.06,13820
20-Dec-13,20.98,20.98,20.64,20.83,23827
19-Dec-13,20.80,20.86,20.57,20.81,8963
18-Dec-13,20.87,21.12,20.52,21.12,6158
17-Dec-13,20.51,20.81,20.51,20.80,4708
16-Dec-13,20.71,20.82,20.58,20.58,5269
13-Dec-13,20.78,20.85,20.78,20.84,4925
12-Dec-13,20.88,20.88,20.58,20.75,27991
11-Dec-13,21.30,21.30,20.95,20.95,18160
10-Dec-13,21.15,21.30,21.07,21.29,16270
9-Dec-13,21.14,21.23,21.01,21.06,11271
6-Dec-13,21.17,21.30,21.06,21.20,6296
5-Dec-13,21.08,21.11,21.02,21.05,2929
4-Dec-13,20.70,20.96,20.70,20.95,2580
3-Dec-13,20.70,20.70,20.60,20.60,4799
2-Dec-13,21.00,21.00,20.70,20.70,13838
29-Nov-13,20.85,20.85,20.67,20.70,5092
27-Nov-13,20.47,20.69,20.47,20.67,7838
26-Nov-13,20.00,20.49,20.00,20.49,7730
25-Nov-13,20.40,20.48,20.07,20.25,14276
22-Nov-13,20.66,20.66,20.42,20.59,44650
21-Nov-13,20.28,20.48,20.28,20.45,6480
20-Nov-13,20.71,20.71,20.22,20.28,37254
19-Nov-13,20.75,20.80,20.57,20.60,9690
18-Nov-13,21.36,21.36,21.00,21.00,33982
15-Nov-13,20.95,21.15,20.91,21.08,9581
14-Nov-13,20.49,20.58,20.35,20.54,16846
13-Nov-13,20.07,20.26,20.07,20.21,5238
12-Nov-13,20.24,20.24,19.95,19.95,1450
11-Nov-13,20.14,20.22,20.00,20.19,6698
8-Nov-13,19.98,20.07,19.73,19.93,15867
7-Nov-13,20.63,20.63,19.82,19.97,11743
6-Nov-13,21.08,21.08,20.36,20.38,8679
5-Nov-13,20.77,20.85,20.53,20.53,1279
4-Nov-13,20.82,20.82,20.65,20.74,13842
1-Nov-13,20.82,20.85,20.51,20.52,1418
31-Oct-13,20.84,20.84,20.47,20.72,7906
30-Oct-13,21.71,21.71,20.49,20.63,8605
29-Oct-13,20.32,20.49,20.15,20.48,11099
28-Oct-13,20.84,20.84,20.25,20.47,22223
25-Oct-13,21.46,21.46,20.88,20.98,9103
24-Oct-13,21.05,21.32,21.05,21.26,27168
23-Oct-13,21.31,21.31,20.86,20.96,19325
22-Oct-13,22.04,22.11,21.60,21.64,12692
21-Oct-13,22.15,22.15,21.83,21.83,19829
18-Oct-13,21.72,21.80,21.52,21.76,21745
17-Oct-13,21.17,21.27,21.10,21.25,15040
16-Oct-13,21.11,21.25,21.09,21.15,15292
15-Oct-13,21.37,21.37,20.90,20.90,7659
14-Oct-13,20.99,21.23,20.94,21.17,5088
11-Oct-13,20.96,21.13,20.91,20.97,5767
10-Oct-13,20.79,20.93,20.65,20.88,9138
9-Oct-13,20.19,20.48,19.93,20.48,15985
8-Oct-13,20.87,21.08,20.19,20.19,7339
7-Oct-13,20.94,21.02,20.79,20.90,8436
4-Oct-13,20.76,21.08,20.76,21.05,13840
3-Oct-13,21.04,21.04,20.46,20.64,7659
2-Oct-13,20.30,20.70,20.30,20.66,6600
1-Oct-13,20.40,20.43,20.17,20.38,4930
30-Sep-13,19.88,20.25,19.88,20.17,14345
27-Sep-13,20.38,20.39,20.11,20.14,3240
26-Sep-13,20.51,20.51,20.20,20.36,11057
25-Sep-13,20.47,20.61,20.36,20.41,10510
24-Sep-13,20.59,20.59,20.05,20.28,16206
23-Sep-13,20.33,20.34,19.82,20.26,14020
20-Sep-13,20.40,20.45,20.20,20.32,4254
19-Sep-13,20.11,20.40,20.11,20.29,10554
18-Sep-13,20.19,20.35,20.00,20.30,12219
17-Sep-13,20.09,20.18,19.84,19.99,10291
16-Sep-13,20.31,20.31,20.00,20.09,8441
13-Sep-13,20.47,20.47,19.93,20.04,107798
12-Sep-13,20.70,20.71,20.30,20.38,36532
11-Sep-13,20.45,20.61,20.30,20.55,73038
10-Sep-13,20.24,20.45,20.22,20.42,14245
9-Sep-13,19.99,20.07,19.79,20.06,41412
6-Sep-13,19.97,19.99,19.55,19.84,24134
5-Sep-13,19.71,19.87,19.67,19.83,53483
4-Sep-13,19.42,19.64,19.42,19.64,13728
3-Sep-13,19.67,19.68,19.49,19.52,8566
30-Aug-13,19.54,19.54,19.10,19.14,5812
29-Aug-13,19.41,19.44,19.26,19.38,6275
28-Aug-13,19.08,19.18,18.83,19.17,3695
27-Aug-13,19.30,19.30,19.05,19.06,8436
26-Aug-13,19.48,19.48,19.30,19.30,13783
23-Aug-13,19.36,19.36,19.10,19.34,7740
22-Aug-13,19.22,19.95,19.00,19.07,4705
21-Aug-13,18.89,18.90,18.83,18.83,1938
20-Aug-13,19.01,19.02,18.85,18.93,16372
19-Aug-13,19.00,19.21,18.71,19.05,11460
16-Aug-13,18.64,18.79,18.64,18.75,3290
15-Aug-13,18.75,18.75,18.41,18.49,18242
