Date,Open,High,Low,Close,Volume
30-Dec-13,16.80,16.80,16.80,16.80,62
27-Dec-13,16.88,16.88,15.84,16.80,353
26-Dec-13,16.64,17.20,15.28,17.20,708
24-Dec-13,15.60,16.64,15.60,16.64,312
23-Dec-13,16.80,16.80,13.20,16.00,596
20-Dec-13,18.00,18.00,16.40,16.40,250
19-Dec-13,16.16,18.00,16.00,18.00,638
18-Dec-13,16.00,17.20,16.00,17.20,162
17-Dec-13,16.40,16.40,16.00,16.00,169
16-Dec-13,16.00,17.20,16.00,17.20,943
13-Dec-13,17.20,17.60,16.00,17.60,525
12-Dec-13,16.48,16.48,16.40,16.40,188
11-Dec-13,17.52,17.52,17.04,17.04,201
10-Dec-13,17.60,19.04,17.60,17.60,551
6-Dec-13,17.60,20.00,17.60,19.52,312
5-Dec-13,17.60,17.60,16.80,17.60,625
4-Dec-13,19.12,19.60,18.32,19.60,993
3-Dec-13,19.60,19.60,16.64,19.60,512
2-Dec-13,21.68,21.68,19.60,21.68,525
29-Nov-13,20.40,22.80,20.40,22.80,138
27-Nov-13,20.00,20.00,19.20,20.00,700
26-Nov-13,22.56,22.56,20.80,20.80,438
25-Nov-13,21.60,22.80,21.60,22.80,38
22-Nov-13,22.00,22.00,20.40,21.60,188
21-Nov-13,22.00,22.00,20.80,20.80,612
20-Nov-13,21.60,21.60,21.60,21.60,500
19-Nov-13,20.80,22.08,20.40,22.08,638
18-Nov-13,20.80,20.80,20.40,20.40,225
15-Nov-13,20.80,22.72,18.64,22.72,988
14-Nov-13,20.40,22.00,20.40,22.00,263
13-Nov-13,20.80,20.80,19.60,20.80,181
12-Nov-13,20.80,21.20,20.80,21.20,589
11-Nov-13,20.40,22.00,20.00,20.40,381
8-Nov-13,20.00,20.40,19.20,19.20,762
7-Nov-13,20.40,20.40,20.00,20.00,50
6-Nov-13,17.20,20.40,17.20,19.92,788
5-Nov-13,16.88,17.60,16.88,17.60,562
4-Nov-13,18.40,19.52,18.40,19.52,272
1-Nov-13,16.80,20.00,16.80,18.40,519
31-Oct-13,16.88,16.88,16.88,16.88,88
29-Oct-13,16.40,18.32,16.40,18.32,1575
28-Oct-13,18.80,25.60,16.00,18.40,450
25-Oct-13,15.60,18.24,15.60,18.24,2023
24-Oct-13,16.08,16.08,15.68,15.68,705
23-Oct-13,16.00,16.40,15.60,16.00,225
22-Oct-13,16.48,16.48,16.00,16.00,119
21-Oct-13,16.48,16.48,16.00,16.40,769
18-Oct-13,15.92,16.40,15.92,16.40,934
17-Oct-13,16.00,17.60,16.00,17.60,262
16-Oct-13,17.44,17.44,16.00,16.40,806
15-Oct-13,17.60,18.00,17.20,17.20,250
14-Oct-13,16.00,17.60,15.92,17.60,217
11-Oct-13,16.00,16.00,16.00,16.00,125
10-Oct-13,18.40,18.40,16.24,18.40,425
8-Oct-13,16.80,18.40,16.80,18.40,125
7-Oct-13,17.04,18.16,10.80,18.16,1275
4-Oct-13,17.60,17.60,17.60,17.60,625
3-Oct-13,17.04,18.00,17.04,18.00,288
2-Oct-13,17.44,18.72,16.16,18.00,306
1-Oct-13,18.00,19.28,17.44,17.92,462
30-Sep-13,18.00,18.64,18.00,18.56,250
27-Sep-13,18.64,18.80,18.64,18.64,188
26-Sep-13,17.52,19.28,16.56,19.28,356
25-Sep-13,18.00,19.20,18.00,19.20,150
24-Sep-13,18.00,18.00,15.36,17.52,1075
23-Sep-13,18.40,18.40,18.00,18.00,919
20-Sep-13,19.28,19.28,19.28,19.28,12
19-Sep-13,18.56,19.28,18.40,18.40,1494
18-Sep-13,18.48,18.48,17.76,18.40,931
17-Sep-13,18.48,19.60,18.40,18.40,265
16-Sep-13,18.40,19.60,18.40,18.40,462
13-Sep-13,18.24,18.32,17.44,18.32,406
12-Sep-13,18.24,19.12,17.52,19.12,275
11-Sep-13,18.80,19.84,18.32,18.32,738
10-Sep-13,18.80,20.00,18.00,20.00,412
9-Sep-13,20.32,20.40,18.80,20.00,200
5-Sep-13,18.80,20.40,18.80,20.40,325
4-Sep-13,19.20,19.92,18.80,19.92,411
3-Sep-13,19.60,19.60,19.60,19.60,138
30-Aug-13,20.00,21.60,20.00,21.60,594
29-Aug-13,21.20,21.20,19.60,19.60,131
28-Aug-13,19.60,21.20,19.60,21.20,275
27-Aug-13,19.60,20.40,18.40,20.40,1112
26-Aug-13,20.00,20.00,19.92,19.92,175
23-Aug-13,21.04,21.76,19.60,21.44,857
22-Aug-13,21.12,21.12,20.00,21.04,420
21-Aug-13,19.76,21.20,18.48,21.20,1206
20-Aug-13,20.00,21.12,20.00,21.12,876
19-Aug-13,20.72,21.12,20.00,20.00,1276
16-Aug-13,20.48,20.64,20.16,20.64,507
15-Aug-13,20.80,21.60,20.40,21.60,644
14-Aug-13,20.80,22.00,20.80,21.84,175
12-Aug-13,20.80,22.40,20.80,22.40,103
9-Aug-13,21.12,22.32,20.64,22.32,1323
8-Aug-13,22.32,22.32,22.32,22.32,100
7-Aug-13,21.12,22.56,21.12,22.56,200
6-Aug-13,22.40,23.60,22.40,22.40,1088
5-Aug-13,21.28,22.48,21.28,22.40,676
2-Aug-13,22.80,22.80,22.40,22.72,674
1-Aug-13,22.00,23.60,22.00,23.20,1262
31-Jul-13,20.88,22.32,20.88,22.32,38
30-Jul-13,22.80,22.80,20.80,20.80,125
29-Jul-13,22.40,22.80,20.80,22.80,175
26-Jul-13,20.36,23.60,20.36,22.00,242
25-Jul-13,21.60,24.80,20.80,21.04,2356
24-Jul-13,22.00,23.60,20.88,21.92,934
22-Jul-13,24.00,24.00,22.80,22.80,162
19-Jul-13,23.20,23.92,22.00,23.20,235
18-Jul-13,24.00,24.00,23.20,23.20,203
17-Jul-13,22.40,25.20,21.52,23.20,1975
16-Jul-13,19.60,23.12,19.60,20.00,175
15-Jul-13,20.96,21.20,20.80,21.20,404
12-Jul-13,20.80,23.04,20.80,23.04,494
11-Jul-13,20.80,22.00,19.84,22.00,695
10-Jul-13,21.60,22.08,19.20,19.20,734
9-Jul-13,21.20,22.00,21.20,21.60,312
8-Jul-13,21.92,21.92,21.92,21.92,16
5-Jul-13,22.16,22.16,20.80,21.92,825
3-Jul-13,22.16,23.04,22.16,23.04,732
2-Jul-13,23.12,23.12,21.76,22.16,329
1-Jul-13,21.60,21.68,20.80,20.80,1219
28-Jun-13,22.24,23.52,22.24,23.52,288
27-Jun-13,22.24,23.52,22.24,23.52,638
26-Jun-13,22.00,23.60,22.00,23.60,619
25-Jun-13,22.40,23.52,21.60,23.52,312
24-Jun-13,23.20,23.76,22.80,22.80,1962
21-Jun-13,23.76,23.76,23.28,23.28,750
20-Jun-13,23.60,23.92,23.28,23.28,762
19-Jun-13,22.80,23.92,22.72,23.84,938
18-Jun-13,21.36,23.92,21.36,23.92,4581
17-Jun-13,23.12,24.00,22.00,23.60,2722
14-Jun-13,22.40,23.20,20.80,23.20,2138
13-Jun-13,19.44,22.40,18.80,20.80,4125
12-Jun-13,17.68,19.52,17.68,19.44,5831
11-Jun-13,17.60,18.40,17.60,18.40,1172
10-Jun-13,18.00,19.52,17.12,19.52,378
7-Jun-13,18.00,20.00,17.60,20.00,1822
5-Jun-13,17.76,20.00,16.80,20.00,775
4-Jun-13,17.76,19.92,17.76,19.92,172
3-Jun-13,20.00,20.72,18.40,20.72,669
31-May-13,18.16,20.80,18.16,20.80,688
30-May-13,18.32,18.32,18.32,18.32,250
29-May-13,21.52,23.60,17.60,23.20,150
28-May-13,18.48,21.52,18.00,21.52,1304
24-May-13,19.20,19.20,19.20,19.20,62
23-May-13,18.96,19.20,18.96,19.20,700
22-May-13,17.28,19.20,17.28,19.20,279
21-May-13,18.40,19.44,18.40,19.44,288
20-May-13,16.80,20.64,16.80,19.44,494
17-May-13,20.32,20.40,19.20,20.40,200
16-May-13,20.32,20.32,20.00,20.00,75
14-May-13,21.20,21.20,21.20,21.20,25
13-May-13,21.36,21.36,21.36,21.36,25
10-May-13,20.00,21.04,20.00,21.04,575
9-May-13,20.40,21.52,20.00,21.52,525
8-May-13,21.36,21.36,21.20,21.20,312
7-May-13,20.64,21.52,20.48,21.52,325
6-May-13,22.32,22.32,20.40,20.64,850
3-May-13,21.20,25.20,21.20,22.32,512
2-May-13,22.00,22.80,21.20,22.80,188
1-May-13,22.00,24.32,22.00,23.20,456
30-Apr-13,22.32,22.32,22.32,22.32,62
29-Apr-13,23.84,24.80,22.24,22.24,1565
26-Apr-13,23.20,23.92,22.16,22.80,904
25-Apr-13,23.20,24.16,23.20,24.16,1530
24-Apr-13,24.00,24.48,23.04,24.40,625
23-Apr-13,24.00,24.64,23.60,24.00,779
22-Apr-13,25.12,25.12,24.00,24.00,525
19-Apr-13,24.48,25.20,24.00,24.80,888
18-Apr-13,25.52,25.52,24.24,24.48,562
17-Apr-13,24.00,25.52,23.20,25.52,725
16-Apr-13,25.60,25.60,24.00,24.00,750
15-Apr-13,26.00,26.00,25.20,25.60,669
12-Apr-13,24.80,26.00,24.80,26.00,800
11-Apr-13,24.40,25.76,24.00,25.76,1050
10-Apr-13,24.40,25.60,24.40,25.20,844
