Date,Open,High,Low,Close,Volume
31-Dec-13,33.42,33.57,33.16,33.34,341744
30-Dec-13,33.57,33.70,33.33,33.58,310481
27-Dec-13,33.66,33.80,33.42,33.65,230207
26-Dec-13,33.51,33.74,33.41,33.52,295605
24-Dec-13,33.51,33.66,33.42,33.50,269840
23-Dec-13,33.70,33.95,33.38,33.45,548445
20-Dec-13,33.44,33.68,33.39,33.49,1265920
19-Dec-13,33.73,33.95,33.26,33.32,561650
18-Dec-13,33.42,33.92,33.09,33.84,769678
17-Dec-13,33.37,33.45,32.94,33.29,546715
16-Dec-13,33.42,33.75,33.09,33.27,642012
13-Dec-13,33.66,33.88,33.16,33.35,396568
12-Dec-13,33.82,34.06,33.53,33.63,402877
11-Dec-13,34.18,34.18,33.70,33.77,389755
10-Dec-13,34.16,34.47,34.03,34.09,279886
9-Dec-13,34.03,34.47,33.86,34.27,311780
6-Dec-13,34.10,34.39,33.92,34.03,327441
5-Dec-13,33.27,33.87,33.11,33.74,378762
4-Dec-13,33.01,33.58,32.94,33.30,301726
3-Dec-13,33.23,33.26,32.83,33.09,598652
2-Dec-13,34.03,34.20,33.27,33.36,431576
29-Nov-13,34.28,34.35,33.88,34.06,198780
27-Nov-13,34.06,34.14,33.77,34.09,281888
26-Nov-13,34.36,34.52,33.82,34.00,471163
25-Nov-13,34.10,34.38,34.02,34.31,342067
22-Nov-13,34.08,34.39,33.48,34.04,523728
21-Nov-13,33.99,34.29,33.74,34.03,440296
20-Nov-13,34.21,34.26,33.65,33.81,433341
19-Nov-13,34.10,34.33,33.92,34.12,586793
18-Nov-13,34.49,34.49,34.04,34.19,449864
15-Nov-13,34.25,34.52,34.11,34.35,467189
14-Nov-13,34.35,34.42,34.00,34.28,286088
13-Nov-13,34.01,34.48,33.79,34.29,406731
12-Nov-13,33.97,34.35,33.97,34.26,258332
11-Nov-13,33.85,34.09,33.78,33.98,470607
8-Nov-13,33.47,33.89,33.06,33.81,615810
7-Nov-13,33.83,33.93,33.43,33.51,946404
6-Nov-13,34.16,34.16,33.62,33.69,462454
5-Nov-13,34.17,34.25,33.67,33.97,651898
4-Nov-13,34.24,34.57,34.02,34.21,361884
1-Nov-13,34.18,34.33,33.85,34.12,700370
31-Oct-13,34.65,34.73,34.23,34.24,544464
30-Oct-13,34.69,34.83,34.27,34.61,474235
29-Oct-13,34.75,34.93,34.29,34.56,627597
28-Oct-13,34.63,34.81,34.42,34.57,586390
25-Oct-13,34.62,35.00,34.25,34.68,829328
24-Oct-13,34.70,34.97,34.27,34.55,1035304
23-Oct-13,34.64,34.97,34.22,34.62,1088427
22-Oct-13,33.62,35.38,33.45,34.93,3116655
21-Oct-13,35.81,36.21,35.37,36.01,1429854
18-Oct-13,36.83,36.83,35.44,35.89,1627739
17-Oct-13,36.54,36.75,36.31,36.56,979405
16-Oct-13,36.93,37.09,36.39,36.69,545830
15-Oct-13,37.18,37.38,36.62,36.66,357613
14-Oct-13,36.94,37.49,36.94,37.29,278503
11-Oct-13,36.64,37.15,36.53,37.01,404897
10-Oct-13,36.94,37.31,36.60,36.80,448308
9-Oct-13,36.23,36.57,35.94,36.44,483974
8-Oct-13,36.05,36.44,35.98,36.05,458273
7-Oct-13,36.23,36.41,36.04,36.06,768669
4-Oct-13,36.82,36.82,35.79,36.53,1761402
3-Oct-13,38.24,38.34,37.55,37.77,414536
2-Oct-13,38.31,38.74,37.71,38.39,264707
1-Oct-13,38.21,39.00,37.96,38.44,486583
30-Sep-13,37.75,38.35,37.51,38.11,397426
27-Sep-13,37.66,38.07,37.49,37.99,232847
26-Sep-13,37.90,38.58,37.77,38.08,347504
25-Sep-13,37.75,38.35,37.24,37.79,237562
24-Sep-13,37.68,38.12,37.32,37.64,262997
23-Sep-13,37.72,37.94,37.42,37.58,356452
20-Sep-13,38.02,38.10,37.64,37.66,865966
19-Sep-13,38.19,38.25,37.87,38.03,292586
18-Sep-13,37.98,38.39,37.61,38.20,408660
17-Sep-13,37.51,38.06,37.51,38.05,297183
16-Sep-13,37.76,37.82,37.26,37.56,259676
13-Sep-13,37.75,37.75,37.29,37.51,246306
12-Sep-13,38.12,38.14,37.38,37.66,363340
11-Sep-13,37.86,38.22,37.76,38.18,485219
