Date,Open,High,Low,Close,Volume
31-Dec-13,5.58,5.80,5.58,5.78,124946
30-Dec-13,5.53,5.61,5.51,5.57,82933
27-Dec-13,5.50,5.64,5.50,5.57,56717
26-Dec-13,5.55,5.66,5.50,5.54,62221
24-Dec-13,5.53,5.64,5.47,5.56,83124
23-Dec-13,5.71,5.86,5.42,5.49,188359
20-Dec-13,5.65,5.87,5.56,5.83,188485
19-Dec-13,5.57,5.75,5.57,5.62,74956
18-Dec-13,5.83,5.83,5.50,5.68,141809
17-Dec-13,5.89,5.94,5.69,5.80,117019
16-Dec-13,5.63,5.94,5.63,5.92,218066
13-Dec-13,5.96,6.06,5.52,5.63,364000
12-Dec-13,6.23,6.30,5.95,6.00,222324
11-Dec-13,6.80,6.80,6.27,6.29,123357
10-Dec-13,6.77,6.98,6.75,6.80,80958
9-Dec-13,7.00,7.01,6.75,6.75,77007
6-Dec-13,7.15,7.15,6.91,6.96,53620
5-Dec-13,7.10,7.14,6.86,7.02,52811
4-Dec-13,6.71,7.13,6.71,7.07,111644
3-Dec-13,6.60,6.77,6.53,6.72,77828
2-Dec-13,6.70,6.80,6.50,6.69,117603
29-Nov-13,6.80,6.86,6.60,6.68,62217
27-Nov-13,6.95,7.12,6.72,6.79,149857
26-Nov-13,6.72,7.46,6.64,6.88,457605
25-Nov-13,6.82,7.00,6.56,6.73,141831
22-Nov-13,7.29,7.64,6.35,6.84,994662
21-Nov-13,6.17,7.59,6.16,7.43,1137410
20-Nov-13,5.95,6.20,5.92,6.15,111438
19-Nov-13,5.97,6.13,5.58,5.97,175269
18-Nov-13,6.07,6.19,5.79,5.98,225813
15-Nov-13,5.45,6.09,5.40,6.04,261419
14-Nov-13,5.07,5.49,5.07,5.39,153690
13-Nov-13,4.90,5.08,4.86,5.02,52874
12-Nov-13,5.20,5.20,4.94,4.95,76986
11-Nov-13,5.00,5.14,4.84,5.05,99811
8-Nov-13,4.86,5.29,4.75,5.00,361744
7-Nov-13,4.85,4.85,4.70,4.74,71858
6-Nov-13,4.71,4.85,4.71,4.77,15431
5-Nov-13,4.75,4.87,4.71,4.74,29140
4-Nov-13,4.78,4.87,4.73,4.81,19280
1-Nov-13,4.87,4.87,4.71,4.75,37039
31-Oct-13,4.80,4.83,4.68,4.82,27663
30-Oct-13,4.85,4.85,4.77,4.79,16955
29-Oct-13,4.62,4.82,4.62,4.80,43505
28-Oct-13,4.69,4.73,4.63,4.68,21181
25-Oct-13,4.69,4.77,4.67,4.72,40719
24-Oct-13,4.67,4.75,4.62,4.69,40457
23-Oct-13,4.64,4.74,4.50,4.63,69032
22-Oct-13,4.87,4.90,4.60,4.67,76125
21-Oct-13,5.00,5.00,4.76,4.89,52455
18-Oct-13,4.90,5.00,4.78,4.97,72062
17-Oct-13,4.66,4.90,4.64,4.88,50795
16-Oct-13,4.65,4.66,4.55,4.66,15139
15-Oct-13,4.69,4.69,4.51,4.56,63028
14-Oct-13,4.33,4.73,4.33,4.69,88825
11-Oct-13,4.26,4.35,4.26,4.34,22070
10-Oct-13,4.27,4.30,4.25,4.30,15970
9-Oct-13,4.31,4.31,4.21,4.30,15870
8-Oct-13,4.26,4.31,4.26,4.29,7082
7-Oct-13,4.26,4.31,4.26,4.28,9719
4-Oct-13,4.22,4.31,4.22,4.28,13714
3-Oct-13,4.24,4.33,4.20,4.24,34837
2-Oct-13,4.27,4.30,4.21,4.30,29259
1-Oct-13,4.20,4.28,4.18,4.26,47631
30-Sep-13,4.21,4.30,4.17,4.24,86852
