Date,Open,High,Low,Close,Volume
31-Dec-13,196.00,199.50,193.70,197.10,53440
30-Dec-13,201.10,203.50,195.00,195.40,43681
27-Dec-13,199.20,201.90,193.95,200.60,50724
26-Dec-13,204.90,205.20,197.80,198.30,36456
24-Dec-13,204.00,207.90,202.00,204.70,18482
23-Dec-13,207.50,211.50,202.60,204.60,64493
20-Dec-13,195.00,207.55,193.21,206.00,122884
19-Dec-13,191.80,200.00,190.00,194.00,92570
18-Dec-13,195.80,197.90,187.74,192.50,74196
17-Dec-13,192.20,196.80,191.30,195.50,43799
16-Dec-13,197.60,198.80,194.10,196.00,45925
13-Dec-13,196.40,198.30,191.10,196.20,43908
12-Dec-13,195.90,201.50,194.90,196.40,51781
11-Dec-13,194.10,198.40,191.40,195.10,70384
10-Dec-13,199.50,202.10,194.40,194.40,101722
9-Dec-13,191.10,199.35,189.40,198.90,75148
6-Dec-13,194.40,200.70,189.80,190.70,98505
5-Dec-13,190.70,193.20,188.00,191.60,38618
4-Dec-13,190.90,194.60,187.90,191.50,58553
3-Dec-13,195.90,203.10,189.20,190.40,89973
2-Dec-13,192.50,197.10,188.70,196.10,89062
29-Nov-13,190.80,194.70,187.20,191.80,24251
27-Nov-13,200.40,201.40,188.00,190.40,51642
26-Nov-13,198.80,204.20,196.50,201.20,39938
25-Nov-13,201.60,202.00,194.20,199.10,90933
22-Nov-13,196.80,202.00,196.45,201.50,103294
21-Nov-13,185.90,195.80,183.70,195.40,95735
20-Nov-13,183.80,190.50,181.90,185.10,91168
19-Nov-13,189.20,189.20,180.60,183.10,72359
18-Nov-13,192.00,193.40,186.60,189.40,135717
15-Nov-13,186.20,192.05,184.00,191.80,87690
14-Nov-13,187.70,188.00,179.50,186.10,57751
13-Nov-13,178.00,188.50,178.00,188.00,102225
12-Nov-13,186.60,187.10,178.10,179.60,98344
11-Nov-13,192.30,194.50,188.20,188.50,46425
8-Nov-13,187.70,195.70,187.50,193.00,79000
7-Nov-13,189.30,191.90,184.00,188.20,130088
6-Nov-13,201.50,209.80,185.60,189.40,198763
5-Nov-13,218.90,220.20,209.20,212.00,70106
4-Nov-13,211.20,223.00,209.00,222.31,92016
1-Nov-13,214.20,215.00,204.10,209.30,76462
31-Oct-13,218.60,220.40,214.00,215.00,53194
30-Oct-13,225.90,230.40,216.50,219.00,79090
29-Oct-13,222.30,226.88,221.80,225.00,51894
28-Oct-13,226.90,228.00,221.80,222.40,51025
25-Oct-13,226.60,232.29,223.10,226.60,65408
24-Oct-13,216.90,228.30,215.20,226.70,116048
23-Oct-13,225.40,230.80,212.00,217.90,141138
22-Oct-13,240.50,243.10,229.60,232.30,85099
21-Oct-13,249.50,251.69,239.50,239.70,70668
18-Oct-13,239.20,249.80,238.40,249.80,113722
17-Oct-13,237.10,243.10,231.40,238.50,102115
16-Oct-13,229.90,246.60,229.70,238.00,114560
15-Oct-13,230.10,235.10,224.10,225.60,60149
14-Oct-13,223.40,235.10,222.40,230.40,69993
11-Oct-13,217.00,227.70,215.00,224.30,43803
10-Oct-13,214.90,219.70,212.90,217.90,42833
9-Oct-13,210.70,213.80,206.70,211.60,59638
8-Oct-13,216.70,219.00,208.70,209.90,42204
7-Oct-13,216.10,219.30,214.05,215.40,46331
4-Oct-13,214.50,220.10,212.95,218.40,39586
3-Oct-13,220.00,221.10,213.80,215.00,57919
2-Oct-13,225.10,226.60,220.10,221.10,49561
1-Oct-13,222.50,227.50,222.50,225.50,39165
30-Sep-13,217.60,224.20,214.50,223.19,38330
27-Sep-13,221.90,224.30,220.50,220.90,24829
26-Sep-13,218.80,222.20,215.10,222.20,62491
25-Sep-13,222.60,224.60,218.50,218.80,34430
24-Sep-13,228.00,229.90,222.20,222.80,57377
23-Sep-13,221.20,227.20,220.70,226.41,54765
20-Sep-13,220.50,223.60,218.50,222.60,88863
19-Sep-13,219.90,222.60,218.30,220.30,44418
18-Sep-13,211.60,220.20,209.00,219.70,60513
17-Sep-13,204.10,211.80,204.10,211.80,38097
16-Sep-13,209.60,211.00,203.70,204.00,24187
13-Sep-13,206.60,208.60,205.20,207.20,24212
12-Sep-13,205.40,207.65,204.10,206.30,30929
11-Sep-13,204.80,207.20,201.70,206.00,42494
10-Sep-13,208.00,208.00,202.50,204.40,38819
9-Sep-13,206.10,210.10,205.30,207.70,42001
6-Sep-13,212.40,214.55,201.50,205.70,84881
5-Sep-13,213.20,215.00,211.10,211.30,34852
4-Sep-13,212.80,214.95,211.20,213.50,41887
3-Sep-13,211.00,215.30,210.70,213.10,38977
30-Aug-13,205.60,210.60,202.70,208.00,58137
29-Aug-13,206.40,208.10,202.70,205.30,45231
28-Aug-13,206.70,211.80,205.60,207.30,48563
27-Aug-13,209.80,213.00,205.70,206.10,31198
26-Aug-13,211.20,213.80,209.10,210.70,34626
23-Aug-13,204.80,210.35,203.00,210.00,56132
22-Aug-13,203.00,205.20,200.60,204.20,39455
21-Aug-13,211.10,213.00,202.40,202.50,64456
20-Aug-13,208.80,214.90,207.40,212.60,81194
19-Aug-13,203.40,211.00,202.70,209.60,72662
16-Aug-13,204.20,207.60,202.70,204.50,90665
15-Aug-13,205.10,209.80,200.00,205.50,302497
14-Aug-13,216.20,217.90,208.25,208.55,82376
13-Aug-13,213.80,218.20,211.80,217.00,39045
12-Aug-13,210.80,217.10,210.00,212.30,56422
9-Aug-13,212.20,217.40,210.00,211.80,54914
8-Aug-13,216.90,220.80,210.60,211.00,99060
7-Aug-13,205.70,219.30,205.70,214.50,177108
6-Aug-13,203.70,204.30,198.90,203.30,63436
5-Aug-13,197.40,205.10,197.30,203.80,48622
2-Aug-13,197.90,200.70,195.50,197.30,70610
1-Aug-13,194.00,198.60,194.00,198.40,53039
31-Jul-13,192.70,194.60,191.00,191.90,44786
30-Jul-13,188.70,193.05,188.30,191.80,29839
29-Jul-13,187.50,190.00,184.20,188.30,32854
26-Jul-13,190.50,191.70,187.20,188.30,46585
25-Jul-13,185.40,192.00,185.40,191.60,64028
24-Jul-13,186.40,186.65,183.70,185.90,68758
23-Jul-13,186.60,189.80,184.90,186.70,55135
22-Jul-13,186.80,188.90,184.30,185.90,62980
19-Jul-13,182.50,188.00,182.10,187.90,48565
18-Jul-13,179.90,185.40,177.00,182.40,51980
17-Jul-13,179.10,183.40,178.70,179.40,42009
16-Jul-13,176.60,179.80,175.00,179.40,41468
15-Jul-13,181.70,184.20,177.00,177.10,36208
12-Jul-13,181.70,183.00,175.10,180.60,49727
11-Jul-13,187.60,190.50,182.40,182.60,59875
10-Jul-13,184.00,185.26,180.20,183.90,56871
9-Jul-13,191.60,193.20,182.10,183.50,72349
8-Jul-13,192.20,192.20,187.10,190.50,37268
5-Jul-13,190.40,191.40,186.40,191.40,27532
3-Jul-13,182.10,186.50,180.10,186.40,31718
2-Jul-13,180.10,186.40,180.00,182.10,44246
1-Jul-13,176.60,183.00,174.50,180.00,49503
28-Jun-13,177.90,181.40,175.80,175.80,191307
27-Jun-13,178.60,182.90,176.80,178.80,49624
26-Jun-13,183.20,183.28,176.70,177.40,40364
25-Jun-13,177.30,182.00,173.40,181.50,69053
24-Jun-13,173.20,179.10,168.10,175.30,43165
21-Jun-13,175.60,179.00,170.00,176.90,131182
20-Jun-13,179.00,179.00,173.30,174.50,46750
19-Jun-13,182.40,185.50,179.90,181.40,49638
18-Jun-13,176.00,183.90,176.00,182.70,51932
17-Jun-13,173.10,178.70,172.38,176.50,34946
14-Jun-13,173.70,175.00,170.30,170.60,27638
13-Jun-13,168.00,174.70,166.60,173.70,39715
12-Jun-13,169.30,171.10,167.70,168.00,32713
11-Jun-13,168.30,171.60,167.00,168.10,48125
10-Jun-13,173.60,174.20,170.90,171.20,33754
7-Jun-13,172.40,173.70,169.80,172.00,39332
6-Jun-13,169.50,171.80,165.10,170.90,45254
5-Jun-13,171.90,174.05,168.83,169.50,29949
4-Jun-13,172.30,173.70,169.30,172.80,54573
3-Jun-13,166.10,173.00,165.30,172.60,79101
31-May-13,167.90,170.00,165.90,166.10,48446
30-May-13,170.70,171.10,166.80,169.20,42376
29-May-13,171.10,174.40,169.00,170.80,22326
28-May-13,173.30,175.30,171.00,172.40,35040
24-May-13,165.10,170.30,164.10,169.80,59887
23-May-13,162.60,167.30,160.30,166.10,99571
22-May-13,172.30,175.30,162.00,165.80,84900
21-May-13,173.00,176.00,169.60,170.70,32863
20-May-13,165.00,176.70,165.00,173.00,79152
17-May-13,168.00,170.30,167.80,170.00,41410
16-May-13,167.00,168.00,164.30,165.70,29263
15-May-13,166.70,170.00,165.50,166.80,30159
14-May-13,166.90,171.78,166.50,168.40,53570
13-May-13,163.70,167.30,162.20,167.30,38088
10-May-13,166.40,166.40,160.90,164.60,33413
9-May-13,165.90,167.40,161.50,166.20,31613
8-May-13,168.00,168.80,164.50,166.70,46924
7-May-13,166.90,169.00,165.10,167.90,52404
6-May-13,167.00,168.60,165.60,166.10,54299
3-May-13,160.70,167.50,160.60,167.00,61004
2-May-13,155.90,162.20,152.00,158.50,50306
1-May-13,160.50,160.50,149.30,153.80,105164
30-Apr-13,163.10,163.70,158.80,160.70,52114
29-Apr-13,163.40,165.60,160.30,163.30,45614
26-Apr-13,161.80,162.70,158.90,161.10,56615
25-Apr-13,160.90,166.10,160.00,161.60,82408
24-Apr-13,154.00,160.00,152.80,159.00,44751
23-Apr-13,152.90,156.01,150.90,154.20,61912
22-Apr-13,155.10,155.20,147.30,151.40,55162
19-Apr-13,157.00,157.40,149.00,154.90,55365
18-Apr-13,149.20,156.00,144.10,155.00,91684
17-Apr-13,152.90,153.70,145.10,148.60,63882
16-Apr-13,153.80,157.60,149.50,154.80,71510
15-Apr-13,163.70,163.90,150.90,151.90,106787
12-Apr-13,169.60,169.60,161.00,165.30,72275
11-Apr-13,171.60,173.30,169.10,169.70,75574
10-Apr-13,169.00,172.60,167.80,171.80,46950
9-Apr-13,167.00,170.30,166.10,168.10,62225
8-Apr-13,166.80,168.70,164.80,166.50,53458
5-Apr-13,156.20,168.50,155.40,165.00,78883
4-Apr-13,158.60,159.40,153.60,159.40,43098
3-Apr-13,164.50,166.05,157.70,158.80,94392
2-Apr-13,165.10,166.60,162.50,163.20,75669
1-Apr-13,166.40,167.20,161.01,164.40,60166
28-Mar-13,164.30,166.15,161.50,164.90,51860
27-Mar-13,163.60,165.00,162.18,163.50,37102
26-Mar-13,163.00,165.80,161.10,164.90,48960
25-Mar-13,161.40,162.40,159.00,162.00,57974
22-Mar-13,159.50,161.10,158.10,159.80,66500
21-Mar-13,160.40,160.80,158.50,158.80,45870
20-Mar-13,160.00,163.00,159.60,160.90,55072
19-Mar-13,161.90,163.40,156.50,157.80,76671
18-Mar-13,155.60,165.00,155.40,161.90,92699
15-Mar-13,155.50,158.50,153.90,155.40,96288
14-Mar-13,147.40,162.90,145.40,155.30,119924
13-Mar-13,147.20,149.80,145.30,147.10,50729
12-Mar-13,145.00,148.50,143.70,147.40,65493
11-Mar-13,143.20,146.20,140.80,144.90,35080
8-Mar-13,143.50,144.50,141.50,143.40,43078
7-Mar-13,135.30,142.60,133.20,142.30,62636
6-Mar-13,134.80,135.90,133.70,135.50,34185
5-Mar-13,132.90,135.30,131.00,133.80,37290
