Date,Open,High,Low,Close,Volume
31-Dec-13,12.59,12.69,12.59,12.67,9436
30-Dec-13,12.40,12.54,12.40,12.54,5810
27-Dec-13,12.44,12.53,12.38,12.41,8952
26-Dec-13,12.60,12.60,12.41,12.41,6756
24-Dec-13,12.38,12.70,12.38,12.70,1950
23-Dec-13,12.55,12.55,12.43,12.51,1316
20-Dec-13,12.42,12.56,12.42,12.47,3616
19-Dec-13,12.44,12.44,12.44,12.44,2103
17-Dec-13,12.41,12.45,12.41,12.43,1918
10-Dec-13,12.76,12.76,12.45,12.49,1428
9-Dec-13,12.77,12.77,12.46,12.66,3822
6-Dec-13,12.43,12.63,12.43,12.63,1050
5-Dec-13,12.41,12.60,12.40,12.49,3900
4-Dec-13,12.64,12.64,12.56,12.60,1840
3-Dec-13,12.38,12.56,12.38,12.53,750
2-Dec-13,12.80,12.80,12.60,12.80,3418
29-Nov-13,12.67,12.67,12.60,12.60,612
26-Nov-13,12.77,12.77,12.38,12.53,2790
25-Nov-13,12.40,12.80,12.40,12.80,2700
22-Nov-13,12.61,12.62,12.49,12.60,7605
21-Nov-13,12.59,12.80,12.49,12.57,4161
20-Nov-13,12.47,12.77,12.35,12.55,8272
19-Nov-13,12.80,12.85,12.57,12.57,5846
18-Nov-13,12.45,12.70,12.43,12.43,2918
15-Nov-13,12.67,12.79,12.67,12.79,1390
14-Nov-13,12.41,12.93,12.37,12.61,2349
13-Nov-13,13.12,13.12,12.48,12.83,711
12-Nov-13,12.92,13.15,12.92,12.93,714
8-Nov-13,13.21,13.21,13.21,13.21,152
7-Nov-13,13.07,13.31,13.05,13.31,5877
6-Nov-13,12.95,13.31,12.81,13.31,5877
5-Nov-13,12.66,12.99,12.65,12.99,11248
4-Nov-13,12.77,12.77,12.75,12.75,3098
1-Nov-13,12.60,12.90,12.30,12.70,10172
31-Oct-13,12.87,12.87,12.41,12.41,1950
30-Oct-13,12.67,13.32,12.47,12.47,7491
29-Oct-13,12.85,12.86,12.33,12.37,4900
28-Oct-13,12.50,12.50,12.50,12.50,573
25-Oct-13,12.61,12.61,12.10,12.46,12309
24-Oct-13,12.43,12.43,12.43,12.43,750
22-Oct-13,12.55,12.55,12.47,12.47,4412
21-Oct-13,12.60,12.60,12.32,12.32,1702
18-Oct-13,12.31,12.32,12.31,12.32,450
17-Oct-13,12.33,12.36,12.31,12.31,1050
16-Oct-13,12.25,12.33,12.20,12.33,1760
15-Oct-13,12.21,12.25,12.21,12.23,3075
14-Oct-13,12.17,12.23,12.07,12.23,1575
11-Oct-13,12.20,12.57,12.17,12.17,1424
10-Oct-13,12.47,12.47,12.14,12.27,3879
9-Oct-13,12.33,12.41,12.33,12.41,1050
7-Oct-13,12.33,12.59,12.17,12.20,5310
3-Oct-13,12.21,12.41,12.13,12.27,9840
2-Oct-13,12.79,12.79,12.18,12.57,6044
1-Oct-13,12.55,12.84,12.21,12.84,2998
30-Sep-13,12.87,12.89,12.18,12.86,5360
27-Sep-13,12.37,12.67,12.37,12.56,3134
26-Sep-13,12.74,12.74,12.40,12.40,720
25-Sep-13,12.30,12.92,12.30,12.92,1956
24-Sep-13,12.30,12.30,12.30,12.30,300
23-Sep-13,12.65,12.65,12.65,12.65,336
20-Sep-13,12.30,12.60,12.30,12.60,1340
19-Sep-13,12.27,12.27,12.27,12.27,150
18-Sep-13,12.33,12.53,12.33,12.41,9750
17-Sep-13,12.18,12.50,12.18,12.34,10950
12-Sep-13,12.15,12.65,12.15,12.43,2632
10-Sep-13,12.15,12.53,12.15,12.53,2721
9-Sep-13,12.50,12.50,12.50,12.50,1200
6-Sep-13,12.39,12.39,12.39,12.39,750
4-Sep-13,12.57,12.57,12.42,12.52,2566
3-Sep-13,12.38,12.57,12.33,12.47,2904
30-Aug-13,12.37,12.47,12.37,12.39,1234
29-Aug-13,12.39,12.39,12.37,12.37,1611
28-Aug-13,12.42,12.56,12.40,12.41,1890
27-Aug-13,12.35,12.40,12.35,12.40,1506
