Date,Open,High,Low,Close,Volume
31-Dec-13,44.80,46.19,44.29,46.07,728314
30-Dec-13,46.19,46.51,45.01,45.10,786078
27-Dec-13,46.28,46.77,45.94,46.72,471753
26-Dec-13,46.11,46.95,45.45,46.02,451256
24-Dec-13,44.24,45.94,44.16,45.82,340051
23-Dec-13,44.07,44.31,43.60,44.26,561036
20-Dec-13,43.72,44.18,43.42,44.06,1692318
19-Dec-13,43.97,44.23,43.43,43.54,877218
18-Dec-13,45.54,46.29,44.66,44.85,836097
17-Dec-13,45.45,46.08,45.00,45.49,527820
16-Dec-13,45.45,46.20,45.23,45.72,644524
13-Dec-13,45.57,45.89,44.94,45.32,447140
12-Dec-13,44.71,45.22,44.10,44.99,722009
11-Dec-13,47.40,47.77,45.49,45.58,826732
10-Dec-13,46.52,48.95,46.52,47.50,1454811
9-Dec-13,44.31,45.25,44.18,45.22,691589
6-Dec-13,44.90,45.26,44.02,44.15,715916
5-Dec-13,43.95,44.78,43.56,43.96,1027798
4-Dec-13,43.59,45.19,43.44,44.62,1004437
3-Dec-13,42.63,44.24,42.56,43.40,1146341
2-Dec-13,45.03,45.28,43.37,43.43,933605
29-Nov-13,45.29,45.70,45.01,45.09,262615
27-Nov-13,45.34,45.89,44.44,44.80,665374
26-Nov-13,45.98,45.98,44.41,44.80,882539
25-Nov-13,45.89,46.70,45.12,46.27,637730
22-Nov-13,46.34,47.64,46.18,46.24,722857
21-Nov-13,46.22,46.40,45.41,46.21,832342
20-Nov-13,47.19,47.84,45.87,46.24,915653
19-Nov-13,47.25,48.06,47.04,47.51,760317
18-Nov-13,46.97,47.60,46.20,47.34,1128312
15-Nov-13,48.70,49.14,46.90,47.14,765870
14-Nov-13,47.89,49.02,47.85,48.73,913039
13-Nov-13,47.06,47.79,46.75,47.55,698721
12-Nov-13,47.12,47.60,46.38,46.67,882541
11-Nov-13,47.38,47.71,46.42,47.56,556777
8-Nov-13,46.17,47.78,46.00,47.75,667046
7-Nov-13,48.00,48.48,46.42,46.53,826665
6-Nov-13,48.70,49.30,48.37,48.80,558700
5-Nov-13,49.53,49.77,48.16,48.63,694028
4-Nov-13,48.58,50.00,48.33,49.86,715451
1-Nov-13,47.97,48.43,47.07,48.06,806064
31-Oct-13,50.00,50.00,47.68,48.04,1166924
30-Oct-13,51.11,52.40,50.00,51.66,836232
29-Oct-13,52.27,52.45,50.20,50.66,769403
28-Oct-13,52.96,53.72,52.12,52.39,599827
25-Oct-13,51.82,53.10,50.89,52.80,581202
24-Oct-13,51.59,52.61,51.55,51.95,821991
23-Oct-13,52.47,52.62,50.51,50.76,781858
22-Oct-13,51.42,53.76,51.42,52.85,947810
21-Oct-13,49.97,50.77,49.87,50.61,567595
18-Oct-13,49.85,50.70,49.40,49.55,543786
17-Oct-13,48.54,50.92,48.54,50.02,1204519
