Date,Open,High,Low,Close,Volume
31-Dec-13,1.88,1.88,1.70,1.76,334391
30-Dec-13,1.64,1.96,1.61,1.96,740739
27-Dec-13,1.60,1.63,1.59,1.63,91009
26-Dec-13,1.60,1.63,1.60,1.61,10335
24-Dec-13,1.60,1.63,1.60,1.61,30639
23-Dec-13,1.60,1.64,1.60,1.60,23390
20-Dec-13,1.59,1.64,1.59,1.60,47275
19-Dec-13,1.62,1.64,1.59,1.60,32406
18-Dec-13,1.61,1.62,1.59,1.59,89528
17-Dec-13,1.65,1.65,1.60,1.60,33760
16-Dec-13,1.60,1.63,1.60,1.60,74332
13-Dec-13,1.59,1.64,1.59,1.60,114353
12-Dec-13,1.70,1.74,1.58,1.59,294017
11-Dec-13,1.66,1.66,1.58,1.61,52263
10-Dec-13,1.63,1.67,1.60,1.62,45159
9-Dec-13,1.63,1.68,1.63,1.63,54393
6-Dec-13,1.66,1.67,1.64,1.64,79905
5-Dec-13,1.67,1.70,1.65,1.65,94923
4-Dec-13,1.65,1.70,1.65,1.65,114713
3-Dec-13,1.79,1.79,1.66,1.67,206948
2-Dec-13,1.71,1.89,1.70,1.72,557274
29-Nov-13,1.60,1.82,1.60,1.71,492297
27-Nov-13,1.55,1.60,1.55,1.56,104359
26-Nov-13,1.55,1.64,1.55,1.58,161983
25-Nov-13,1.70,1.74,1.59,1.62,273125
22-Nov-13,1.65,1.72,1.55,1.65,1371729
21-Nov-13,2.32,2.39,2.01,2.01,148711
20-Nov-13,2.40,2.40,2.33,2.35,21277
19-Nov-13,2.48,2.55,2.40,2.43,10032
18-Nov-13,2.75,2.82,2.46,2.62,6560
15-Nov-13,2.59,2.59,2.57,2.59,5650
14-Nov-13,2.60,2.62,2.59,2.60,2299
13-Nov-13,2.56,2.57,2.55,2.55,12396
12-Nov-13,2.69,2.69,2.47,2.60,4330
11-Nov-13,2.48,2.69,2.44,2.68,23868
8-Nov-13,2.47,2.47,2.47,2.47,125
7-Nov-13,2.42,2.55,2.42,2.55,400
6-Nov-13,2.43,2.45,2.43,2.45,200
4-Nov-13,2.57,2.57,2.57,2.57,105
1-Nov-13,2.34,2.63,2.34,2.62,3581
31-Oct-13,2.37,2.40,2.37,2.40,2157
30-Oct-13,2.46,2.46,2.38,2.44,5012
29-Oct-13,2.45,2.45,2.45,2.45,100
28-Oct-13,2.48,2.55,2.48,2.55,1770
25-Oct-13,2.54,2.54,2.48,2.48,1440
