Date,Open,High,Low,Close,Volume
31-Dec-13,25.16,26.00,25.16,26.00,819
30-Dec-13,26.00,26.00,26.00,26.00,243
26-Dec-13,25.50,26.00,25.50,26.00,417
23-Dec-13,25.21,26.50,25.21,25.97,2599
20-Dec-13,25.00,25.00,25.00,25.00,452
17-Dec-13,25.11,25.11,25.11,25.11,457
16-Dec-13,25.08,25.08,25.08,25.08,446
13-Dec-13,26.48,26.50,26.48,26.50,3232
12-Dec-13,26.50,26.51,26.48,26.48,1064
11-Dec-13,26.53,26.57,26.53,26.53,1483
9-Dec-13,26.53,26.54,26.53,26.53,2309
6-Dec-13,26.40,26.50,26.40,26.50,200
5-Dec-13,27.40,27.40,25.09,26.55,4941
2-Dec-13,27.80,27.80,27.80,27.80,176
25-Nov-13,27.80,28.51,27.50,28.05,903
22-Nov-13,28.49,28.70,27.56,27.56,4635
21-Nov-13,28.75,28.95,27.79,28.30,5407
20-Nov-13,29.65,29.65,28.50,28.70,4024
19-Nov-13,28.06,29.98,27.56,27.56,3006
18-Nov-13,28.06,28.06,28.06,28.06,1275
15-Nov-13,27.79,27.83,27.79,27.79,600
14-Nov-13,27.79,27.79,27.79,27.79,110
13-Nov-13,26.50,26.50,25.50,25.54,500
12-Nov-13,25.08,26.83,25.00,26.83,421
8-Nov-13,25.09,25.50,24.48,24.76,1974
7-Nov-13,24.50,25.01,24.50,25.01,438
5-Nov-13,26.80,26.80,25.50,25.50,538
4-Nov-13,24.50,25.00,24.50,25.00,715
31-Oct-13,24.65,24.65,24.65,24.65,500
30-Oct-13,24.82,24.82,24.82,24.82,305
29-Oct-13,24.52,24.52,24.52,24.52,200
23-Oct-13,26.76,26.76,25.46,25.60,600
22-Oct-13,26.56,26.79,26.56,26.79,1462
21-Oct-13,26.76,26.76,25.47,25.47,300
18-Oct-13,26.20,26.80,26.20,26.80,800
17-Oct-13,25.96,26.00,25.65,25.92,2834
16-Oct-13,25.01,25.01,24.75,24.87,938
15-Oct-13,25.89,25.89,25.89,25.89,100
