Date,Open,High,Low,Close,Volume
31-Dec-13,10.76,10.96,10.58,10.69,959572
30-Dec-13,10.36,10.95,10.35,10.88,503796
27-Dec-13,10.40,10.51,10.24,10.40,452323
26-Dec-13,10.51,10.51,10.22,10.38,224255
24-Dec-13,10.39,10.50,10.35,10.41,273524
23-Dec-13,10.54,10.54,10.16,10.39,600439
20-Dec-13,9.75,10.57,9.63,10.54,1076033
19-Dec-13,9.33,9.76,9.28,9.70,455537
18-Dec-13,9.54,9.54,9.17,9.38,677873
17-Dec-13,9.70,9.70,9.46,9.49,504710
16-Dec-13,9.75,9.98,9.62,9.72,502437
13-Dec-13,9.82,9.89,9.58,9.72,442527
12-Dec-13,9.40,9.79,9.36,9.76,455408
11-Dec-13,9.61,9.72,9.37,9.39,732399
10-Dec-13,9.89,10.01,9.46,9.62,783909
9-Dec-13,10.01,10.17,9.62,9.95,454972
6-Dec-13,10.25,10.38,9.92,9.98,813962
5-Dec-13,10.64,10.67,10.13,10.17,623217
4-Dec-13,10.29,10.65,10.23,10.63,537167
3-Dec-13,10.63,10.74,10.34,10.37,1246578
2-Dec-13,11.24,11.24,10.65,10.74,609270
29-Nov-13,11.28,11.35,11.02,11.26,181645
27-Nov-13,11.31,11.33,11.08,11.19,363048
26-Nov-13,11.37,11.41,10.99,11.33,520087
25-Nov-13,10.87,11.41,10.85,11.32,667289
22-Nov-13,10.12,10.85,10.12,10.69,720738
21-Nov-13,9.77,10.15,9.77,10.15,374812
20-Nov-13,10.00,10.00,9.69,9.75,426358
19-Nov-13,10.15,10.34,9.95,9.99,467332
18-Nov-13,10.40,10.49,10.06,10.11,551885
15-Nov-13,10.14,10.34,10.12,10.31,371084
14-Nov-13,10.10,10.48,9.94,10.15,751716
13-Nov-13,10.11,10.28,9.91,10.13,661082
12-Nov-13,10.87,10.99,10.18,10.26,803277
11-Nov-13,10.86,11.00,10.65,10.97,618098
8-Nov-13,11.17,11.50,10.66,10.92,668046
7-Nov-13,11.75,11.86,10.41,10.56,923662
6-Nov-13,11.80,11.87,11.42,11.71,375551
5-Nov-13,12.14,12.15,11.69,11.73,398628
4-Nov-13,11.74,12.47,11.72,12.18,640484
1-Nov-13,11.76,11.90,11.47,11.71,506165
31-Oct-13,11.63,11.87,11.45,11.78,501817
30-Oct-13,12.21,12.21,11.55,11.67,594275
29-Oct-13,12.50,12.59,12.09,12.24,340409
28-Oct-13,12.23,12.64,12.23,12.44,445385
25-Oct-13,12.45,12.47,12.14,12.23,398061
24-Oct-13,12.29,12.45,11.98,12.40,507115
23-Oct-13,11.73,12.09,11.66,11.96,318360
22-Oct-13,11.53,11.79,11.53,11.72,322274
21-Oct-13,11.68,11.69,11.33,11.45,379806
18-Oct-13,11.88,12.32,11.68,11.75,394199
17-Oct-13,11.11,11.77,11.11,11.76,372949
