Date,Open,High,Low,Close,Volume
31-Dec-13,9.64,9.73,9.45,9.47,588962
30-Dec-13,9.52,9.81,9.48,9.66,644320
27-Dec-13,9.60,9.65,9.38,9.57,567683
26-Dec-13,9.58,9.66,9.51,9.56,402821
24-Dec-13,9.54,9.65,9.46,9.56,339650
23-Dec-13,9.61,9.66,9.46,9.56,679635
20-Dec-13,9.37,9.68,9.31,9.61,1497478
19-Dec-13,9.20,9.38,9.10,9.32,2023936
18-Dec-13,9.48,9.53,9.06,9.23,1260935
17-Dec-13,9.53,9.66,9.41,9.49,1218975
16-Dec-13,9.58,9.77,9.49,9.50,1538856
13-Dec-13,9.61,9.79,9.44,9.54,1371652
12-Dec-13,9.98,10.07,9.57,9.57,1492830
11-Dec-13,9.76,10.11,9.68,10.00,3499568
10-Dec-13,9.25,10.57,9.25,9.58,11749263
9-Dec-13,8.57,8.67,8.47,8.53,354475
6-Dec-13,8.64,8.65,8.51,8.58,377899
5-Dec-13,8.40,8.61,8.40,8.56,430299
4-Dec-13,8.38,8.52,8.25,8.43,408856
3-Dec-13,8.50,8.65,8.39,8.44,530375
2-Dec-13,8.57,8.64,8.47,8.52,388022
29-Nov-13,8.71,8.73,8.56,8.59,279947
27-Nov-13,8.62,8.68,8.51,8.65,413805
26-Nov-13,8.51,8.70,8.48,8.65,288031
25-Nov-13,8.66,8.73,8.50,8.53,267446
22-Nov-13,8.74,8.83,8.54,8.63,505671
21-Nov-13,8.38,8.74,8.31,8.73,914608
20-Nov-13,8.33,8.37,8.18,8.35,604640
19-Nov-13,8.35,8.46,8.26,8.28,555629
18-Nov-13,8.55,8.63,8.34,8.37,533860
15-Nov-13,8.68,8.71,8.51,8.55,546718
14-Nov-13,8.97,8.98,8.63,8.69,353490
13-Nov-13,8.72,9.04,8.69,8.99,754817
12-Nov-13,8.34,8.83,8.28,8.79,1097972
11-Nov-13,8.42,8.46,8.29,8.35,749319
8-Nov-13,8.17,8.48,8.17,8.46,454922
7-Nov-13,8.54,8.60,8.15,8.18,893313
6-Nov-13,8.72,8.72,8.43,8.53,413069
5-Nov-13,8.54,8.70,8.40,8.64,529740
4-Nov-13,8.73,8.74,8.51,8.58,865760
1-Nov-13,8.79,8.88,8.69,8.73,655614
31-Oct-13,8.63,8.84,8.63,8.74,642928
30-Oct-13,8.74,8.83,8.59,8.65,751422
29-Oct-13,8.48,8.71,8.48,8.71,949718
28-Oct-13,8.55,8.73,8.38,8.46,2089611
25-Oct-13,8.72,8.80,8.55,8.55,816541
24-Oct-13,8.90,9.00,8.65,8.71,938309
23-Oct-13,9.10,9.18,8.88,8.94,1097808
22-Oct-13,9.29,9.31,9.01,9.20,1134860
21-Oct-13,9.48,9.54,9.16,9.28,1109968
18-Oct-13,9.74,9.75,9.34,9.48,1585853
17-Oct-13,9.43,9.65,9.31,9.60,1049288
16-Oct-13,9.45,9.60,9.36,9.54,763812
15-Oct-13,9.61,9.63,9.32,9.39,1478083
14-Oct-13,9.18,9.72,9.12,9.61,903147
11-Oct-13,9.43,9.52,9.26,9.31,966955
10-Oct-13,9.19,9.50,9.14,9.44,808788
9-Oct-13,9.11,9.15,8.86,9.05,873323
8-Oct-13,9.24,9.40,8.94,9.03,982392
7-Oct-13,9.25,9.35,9.15,9.21,498053
4-Oct-13,9.29,9.44,9.24,9.36,412962
3-Oct-13,9.52,9.57,9.12,9.32,651325
2-Oct-13,9.59,9.67,9.40,9.55,729675
1-Oct-13,9.45,9.69,9.35,9.68,1647376
30-Sep-13,9.00,9.48,8.91,9.40,1511567
27-Sep-13,9.01,9.21,9.01,9.17,494459
26-Sep-13,9.15,9.16,8.97,9.06,790445
25-Sep-13,9.29,9.40,9.10,9.14,756113
24-Sep-13,8.89,9.40,8.85,9.25,1981105
23-Sep-13,8.90,8.94,8.77,8.89,872138
20-Sep-13,8.91,9.24,8.87,8.91,1669513
19-Sep-13,8.68,8.83,8.64,8.83,576072
18-Sep-13,8.56,8.67,8.38,8.64,448142
17-Sep-13,8.43,8.53,8.39,8.53,341394
16-Sep-13,8.57,8.61,8.40,8.43,530617
13-Sep-13,8.49,8.56,8.38,8.46,587064
12-Sep-13,8.79,8.84,8.43,8.45,1175188
11-Sep-13,9.06,9.15,8.79,8.80,808023
10-Sep-13,8.97,9.17,8.93,9.12,743788
9-Sep-13,8.86,8.94,8.78,8.94,576165
6-Sep-13,9.06,9.07,8.61,8.84,1012542
5-Sep-13,8.78,9.02,8.78,8.98,1677845
