Date,Open,High,Low,Close,Volume
31-Dec-13,7.70,7.70,7.52,7.55,75294
30-Dec-13,7.69,7.85,7.52,7.67,109074
27-Dec-13,7.83,7.83,7.65,7.72,53307
26-Dec-13,7.95,7.95,7.74,7.79,33289
24-Dec-13,7.90,7.96,7.78,7.90,34069
23-Dec-13,7.83,7.95,7.66,7.92,37307
20-Dec-13,7.73,7.95,7.73,7.82,147274
19-Dec-13,7.68,7.78,7.60,7.69,23685
18-Dec-13,7.69,7.73,7.56,7.71,62940
17-Dec-13,7.64,7.74,7.53,7.72,51653
16-Dec-13,7.87,7.87,7.50,7.66,65050
13-Dec-13,7.71,7.97,7.70,7.85,192643
12-Dec-13,7.71,7.81,7.70,7.71,69772
11-Dec-13,7.74,7.86,7.70,7.71,172541
10-Dec-13,7.65,8.08,7.63,7.73,268256
9-Dec-13,7.66,7.71,7.60,7.66,78719
6-Dec-13,7.70,7.77,7.62,7.68,62207
5-Dec-13,7.63,7.70,7.60,7.63,114836
4-Dec-13,7.65,7.71,7.59,7.66,93929
3-Dec-13,7.50,7.71,7.50,7.67,68186
2-Dec-13,7.77,7.86,7.49,7.52,31359
29-Nov-13,7.87,7.98,7.74,7.79,31994
27-Nov-13,7.68,7.85,7.65,7.81,50671
26-Nov-13,7.54,7.75,7.51,7.65,32833
25-Nov-13,7.45,7.65,7.44,7.54,22875
22-Nov-13,7.40,7.52,7.40,7.45,47898
21-Nov-13,7.20,7.49,7.20,7.43,33617
20-Nov-13,7.36,7.36,7.12,7.18,32103
19-Nov-13,7.44,7.46,7.24,7.32,32091
18-Nov-13,7.34,7.49,7.31,7.42,46522
15-Nov-13,7.31,7.43,7.30,7.32,29129
14-Nov-13,7.23,7.46,7.17,7.33,76490
13-Nov-13,7.13,7.26,7.10,7.25,53996
12-Nov-13,7.12,7.21,7.10,7.18,66531
11-Nov-13,7.21,7.25,7.09,7.12,39588
8-Nov-13,7.13,7.27,7.10,7.20,48003
7-Nov-13,7.30,7.30,7.11,7.14,60465
6-Nov-13,7.36,7.45,7.21,7.27,58143
5-Nov-13,7.44,7.45,7.11,7.31,67653
4-Nov-13,7.46,7.49,7.32,7.47,103603
1-Nov-13,7.62,7.80,7.35,7.50,122941
31-Oct-13,8.00,8.31,7.40,7.67,382638
30-Oct-13,8.37,8.48,8.28,8.38,124653
29-Oct-13,8.40,8.43,8.29,8.37,55272
28-Oct-13,8.33,8.51,8.25,8.43,73016
25-Oct-13,8.62,8.62,8.25,8.37,39430
24-Oct-13,8.58,8.62,8.52,8.59,36432
23-Oct-13,8.80,8.92,8.50,8.53,60420
22-Oct-13,8.54,8.95,8.48,8.85,359333
21-Oct-13,8.66,8.67,8.40,8.54,85637
18-Oct-13,8.63,8.64,8.55,8.63,80793
17-Oct-13,8.58,8.60,8.43,8.55,59559
16-Oct-13,8.47,8.61,8.32,8.56,73916
15-Oct-13,8.41,8.50,8.21,8.46,78343
14-Oct-13,8.49,8.55,8.36,8.45,44526
11-Oct-13,8.27,8.60,8.27,8.55,71883
10-Oct-13,8.31,8.42,8.21,8.31,43544
9-Oct-13,8.15,8.29,8.01,8.22,51450
8-Oct-13,8.25,8.29,8.09,8.15,87409
7-Oct-13,8.29,8.36,8.25,8.26,36061
4-Oct-13,8.30,8.54,8.22,8.34,56648
3-Oct-13,8.50,8.66,8.22,8.27,93668
2-Oct-13,8.69,8.72,8.52,8.54,108100
1-Oct-13,8.53,8.90,8.50,8.74,454768
30-Sep-13,8.49,8.70,8.12,8.55,177622
27-Sep-13,7.97,8.55,7.95,8.53,210048
26-Sep-13,8.00,8.12,7.78,8.03,219728
25-Sep-13,7.95,8.10,7.89,7.98,1089832
24-Sep-13,7.95,7.97,7.89,7.90,45627
23-Sep-13,7.95,7.98,7.87,7.95,62605
20-Sep-13,7.93,7.95,7.91,7.95,157552
19-Sep-13,7.95,7.96,7.92,7.93,47456
