Date,Open,High,Low,Close,Volume
31-Dec-13,2.91,2.91,2.84,2.90,13232
30-Dec-13,2.94,2.94,2.81,2.93,27264
27-Dec-13,2.92,2.98,2.80,2.94,116325
26-Dec-13,2.94,2.98,2.86,2.95,14784
24-Dec-13,2.90,2.95,2.90,2.90,4056
23-Dec-13,2.93,3.00,2.76,2.94,18347
20-Dec-13,2.92,2.93,2.90,2.90,11931
19-Dec-13,2.93,2.93,2.90,2.93,28200
18-Dec-13,2.95,2.96,2.90,2.93,25141
17-Dec-13,2.85,3.04,2.85,2.98,350188
16-Dec-13,2.81,3.00,2.81,2.88,55667
13-Dec-13,2.76,2.80,2.76,2.80,27329
12-Dec-13,2.75,2.78,2.75,2.78,19443
11-Dec-13,2.73,2.78,2.73,2.76,1254
10-Dec-13,2.75,2.78,2.75,2.78,3151
9-Dec-13,2.76,2.77,2.75,2.75,13677
6-Dec-13,2.79,2.79,2.75,2.77,29061
5-Dec-13,2.75,2.76,2.73,2.75,22163
4-Dec-13,2.75,2.77,2.75,2.77,6700
3-Dec-13,2.75,2.77,2.74,2.77,26450
2-Dec-13,2.70,2.78,2.70,2.75,27542
29-Nov-13,2.70,2.73,2.70,2.70,4383
27-Nov-13,2.76,2.76,2.76,2.76,325
26-Nov-13,2.67,2.78,2.67,2.74,12919
25-Nov-13,2.69,2.71,2.68,2.71,2724
22-Nov-13,2.72,2.72,2.61,2.70,8425
21-Nov-13,2.72,2.72,2.71,2.72,7395
20-Nov-13,2.75,2.75,2.73,2.73,5504
19-Nov-13,2.68,2.74,2.68,2.73,24672
18-Nov-13,2.71,2.71,2.68,2.71,12877
15-Nov-13,2.66,2.73,2.64,2.71,17414
14-Nov-13,2.61,2.61,2.61,2.61,459
13-Nov-13,2.73,2.73,2.66,2.72,11000
12-Nov-13,2.61,2.66,2.60,2.63,13156
11-Nov-13,2.70,2.70,2.60,2.60,16550
8-Nov-13,2.63,2.70,2.62,2.70,46759
7-Nov-13,2.61,2.66,2.58,2.66,29971
6-Nov-13,2.60,2.68,2.59,2.63,10131
5-Nov-13,2.61,2.66,2.60,2.62,5829
4-Nov-13,2.65,2.67,2.60,2.65,3767
1-Nov-13,2.62,2.68,2.58,2.61,5566
31-Oct-13,2.62,2.70,2.62,2.66,10708
30-Oct-13,2.66,2.66,2.54,2.60,81124
29-Oct-13,2.68,2.78,2.68,2.75,7096
28-Oct-13,2.71,2.75,2.69,2.69,8719
25-Oct-13,2.75,2.75,2.71,2.74,21373
24-Oct-13,2.71,2.75,2.71,2.73,30406
23-Oct-13,2.66,2.69,2.62,2.69,3382
22-Oct-13,2.72,2.74,2.65,2.69,10892
21-Oct-13,2.68,2.74,2.61,2.74,20538
18-Oct-13,2.66,2.69,2.64,2.65,16179
17-Oct-13,2.64,2.67,2.51,2.67,29112
16-Oct-13,2.52,2.67,2.40,2.67,229553
15-Oct-13,2.66,2.66,2.54,2.63,8786
14-Oct-13,2.57,2.70,2.47,2.70,10421
11-Oct-13,2.62,2.65,2.58,2.60,14929
10-Oct-13,2.61,2.70,2.46,2.59,53025
9-Oct-13,2.53,2.63,2.51,2.63,16308
8-Oct-13,2.50,2.55,2.45,2.53,24136
7-Oct-13,2.55,2.60,2.50,2.51,23263
4-Oct-13,2.58,2.62,2.55,2.59,16510
3-Oct-13,2.66,2.67,2.60,2.60,18372
2-Oct-13,2.65,2.70,2.65,2.69,17312
1-Oct-13,2.64,2.70,2.60,2.69,11080
30-Sep-13,2.60,2.70,2.60,2.63,17350
27-Sep-13,2.66,2.66,2.61,2.61,1233
26-Sep-13,2.69,2.72,2.62,2.69,8739
25-Sep-13,2.71,2.73,2.67,2.73,3774
24-Sep-13,2.70,2.78,2.60,2.77,29174
23-Sep-13,2.65,2.69,2.61,2.67,14395
20-Sep-13,2.68,2.70,2.68,2.70,10303
19-Sep-13,2.70,2.75,2.61,2.70,13251
18-Sep-13,2.76,2.77,2.72,2.72,1000
17-Sep-13,2.71,2.75,2.69,2.75,15307
16-Sep-13,2.75,2.77,2.72,2.72,6633
13-Sep-13,2.77,2.78,2.71,2.75,5207
12-Sep-13,2.71,2.79,2.70,2.77,24396
11-Sep-13,2.73,2.74,2.71,2.71,7921
10-Sep-13,2.68,2.73,2.67,2.73,10016
9-Sep-13,2.74,2.74,2.61,2.73,2975
6-Sep-13,2.63,2.74,2.63,2.70,16707
5-Sep-13,2.69,2.69,2.57,2.63,9855
4-Sep-13,2.69,2.69,2.69,2.69,1805
3-Sep-13,2.67,2.70,2.55,2.68,19950
30-Aug-13,2.62,2.69,2.62,2.68,11798
29-Aug-13,2.68,2.68,2.56,2.56,3000
28-Aug-13,2.57,2.70,2.51,2.68,14894
27-Aug-13,2.61,2.65,2.50,2.53,38900
26-Aug-13,2.72,2.74,2.62,2.66,4076
23-Aug-13,2.71,2.71,2.63,2.65,3441
22-Aug-13,2.70,2.78,2.61,2.70,15597
21-Aug-13,2.69,2.69,2.60,2.65,16275
20-Aug-13,2.65,2.70,2.63,2.63,12725
19-Aug-13,2.67,2.74,2.65,2.66,23813
16-Aug-13,2.75,2.75,2.70,2.70,3881
15-Aug-13,2.75,2.75,2.70,2.71,13756
14-Aug-13,2.75,2.75,2.75,2.75,540
13-Aug-13,2.75,2.78,2.75,2.77,16541
12-Aug-13,2.72,2.77,2.70,2.77,12097
9-Aug-13,2.73,2.76,2.69,2.69,13390
8-Aug-13,2.69,2.76,2.69,2.69,12238
7-Aug-13,2.67,2.76,2.66,2.68,9896
6-Aug-13,2.76,2.76,2.65,2.72,25568
5-Aug-13,2.65,2.72,2.63,2.72,5475
2-Aug-13,2.73,2.77,2.63,2.63,19243
1-Aug-13,2.66,2.71,2.60,2.70,30230
31-Jul-13,2.54,2.65,2.53,2.60,15854
30-Jul-13,2.70,2.70,2.51,2.51,73646
29-Jul-13,2.82,2.82,2.76,2.76,8429
26-Jul-13,2.85,2.85,2.77,2.85,11814
25-Jul-13,2.89,2.90,2.84,2.90,87333
24-Jul-13,2.81,2.96,2.72,2.96,78450
23-Jul-13,2.79,2.83,2.72,2.74,15134
22-Jul-13,2.71,2.83,2.71,2.83,47040
19-Jul-13,2.79,2.79,2.71,2.72,20003
18-Jul-13,2.85,2.85,2.72,2.76,25293
17-Jul-13,2.84,2.85,2.72,2.85,12014
16-Jul-13,2.76,2.85,2.71,2.84,43576
15-Jul-13,2.79,2.83,2.75,2.79,27109
12-Jul-13,2.85,2.85,2.79,2.83,35486
11-Jul-13,2.73,2.89,2.71,2.85,120478
