Date,Open,High,Low,Close,Volume
31-Dec-13,28.40,29.10,28.10,29.00,10714
30-Dec-13,29.00,29.00,28.20,28.50,6236
27-Dec-13,28.65,29.10,28.40,28.50,3419
26-Dec-13,28.50,29.10,28.40,29.00,6270
24-Dec-13,29.00,29.10,28.00,28.50,7318
23-Dec-13,30.00,30.10,28.50,29.00,13505
20-Dec-13,29.40,29.80,29.00,29.70,5513
19-Dec-13,28.50,29.20,28.05,29.20,2994
18-Dec-13,28.05,28.50,28.00,28.50,1895
17-Dec-13,28.00,28.30,27.80,27.90,2434
16-Dec-13,28.10,28.80,27.80,28.50,3602
13-Dec-13,29.10,29.40,28.90,28.90,1557
12-Dec-13,29.45,29.70,29.10,29.10,2641
11-Dec-13,30.00,30.00,29.00,29.90,1979
10-Dec-13,29.00,29.90,28.60,29.90,4968
9-Dec-13,29.90,30.00,28.00,28.50,6170
6-Dec-13,30.00,30.20,29.40,29.90,9995
5-Dec-13,30.00,30.40,29.50,30.20,12476
4-Dec-13,30.70,30.70,29.70,29.70,15071
3-Dec-13,31.00,31.50,30.00,30.70,45204
2-Dec-13,31.00,31.20,30.80,31.00,5423
29-Nov-13,31.00,31.20,31.00,31.00,3239
27-Nov-13,31.00,31.40,31.00,31.20,8511
26-Nov-13,31.00,31.00,30.90,30.90,4793
25-Nov-13,30.40,31.00,30.40,30.90,5175
22-Nov-13,31.00,31.20,30.50,31.00,5815
21-Nov-13,31.00,31.30,30.70,31.00,4389
20-Nov-13,30.50,31.00,30.20,30.50,2104
19-Nov-13,30.90,30.90,30.10,30.10,1686
18-Nov-13,29.50,31.10,29.50,30.40,22365
15-Nov-13,30.60,30.60,28.30,30.00,2133
14-Nov-13,31.90,32.20,30.30,30.80,4508
13-Nov-13,29.50,32.20,28.50,32.00,17603
12-Nov-13,29.20,29.70,29.10,29.60,983
11-Nov-13,28.10,29.90,28.00,29.20,1503
8-Nov-13,29.70,29.70,28.60,29.10,3569
7-Nov-13,29.20,29.90,29.20,29.70,1230
6-Nov-13,30.00,30.10,29.30,29.90,1372
5-Nov-13,29.50,30.10,29.20,29.80,3578
4-Nov-13,30.00,30.50,29.00,30.00,5339
1-Nov-13,30.50,31.00,29.40,30.50,3514
31-Oct-13,31.10,31.90,30.50,30.50,9854
30-Oct-13,30.80,31.00,30.20,30.90,2474
29-Oct-13,30.70,31.30,30.50,30.80,2305
28-Oct-13,32.00,32.00,28.50,30.80,5317
25-Oct-13,32.80,33.00,31.20,32.00,2999
24-Oct-13,33.40,33.70,31.10,32.70,7114
23-Oct-13,32.00,34.10,32.00,33.40,2832
22-Oct-13,35.00,35.00,31.60,33.50,1828
21-Oct-13,35.00,35.10,33.60,35.00,6112
18-Oct-13,35.10,35.10,31.60,35.00,5460
17-Oct-13,34.50,35.30,34.50,35.00,2122
16-Oct-13,35.20,35.50,35.00,35.00,5427
15-Oct-13,35.10,35.90,34.90,35.10,17803
14-Oct-13,31.40,35.50,30.70,35.00,10164
11-Oct-13,32.00,32.00,30.00,30.50,1704
10-Oct-13,29.40,35.00,29.40,32.20,2014
9-Oct-13,32.90,33.00,25.50,29.50,12982
8-Oct-13,35.00,35.00,29.50,33.90,8922
7-Oct-13,34.70,35.70,34.70,35.00,1830
4-Oct-13,35.00,35.40,34.60,34.90,1812
3-Oct-13,34.80,36.00,34.50,34.60,4078
2-Oct-13,34.00,35.20,33.50,35.20,5816
1-Oct-13,35.00,35.20,34.00,34.40,2136
30-Sep-13,34.00,35.00,33.60,35.00,2283
27-Sep-13,35.00,35.00,34.20,34.20,2514
26-Sep-13,34.90,35.00,34.00,34.70,879
25-Sep-13,35.00,35.20,34.90,35.20,484
24-Sep-13,35.00,35.00,33.60,34.90,2595
23-Sep-13,34.80,35.20,34.40,35.00,837
20-Sep-13,36.50,36.50,34.40,34.80,2934
19-Sep-13,34.80,36.10,34.50,36.10,8711
18-Sep-13,35.20,35.50,34.00,34.80,4513
17-Sep-13,35.10,35.50,35.00,35.50,1928
16-Sep-13,36.00,36.00,35.10,35.50,1882
13-Sep-13,35.00,36.00,34.70,35.10,3645
12-Sep-13,35.50,35.50,35.00,35.20,2171
11-Sep-13,35.60,35.60,35.00,35.50,2509
10-Sep-13,36.50,37.20,35.60,35.80,1969
9-Sep-13,36.00,40.20,36.00,36.50,5735
6-Sep-13,35.60,38.00,35.60,36.00,4963
5-Sep-13,37.20,37.20,35.50,35.50,5724
4-Sep-13,36.00,37.40,35.50,36.90,1687
3-Sep-13,34.00,36.50,33.80,36.00,3027
30-Aug-13,33.20,37.60,32.80,34.00,8192
29-Aug-13,36.50,37.50,32.50,35.50,3453
28-Aug-13,37.50,37.50,35.30,37.50,1556
27-Aug-13,39.00,39.50,32.30,36.80,4462
26-Aug-13,36.90,39.50,36.90,39.00,3775
23-Aug-13,37.50,37.50,35.40,36.90,1230
22-Aug-13,38.00,39.00,34.60,34.60,4803
21-Aug-13,38.00,38.00,37.50,38.00,499
20-Aug-13,36.00,39.00,36.00,37.50,1298
19-Aug-13,36.50,38.60,35.00,36.00,3331
16-Aug-13,38.10,38.70,36.80,38.40,1238
15-Aug-13,39.00,39.00,37.50,38.05,4557
14-Aug-13,37.50,39.20,37.50,38.90,2960
13-Aug-13,38.00,39.90,38.00,39.00,3754
12-Aug-13,38.70,39.50,38.00,39.00,1005
9-Aug-13,39.70,40.00,38.80,39.00,2183
8-Aug-13,39.60,40.00,39.00,40.00,2492
7-Aug-13,40.30,40.50,39.50,40.00,4919
6-Aug-13,40.10,40.60,40.00,40.20,34795
5-Aug-13,41.30,41.50,39.90,40.00,8663
2-Aug-13,40.00,41.50,38.00,41.40,2456
1-Aug-13,41.45,41.45,38.30,40.00,4333
31-Jul-13,42.00,42.50,39.50,41.70,14305
30-Jul-13,44.50,45.10,37.50,42.10,12124
29-Jul-13,48.50,49.50,45.00,45.40,6504
26-Jul-13,49.00,52.00,48.20,48.30,2312
25-Jul-13,49.90,49.90,49.00,49.90,1448
24-Jul-13,50.00,50.00,43.10,49.00,923
15-Mar-13,3.22,3.49,3.10,3.25,418993
14-Mar-13,3.02,3.58,3.02,3.30,931757
13-Mar-13,2.45,2.99,2.45,2.90,278413
12-Mar-13,2.74,3.00,2.41,2.45,392928
11-Mar-13,2.05,2.85,2.00,2.75,566851
8-Mar-13,1.94,2.00,1.85,2.00,266500
7-Mar-13,1.70,2.09,1.40,1.95,393346
6-Mar-13,1.38,1.50,1.38,1.45,24334
5-Mar-13,1.40,1.51,1.36,1.45,49485
4-Mar-13,1.55,1.55,1.35,1.51,56586
1-Mar-13,1.55,1.60,1.45,1.55,14960
28-Feb-13,1.60,1.65,1.55,1.59,9606
27-Feb-13,1.65,1.65,1.25,1.55,83439
26-Feb-13,1.80,1.80,1.56,1.65,52772
25-Feb-13,1.70,1.90,1.65,1.80,44373
22-Feb-13,1.60,1.70,1.55,1.70,37576
21-Feb-13,1.76,1.85,1.51,1.64,74722
20-Feb-13,1.96,2.00,1.60,1.85,96753
19-Feb-13,1.35,2.05,1.35,2.00,459011
15-Feb-13,1.30,1.40,1.18,1.38,67624
14-Feb-13,1.16,1.29,1.12,1.27,49193
13-Feb-13,1.40,1.40,1.10,1.12,62527
12-Feb-13,1.00,1.39,1.00,1.20,112739
11-Feb-13,1.00,1.20,0.90,1.16,49077
8-Feb-13,0.84,1.00,0.76,0.99,17732
7-Feb-13,0.85,0.85,0.76,0.84,9534
6-Feb-13,0.86,0.88,0.75,0.86,32267
5-Feb-13,0.80,0.88,0.75,0.88,15021
4-Feb-13,0.74,0.88,0.70,0.80,25371
1-Feb-13,0.77,0.77,0.73,0.74,71912
31-Jan-13,0.73,0.78,0.73,0.78,18794
30-Jan-13,0.78,0.78,0.73,0.78,11709
29-Jan-13,0.73,0.78,0.73,0.78,9033
28-Jan-13,0.73,0.75,0.73,0.75,9077
25-Jan-13,0.78,0.78,0.73,0.74,4238
24-Jan-13,0.78,0.78,0.71,0.72,2685
23-Jan-13,0.73,0.78,0.73,0.78,8992
22-Jan-13,0.78,0.78,0.73,0.78,16937
18-Jan-13,0.75,0.79,0.72,0.79,14686
17-Jan-13,0.77,0.77,0.72,0.77,6087
16-Jan-13,0.77,0.77,0.72,0.77,1316
15-Jan-13,0.72,0.78,0.72,0.75,19098
14-Jan-13,0.72,0.79,0.72,0.78,6860
11-Jan-13,0.73,0.79,0.72,0.72,19315
10-Jan-13,0.72,0.80,0.72,0.73,12338
9-Jan-13,0.75,0.80,0.72,0.72,9042
8-Jan-13,0.80,0.80,0.71,0.75,27417
7-Jan-13,0.80,0.82,0.75,0.75,47014
4-Jan-13,0.72,0.80,0.72,0.78,34499
3-Jan-13,0.72,0.80,0.72,0.78,25950
2-Jan-13,0.80,0.80,0.70,0.72,28036
31-Dec-12,0.70,0.80,0.70,0.75,26019
28-Dec-12,0.75,0.80,0.70,0.75,6481
27-Dec-12,0.80,0.80,0.75,0.75,15484
26-Dec-12,0.80,0.80,0.75,0.76,21666
24-Dec-12,0.75,0.80,0.75,0.80,14391
21-Dec-12,0.76,0.80,0.75,0.75,11522
20-Dec-12,0.75,0.80,0.75,0.77,17947
19-Dec-12,0.80,0.80,0.75,0.80,19400
