Date,Open,High,Low,Close,Volume
31-Dec-13,31.99,32.50,31.62,32.05,212475
30-Dec-13,32.17,32.52,31.78,31.96,93922
27-Dec-13,32.90,32.90,32.04,32.10,127344
26-Dec-13,32.54,33.11,32.17,33.06,296795
24-Dec-13,32.48,32.84,32.29,32.43,56227
23-Dec-13,31.58,32.56,31.52,32.41,185640
20-Dec-13,31.43,31.77,30.82,31.42,573675
19-Dec-13,32.20,32.20,31.26,31.40,285673
18-Dec-13,32.30,32.82,31.87,32.29,195701
17-Dec-13,32.32,32.97,31.96,32.31,143435
16-Dec-13,31.67,32.70,31.59,32.29,361114
13-Dec-13,31.91,32.18,31.52,31.56,124088
12-Dec-13,32.21,32.22,31.66,31.90,109618
11-Dec-13,32.57,32.80,31.97,32.06,190713
10-Dec-13,32.50,32.75,32.38,32.39,288330
9-Dec-13,32.55,32.77,32.41,32.56,137802
6-Dec-13,33.49,33.58,32.48,32.54,177990
5-Dec-13,33.15,33.53,33.01,33.11,159443
4-Dec-13,32.68,33.46,32.47,33.24,196383
3-Dec-13,33.62,33.91,32.79,32.98,272309
2-Dec-13,34.71,34.84,33.68,33.82,203547
29-Nov-13,34.53,34.94,34.52,34.73,58964
27-Nov-13,34.72,34.84,34.14,34.38,141136
26-Nov-13,33.07,34.76,33.06,34.58,210709
25-Nov-13,33.19,33.36,32.87,33.09,102885
22-Nov-13,33.63,33.65,32.98,33.18,142563
21-Nov-13,32.87,33.71,32.83,33.69,128435
20-Nov-13,32.72,32.92,32.45,32.57,231336
19-Nov-13,32.94,33.38,32.45,32.61,153564
18-Nov-13,33.24,33.91,32.82,33.02,190070
15-Nov-13,32.77,33.23,32.45,33.00,191988
14-Nov-13,31.73,32.83,31.51,32.60,231373
13-Nov-13,31.53,31.80,31.37,31.76,225490
12-Nov-13,32.30,32.40,31.70,31.80,232827
11-Nov-13,32.06,32.42,31.67,32.36,175614
8-Nov-13,31.69,32.48,31.58,32.05,227454
7-Nov-13,32.10,32.30,31.53,31.68,262420
6-Nov-13,32.64,32.70,31.52,31.94,234862
5-Nov-13,32.65,32.78,32.15,32.46,161884
4-Nov-13,32.39,33.46,32.23,32.98,416010
1-Nov-13,32.53,32.87,32.12,32.15,252225
31-Oct-13,31.56,32.68,31.04,32.53,503307
30-Oct-13,34.32,35.16,31.46,32.55,498364
29-Oct-13,34.05,34.63,33.78,34.50,222672
28-Oct-13,33.87,34.26,33.47,33.85,172043
25-Oct-13,34.18,34.33,33.86,33.93,104395
24-Oct-13,34.44,34.47,33.97,34.04,237537
23-Oct-13,34.86,35.31,34.37,34.52,288370
22-Oct-13,34.70,35.28,34.60,35.07,317071
21-Oct-13,34.58,34.72,34.35,34.59,193763
18-Oct-13,33.38,34.49,33.12,34.42,385172
17-Oct-13,32.91,33.47,32.91,33.31,3401535
16-Oct-13,33.21,33.44,32.96,33.16,229653
15-Oct-13,32.96,33.18,32.64,32.82,301938
14-Oct-13,32.67,33.27,32.67,33.19,193761
11-Oct-13,32.91,33.02,32.67,32.89,722828
10-Oct-13,30.76,31.46,30.59,31.36,153405
9-Oct-13,30.59,30.63,29.85,30.20,188209
8-Oct-13,31.05,31.17,30.04,30.35,189734
7-Oct-13,31.65,31.77,31.05,31.11,164219
4-Oct-13,31.12,32.08,31.12,31.99,139683
3-Oct-13,31.53,31.75,30.52,31.03,143583
2-Oct-13,31.04,31.60,30.81,31.58,87150
1-Oct-13,31.19,31.65,31.03,31.43,138507
30-Sep-13,30.30,31.37,30.03,31.18,304363
27-Sep-13,31.26,31.54,30.74,30.78,196419
