Date,Open,High,Low,Close,Volume
31-Dec-13,17.21,17.87,16.76,17.05,38126
30-Dec-13,16.70,17.71,16.30,17.12,6960
27-Dec-13,17.00,17.25,15.70,16.50,16450
26-Dec-13,17.88,17.88,16.78,16.93,19953
24-Dec-13,16.81,18.00,16.48,16.99,20248
23-Dec-13,16.65,16.80,16.26,16.74,24206
20-Dec-13,15.91,16.78,15.82,16.75,51168
19-Dec-13,15.73,16.77,15.63,15.85,81820
18-Dec-13,15.66,16.78,15.66,16.26,22045
17-Dec-13,16.99,16.99,16.06,16.36,13175
16-Dec-13,15.40,16.43,15.40,16.18,11636
13-Dec-13,15.94,17.21,15.34,15.65,44983
12-Dec-13,16.45,16.97,15.70,15.83,49374
11-Dec-13,16.68,17.10,16.34,16.49,25039
10-Dec-13,16.70,17.59,16.64,16.64,50342
9-Dec-13,16.60,16.83,16.32,16.80,15533
6-Dec-13,16.18,17.00,16.03,16.54,18332
5-Dec-13,16.00,16.08,15.96,16.00,5419
4-Dec-13,16.50,16.50,15.70,15.95,37284
3-Dec-13,15.79,17.09,15.67,15.87,7197
2-Dec-13,15.79,16.00,15.62,15.99,11212
29-Nov-13,15.41,16.95,15.41,15.90,5698
27-Nov-13,15.00,15.48,14.89,15.48,19380
26-Nov-13,14.85,15.14,14.78,15.00,32440
25-Nov-13,14.90,14.90,14.75,14.76,10038
22-Nov-13,14.73,14.81,14.61,14.81,14057
21-Nov-13,14.63,14.85,14.46,14.74,11276
20-Nov-13,14.63,14.82,14.50,14.50,7103
19-Nov-13,14.50,14.79,14.36,14.70,27501
18-Nov-13,14.42,14.65,14.19,14.50,84412
15-Nov-13,14.62,14.89,14.52,14.70,6429
14-Nov-13,14.11,14.80,14.11,14.67,42196
13-Nov-13,14.19,14.95,14.00,14.92,9345
12-Nov-13,14.20,14.30,14.20,14.30,1736
11-Nov-13,14.82,14.82,14.21,14.29,22162
8-Nov-13,14.71,15.15,14.20,14.80,8317
7-Nov-13,14.55,14.80,14.41,14.64,11630
6-Nov-13,14.69,14.88,14.20,14.77,13973
5-Nov-13,14.60,15.01,14.53,14.78,16166
4-Nov-13,14.47,15.00,14.47,14.75,21214
1-Nov-13,14.64,14.83,14.30,14.40,25445
31-Oct-13,14.25,14.87,14.05,14.77,29613
30-Oct-13,14.30,14.56,13.87,14.20,25070
29-Oct-13,14.37,14.61,13.98,14.34,32563
28-Oct-13,14.51,14.51,14.00,14.39,15436
25-Oct-13,14.29,14.43,13.84,14.22,15830
24-Oct-13,14.13,14.26,13.95,14.25,17099
23-Oct-13,13.75,14.38,13.66,14.01,60643
22-Oct-13,14.57,14.60,13.77,13.86,75531
21-Oct-13,14.59,14.72,14.41,14.50,8858
18-Oct-13,14.54,14.75,14.27,14.53,61394
17-Oct-13,14.63,14.75,14.53,14.63,19827
16-Oct-13,14.85,14.85,14.58,14.64,19749
15-Oct-13,14.91,14.95,14.50,14.74,31390
14-Oct-13,14.88,15.07,14.49,14.90,56810
11-Oct-13,14.17,15.00,14.01,14.85,22427
10-Oct-13,13.67,14.11,13.67,14.10,66829
9-Oct-13,13.51,13.85,13.35,13.65,13189
8-Oct-13,13.73,13.92,13.40,13.49,25574
7-Oct-13,13.75,14.05,13.48,13.73,13290
4-Oct-13,13.65,14.09,13.61,13.72,27048
3-Oct-13,13.54,13.86,13.45,13.69,15588
2-Oct-13,13.95,13.95,13.63,13.70,55195
1-Oct-13,13.57,14.24,13.48,13.99,31801
30-Sep-13,13.37,13.90,13.05,13.63,627393
27-Sep-13,13.58,13.77,13.25,13.28,76041
26-Sep-13,13.29,13.61,13.01,13.57,57090
25-Sep-13,13.14,13.70,13.08,13.45,49268
24-Sep-13,13.64,13.81,13.12,13.56,26965
23-Sep-13,12.84,13.85,12.62,13.65,63868
20-Sep-13,13.70,13.85,12.50,12.50,95686
19-Sep-13,13.47,13.97,13.33,13.82,40105
18-Sep-13,13.66,13.79,13.31,13.39,30957
17-Sep-13,13.74,14.11,13.38,13.38,19113
16-Sep-13,13.58,14.27,13.36,13.57,56840
13-Sep-13,12.90,13.86,12.86,13.49,26426
12-Sep-13,13.00,13.54,12.62,13.28,53760
11-Sep-13,13.04,13.81,12.53,13.12,22601
10-Sep-13,12.64,13.90,12.64,13.20,44674
9-Sep-13,12.68,13.35,12.62,13.05,38248
6-Sep-13,13.40,13.40,12.58,12.69,8548
5-Sep-13,12.79,12.99,12.55,12.56,21093
4-Sep-13,12.05,13.42,12.05,12.95,29497
3-Sep-13,12.70,12.79,11.90,12.11,85359
30-Aug-13,12.60,12.60,12.16,12.23,39153
29-Aug-13,12.80,13.00,11.46,12.48,139268
28-Aug-13,13.37,13.46,12.63,12.77,56481
27-Aug-13,14.00,14.00,13.07,13.53,45467
26-Aug-13,14.06,14.35,14.01,14.01,14956
23-Aug-13,14.17,14.20,14.00,14.20,28283
22-Aug-13,14.15,14.30,13.81,13.81,16134
21-Aug-13,13.76,14.24,13.00,14.23,19065
20-Aug-13,13.85,14.25,13.50,14.00,23093
19-Aug-13,13.52,14.19,13.52,13.88,47154
16-Aug-13,14.00,14.23,13.50,14.00,26549
15-Aug-13,13.61,13.96,13.50,13.96,45215
14-Aug-13,14.25,14.25,13.60,13.75,25366
13-Aug-13,13.57,13.97,13.57,13.87,12195
12-Aug-13,13.64,13.83,13.01,13.60,6267
9-Aug-13,13.86,14.00,13.25,13.60,31010
8-Aug-13,13.98,14.22,13.25,13.58,23730
7-Aug-13,13.80,13.80,13.50,13.50,10246
6-Aug-13,13.57,13.84,13.52,13.82,8914
5-Aug-13,13.77,14.10,13.50,13.60,39752
2-Aug-13,13.40,14.60,13.25,14.04,125987
1-Aug-13,13.87,13.87,13.00,13.40,46635
31-Jul-13,14.22,14.48,13.20,13.60,27294
30-Jul-13,14.05,14.44,13.45,13.63,40863
29-Jul-13,14.24,15.52,13.60,14.01,249470
26-Jul-13,14.32,14.32,13.51,14.06,79828
25-Jul-13,14.30,14.30,13.65,14.25,59620
24-Jul-13,13.00,14.04,13.00,13.71,48012
23-Jul-13,12.98,13.20,12.91,13.10,49069
22-Jul-13,12.75,13.97,12.50,12.90,131945
19-Jul-13,12.54,12.54,12.11,12.26,92659
18-Jul-13,12.63,12.63,12.35,12.50,41600
17-Jul-13,12.98,12.98,11.70,12.61,42020
16-Jul-13,12.80,12.99,12.25,12.99,36091
15-Jul-13,12.65,12.75,12.54,12.75,15165
12-Jul-13,13.00,13.08,12.55,12.65,24408
