Date,Open,High,Low,Close,Volume
31-Dec-13,12.66,13.44,12.62,13.33,175400
30-Dec-13,13.04,13.38,12.68,12.88,315955
27-Dec-13,13.76,13.83,12.62,13.10,293428
26-Dec-13,13.09,13.73,13.02,13.43,173140
24-Dec-13,12.97,13.14,12.77,13.10,100839
23-Dec-13,13.04,13.43,12.57,13.02,452161
20-Dec-13,11.30,12.42,11.30,12.34,389387
19-Dec-13,10.91,11.32,10.65,11.19,182358
18-Dec-13,11.17,11.21,10.71,11.05,167559
17-Dec-13,10.72,11.17,10.29,11.10,273367
16-Dec-13,10.63,10.99,10.53,10.80,335118
13-Dec-13,9.71,10.84,9.57,10.45,859563
12-Dec-13,9.20,9.36,9.20,9.27,68774
11-Dec-13,9.03,9.29,9.00,9.19,184153
10-Dec-13,8.85,9.13,8.80,8.99,86590
9-Dec-13,9.20,9.34,8.75,8.85,131104
6-Dec-13,9.45,9.48,9.20,9.20,87146
5-Dec-13,9.42,9.60,9.26,9.40,143099
4-Dec-13,9.44,9.58,9.20,9.35,120476
3-Dec-13,9.28,9.54,9.20,9.34,118318
2-Dec-13,9.52,9.82,9.16,9.36,729254
29-Nov-13,9.27,9.70,9.21,9.52,285466
27-Nov-13,8.72,9.20,8.72,9.06,377360
26-Nov-13,8.30,8.70,8.27,8.69,314370
25-Nov-13,7.98,8.14,7.98,8.09,61267
22-Nov-13,8.13,8.20,7.94,8.01,75554
21-Nov-13,8.18,8.20,8.01,8.09,141464
20-Nov-13,8.00,8.04,7.80,7.90,240433
19-Nov-13,7.98,8.19,7.90,7.92,117480
18-Nov-13,7.96,8.20,7.90,7.97,226915
15-Nov-13,7.93,8.06,7.90,7.98,74532
14-Nov-13,8.05,8.13,7.85,7.95,130949
13-Nov-13,7.98,8.24,7.85,8.08,144399
12-Nov-13,8.39,8.39,7.93,8.03,227431
11-Nov-13,8.40,8.49,8.25,8.42,82021
8-Nov-13,8.15,8.50,8.10,8.36,74644
7-Nov-13,8.48,8.49,8.10,8.20,97410
6-Nov-13,8.49,8.55,8.32,8.44,144559
5-Nov-13,8.19,8.69,8.19,8.42,410961
4-Nov-13,8.30,8.47,8.01,8.15,205774
1-Nov-13,8.00,8.25,7.81,8.19,204809
31-Oct-13,7.90,8.10,7.72,7.90,171051
30-Oct-13,8.19,8.26,7.90,7.94,225523
29-Oct-13,7.97,8.32,7.90,8.22,232339
28-Oct-13,8.06,8.13,7.85,8.00,126925
25-Oct-13,7.80,8.08,7.80,8.05,208592
24-Oct-13,7.99,8.03,7.76,7.83,155336
23-Oct-13,8.06,8.08,7.81,7.96,165159
22-Oct-13,8.35,8.35,8.00,8.07,150442
21-Oct-13,8.55,8.72,7.96,8.35,315582
18-Oct-13,8.75,8.80,8.52,8.58,226784
17-Oct-13,8.18,8.78,8.18,8.70,470309
16-Oct-13,8.28,8.28,8.04,8.21,250749
15-Oct-13,8.26,8.44,8.04,8.13,220801
14-Oct-13,8.12,8.35,7.82,8.30,208385
11-Oct-13,8.36,8.36,7.97,8.16,187481
10-Oct-13,8.27,8.46,7.92,8.34,312007
9-Oct-13,8.20,8.31,7.81,7.92,471686
8-Oct-13,8.39,8.83,8.07,8.16,448916
7-Oct-13,8.52,8.65,8.25,8.38,344590
4-Oct-13,8.69,8.95,8.60,8.66,404177
3-Oct-13,8.81,8.96,8.41,8.63,470216
2-Oct-13,8.80,9.11,8.76,8.81,2940900
1-Oct-13,10.28,10.53,10.15,10.22,156724
30-Sep-13,9.71,10.25,9.11,10.13,197118
27-Sep-13,9.95,10.35,9.59,9.80,182801
26-Sep-13,10.51,10.60,9.77,9.95,191553
25-Sep-13,10.00,10.40,9.80,10.34,178807
24-Sep-13,9.91,10.13,9.75,9.97,136244
23-Sep-13,10.31,10.51,9.86,10.00,151059
20-Sep-13,10.51,10.68,10.03,10.31,71274
19-Sep-13,10.50,10.90,10.39,10.50,220938
18-Sep-13,10.46,10.65,10.33,10.42,92765
17-Sep-13,10.62,10.90,10.19,10.44,113238
16-Sep-13,9.68,10.89,9.68,10.58,243380
13-Sep-13,10.00,10.29,9.47,9.80,125836
12-Sep-13,10.49,10.69,10.13,10.34,49061
11-Sep-13,10.85,10.85,10.05,10.50,108022
10-Sep-13,11.50,11.53,10.10,10.66,210676
9-Sep-13,10.50,11.44,10.30,11.07,364948
6-Sep-13,10.00,10.35,9.68,10.16,142564
5-Sep-13,9.36,9.90,9.31,9.78,167734
4-Sep-13,8.55,9.36,8.55,9.17,239832
3-Sep-13,8.58,8.58,8.11,8.36,37794
30-Aug-13,8.20,8.47,7.91,8.17,25096
29-Aug-13,8.65,8.81,7.86,8.12,81188
28-Aug-13,8.39,8.97,8.15,8.63,219009
27-Aug-13,7.73,8.30,7.73,7.97,250768
26-Aug-13,6.99,7.38,6.95,7.20,76493
23-Aug-13,6.75,6.99,6.75,6.94,37491
22-Aug-13,6.63,6.77,6.63,6.74,5867
21-Aug-13,6.60,6.79,6.54,6.59,14645
20-Aug-13,6.80,6.80,6.61,6.75,20576
19-Aug-13,6.69,6.95,6.55,6.72,45096
16-Aug-13,6.38,6.99,6.38,6.71,81166
15-Aug-13,6.49,6.61,6.26,6.34,21956
14-Aug-13,6.21,6.66,6.21,6.46,28544
13-Aug-13,6.20,6.28,6.16,6.16,18300
12-Aug-13,6.20,6.35,6.15,6.23,24672
9-Aug-13,6.13,6.27,6.13,6.21,5897
8-Aug-13,6.19,6.27,6.08,6.18,26883
7-Aug-13,6.28,6.31,6.11,6.22,35305
6-Aug-13,6.11,6.35,6.05,6.28,37870
5-Aug-13,6.16,6.23,6.05,6.05,36975
2-Aug-13,6.39,6.44,6.27,6.27,22021
1-Aug-13,6.35,6.44,6.28,6.36,38157
31-Jul-13,6.21,6.48,6.21,6.35,70952
30-Jul-13,6.17,6.25,6.06,6.22,41530
29-Jul-13,6.01,6.14,5.98,6.12,33348
26-Jul-13,6.08,6.20,5.98,6.00,50903
25-Jul-13,6.25,6.30,6.17,6.18,21142
24-Jul-13,6.23,6.35,6.00,6.21,125942
23-Jul-13,5.78,6.20,5.78,6.14,110207
22-Jul-13,5.52,5.82,5.51,5.76,55326
19-Jul-13,5.59,5.60,5.54,5.56,14947
18-Jul-13,5.43,5.67,5.43,5.62,35626
17-Jul-13,5.45,5.49,5.42,5.46,50438
16-Jul-13,5.46,5.56,5.44,5.46,31921
15-Jul-13,5.53,5.59,5.45,5.47,11343
12-Jul-13,5.50,5.68,5.43,5.50,199407
11-Jul-13,5.51,5.53,5.40,5.50,60172
10-Jul-13,5.38,5.51,5.37,5.46,60032
9-Jul-13,5.50,5.52,5.37,5.38,66639
8-Jul-13,5.46,5.50,5.46,5.49,16681
5-Jul-13,5.50,5.52,5.44,5.44,39257
3-Jul-13,5.62,5.62,5.50,5.57,20698
2-Jul-13,5.48,5.50,5.44,5.45,15171
1-Jul-13,5.45,5.54,5.44,5.44,12909
28-Jun-13,5.54,5.54,5.46,5.47,5461
27-Jun-13,5.70,5.70,5.44,5.47,13222
26-Jun-13,5.66,5.71,5.46,5.69,8065
25-Jun-13,5.50,5.73,5.48,5.48,43645
24-Jun-13,5.55,5.58,5.28,5.44,107514
21-Jun-13,5.71,5.75,5.61,5.66,12695
20-Jun-13,5.73,5.78,5.52,5.66,145117
19-Jun-13,5.56,5.78,5.56,5.73,7268
18-Jun-13,5.56,5.76,5.56,5.72,10249
17-Jun-13,5.51,5.58,5.50,5.56,10758
14-Jun-13,5.62,5.64,5.51,5.56,10129
13-Jun-13,5.64,5.74,5.50,5.61,14431
12-Jun-13,5.72,5.77,5.51,5.72,18768
11-Jun-13,5.66,5.80,5.65,5.70,6413
10-Jun-13,5.75,5.75,5.68,5.71,7918
7-Jun-13,5.83,5.83,5.75,5.80,3388
6-Jun-13,5.70,5.82,5.70,5.79,12217
5-Jun-13,5.77,5.81,5.58,5.81,10235
4-Jun-13,5.77,5.80,5.77,5.77,4950
3-Jun-13,5.88,5.90,5.76,5.76,21078
31-May-13,6.08,6.08,5.89,5.89,11030
30-May-13,6.04,6.17,5.94,5.98,22610
29-May-13,5.87,6.20,5.85,5.94,27196
28-May-13,6.51,6.77,5.85,5.91,127763
24-May-13,6.05,6.17,5.91,6.08,19449
23-May-13,6.02,6.16,6.02,6.02,16210
22-May-13,6.15,6.16,6.05,6.10,22197
21-May-13,5.97,6.18,5.97,6.07,47867
20-May-13,5.95,6.19,5.90,5.97,25445
17-May-13,6.07,6.25,5.90,6.08,49900
16-May-13,5.77,6.25,5.77,6.10,55185
15-May-13,6.14,6.15,5.82,5.85,31015
14-May-13,6.48,6.76,6.05,6.06,100999
13-May-13,6.20,6.45,6.00,6.40,161435
10-May-13,7.72,7.75,7.50,7.73,77323
