Date,Open,High,Low,Close,Volume
31-Dec-13,9.47,9.50,9.16,9.40,103799
30-Dec-13,9.33,9.55,9.26,9.47,86876
27-Dec-13,9.38,9.40,9.25,9.29,81067
26-Dec-13,9.19,9.33,9.03,9.27,76308
24-Dec-13,9.50,9.50,8.83,9.12,222235
23-Dec-13,9.36,9.70,9.11,9.47,322316
20-Dec-13,9.70,9.70,9.00,9.05,542399
19-Dec-13,8.80,9.23,8.80,8.96,323926
18-Dec-13,8.18,8.74,8.15,8.63,261063
17-Dec-13,8.37,8.43,8.05,8.14,149108
16-Dec-13,7.84,8.33,7.83,8.15,428078
13-Dec-13,7.33,7.85,7.32,7.72,179090
12-Dec-13,7.02,7.40,6.98,7.25,76591
11-Dec-13,7.13,7.29,6.97,7.01,122986
10-Dec-13,7.06,7.19,6.98,7.10,91279
9-Dec-13,7.34,7.45,7.02,7.12,76738
6-Dec-13,7.32,7.55,7.21,7.30,74557
5-Dec-13,7.13,7.38,7.13,7.23,89839
4-Dec-13,7.05,7.20,6.97,7.12,215861
3-Dec-13,7.29,7.31,7.03,7.07,109134
2-Dec-13,7.59,7.59,7.24,7.29,148799
29-Nov-13,7.77,7.85,7.40,7.44,106283
27-Nov-13,7.72,7.80,7.67,7.75,209412
26-Nov-13,7.75,7.79,7.71,7.74,156732
25-Nov-13,7.63,7.73,7.58,7.70,286164
22-Nov-13,7.40,7.69,7.38,7.44,287194
21-Nov-13,7.31,7.38,7.12,7.32,129668
20-Nov-13,7.00,7.33,7.00,7.17,206640
19-Nov-13,6.80,7.31,6.78,6.94,630006
18-Nov-13,6.77,6.82,6.53,6.74,76751
15-Nov-13,6.56,6.77,6.56,6.70,64753
14-Nov-13,6.52,6.62,6.36,6.57,69598
13-Nov-13,6.29,6.52,6.26,6.51,72321
12-Nov-13,6.39,6.44,6.27,6.37,98936
11-Nov-13,6.41,6.41,6.28,6.37,37088
8-Nov-13,6.09,6.44,6.09,6.43,58407
7-Nov-13,6.49,6.73,6.09,6.09,132300
6-Nov-13,7.01,7.01,6.40,6.43,139675
5-Nov-13,6.43,6.54,6.26,6.48,98650
4-Nov-13,6.13,6.49,6.11,6.45,81664
1-Nov-13,6.17,6.34,6.01,6.11,145581
31-Oct-13,6.46,6.47,6.16,6.20,91474
30-Oct-13,6.68,6.70,6.32,6.46,153458
29-Oct-13,6.73,6.84,6.64,6.72,95713
28-Oct-13,6.53,6.70,6.46,6.62,101843
25-Oct-13,6.63,6.63,6.46,6.53,42907
24-Oct-13,6.47,6.62,6.35,6.60,66946
23-Oct-13,6.55,6.55,6.39,6.46,145627
