Date,Open,High,Low,Close,Volume
31-Dec-13,42.42,42.65,42.25,42.43,83702
30-Dec-13,42.66,42.68,42.10,42.33,78139
27-Dec-13,43.03,43.18,42.49,42.89,71119
26-Dec-13,43.28,43.65,42.74,42.85,67945
24-Dec-13,42.33,43.32,42.25,43.10,49066
23-Dec-13,41.89,42.84,41.74,42.41,96378
20-Dec-13,40.85,42.09,40.78,41.92,274175
19-Dec-13,41.11,41.26,40.63,40.70,168725
18-Dec-13,41.34,41.42,40.68,41.23,146306
17-Dec-13,41.53,41.90,41.11,41.17,178207
16-Dec-13,40.86,41.90,40.86,41.60,247282
13-Dec-13,40.80,40.93,40.35,40.55,278366
12-Dec-13,41.31,41.45,40.51,40.65,259977
11-Dec-13,41.75,41.76,41.09,41.24,152519
10-Dec-13,42.38,42.74,41.57,41.69,217714
9-Dec-13,42.90,43.21,42.36,42.74,140659
6-Dec-13,42.18,43.41,42.18,42.82,99639
5-Dec-13,41.63,42.27,41.41,42.11,113015
4-Dec-13,41.41,42.10,41.36,41.82,103379
3-Dec-13,41.95,42.21,41.07,41.47,265122
2-Dec-13,42.07,42.28,41.73,41.93,169488
29-Nov-13,41.92,42.47,41.65,41.99,52159
27-Nov-13,42.35,42.43,41.60,41.63,129928
26-Nov-13,42.27,42.52,42.05,42.22,154732
25-Nov-13,41.77,42.75,41.64,42.30,148959
22-Nov-13,41.48,41.88,41.27,41.67,180983
21-Nov-13,41.32,41.50,40.91,41.32,175008
20-Nov-13,41.19,41.35,40.69,41.04,177429
19-Nov-13,41.24,41.37,40.84,40.90,128640
18-Nov-13,41.74,41.82,40.75,41.12,216267
15-Nov-13,40.96,42.05,40.96,41.72,135363
14-Nov-13,40.00,41.14,39.93,41.02,131871
13-Nov-13,39.85,40.52,39.81,40.51,92092
12-Nov-13,39.85,40.37,39.79,40.24,96330
11-Nov-13,39.88,40.00,39.68,39.87,149253
8-Nov-13,39.70,40.12,39.69,39.95,166969
7-Nov-13,40.02,40.02,39.62,39.76,130957
6-Nov-13,40.04,40.04,39.61,39.81,113486
5-Nov-13,39.88,40.00,39.55,39.74,111836
4-Nov-13,39.59,40.05,39.38,39.98,207459
1-Nov-13,38.39,39.51,38.17,39.37,257561
31-Oct-13,38.46,38.86,38.46,38.46,99663
30-Oct-13,38.50,38.77,38.40,38.62,104930
29-Oct-13,38.50,38.96,38.18,38.47,102729
28-Oct-13,38.24,39.11,38.02,38.50,160602
25-Oct-13,36.29,38.26,36.09,38.11,264007
24-Oct-13,36.21,36.44,35.84,36.17,136970
23-Oct-13,36.08,36.48,35.75,36.23,80485
22-Oct-13,36.10,36.32,35.91,36.17,62784
21-Oct-13,35.64,36.15,35.28,36.01,84974
18-Oct-13,35.34,35.66,34.45,35.63,72209
17-Oct-13,34.85,35.03,34.29,35.03,115220
