Date,Open,High,Low,Close,Volume
31-Dec-13,11.97,12.19,11.81,12.16,249264
30-Dec-13,11.86,12.00,11.64,12.00,252508
27-Dec-13,11.98,11.98,11.78,11.90,104892
26-Dec-13,11.79,11.99,11.76,11.93,148769
24-Dec-13,11.86,11.86,11.70,11.75,104106
23-Dec-13,11.71,11.92,11.65,11.89,274887
20-Dec-13,11.65,11.82,11.50,11.69,458826
19-Dec-13,11.69,11.87,11.51,11.62,407206
18-Dec-13,11.48,11.65,11.44,11.65,682126
17-Dec-13,11.47,11.55,11.28,11.45,365345
16-Dec-13,11.41,11.60,11.37,11.44,231869
13-Dec-13,11.28,11.60,11.28,11.43,292698
12-Dec-13,11.09,11.32,11.00,11.23,542694
11-Dec-13,11.35,11.50,11.05,11.11,407145
10-Dec-13,11.49,11.65,11.19,11.36,541774
9-Dec-13,12.07,12.07,11.38,11.50,741635
6-Dec-13,12.59,12.59,11.60,12.03,2602449
5-Dec-13,14.60,14.66,14.30,14.40,338424
4-Dec-13,14.59,14.90,14.37,14.60,156637
3-Dec-13,14.89,15.06,14.41,14.61,384809
2-Dec-13,14.80,15.11,14.35,14.43,192282
29-Nov-13,14.95,15.05,14.72,14.84,138171
27-Nov-13,14.51,14.87,14.34,14.86,182357
26-Nov-13,13.91,14.49,13.91,14.49,191639
25-Nov-13,14.44,14.51,13.74,13.85,274352
22-Nov-13,14.07,14.85,13.84,14.39,543476
21-Nov-13,13.82,14.13,13.82,14.04,146360
20-Nov-13,13.74,14.03,13.65,13.80,142156
19-Nov-13,14.17,14.32,13.65,13.70,200438
18-Nov-13,13.98,14.20,13.86,14.12,217828
15-Nov-13,13.79,14.15,13.71,13.97,182413
14-Nov-13,13.75,13.93,13.52,13.80,107736
13-Nov-13,13.51,13.90,13.51,13.79,131255
12-Nov-13,13.37,13.61,13.31,13.58,246936
11-Nov-13,13.26,13.43,13.08,13.39,336923
8-Nov-13,13.31,13.54,13.19,13.28,301570
7-Nov-13,14.01,14.02,13.28,13.31,375604
6-Nov-13,14.35,14.56,13.96,14.00,154605
5-Nov-13,14.40,14.58,14.25,14.29,107755
4-Nov-13,14.01,14.68,14.00,14.49,257444
1-Nov-13,14.16,14.26,13.69,13.98,429521
31-Oct-13,14.19,14.45,14.06,14.19,242987
30-Oct-13,14.58,14.61,14.19,14.24,172853
29-Oct-13,14.73,14.90,14.41,14.63,181470
28-Oct-13,14.83,15.00,14.59,14.68,197295
25-Oct-13,15.18,15.25,14.73,14.83,333111
24-Oct-13,14.66,15.20,14.64,15.12,490975
23-Oct-13,14.85,15.14,14.25,14.59,909394
22-Oct-13,13.61,13.85,13.47,13.79,215969
21-Oct-13,13.69,13.72,13.53,13.56,163860
18-Oct-13,13.77,13.91,13.50,13.72,201558
17-Oct-13,13.38,13.70,13.38,13.65,177978
16-Oct-13,13.32,13.58,13.31,13.40,171914
15-Oct-13,13.23,13.35,13.15,13.25,288070
14-Oct-13,12.83,13.38,12.82,13.23,414426
11-Oct-13,12.62,13.20,12.60,12.88,614536
10-Oct-13,12.49,12.91,12.35,12.67,261590
9-Oct-13,12.23,12.46,12.06,12.36,189637
8-Oct-13,12.45,12.69,12.19,12.23,219732
7-Oct-13,12.84,13.05,12.47,12.47,262646
4-Oct-13,13.22,13.25,12.89,12.92,414492
3-Oct-13,11.74,13.50,11.74,12.97,2121394
2-Oct-13,11.53,11.77,11.46,11.65,120063
1-Oct-13,11.47,11.83,11.46,11.63,149177
30-Sep-13,11.49,11.55,11.36,11.47,156640
27-Sep-13,11.80,11.98,11.56,11.59,87427
26-Sep-13,11.56,11.86,11.43,11.83,152171
25-Sep-13,11.78,11.83,11.38,11.41,127186
24-Sep-13,11.51,12.02,11.51,11.76,134235
23-Sep-13,11.63,11.70,11.46,11.55,92458
20-Sep-13,11.87,11.87,11.50,11.59,176870
19-Sep-13,11.80,11.97,11.65,11.80,95210
18-Sep-13,11.77,11.93,11.53,11.75,103259
17-Sep-13,11.49,11.80,11.42,11.74,125408
16-Sep-13,11.77,11.77,11.47,11.52,112815
13-Sep-13,11.60,11.76,11.50,11.62,89602
12-Sep-13,11.52,11.60,11.47,11.53,125981
11-Sep-13,11.50,11.75,11.45,11.48,107501
10-Sep-13,11.46,11.65,11.37,11.54,253536
9-Sep-13,10.91,11.54,10.91,11.43,312733
6-Sep-13,11.00,11.14,10.41,10.86,240677
5-Sep-13,10.59,10.93,10.49,10.90,173680
