Date,Open,High,Low,Close,Volume
31-Dec-13,32.36,32.36,31.52,31.89,20664
30-Dec-13,31.81,32.49,31.75,32.30,12445
27-Dec-13,31.78,32.01,31.16,31.93,26660
26-Dec-13,32.07,32.11,31.41,31.60,8560
24-Dec-13,31.89,32.45,31.81,31.81,13918
23-Dec-13,31.32,32.20,30.99,31.50,33944
20-Dec-13,30.45,31.48,30.41,31.25,100977
19-Dec-13,30.10,30.68,30.05,30.47,23999
18-Dec-13,30.13,30.66,29.77,30.22,22647
17-Dec-13,30.60,31.47,30.10,30.17,35744
16-Dec-13,30.68,31.54,29.98,30.04,31260
13-Dec-13,30.70,31.00,30.28,30.47,21457
12-Dec-13,30.69,32.14,30.65,30.71,14235
11-Dec-13,32.00,32.00,30.67,30.75,21075
10-Dec-13,32.70,32.89,32.00,32.05,22457
9-Dec-13,33.59,33.64,32.71,32.86,16837
6-Dec-13,33.54,34.32,33.54,33.67,11779
5-Dec-13,32.89,34.35,32.48,33.17,51952
4-Dec-13,31.95,33.20,31.95,32.96,15373
3-Dec-13,31.49,32.30,31.02,32.16,15468
2-Dec-13,31.22,31.84,30.55,31.63,24165
29-Nov-13,30.48,31.46,29.52,31.33,5556
27-Nov-13,29.60,30.30,29.60,30.29,16600
26-Nov-13,30.03,30.08,29.58,29.61,17301
25-Nov-13,29.99,30.15,29.61,29.79,14446
22-Nov-13,29.97,30.28,29.56,29.99,13629
21-Nov-13,29.74,30.14,29.74,29.98,20544
20-Nov-13,29.96,30.15,29.45,29.51,18489
19-Nov-13,29.77,30.14,29.77,29.88,10264
18-Nov-13,29.57,29.98,29.40,29.84,16184
15-Nov-13,29.27,29.56,29.05,29.51,14426
14-Nov-13,29.26,29.43,28.85,29.33,16542
13-Nov-13,28.98,29.48,28.88,29.34,7010
12-Nov-13,29.40,29.40,28.83,29.16,10351
11-Nov-13,29.76,29.76,29.42,29.56,3809
8-Nov-13,29.61,30.15,29.45,29.75,43513
7-Nov-13,29.60,29.81,29.04,29.61,82207
6-Nov-13,29.65,29.93,29.32,29.48,17896
5-Nov-13,29.26,29.97,29.01,29.49,17181
4-Nov-13,29.40,29.99,29.25,29.51,24604
1-Nov-13,29.25,29.75,29.22,29.40,30960
31-Oct-13,29.71,29.86,29.25,29.32,28624
30-Oct-13,30.10,30.10,29.67,29.78,15233
29-Oct-13,29.98,30.14,29.92,30.00,17860
28-Oct-13,30.08,30.28,29.72,29.94,37361
25-Oct-13,30.21,30.37,29.82,30.11,64145
24-Oct-13,30.03,30.27,29.79,30.15,11974
23-Oct-13,30.19,30.29,29.60,29.73,14722
22-Oct-13,30.11,30.37,29.94,30.07,35264
21-Oct-13,30.40,30.40,30.11,30.28,10935
18-Oct-13,30.52,30.65,30.18,30.40,24715
17-Oct-13,29.83,30.30,29.73,30.26,29243
16-Oct-13,30.12,30.63,29.95,29.99,48329
15-Oct-13,30.15,30.48,29.76,29.93,43284
14-Oct-13,29.93,30.57,29.56,30.41,52110
11-Oct-13,29.33,30.28,29.06,30.23,36208
10-Oct-13,28.75,29.94,28.45,29.38,44469
9-Oct-13,29.00,29.16,28.01,28.13,41894
8-Oct-13,29.84,30.25,28.65,28.93,54336
7-Oct-13,29.49,30.09,28.93,29.93,39930
4-Oct-13,29.33,30.28,29.33,29.88,23005
3-Oct-13,29.32,29.59,28.86,29.28,33920
2-Oct-13,29.64,29.85,29.00,29.21,48503
1-Oct-13,30.08,30.11,29.38,29.71,16710
30-Sep-13,29.55,30.11,29.55,30.09,23799
27-Sep-13,29.90,30.04,29.61,30.00,22372
26-Sep-13,30.38,30.50,29.98,30.13,6570
25-Sep-13,29.90,30.59,29.85,30.18,17324
24-Sep-13,30.25,30.25,29.77,29.94,36670
23-Sep-13,30.86,30.86,29.99,30.35,23359
20-Sep-13,30.38,31.35,30.23,30.70,132545
19-Sep-13,31.00,31.16,29.87,30.32,21645
18-Sep-13,29.81,31.27,29.48,30.80,32034
17-Sep-13,29.61,30.00,29.50,29.89,23766
16-Sep-13,30.21,30.53,29.34,29.58,32674
13-Sep-13,29.97,30.37,29.21,29.79,24661
12-Sep-13,29.80,30.04,29.80,29.87,8998
11-Sep-13,29.55,30.03,29.50,29.81,17621
10-Sep-13,29.21,29.79,29.21,29.54,17974
9-Sep-13,29.23,29.71,28.86,28.95,15122
6-Sep-13,27.93,29.05,27.46,29.05,14212
5-Sep-13,28.44,28.75,27.56,27.80,14214
4-Sep-13,29.51,29.73,28.28,28.32,18501
3-Sep-13,30.02,30.25,29.26,29.55,12596
30-Aug-13,30.19,30.71,29.24,29.47,19650
29-Aug-13,29.56,30.38,29.04,30.22,18570
28-Aug-13,30.05,30.84,29.56,29.56,10311
27-Aug-13,31.16,31.94,29.90,29.95,13197
26-Aug-13,31.92,32.05,31.29,31.75,12557
23-Aug-13,31.73,32.41,31.32,31.88,7380
22-Aug-13,30.63,32.06,30.63,31.71,9276
21-Aug-13,30.79,30.93,30.06,30.41,6518
20-Aug-13,30.79,31.54,30.51,31.03,5819
