Date,Open,High,Low,Close,Volume
31-Dec-13,16.89,16.90,16.89,16.90,700
30-Dec-13,16.89,16.90,16.85,16.88,4406
27-Dec-13,16.75,16.75,16.75,16.75,650
26-Dec-13,16.75,16.75,16.61,16.65,5138
23-Dec-13,16.88,16.91,16.88,16.91,248
20-Dec-13,17.06,17.29,16.87,16.87,3031
19-Dec-13,16.85,16.90,16.85,16.85,3164
18-Dec-13,16.85,16.85,16.85,16.85,1247
17-Dec-13,16.99,16.99,16.99,16.99,209
16-Dec-13,16.85,16.85,16.85,16.85,3895
13-Dec-13,16.99,16.99,16.99,16.99,457
12-Dec-13,16.69,17.16,16.69,16.82,4857
11-Dec-13,16.73,16.90,16.71,16.71,3371
10-Dec-13,16.73,16.90,16.73,16.81,14798
9-Dec-13,16.90,16.90,16.85,16.85,1616
6-Dec-13,16.96,17.00,16.85,16.90,7900
5-Dec-13,17.00,17.00,16.85,16.94,6765
4-Dec-13,17.00,17.10,17.00,17.00,3300
3-Dec-13,17.24,17.24,16.85,17.02,17508
2-Dec-13,16.94,17.22,16.94,17.22,300
27-Nov-13,16.85,16.85,16.85,16.85,9139
26-Nov-13,16.89,17.17,16.85,16.85,14829
25-Nov-13,16.86,16.86,16.76,16.85,10265
22-Nov-13,16.75,16.80,16.75,16.77,1910
21-Nov-13,16.84,16.84,16.76,16.76,600
20-Nov-13,16.85,16.85,16.85,16.85,300
19-Nov-13,16.75,16.75,16.75,16.75,800
18-Nov-13,16.70,16.70,16.70,16.70,548
15-Nov-13,16.84,16.84,16.84,16.84,300
14-Nov-13,16.78,16.80,16.78,16.80,2800
13-Nov-13,16.50,16.68,16.50,16.68,1413
8-Nov-13,16.59,16.59,16.59,16.59,300
7-Nov-13,16.70,16.70,16.25,16.70,4448
6-Nov-13,16.80,16.80,16.80,16.80,200
5-Nov-13,16.80,16.95,16.74,16.86,18766
4-Nov-13,16.30,16.98,16.30,16.85,13478
1-Nov-13,16.00,16.20,16.00,16.18,3433
31-Oct-13,16.15,16.16,15.70,16.04,8185
30-Oct-13,15.93,16.09,15.60,16.09,402
29-Oct-13,16.42,16.56,15.85,16.56,3800
25-Oct-13,15.84,16.33,15.81,16.21,2228
24-Oct-13,15.65,15.84,15.25,15.83,1600
23-Oct-13,15.55,15.56,15.51,15.51,430
22-Oct-13,15.50,15.50,15.50,15.50,100
18-Oct-13,15.61,15.61,15.60,15.60,700
17-Oct-13,15.60,15.60,15.60,15.60,2000
15-Oct-13,15.26,15.73,15.26,15.73,10030
14-Oct-13,15.55,15.55,15.09,15.09,200
11-Oct-13,15.65,15.83,15.42,15.42,550
10-Oct-13,15.45,15.45,15.45,15.45,100
9-Oct-13,15.30,15.30,15.25,15.25,3583
8-Oct-13,15.10,15.15,15.09,15.12,2574
7-Oct-13,15.35,15.35,15.19,15.19,400
4-Oct-13,15.58,15.58,15.35,15.35,5600
3-Oct-13,15.25,15.46,15.25,15.40,2176
2-Oct-13,15.46,15.46,15.30,15.35,3327
1-Oct-13,15.11,15.15,15.11,15.11,2200
