Date,Open,High,Low,Close,Volume
31-Dec-13,7.74,7.89,7.66,7.74,9562
30-Dec-13,7.75,7.80,7.65,7.76,8362
27-Dec-13,7.66,8.02,7.66,7.81,8780
26-Dec-13,8.02,8.05,7.58,7.74,7458
24-Dec-13,7.60,7.83,7.59,7.67,4176
23-Dec-13,8.09,8.09,7.40,7.59,29468
20-Dec-13,7.85,8.04,7.75,8.04,109198
19-Dec-13,7.88,7.99,7.46,7.90,8352
18-Dec-13,7.84,7.94,7.56,7.94,10590
17-Dec-13,7.75,7.84,7.70,7.83,2358
16-Dec-13,7.40,7.82,7.40,7.80,11574
13-Dec-13,7.80,7.82,7.77,7.82,3448
12-Dec-13,7.42,7.84,7.35,7.78,13210
11-Dec-13,7.55,7.62,7.42,7.50,11702
10-Dec-13,7.48,7.55,7.37,7.55,13880
9-Dec-13,7.86,7.86,7.09,7.48,32974
6-Dec-13,7.89,8.00,7.72,7.86,4382
5-Dec-13,7.90,7.97,7.71,7.94,11064
4-Dec-13,7.97,8.00,7.71,7.83,5528
3-Dec-13,7.70,8.15,7.70,8.08,9426
2-Dec-13,7.72,7.86,7.55,7.86,24548
29-Nov-13,7.98,8.14,7.68,7.68,1942
27-Nov-13,7.97,8.02,7.86,7.86,7696
26-Nov-13,8.02,8.12,7.86,8.04,5772
25-Nov-13,8.00,8.11,7.95,8.08,32742
22-Nov-13,7.92,7.94,7.78,7.94,4800
21-Nov-13,7.68,8.00,7.68,7.86,20938
20-Nov-13,7.84,7.98,7.55,7.77,28972
19-Nov-13,7.85,8.02,7.60,8.00,39694
18-Nov-13,7.80,8.02,7.75,7.96,26992
15-Nov-13,7.89,8.04,7.76,7.88,23202
14-Nov-13,8.08,8.08,7.77,7.84,15690
13-Nov-13,7.88,8.08,7.82,8.06,52360
12-Nov-13,8.08,8.08,7.70,7.70,41538
11-Nov-13,7.55,8.10,7.34,8.06,95660
8-Nov-13,7.46,7.46,7.00,7.34,11182
7-Nov-13,7.20,7.69,7.00,7.62,14984
6-Nov-13,7.65,7.68,7.30,7.34,11564
5-Nov-13,7.72,7.72,7.62,7.62,17946
4-Nov-13,7.50,7.72,7.38,7.71,30906
1-Nov-13,7.55,7.55,7.15,7.50,8476
31-Oct-13,7.57,7.74,7.12,7.55,51638
30-Oct-13,7.71,7.71,7.38,7.46,14068
29-Oct-13,7.66,7.95,7.45,7.71,210380
28-Oct-13,7.48,8.48,7.44,8.05,100466
25-Oct-13,6.78,7.32,6.78,7.28,47144
24-Oct-13,6.42,6.80,6.42,6.80,11552
23-Oct-13,6.75,6.75,6.75,6.75,900
22-Oct-13,6.68,6.74,6.68,6.74,1400
21-Oct-13,6.45,6.70,6.44,6.64,22896
18-Oct-13,6.62,6.62,6.45,6.45,2890
17-Oct-13,6.61,6.61,6.60,6.60,800
16-Oct-13,6.59,6.61,6.50,6.60,10600
15-Oct-13,6.50,6.59,6.45,6.56,3800
14-Oct-13,6.52,6.60,6.50,6.50,6000
11-Oct-13,6.46,6.50,6.46,6.46,1000
10-Oct-13,6.59,6.71,6.48,6.48,7010
9-Oct-13,6.66,6.66,6.55,6.56,7814
8-Oct-13,6.60,6.70,6.60,6.61,14900
7-Oct-13,6.56,6.58,6.55,6.56,16346
4-Oct-13,6.58,6.64,6.42,6.56,7624
3-Oct-13,6.54,6.65,6.35,6.65,15492
2-Oct-13,6.53,6.60,6.53,6.54,13074
1-Oct-13,6.44,6.65,6.42,6.64,15088
30-Sep-13,6.36,6.46,6.24,6.24,15022
27-Sep-13,6.32,6.32,6.22,6.24,2340
26-Sep-13,6.25,6.33,6.22,6.26,2700
25-Sep-13,6.26,6.26,6.25,6.26,3070
24-Sep-13,6.37,6.44,6.20,6.30,5200
23-Sep-13,6.36,6.44,6.08,6.36,10600
20-Sep-13,6.04,6.45,6.04,6.38,19110
19-Sep-13,6.32,6.46,6.15,6.30,2000
18-Sep-13,6.30,6.32,6.12,6.32,8350
17-Sep-13,6.25,6.32,6.00,6.24,6000
16-Sep-13,5.98,6.24,5.96,6.24,14582
13-Sep-13,5.96,6.02,5.94,5.96,13716
12-Sep-13,6.25,6.25,5.84,5.96,22814
11-Sep-13,6.08,6.22,6.02,6.22,4064
10-Sep-13,6.01,6.13,6.00,6.00,14380
9-Sep-13,6.20,6.20,5.96,6.06,5438
6-Sep-13,6.25,6.25,6.10,6.22,5198
5-Sep-13,6.14,6.24,6.06,6.24,5086
4-Sep-13,6.08,6.16,6.05,6.16,5144
3-Sep-13,6.00,6.19,6.00,6.04,5222
30-Aug-13,5.81,6.15,5.81,5.94,22070
29-Aug-13,6.00,6.00,5.78,5.86,6268
28-Aug-13,5.90,6.08,5.90,6.02,3416
27-Aug-13,5.94,5.97,5.88,5.92,8116
26-Aug-13,5.98,6.08,5.98,6.01,14664
23-Aug-13,6.24,6.24,5.85,6.04,13402
22-Aug-13,6.25,6.25,5.80,6.21,7334
21-Aug-13,6.29,6.32,6.20,6.22,2762
20-Aug-13,6.32,6.32,6.28,6.28,968
19-Aug-13,6.32,6.35,6.26,6.32,8260
16-Aug-13,6.20,6.36,6.20,6.30,6818
15-Aug-13,6.20,6.22,6.15,6.15,6786
14-Aug-13,6.29,6.32,6.15,6.15,38300
13-Aug-13,6.28,6.29,6.28,6.29,2822
12-Aug-13,6.26,6.33,6.26,6.29,3260
9-Aug-13,6.35,6.41,6.20,6.31,5924
8-Aug-13,6.18,6.35,6.12,6.31,24520
7-Aug-13,6.02,6.18,6.02,6.16,3046
6-Aug-13,5.98,6.18,5.88,6.10,16346
5-Aug-13,5.90,6.05,5.76,5.95,17112
2-Aug-13,5.78,5.90,5.65,5.88,18478
1-Aug-13,5.83,5.83,5.71,5.82,4158
31-Jul-13,5.70,5.83,5.60,5.81,12654
30-Jul-13,5.69,5.70,5.60,5.70,7432
29-Jul-13,5.66,5.70,5.47,5.70,38800
26-Jul-13,5.54,5.70,5.54,5.70,16784
25-Jul-13,5.42,5.69,5.42,5.50,63658
24-Jul-13,5.16,5.45,5.16,5.42,16622
23-Jul-13,5.34,5.42,5.30,5.42,55362
22-Jul-13,5.25,5.48,5.15,5.20,30392
19-Jul-13,5.38,5.50,5.04,5.20,34642
18-Jul-13,5.49,5.55,5.38,5.39,42552
17-Jul-13,5.46,5.48,5.38,5.40,28974
16-Jul-13,5.52,5.66,5.42,5.42,19904
15-Jul-13,5.65,5.65,5.52,5.54,2800
12-Jul-13,5.51,5.70,5.46,5.66,2824
11-Jul-13,5.58,5.69,5.58,5.68,14070
10-Jul-13,5.62,5.62,5.48,5.54,2360
9-Jul-13,5.58,5.64,5.56,5.64,1400
8-Jul-13,5.52,5.62,5.52,5.54,2440
5-Jul-13,5.56,5.56,5.50,5.50,800
2-Jul-13,5.62,5.64,5.47,5.52,4896
1-Jul-13,5.43,5.65,5.43,5.56,13532
28-Jun-13,5.40,5.48,5.35,5.40,11968
27-Jun-13,5.53,5.54,5.32,5.34,24646
26-Jun-13,5.40,5.50,5.35,5.50,32584
25-Jun-13,5.40,5.40,5.36,5.38,20160
24-Jun-13,5.42,5.42,5.37,5.38,2800
21-Jun-13,5.48,5.48,5.44,5.48,6340
20-Jun-13,5.47,5.62,5.45,5.45,34404
19-Jun-13,5.47,5.64,5.45,5.50,9166
18-Jun-13,5.50,5.50,5.45,5.49,1814
17-Jun-13,5.50,5.50,5.50,5.50,800
14-Jun-13,5.50,5.50,5.47,5.50,5396
13-Jun-13,6.00,6.00,6.00,6.00,600
12-Jun-13,5.55,5.55,5.50,5.50,5710
11-Jun-13,5.65,5.65,5.46,5.50,32380
10-Jun-13,5.65,5.65,5.53,5.57,4860
7-Jun-13,5.72,5.72,5.58,5.60,7718
6-Jun-13,5.75,5.75,5.52,5.60,10902
5-Jun-13,5.70,5.75,5.58,5.64,10476
4-Jun-13,5.74,5.74,5.70,5.70,668
3-Jun-13,5.70,5.80,5.70,5.74,15334
31-May-13,5.72,5.84,5.72,5.80,11260
30-May-13,5.82,5.82,5.70,5.75,34800
29-May-13,5.76,5.76,5.72,5.75,8600
28-May-13,5.80,5.84,5.77,5.77,2182
24-May-13,5.80,5.82,5.75,5.80,5364
23-May-13,5.80,5.84,5.80,5.84,2000
21-May-13,5.96,5.96,5.81,5.82,10368
20-May-13,5.88,5.97,5.88,5.94,10818
17-May-13,5.86,5.86,5.86,5.86,400
15-May-13,5.82,5.88,5.76,5.80,12560
14-May-13,5.90,5.90,5.77,5.77,52360
13-May-13,5.85,5.86,5.85,5.85,2040
10-May-13,5.86,5.86,5.85,5.85,2916
9-May-13,5.86,5.89,5.85,5.85,8012
8-May-13,5.85,5.98,5.85,5.98,7200
7-May-13,5.90,5.98,5.85,5.86,4400
6-May-13,5.75,5.95,5.75,5.95,2500
3-May-13,5.90,5.90,5.83,5.84,14924
2-May-13,5.78,5.85,5.78,5.85,4938
1-May-13,5.89,5.90,5.78,5.81,1600
30-Apr-13,5.89,6.00,5.88,6.00,2842
26-Apr-13,5.89,5.91,5.82,5.91,1996
