Date,Open,High,Low,Close,Volume
31-Dec-13,40.13,40.38,39.44,39.89,612337
30-Dec-13,40.00,40.73,39.55,40.23,693728
27-Dec-13,40.57,40.65,39.78,39.89,224587
26-Dec-13,39.70,40.62,39.70,40.32,334786
24-Dec-13,40.16,40.34,39.23,39.60,257071
23-Dec-13,40.08,40.96,39.92,40.15,575531
20-Dec-13,38.62,40.06,38.27,39.78,1192403
19-Dec-13,38.82,39.44,38.21,38.65,573085
18-Dec-13,38.62,39.26,38.28,39.18,782816
17-Dec-13,40.47,40.51,38.54,38.56,1191836
16-Dec-13,40.46,41.12,39.76,40.02,691577
13-Dec-13,39.50,40.35,39.12,40.21,840091
12-Dec-13,39.68,39.99,39.23,39.52,1444172
11-Dec-13,41.46,41.51,39.32,39.78,1121088
10-Dec-13,41.08,42.38,40.61,41.43,979684
9-Dec-13,44.54,44.99,40.58,41.16,2312791
6-Dec-13,45.00,45.37,43.03,44.35,937939
5-Dec-13,43.67,44.33,43.39,44.27,1010752
4-Dec-13,42.35,43.74,42.32,43.71,921157
3-Dec-13,42.03,42.73,41.87,42.65,1105372
2-Dec-13,41.25,42.26,41.00,42.19,772227
29-Nov-13,40.99,41.44,40.72,41.09,307909
27-Nov-13,41.58,41.71,40.46,40.90,619496
26-Nov-13,41.79,42.00,41.24,41.50,568378
25-Nov-13,40.81,42.12,40.62,41.75,640708
22-Nov-13,40.76,41.09,40.13,40.53,757820
21-Nov-13,40.56,41.00,40.04,40.50,698733
20-Nov-13,40.89,41.36,40.17,40.38,654661
19-Nov-13,41.12,41.35,40.29,40.86,746918
18-Nov-13,41.84,42.89,41.05,41.21,696774
15-Nov-13,41.37,42.60,41.16,41.70,811605
14-Nov-13,41.03,41.50,40.62,41.45,609662
13-Nov-13,39.73,41.35,39.53,41.05,876190
12-Nov-13,39.85,40.09,38.99,39.96,708514
11-Nov-13,39.19,39.91,38.87,39.88,625461
8-Nov-13,37.04,39.63,37.04,38.92,944228
7-Nov-13,37.86,38.29,36.79,37.01,972827
6-Nov-13,39.52,39.58,37.55,37.86,1352824
5-Nov-13,39.10,39.37,38.30,38.44,839280
4-Nov-13,39.05,39.79,38.78,39.03,734306
1-Nov-13,38.69,38.97,38.21,38.95,564488
31-Oct-13,39.93,40.27,38.58,38.65,1750349
30-Oct-13,40.78,41.31,39.38,39.91,924086
29-Oct-13,40.26,40.97,39.96,40.57,600293
28-Oct-13,40.69,40.94,40.05,40.22,379822
25-Oct-13,42.09,42.38,40.55,40.71,379130
24-Oct-13,41.73,43.10,41.65,42.05,533498
23-Oct-13,40.10,41.70,39.95,41.67,633152
22-Oct-13,40.28,40.83,39.90,40.37,774885
21-Oct-13,40.04,40.44,39.81,40.04,880813
18-Oct-13,41.99,42.08,39.89,40.04,958172
17-Oct-13,40.93,41.98,40.67,41.88,515081
16-Oct-13,39.92,41.09,39.91,41.01,554980
15-Oct-13,39.75,40.03,39.50,39.73,913514
14-Oct-13,39.09,39.80,38.68,39.75,1034341
11-Oct-13,40.45,40.45,38.75,39.72,1332626
10-Oct-13,40.65,41.18,40.10,40.70,722169
9-Oct-13,41.07,41.09,38.20,39.60,1754312
8-Oct-13,44.47,44.47,41.00,41.13,1267332
7-Oct-13,44.82,45.26,44.04,44.18,388269
4-Oct-13,45.78,46.48,45.27,45.35,529010
3-Oct-13,45.15,45.60,44.11,45.54,1867744
2-Oct-13,44.64,45.72,44.25,45.50,902494
1-Oct-13,43.96,44.89,43.51,44.89,714877
