Date,Open,High,Low,Close,Volume
31-Dec-13,16.86,17.03,16.69,16.93,542414
30-Dec-13,16.71,16.84,16.47,16.77,373591
27-Dec-13,17.00,17.02,16.59,16.75,427490
26-Dec-13,16.93,17.24,16.93,16.95,390841
24-Dec-13,16.84,16.98,16.67,16.82,258497
23-Dec-13,16.55,17.01,16.46,16.81,683504
20-Dec-13,15.79,16.55,15.50,16.49,2210092
19-Dec-13,15.95,16.11,15.61,15.80,883513
18-Dec-13,16.49,16.58,15.63,16.05,1204697
17-Dec-13,17.20,17.20,16.50,16.53,606663
16-Dec-13,17.05,17.41,16.81,17.23,394569
13-Dec-13,16.85,17.11,16.74,16.99,365244
12-Dec-13,16.85,17.00,16.58,16.82,426792
11-Dec-13,17.32,17.50,16.78,16.88,667666
10-Dec-13,17.58,17.61,17.29,17.30,429489
9-Dec-13,17.52,17.85,17.51,17.70,557170
6-Dec-13,17.64,17.87,17.30,17.45,477139
5-Dec-13,17.71,17.85,17.23,17.41,505933
4-Dec-13,17.73,17.99,17.42,17.76,458977
3-Dec-13,17.51,17.80,17.22,17.78,685219
2-Dec-13,17.87,17.99,17.58,17.60,487214
29-Nov-13,18.02,18.15,17.91,17.95,213753
27-Nov-13,17.75,17.99,17.62,17.99,550824
26-Nov-13,17.52,17.81,17.50,17.73,535358
25-Nov-13,17.40,18.00,17.34,17.54,619282
22-Nov-13,17.43,17.64,17.15,17.32,785971
21-Nov-13,16.72,17.50,16.56,17.48,2785480
20-Nov-13,17.46,17.60,16.47,16.72,4627443
19-Nov-13,18.18,18.18,16.85,17.47,2641584
18-Nov-13,18.55,18.87,18.18,18.24,308370
15-Nov-13,18.57,18.63,18.24,18.50,319378
14-Nov-13,19.01,19.23,18.51,18.60,258173
13-Nov-13,18.35,19.00,18.35,18.99,412102
12-Nov-13,18.16,18.54,17.98,18.48,346975
11-Nov-13,18.00,18.29,17.80,18.16,786304
8-Nov-13,17.72,19.48,17.19,18.05,2120140
7-Nov-13,18.53,18.60,17.36,17.44,476149
6-Nov-13,18.75,18.79,18.28,18.49,306704
5-Nov-13,18.70,18.89,18.42,18.66,402301
4-Nov-13,18.37,18.88,18.28,18.84,380179
1-Nov-13,18.26,18.61,18.01,18.28,369334
31-Oct-13,18.39,18.59,18.14,18.28,345181
30-Oct-13,18.68,18.94,18.40,18.43,306603
29-Oct-13,19.09,19.19,18.57,18.64,456655
28-Oct-13,18.93,19.09,18.77,19.03,322886
25-Oct-13,18.99,19.05,18.64,18.89,302330
24-Oct-13,18.66,19.00,18.66,18.90,262470
23-Oct-13,18.69,19.11,18.56,18.66,401598
22-Oct-13,19.00,19.15,18.35,18.88,1007654
21-Oct-13,18.52,19.00,18.52,18.94,516028
18-Oct-13,18.37,18.70,18.32,18.42,673660
17-Oct-13,17.93,18.25,17.78,18.21,613220
16-Oct-13,18.12,18.30,17.86,17.98,406410
15-Oct-13,17.64,18.00,17.58,17.95,641775
14-Oct-13,17.36,17.80,17.17,17.75,454279
11-Oct-13,17.09,17.50,16.92,17.48,479183
10-Oct-13,16.96,17.15,16.72,17.14,463214
9-Oct-13,16.55,17.02,16.20,16.72,600379
8-Oct-13,16.91,17.00,16.27,16.46,725864
7-Oct-13,16.67,16.93,16.59,16.89,568541
4-Oct-13,16.89,17.06,16.78,16.90,279252
3-Oct-13,16.94,17.00,16.54,16.93,510485
2-Oct-13,17.12,17.33,16.84,16.93,1240894
1-Oct-13,16.18,17.16,16.17,17.15,954962
30-Sep-13,15.71,16.23,15.60,16.17,599821
27-Sep-13,15.98,16.18,15.89,15.94,311873
26-Sep-13,16.26,16.33,16.00,16.23,313348
25-Sep-13,16.13,16.32,15.91,16.21,281784
24-Sep-13,16.24,16.25,16.00,16.09,474477
23-Sep-13,16.68,16.68,16.01,16.24,774304
20-Sep-13,15.67,16.70,15.65,16.69,1910615
19-Sep-13,14.90,15.64,14.90,15.64,1109855
18-Sep-13,14.55,14.92,14.35,14.85,1194106
17-Sep-13,14.29,14.59,14.24,14.53,614773
16-Sep-13,14.45,14.55,14.18,14.38,393116
13-Sep-13,14.25,14.44,14.13,14.24,361246
12-Sep-13,14.65,14.76,14.12,14.18,781854
11-Sep-13,14.90,14.92,14.64,14.69,357960
10-Sep-13,14.90,15.08,14.80,14.91,444618
