Date,Open,High,Low,Close,Volume
31-Dec-13,13.64,14.42,13.12,13.56,44780
30-Dec-13,14.72,15.28,13.20,13.64,56322
27-Dec-13,12.48,14.80,12.44,14.56,136644
26-Dec-13,12.28,12.76,12.20,12.56,29547
24-Dec-13,12.00,12.56,12.00,12.12,11952
23-Dec-13,12.60,12.64,11.80,11.92,57878
20-Dec-13,13.28,13.28,12.45,12.68,35903
19-Dec-13,13.72,13.72,13.20,13.36,12113
18-Dec-13,13.60,14.24,13.36,13.60,29121
17-Dec-13,13.40,13.92,13.40,13.64,9227
16-Dec-13,14.48,14.56,13.32,13.48,33494
13-Dec-13,13.68,14.48,13.24,14.20,37284
12-Dec-13,14.56,14.56,13.68,13.80,33340
11-Dec-13,14.88,14.88,14.20,14.40,18809
10-Dec-13,15.43,16.00,14.72,14.80,28716
9-Dec-13,15.40,15.79,15.24,15.44,17324
6-Dec-13,15.40,16.16,15.20,15.44,49013
5-Dec-13,16.76,16.80,15.20,15.32,54682
4-Dec-13,14.92,16.80,14.60,16.40,118450
3-Dec-13,14.52,15.20,14.48,14.92,37678
2-Dec-13,15.48,15.68,14.16,14.32,69538
29-Nov-13,15.92,16.00,15.24,15.36,35028
27-Nov-13,16.56,16.60,15.40,15.80,69736
26-Nov-13,15.28,16.96,15.24,15.88,101364
25-Nov-13,16.68,17.40,15.00,15.16,151256
22-Nov-13,18.00,18.60,16.04,16.68,182930
21-Nov-13,20.88,22.64,17.60,18.00,584120
20-Nov-13,29.00,33.32,24.48,26.92,2116159
19-Nov-13,14.56,22.00,14.40,21.24,627335
18-Nov-13,14.56,15.28,14.00,14.40,25702
15-Nov-13,13.88,15.24,13.76,14.28,42842
14-Nov-13,13.76,14.15,13.56,13.72,11591
13-Nov-13,15.04,15.20,13.24,13.84,43861
12-Nov-13,15.60,16.00,14.76,15.16,14908
11-Nov-13,15.20,16.00,15.20,15.52,17688
8-Nov-13,14.60,15.76,14.60,15.08,31510
7-Nov-13,14.48,14.88,14.08,14.40,22603
6-Nov-13,13.80,14.60,13.80,14.36,11333
5-Nov-13,13.66,13.96,13.40,13.88,3385
4-Nov-13,13.12,13.54,13.04,13.28,5720
1-Nov-13,13.56,13.80,13.00,13.28,7420
31-Oct-13,13.40,14.00,13.40,13.60,3650
30-Oct-13,13.92,14.44,13.00,13.52,20301
29-Oct-13,12.88,13.84,12.40,13.80,25983
28-Oct-13,13.08,13.34,12.76,12.76,15172
25-Oct-13,13.32,13.88,13.20,13.24,9444
24-Oct-13,13.92,13.92,13.20,13.44,5933
23-Oct-13,13.84,13.92,13.00,13.80,20345
22-Oct-13,14.16,14.30,13.73,13.88,9916
21-Oct-13,14.00,14.96,14.00,14.36,10689
18-Oct-13,13.44,14.48,12.92,14.08,39888
17-Oct-13,12.92,13.56,12.84,13.36,8937
16-Oct-13,12.56,13.60,12.41,12.96,21352
15-Oct-13,12.48,12.60,12.28,12.56,1575
14-Oct-13,12.24,12.76,12.20,12.44,10405
11-Oct-13,12.84,13.00,12.20,12.52,9397
10-Oct-13,11.88,12.80,11.88,12.72,13354
9-Oct-13,11.60,12.32,11.24,11.92,26760
8-Oct-13,11.40,12.04,11.40,11.48,14322
7-Oct-13,11.56,12.20,11.21,11.52,19622
4-Oct-13,11.24,11.56,10.88,11.48,17128
3-Oct-13,11.48,11.48,11.20,11.21,5068
2-Oct-13,10.92,11.76,10.68,11.52,15496
1-Oct-13,10.92,11.16,10.80,10.84,10804
30-Sep-13,10.96,11.11,10.80,10.92,10375
27-Sep-13,10.72,11.40,10.72,11.04,12195
26-Sep-13,11.60,12.08,10.68,10.76,42241
25-Sep-13,12.16,12.28,11.64,11.72,10046
24-Sep-13,12.04,12.76,11.41,12.12,37212
23-Sep-13,13.04,13.08,11.56,12.16,32478
20-Sep-13,13.72,13.72,13.00,13.04,17561
19-Sep-13,13.76,14.00,13.00,13.76,19303
18-Sep-13,13.80,13.92,13.28,13.76,14982
17-Sep-13,13.44,13.84,13.12,13.84,5498
16-Sep-13,13.88,14.07,13.28,13.52,15688
13-Sep-13,14.32,14.32,13.60,13.64,20109
12-Sep-13,14.60,15.36,14.20,14.32,107572
11-Sep-13,13.76,14.80,13.08,14.52,102259
10-Sep-13,13.56,13.65,13.00,13.60,19937
9-Sep-13,13.88,14.12,13.00,13.52,43856
6-Sep-13,13.64,14.40,13.48,13.92,91509
5-Sep-13,13.48,14.36,12.72,13.72,100133
4-Sep-13,12.20,13.52,12.12,13.48,41740
3-Sep-13,12.16,12.76,11.68,12.20,52075
30-Aug-13,12.60,12.60,11.80,12.12,29540
29-Aug-13,12.80,13.08,12.56,12.56,11256
28-Aug-13,13.24,13.24,12.44,12.91,16584
27-Aug-13,12.96,13.56,12.20,13.44,136546
26-Aug-13,13.44,13.76,12.28,12.92,145817
23-Aug-13,13.36,14.28,13.12,13.40,98998
22-Aug-13,14.92,15.04,12.92,13.48,219070
21-Aug-13,15.92,18.26,13.52,15.16,1487608
20-Aug-13,11.84,12.40,11.24,11.24,140108
19-Aug-13,11.56,12.36,11.24,11.92,57648
16-Aug-13,10.92,11.88,10.72,11.48,53274
15-Aug-13,10.56,10.92,10.12,10.68,21069
14-Aug-13,10.68,10.88,9.76,10.64,32017
13-Aug-13,9.36,10.36,9.04,10.32,36548
12-Aug-13,10.28,10.28,9.36,9.48,59872
9-Aug-13,10.60,11.12,10.08,10.08,42263
8-Aug-13,10.00,11.80,9.60,10.76,149790
7-Aug-13,10.52,12.40,9.00,10.24,475792
6-Aug-13,7.28,10.40,7.24,9.80,288672
5-Aug-13,6.88,7.07,6.76,6.88,12579
2-Aug-13,7.24,7.36,6.64,6.80,23476
1-Aug-13,7.36,7.36,6.92,7.08,7014
31-Jul-13,7.72,7.72,7.08,7.08,13054
30-Jul-13,7.64,7.64,7.20,7.56,13023
29-Jul-13,7.20,7.80,7.04,7.52,18645
26-Jul-13,7.48,7.48,6.92,7.24,17446
25-Jul-13,7.56,7.68,7.20,7.44,9969
24-Jul-13,8.40,8.40,7.44,7.60,71804
23-Jul-13,6.84,8.60,6.84,8.48,145637
22-Jul-13,6.80,7.20,6.52,6.68,8019
19-Jul-13,7.02,7.02,6.80,6.84,4115
18-Jul-13,6.66,7.28,6.60,7.08,40323
17-Jul-13,6.80,7.20,6.80,6.88,21018
16-Jul-13,6.92,6.92,6.56,6.76,12716
15-Jul-13,6.60,7.16,6.57,6.96,27710
12-Jul-13,6.48,6.84,6.24,6.60,19666
11-Jul-13,6.36,6.80,6.04,6.36,39633
10-Jul-13,6.88,6.88,6.20,6.28,48422
9-Jul-13,7.08,7.20,6.84,7.00,20121
8-Jul-13,7.56,7.56,7.00,7.04,34002
5-Jul-13,7.88,7.92,7.40,7.52,18560
3-Jul-13,7.56,8.00,7.39,7.68,24265
2-Jul-13,7.08,8.80,7.08,7.76,223937
1-Jul-13,7.00,7.52,7.00,7.08,34832
28-Jun-13,7.40,7.40,6.92,7.00,25059
27-Jun-13,7.04,7.80,6.88,7.36,70324
26-Jun-13,7.40,8.08,6.88,7.04,116261
25-Jun-13,7.60,8.32,7.20,7.20,86630
24-Jun-13,8.40,8.40,7.48,7.80,66522
21-Jun-13,8.92,9.08,8.20,8.40,72281
20-Jun-13,9.40,9.40,8.92,8.92,31600
19-Jun-13,9.76,9.76,9.08,9.44,52718
18-Jun-13,8.92,11.00,8.92,9.32,372054
17-Jun-13,10.00,11.00,8.40,8.76,338657
14-Jun-13,9.80,12.16,9.80,10.25,501862
13-Jun-13,10.84,11.00,8.80,9.64,539883
12-Jun-13,9.20,13.60,9.16,12.08,1852940
11-Jun-13,5.52,9.40,5.12,9.20,1401994
10-Jun-13,4.80,5.96,4.64,5.48,578787
7-Jun-13,4.16,4.32,4.16,4.24,17515
6-Jun-13,4.00,4.24,4.00,4.04,13289
5-Jun-13,4.24,4.24,4.04,4.04,20168
4-Jun-13,4.44,4.44,4.28,4.28,18591
3-Jun-13,4.52,4.52,4.32,4.36,25747
31-May-13,4.72,4.72,4.44,4.44,5044
30-May-13,4.60,4.64,4.52,4.64,7477
29-May-13,4.56,4.76,4.56,4.60,5401
28-May-13,4.64,4.72,4.56,4.60,6444
24-May-13,4.72,4.88,4.56,4.84,3280
23-May-13,4.80,5.12,4.44,4.96,34097
22-May-13,4.24,5.20,4.24,4.84,124267
21-May-13,4.12,4.32,4.12,4.20,11388
20-May-13,4.20,4.36,4.12,4.12,5119
17-May-13,4.04,4.28,4.04,4.12,4650
16-May-13,4.04,4.24,4.00,4.08,5628
15-May-13,4.04,4.20,3.96,4.16,3250
14-May-13,4.08,4.20,4.04,4.04,9909
13-May-13,4.34,4.52,4.12,4.16,5035
10-May-13,4.12,4.52,4.08,4.28,17367
9-May-13,4.12,4.19,4.04,4.15,2274
8-May-13,4.24,4.24,4.04,4.20,4551
7-May-13,4.12,4.20,4.04,4.16,8005
6-May-13,4.12,4.16,4.08,4.12,1575
3-May-13,4.17,4.29,4.04,4.04,2414
2-May-13,4.04,4.21,4.04,4.12,6980
1-May-13,4.36,4.36,4.08,4.12,4085
30-Apr-13,4.59,4.64,4.36,4.40,4587
29-Apr-13,4.60,4.60,4.32,4.52,12683
26-Apr-13,4.52,4.60,4.36,4.52,6534
25-Apr-13,4.36,4.60,4.30,4.48,12512
24-Apr-13,4.60,5.16,4.24,4.52,27801
23-Apr-13,4.60,4.64,4.20,4.52,20874
22-Apr-13,4.84,4.96,4.16,4.44,44805
19-Apr-13,6.52,7.28,4.64,5.08,289276
18-Apr-13,4.88,5.00,4.68,4.96,9242
17-Apr-13,4.68,4.92,4.56,4.70,10012
16-Apr-13,4.24,4.84,4.08,4.48,17106
15-Apr-13,4.18,4.56,4.00,4.12,7169
12-Apr-13,4.32,4.52,4.16,4.20,4750
11-Apr-13,4.88,4.88,4.28,4.36,6678
10-Apr-13,4.24,4.98,4.24,4.52,18033
9-Apr-13,4.20,4.45,4.00,4.16,5764
8-Apr-13,4.12,4.52,4.04,4.20,2828
5-Apr-13,3.48,4.00,3.48,4.00,2121
4-Apr-13,3.60,3.92,3.48,3.91,4386
3-Apr-13,3.96,3.96,3.52,3.82,1612
2-Apr-13,4.04,4.08,2.78,4.00,6850
1-Apr-13,4.24,4.45,4.00,4.15,348
28-Mar-13,4.16,4.32,4.00,4.32,9950
27-Mar-13,4.16,4.48,4.16,4.24,3181
26-Mar-13,4.60,4.60,4.16,4.16,2375
25-Mar-13,4.56,4.56,4.32,4.44,1380
22-Mar-13,4.40,4.80,4.24,4.80,3388
20-Mar-13,4.52,4.80,4.12,4.48,3654
19-Mar-13,4.88,4.88,4.88,4.88,25
15-Mar-13,4.92,4.96,4.92,4.96,525
13-Mar-13,4.96,4.96,4.60,4.60,2175
12-Mar-13,5.20,5.20,4.92,4.92,2460
11-Mar-13,4.84,5.84,4.84,5.40,19921
7-Mar-13,4.68,4.88,4.56,4.88,400
6-Mar-13,4.60,4.92,4.60,4.92,1217
5-Mar-13,4.68,4.68,4.48,4.56,2330
4-Mar-13,4.72,4.72,4.52,4.55,2312
1-Mar-13,4.76,5.00,4.40,5.00,2068
28-Feb-13,4.92,4.92,4.64,4.80,1694
27-Feb-13,4.52,4.92,4.52,4.92,668
26-Feb-13,4.92,4.96,4.56,4.92,10092
25-Feb-13,4.92,4.94,4.92,4.92,1792
22-Feb-13,5.08,5.12,5.08,5.10,860
21-Feb-13,4.92,5.12,4.92,5.12,9981
20-Feb-13,4.88,5.20,4.88,5.04,3306
19-Feb-13,4.88,5.08,4.88,5.08,1900
15-Feb-13,4.88,5.20,4.88,4.92,8472
14-Feb-13,4.88,5.20,4.88,5.20,2062
13-Feb-13,4.80,5.52,4.80,5.20,6570
12-Feb-13,4.84,5.20,4.80,5.20,5016
11-Feb-13,4.84,5.40,4.84,5.06,2988
8-Feb-13,5.40,5.40,4.88,5.04,2025
7-Feb-13,4.95,5.08,4.88,5.08,300
6-Feb-13,4.96,5.14,4.96,5.14,972
5-Feb-13,5.16,5.24,4.96,5.04,8525
4-Feb-13,4.76,5.16,4.76,5.16,2944
1-Feb-13,4.92,5.24,4.92,5.24,1170
31-Jan-13,5.00,5.00,4.76,4.92,1491
30-Jan-13,4.96,5.18,4.88,5.08,4238
29-Jan-13,5.00,5.20,5.00,5.20,6345
28-Jan-13,5.12,5.20,5.00,5.20,4632
25-Jan-13,5.40,5.64,5.00,5.19,1065
24-Jan-13,5.28,5.28,4.90,5.20,2242
23-Jan-13,5.08,5.28,4.92,5.28,6633
22-Jan-13,5.56,5.84,5.24,5.24,18015
18-Jan-13,5.16,5.76,5.00,5.60,38947
17-Jan-13,4.64,5.64,4.64,5.16,48062
16-Jan-13,4.80,4.80,4.62,4.64,796
15-Jan-13,4.60,4.60,4.48,4.60,3301
14-Jan-13,4.60,4.88,4.56,4.60,2298
11-Jan-13,4.60,4.80,4.56,4.60,2775
10-Jan-13,4.76,4.88,4.60,4.88,4350
9-Jan-13,4.88,5.08,4.52,4.76,9675
8-Jan-13,4.80,4.81,4.52,4.75,4944
7-Jan-13,4.76,5.08,4.48,4.96,16662
4-Jan-13,4.60,4.80,4.48,4.68,6972
3-Jan-13,4.60,4.80,4.48,4.52,10246
2-Jan-13,4.72,4.96,4.48,4.48,18100
31-Dec-12,5.08,5.08,4.48,4.54,17686
28-Dec-12,5.56,6.20,4.72,4.96,34496
27-Dec-12,6.80,8.24,5.20,5.40,278711
26-Dec-12,4.08,7.44,4.08,6.32,244244
24-Dec-12,4.00,4.05,3.98,4.05,1000
21-Dec-12,4.00,4.00,4.00,4.00,32
20-Dec-12,3.92,4.07,3.92,4.04,1065
19-Dec-12,3.84,4.32,3.84,3.92,2300
