Date,Open,High,Low,Close,Volume
31-Dec-13,9.25,9.39,9.21,9.28,408340
30-Dec-13,9.31,9.52,9.21,9.21,419845
27-Dec-13,9.07,9.32,9.01,9.27,371196
26-Dec-13,9.25,9.26,8.92,9.03,532512
24-Dec-13,9.10,9.37,9.05,9.26,374778
23-Dec-13,8.73,9.14,8.69,9.13,651408
20-Dec-13,8.66,8.85,8.52,8.68,636119
19-Dec-13,8.56,8.63,8.45,8.61,510573
18-Dec-13,8.63,8.68,8.39,8.55,297338
17-Dec-13,8.35,8.73,8.35,8.60,632829
16-Dec-13,8.69,8.75,8.36,8.37,444602
13-Dec-13,8.44,8.69,8.44,8.63,456577
12-Dec-13,8.49,8.68,8.35,8.45,641210
11-Dec-13,8.16,8.42,8.09,8.34,899017
10-Dec-13,8.27,8.27,8.01,8.12,606842
9-Dec-13,8.32,8.34,8.05,8.31,367870
6-Dec-13,8.33,8.45,8.24,8.27,518604
5-Dec-13,8.09,8.27,8.06,8.24,433334
4-Dec-13,8.04,8.17,7.99,8.10,285255
3-Dec-13,8.00,8.10,8.00,8.02,459634
2-Dec-13,8.05,8.22,7.99,8.01,664620
29-Nov-13,8.22,8.36,8.07,8.08,367965
27-Nov-13,8.05,8.27,8.03,8.18,389540
26-Nov-13,8.11,8.17,8.00,8.04,524850
25-Nov-13,8.21,8.25,8.05,8.13,538084
22-Nov-13,8.07,8.25,8.00,8.23,860668
21-Nov-13,7.43,8.31,7.43,8.09,1695731
20-Nov-13,7.30,7.52,7.20,7.38,1003475
19-Nov-13,7.58,7.66,7.16,7.28,875243
18-Nov-13,7.96,8.04,7.56,7.60,421957
15-Nov-13,7.48,8.09,7.48,7.91,881231
14-Nov-13,7.65,7.65,7.39,7.50,499503
13-Nov-13,7.34,7.68,7.34,7.68,869744
12-Nov-13,7.23,7.45,7.23,7.36,671610
11-Nov-13,7.37,7.38,7.19,7.29,634242
8-Nov-13,7.21,7.53,7.12,7.40,939852
7-Nov-13,7.72,7.72,7.21,7.29,848143
6-Nov-13,7.82,7.89,7.67,7.68,550672
5-Nov-13,7.80,7.89,7.61,7.76,542723
4-Nov-13,7.59,7.94,7.25,7.81,1018476
1-Nov-13,7.98,8.09,7.52,7.62,1578377
31-Oct-13,7.00,8.15,6.90,7.93,5073325
30-Oct-13,6.35,6.39,6.03,6.11,706700
29-Oct-13,6.37,6.38,6.30,6.37,290013
28-Oct-13,6.46,6.46,6.28,6.34,397563
25-Oct-13,6.49,6.49,6.35,6.46,350724
24-Oct-13,6.46,6.52,6.39,6.45,316829
23-Oct-13,6.59,6.59,6.44,6.46,217087
22-Oct-13,6.69,6.74,6.56,6.63,314981
21-Oct-13,6.65,6.78,6.60,6.65,538634
18-Oct-13,6.44,6.68,6.40,6.64,869878
17-Oct-13,6.38,6.43,6.32,6.39,398394
16-Oct-13,6.43,6.43,6.35,6.41,339134
15-Oct-13,6.42,6.47,6.31,6.37,549947
14-Oct-13,6.34,6.45,6.24,6.45,713467
11-Oct-13,6.41,6.44,6.30,6.35,728515
10-Oct-13,6.32,6.40,6.30,6.39,586738
9-Oct-13,6.33,6.35,6.17,6.23,1052544
8-Oct-13,6.24,6.36,6.09,6.29,971001
7-Oct-13,6.31,6.42,6.18,6.21,730046
4-Oct-13,6.07,6.40,6.07,6.34,2413889
3-Oct-13,6.16,6.18,5.95,6.09,941678
2-Oct-13,6.05,6.20,5.99,6.16,1051444
1-Oct-13,6.05,6.15,6.05,6.07,338702
30-Sep-13,6.02,6.12,6.01,6.04,632235
27-Sep-13,6.09,6.18,6.06,6.10,613286
26-Sep-13,6.15,6.26,6.04,6.12,657643
25-Sep-13,6.15,6.20,6.10,6.12,379942
24-Sep-13,6.07,6.20,6.03,6.13,513592
23-Sep-13,6.03,6.19,6.01,6.07,818916
20-Sep-13,6.26,6.30,5.98,6.00,1022973
19-Sep-13,6.25,6.31,6.11,6.28,940495
18-Sep-13,6.00,6.28,5.99,6.26,1584293
17-Sep-13,6.03,6.06,5.88,5.98,892775
16-Sep-13,5.78,6.00,5.77,5.94,868555
13-Sep-13,5.75,5.79,5.72,5.73,876365
12-Sep-13,5.72,5.78,5.64,5.73,641063
11-Sep-13,5.77,5.84,5.62,5.67,1552373
10-Sep-13,5.65,5.76,5.65,5.76,769162
9-Sep-13,5.69,5.85,5.58,5.64,849038
6-Sep-13,5.32,5.72,5.29,5.69,1523121
5-Sep-13,4.99,5.34,4.98,5.29,958797
4-Sep-13,5.00,5.04,4.97,5.00,651851
3-Sep-13,4.98,5.08,4.94,4.95,391923
30-Aug-13,4.99,5.03,4.85,4.91,397712
29-Aug-13,5.02,5.08,4.96,5.01,553382
28-Aug-13,5.04,5.12,4.96,5.01,866963
27-Aug-13,5.12,5.30,4.86,5.07,1281789
26-Aug-13,4.95,5.16,4.94,5.15,853502
23-Aug-13,4.81,4.98,4.81,4.93,803767
22-Aug-13,4.53,4.76,4.53,4.75,574780
21-Aug-13,4.45,4.55,4.37,4.51,445720
20-Aug-13,4.41,4.50,4.38,4.41,280656
19-Aug-13,4.33,4.55,4.33,4.42,256377
16-Aug-13,4.42,4.50,4.35,4.37,300324
15-Aug-13,4.49,4.56,4.44,4.44,383120
