Date,Open,High,Low,Close,Volume
31-Dec-13,25.13,25.78,24.94,25.50,209015
30-Dec-13,26.11,26.17,24.81,25.07,300307
27-Dec-13,26.12,26.23,25.74,26.00,163796
26-Dec-13,25.87,26.20,25.77,25.96,184518
24-Dec-13,25.99,26.25,25.70,25.84,46345
23-Dec-13,25.82,26.21,25.47,25.87,152532
20-Dec-13,24.84,26.05,24.73,25.91,188212
19-Dec-13,25.08,25.14,24.73,24.88,147037
18-Dec-13,25.00,25.63,24.57,25.17,143141
17-Dec-13,25.98,26.00,24.91,24.98,138495
16-Dec-13,26.42,26.63,25.86,25.89,87823
13-Dec-13,25.66,26.56,25.58,26.21,120896
12-Dec-13,25.60,25.69,25.50,25.66,219448
11-Dec-13,26.44,26.85,25.49,25.53,150306
10-Dec-13,28.40,28.47,25.49,26.30,252426
9-Dec-13,27.91,28.71,27.81,28.38,161167
6-Dec-13,29.15,29.44,27.80,27.89,205700
5-Dec-13,29.08,29.45,28.76,29.24,167471
4-Dec-13,29.59,29.96,29.01,29.16,81997
3-Dec-13,30.45,30.58,29.30,29.62,142486
2-Dec-13,32.14,32.14,30.30,30.48,99523
29-Nov-13,31.71,32.25,31.62,31.98,56307
27-Nov-13,31.22,31.66,31.22,31.55,39019
26-Nov-13,30.83,31.37,30.65,31.25,44550
25-Nov-13,29.92,31.04,29.92,30.60,71913
22-Nov-13,30.62,30.63,29.02,29.77,93295
21-Nov-13,30.91,32.86,30.44,30.50,273307
20-Nov-13,30.66,30.91,30.21,30.79,87903
19-Nov-13,30.15,30.62,30.15,30.56,69055
18-Nov-13,29.50,30.33,29.45,30.10,74360
15-Nov-13,28.66,29.28,28.35,29.28,87588
14-Nov-13,28.44,28.83,28.26,28.56,135947
13-Nov-13,28.52,29.40,28.35,28.47,106663
12-Nov-13,28.72,29.23,28.40,28.58,132627
11-Nov-13,28.22,29.15,28.20,28.85,104242
8-Nov-13,28.00,28.60,27.84,28.20,89911
7-Nov-13,28.30,28.54,28.00,28.04,86149
6-Nov-13,29.24,29.24,28.08,28.15,99417
5-Nov-13,26.84,29.22,26.78,29.08,124622
4-Nov-13,27.23,27.34,26.86,26.97,140592
1-Nov-13,27.86,27.99,26.90,27.08,129252
31-Oct-13,28.15,28.25,27.85,27.86,140334
30-Oct-13,28.26,28.32,28.00,28.12,99896
29-Oct-13,28.98,29.05,28.00,28.20,116412
28-Oct-13,28.84,29.16,28.77,28.87,64696
25-Oct-13,28.89,29.76,28.75,28.84,101651
24-Oct-13,28.70,29.04,28.69,28.79,95387
23-Oct-13,28.98,29.05,28.64,28.70,83385
22-Oct-13,28.71,29.35,28.71,29.00,185096
21-Oct-13,29.44,29.84,28.68,28.69,102690
18-Oct-13,29.68,29.78,29.26,29.38,154235
17-Oct-13,28.90,29.93,28.90,29.50,118839
16-Oct-13,28.82,29.44,28.82,29.07,71732
15-Oct-13,29.36,29.36,28.45,28.62,163187
14-Oct-13,29.56,29.88,29.32,29.49,80835
11-Oct-13,29.71,30.38,29.43,29.61,154371
10-Oct-13,30.63,30.83,29.64,29.70,138380
9-Oct-13,30.99,31.22,30.14,30.54,68113
8-Oct-13,31.15,31.48,30.61,30.84,81088
7-Oct-13,31.49,31.73,31.22,31.47,49879
4-Oct-13,31.80,32.10,31.59,31.62,43015
3-Oct-13,32.37,32.95,31.65,31.81,44488
2-Oct-13,31.68,32.51,31.35,32.33,161345
1-Oct-13,31.62,32.12,31.27,31.89,208899
30-Sep-13,30.96,31.92,30.88,31.75,140988
27-Sep-13,31.48,31.71,30.93,31.29,197272
26-Sep-13,31.26,31.95,31.24,31.64,86724
25-Sep-13,31.58,31.67,31.18,31.25,196369
24-Sep-13,31.56,31.98,31.20,31.58,82202
23-Sep-13,31.85,31.85,31.13,31.56,103939
20-Sep-13,31.94,32.12,31.62,31.84,203465
19-Sep-13,31.97,32.12,31.62,31.93,155306
18-Sep-13,31.61,32.13,31.12,31.85,242842
17-Sep-13,30.70,31.51,30.64,31.51,214031
16-Sep-13,31.23,31.65,30.49,30.56,325293
13-Sep-13,31.00,31.30,30.50,30.98,168615
12-Sep-13,30.76,31.44,30.00,31.04,235034
11-Sep-13,31.82,31.84,30.61,30.88,123748
10-Sep-13,31.96,32.35,31.62,31.74,127294
9-Sep-13,31.41,32.17,31.30,31.97,287699
6-Sep-13,31.55,32.01,31.21,31.40,211554
5-Sep-13,30.95,31.68,30.95,31.01,352251
4-Sep-13,32.32,32.44,31.03,31.10,281810
3-Sep-13,32.40,32.64,31.05,31.49,206744
30-Aug-13,38.50,38.50,31.83,32.08,770834
29-Aug-13,37.25,39.33,37.17,39.05,106484
28-Aug-13,37.93,38.00,36.50,37.40,76514
27-Aug-13,39.32,39.92,37.72,37.81,71650
26-Aug-13,40.29,40.90,39.40,39.55,122246
23-Aug-13,40.91,41.78,39.41,40.12,59567
22-Aug-13,40.59,41.40,39.56,40.98,60364
21-Aug-13,39.96,40.97,39.94,40.60,199203
20-Aug-13,39.71,40.47,39.71,40.00,205176
19-Aug-13,40.54,41.47,39.52,39.79,100148
16-Aug-13,40.05,40.81,39.50,40.50,58714
15-Aug-13,40.85,40.85,39.50,40.25,98354
14-Aug-13,41.28,41.50,40.69,41.14,51385
13-Aug-13,41.80,41.83,41.15,41.35,90037
12-Aug-13,41.77,42.04,41.09,41.67,63166
9-Aug-13,42.50,43.11,41.95,42.03,47185
8-Aug-13,42.05,43.75,41.19,42.41,65008
7-Aug-13,43.65,43.98,41.61,42.48,131146
6-Aug-13,43.52,43.95,43.39,43.63,39932
5-Aug-13,44.04,44.91,43.51,43.83,100153
2-Aug-13,44.26,44.40,43.94,44.18,171027
1-Aug-13,43.81,44.50,43.81,44.20,82982
31-Jul-13,43.54,44.03,43.20,43.57,71957
30-Jul-13,42.87,43.45,42.44,43.40,114666
29-Jul-13,43.72,43.90,42.71,43.22,42529
26-Jul-13,43.81,44.37,43.19,43.66,53098
25-Jul-13,43.19,44.56,42.88,44.02,108091
24-Jul-13,43.70,43.77,42.75,43.05,133481
23-Jul-13,43.49,43.75,41.97,43.48,278832
22-Jul-13,42.74,43.75,42.59,43.39,258704
19-Jul-13,41.97,43.18,41.77,43.00,141723
18-Jul-13,41.15,42.11,41.00,41.91,117851
17-Jul-13,42.79,42.79,40.67,41.59,138148
16-Jul-13,42.90,42.90,42.12,42.72,85119
15-Jul-13,42.67,43.15,42.21,42.50,45850
12-Jul-13,42.76,43.70,42.20,42.55,63875
11-Jul-13,43.20,43.74,42.39,42.66,106997
10-Jul-13,42.50,43.28,42.46,42.81,89964
9-Jul-13,42.25,42.73,41.38,42.50,96240
8-Jul-13,41.60,42.10,41.18,42.06,61175
5-Jul-13,41.57,41.72,41.06,41.68,50923
3-Jul-13,41.39,41.39,39.54,41.15,516219
2-Jul-13,42.08,42.37,41.00,41.63,141877
1-Jul-13,43.25,43.92,41.76,42.58,442507
28-Jun-13,43.61,44.84,43.20,43.72,1155567
27-Jun-13,41.11,44.02,41.11,43.46,158832
26-Jun-13,40.70,41.26,38.72,40.34,228214
25-Jun-13,41.57,41.57,40.14,40.55,170991
24-Jun-13,41.64,41.64,40.62,41.41,179429
21-Jun-13,44.15,44.37,41.61,41.91,296345
20-Jun-13,44.43,45.19,43.25,44.23,150634
19-Jun-13,44.96,45.61,44.23,44.59,175277
18-Jun-13,43.60,45.40,43.04,44.94,209326
17-Jun-13,43.84,44.16,42.48,43.09,143864
14-Jun-13,43.30,45.73,43.30,43.62,295570
13-Jun-13,42.82,44.36,42.05,43.71,390702
12-Jun-13,44.55,45.21,41.78,43.22,566583
11-Jun-13,47.51,47.60,43.78,44.42,555985
10-Jun-13,49.70,49.70,48.44,48.69,181753
7-Jun-13,48.01,52.45,47.00,49.00,497843
6-Jun-13,54.46,55.02,51.87,52.50,220982
5-Jun-13,55.52,55.52,53.71,54.75,193709
4-Jun-13,56.75,57.10,54.96,55.83,188516
3-Jun-13,56.25,57.44,53.94,56.65,379180
31-May-13,53.15,56.13,53.15,55.62,343823
30-May-13,51.96,53.50,51.77,53.04,488924
29-May-13,50.00,52.21,50.00,51.64,97506
28-May-13,49.25,50.00,48.63,50.00,33692
24-May-13,48.02,49.18,47.55,49.06,35671
23-May-13,47.02,48.50,44.28,48.23,75970
22-May-13,46.01,47.50,45.10,47.16,176026
21-May-13,45.08,46.59,44.78,46.11,92221
20-May-13,43.85,45.89,43.85,44.88,64572
17-May-13,44.45,44.96,43.62,43.65,33249
16-May-13,44.20,45.35,44.05,44.45,36970
15-May-13,43.40,44.75,43.38,44.50,46796
14-May-13,44.55,44.97,42.41,43.48,64743
13-May-13,45.89,45.89,44.41,44.89,13037
10-May-13,45.16,46.00,44.67,46.00,19223
9-May-13,45.11,45.55,44.26,45.21,16801
8-May-13,45.49,45.49,44.58,45.16,19219
7-May-13,45.05,45.97,44.78,45.71,18230
6-May-13,45.46,46.75,45.24,45.53,25447
3-May-13,45.47,45.98,45.12,45.56,28307
2-May-13,44.80,45.70,44.61,45.44,37754
1-May-13,44.76,45.27,44.42,44.85,35262
30-Apr-13,44.36,44.99,44.15,44.61,22189
29-Apr-13,44.20,44.73,44.12,44.12,15450
26-Apr-13,42.61,44.05,42.32,44.05,33368
25-Apr-13,42.25,42.74,41.91,42.55,133912
24-Apr-13,42.79,42.79,42.36,42.55,10897
23-Apr-13,43.04,43.04,42.49,42.80,25059
