Date,Open,High,Low,Close,Volume
31-Dec-13,141.67,141.88,140.77,141.29,227078
30-Dec-13,139.61,141.21,139.50,140.66,297398
27-Dec-13,140.89,141.32,140.47,140.87,399972
26-Dec-13,139.48,139.53,138.98,139.33,196109
24-Dec-13,138.97,139.48,138.88,139.11,320717
23-Dec-13,137.95,138.68,137.45,138.43,396791
20-Dec-13,136.83,138.23,136.68,137.71,483656
19-Dec-13,137.21,137.55,136.78,137.03,302432
18-Dec-13,137.54,138.52,136.29,138.33,466934
17-Dec-13,136.99,137.04,136.04,136.55,233239
16-Dec-13,135.66,136.88,135.56,136.83,1212915
13-Dec-13,132.80,133.72,131.86,133.09,297186
12-Dec-13,132.90,133.26,132.00,132.25,523885
11-Dec-13,134.85,134.85,132.55,133.01,428533
10-Dec-13,133.69,134.41,133.33,134.31,537043
9-Dec-13,135.77,135.84,134.15,134.99,385553
6-Dec-13,132.74,134.78,132.68,134.21,705298
5-Dec-13,130.98,135.80,130.60,133.12,984901
4-Dec-13,129.63,132.27,129.58,132.02,605074
3-Dec-13,131.93,132.41,131.25,131.99,432116
2-Dec-13,133.10,133.63,132.43,132.50,369708
29-Nov-13,135.73,136.91,135.47,135.81,89785
27-Nov-13,136.39,136.58,135.33,135.93,248348
26-Nov-13,136.12,136.75,135.90,136.36,313840
25-Nov-13,138.28,138.36,137.18,137.79,283233
22-Nov-13,137.76,138.69,137.36,138.60,186721
21-Nov-13,137.42,138.20,137.03,138.17,231327
20-Nov-13,135.71,136.00,134.72,135.05,390272
19-Nov-13,135.75,135.99,134.52,135.08,297539
18-Nov-13,136.94,136.99,135.01,135.01,540386
15-Nov-13,136.50,136.91,136.07,136.38,340539
14-Nov-13,136.76,137.73,136.61,137.55,498477
13-Nov-13,131.84,134.01,131.12,133.97,505506
12-Nov-13,133.15,135.24,132.65,134.93,662151
11-Nov-13,139.10,139.84,134.34,135.33,1798832
8-Nov-13,133.47,134.70,133.33,134.40,290131
7-Nov-13,135.28,135.40,133.29,133.40,734644
6-Nov-13,138.33,138.33,136.14,136.45,234734
5-Nov-13,136.87,138.21,136.14,137.98,494465
4-Nov-13,134.33,135.11,134.14,134.98,288451
1-Nov-13,133.00,134.10,131.87,134.04,649110
31-Oct-13,133.41,133.85,131.80,133.10,416561
30-Oct-13,133.92,134.01,132.31,132.91,502483
29-Oct-13,135.45,136.00,133.05,133.45,444631
28-Oct-13,135.71,136.50,134.88,136.50,438869
25-Oct-13,134.69,136.06,133.81,135.90,1009498
24-Oct-13,130.59,137.01,130.53,136.74,2287919
23-Oct-13,122.15,122.46,121.57,122.41,151183
22-Oct-13,121.83,122.50,120.96,122.02,246009
21-Oct-13,121.52,122.46,120.60,121.17,280317
18-Oct-13,123.03,123.42,121.99,122.49,422517
17-Oct-13,122.01,122.16,121.45,122.01,250384
16-Oct-13,118.98,120.48,118.77,120.23,340282
15-Oct-13,118.67,119.45,118.08,118.55,203779
14-Oct-13,117.62,118.78,117.35,118.55,222985
11-Oct-13,116.50,117.32,116.35,117.26,179771
10-Oct-13,114.17,114.92,113.65,114.68,440339
9-Oct-13,114.76,114.80,113.59,113.87,407540
8-Oct-13,118.02,118.10,115.86,116.14,329793
7-Oct-13,117.35,118.61,117.18,117.73,284088
4-Oct-13,118.12,119.02,118.04,118.33,563069
3-Oct-13,119.26,119.38,117.94,118.38,668483
2-Oct-13,119.90,120.08,119.07,119.85,255944
1-Oct-13,121.01,122.51,120.83,122.44,420327
30-Sep-13,120.45,120.67,119.61,119.89,434851
27-Sep-13,118.73,119.54,118.68,118.87,220970
26-Sep-13,118.36,119.36,118.29,119.05,542758
