Date,Open,High,Low,Close,Volume
31-Dec-13,12.00,12.11,11.76,12.05,4646
30-Dec-13,11.86,12.06,11.86,11.98,7464
27-Dec-13,12.09,12.10,11.77,11.78,6112
26-Dec-13,11.97,11.99,11.78,11.99,3060
24-Dec-13,12.11,12.11,11.75,12.01,544
23-Dec-13,11.74,11.80,11.70,11.80,21016
20-Dec-13,11.67,11.87,11.67,11.71,9003
19-Dec-13,11.65,11.80,11.65,11.78,253661
18-Dec-13,11.66,11.87,11.65,11.77,2505
17-Dec-13,11.87,12.15,11.61,11.85,13481
16-Dec-13,11.87,11.90,11.77,11.77,2062
13-Dec-13,11.73,11.81,11.65,11.79,8914
12-Dec-13,11.94,12.09,11.77,11.77,3319
11-Dec-13,11.66,12.00,11.66,12.00,3375
10-Dec-13,11.85,12.16,11.77,11.85,59808
9-Dec-13,12.15,12.15,11.71,11.93,7096
6-Dec-13,12.03,12.16,11.76,12.04,11067
5-Dec-13,11.78,12.15,11.71,12.01,23603
4-Dec-13,11.68,11.80,11.61,11.66,7480
3-Dec-13,11.65,11.75,11.65,11.67,5474
2-Dec-13,11.74,11.75,11.60,11.70,56975
29-Nov-13,11.80,11.80,11.70,11.79,34570
27-Nov-13,11.67,11.80,11.65,11.79,33677
26-Nov-13,11.48,11.68,11.40,11.64,58538
25-Nov-13,11.32,11.48,11.30,11.42,21411
22-Nov-13,11.40,11.40,11.30,11.30,818
21-Nov-13,11.38,11.40,11.35,11.37,12023
20-Nov-13,11.39,11.48,11.33,11.35,5510
19-Nov-13,11.35,11.45,11.35,11.43,77415
18-Nov-13,11.40,11.40,11.26,11.37,13280
15-Nov-13,11.33,11.33,11.25,11.26,2536
14-Nov-13,11.39,11.39,11.32,11.33,1992
13-Nov-13,11.40,11.48,11.32,11.39,49016
12-Nov-13,11.28,11.40,11.26,11.38,27783
11-Nov-13,11.26,11.34,11.26,11.27,2198
8-Nov-13,11.40,11.48,11.40,11.41,1191
7-Nov-13,11.46,11.46,11.30,11.43,3630
6-Nov-13,11.38,11.48,11.26,11.48,12790
5-Nov-13,11.23,11.48,11.23,11.48,1884
4-Nov-13,11.46,11.48,11.40,11.45,58823
1-Nov-13,11.25,11.48,11.25,11.44,218783
31-Oct-13,11.32,11.35,11.25,11.33,2662
30-Oct-13,11.50,11.50,11.27,11.28,2301
29-Oct-13,11.37,11.55,11.21,11.44,8048
28-Oct-13,11.37,11.61,11.29,11.34,29380
25-Oct-13,11.64,11.64,11.40,11.56,9130
24-Oct-13,11.70,11.81,11.57,11.65,5357
23-Oct-13,11.80,11.80,11.60,11.76,2248
22-Oct-13,11.97,11.97,11.65,11.84,11104
21-Oct-13,11.86,11.98,11.80,11.90,24244
18-Oct-13,11.76,11.97,11.71,11.84,9584
17-Oct-13,11.90,11.90,11.86,11.89,6811
16-Oct-13,11.92,11.98,11.79,11.79,18061
15-Oct-13,11.82,11.92,11.82,11.89,3529
14-Oct-13,11.59,11.89,11.57,11.85,9037
11-Oct-13,11.65,11.70,11.55,11.60,911
10-Oct-13,11.48,11.67,11.48,11.58,12398
9-Oct-13,11.42,11.42,11.32,11.41,132168
8-Oct-13,11.37,11.53,11.30,11.35,15650
7-Oct-13,11.39,11.51,11.39,11.40,2353
4-Oct-13,11.45,11.63,11.36,11.53,13856
3-Oct-13,11.39,11.46,11.31,11.38,6968
2-Oct-13,11.59,11.59,11.35,11.44,11152
1-Oct-13,11.41,11.59,11.41,11.58,93739
30-Sep-13,11.50,11.55,11.35,11.35,4324
27-Sep-13,11.43,11.49,11.35,11.49,2541
26-Sep-13,11.48,11.70,11.36,11.42,7985
25-Sep-13,11.68,11.77,11.41,11.50,20071
24-Sep-13,11.93,11.93,11.66,11.83,3867
23-Sep-13,11.82,11.97,11.62,11.90,29884
20-Sep-13,11.64,11.84,11.46,11.83,22719
19-Sep-13,11.84,11.84,11.52,11.64,13417
18-Sep-13,11.64,11.69,11.51,11.60,22172
17-Sep-13,11.67,11.69,11.53,11.63,29020
16-Sep-13,11.66,11.69,11.38,11.56,19193
13-Sep-13,11.53,11.73,11.40,11.55,176247
12-Sep-13,11.54,11.79,11.36,11.50,15711
11-Sep-13,11.54,11.77,11.42,11.58,5595
10-Sep-13,11.50,11.68,11.40,11.53,18695
9-Sep-13,11.32,11.50,11.27,11.50,25316
6-Sep-13,11.45,11.58,11.20,11.35,16358
5-Sep-13,11.54,11.54,11.25,11.40,8239
4-Sep-13,11.23,11.42,11.17,11.33,11899
3-Sep-13,11.25,11.60,11.17,11.35,51974
30-Aug-13,11.16,11.20,11.10,11.17,6121
29-Aug-13,11.17,11.20,11.15,11.16,8628
28-Aug-13,11.19,11.39,11.17,11.20,28484
27-Aug-13,11.25,11.38,11.17,11.22,13526
26-Aug-13,11.34,11.46,11.30,11.32,5851
23-Aug-13,11.45,11.45,11.20,11.39,4401
22-Aug-13,11.27,11.46,11.21,11.35,2099
21-Aug-13,11.19,11.30,11.07,11.30,6036
20-Aug-13,11.07,11.23,10.94,11.23,7580
19-Aug-13,11.03,11.17,10.98,11.13,83224
16-Aug-13,11.04,11.08,11.03,11.08,3008
15-Aug-13,11.01,11.06,10.73,11.06,12020
14-Aug-13,11.02,11.03,11.01,11.03,3605
13-Aug-13,11.20,11.20,11.01,11.06,6226
12-Aug-13,11.15,11.33,11.13,11.16,5551
9-Aug-13,11.13,11.32,11.02,11.13,10322
8-Aug-13,11.23,11.23,11.10,11.10,4849
7-Aug-13,11.19,11.34,11.11,11.19,2990
6-Aug-13,11.39,11.43,11.00,11.30,9979
5-Aug-13,11.27,11.34,11.21,11.26,1901
2-Aug-13,11.33,11.50,11.20,11.50,7114
1-Aug-13,11.34,11.50,11.25,11.38,15193
31-Jul-13,11.13,11.32,11.12,11.32,5634
30-Jul-13,11.37,11.37,11.24,11.29,3618
29-Jul-13,11.37,11.39,11.24,11.37,17308
26-Jul-13,11.24,11.39,11.24,11.31,7102
25-Jul-13,11.26,11.31,11.25,11.27,7687
24-Jul-13,11.24,11.39,11.24,11.34,14930
23-Jul-13,11.20,11.37,11.20,11.30,9213
22-Jul-13,11.15,11.17,11.11,11.15,7304
19-Jul-13,11.08,11.15,10.95,11.14,8492
18-Jul-13,11.10,11.25,11.08,11.13,2205
17-Jul-13,11.21,11.29,11.08,11.11,9833
16-Jul-13,11.00,11.27,10.98,11.25,12374
15-Jul-13,11.03,11.13,10.91,11.13,16813
12-Jul-13,11.05,11.11,11.00,11.10,9322
11-Jul-13,11.05,11.13,11.05,11.08,8332
10-Jul-13,11.02,11.17,11.02,11.06,17333
9-Jul-13,11.12,11.20,10.86,11.02,69085
8-Jul-13,10.96,11.20,10.92,11.14,43718
5-Jul-13,11.09,11.09,10.94,10.96,4623
3-Jul-13,11.01,11.18,11.01,11.01,14637
2-Jul-13,11.02,11.30,11.02,11.06,12929
1-Jul-13,11.01,11.31,11.01,11.10,29689
28-Jun-13,10.64,11.09,10.60,11.05,1394112
27-Jun-13,10.78,11.11,10.60,10.63,55508
26-Jun-13,10.81,11.05,10.72,10.76,18707
25-Jun-13,10.93,11.00,10.56,10.69,36098
24-Jun-13,10.51,11.25,10.34,10.81,83474
21-Jun-13,10.45,10.63,10.41,10.62,58093
20-Jun-13,10.52,10.63,10.34,10.40,33458
19-Jun-13,10.78,10.80,10.59,10.60,11294
18-Jun-13,10.95,11.08,10.76,10.86,23146
17-Jun-13,11.14,11.20,10.90,10.95,18493
14-Jun-13,11.10,11.23,10.92,11.06,22018
13-Jun-13,10.89,11.28,10.89,11.13,19838
12-Jun-13,11.07,11.07,10.87,10.94,24998
11-Jun-13,11.10,11.15,10.96,10.96,18883
10-Jun-13,11.06,11.17,10.99,11.17,19416
7-Jun-13,11.13,11.18,10.89,11.06,15560
6-Jun-13,10.86,11.09,10.86,11.05,267487
5-Jun-13,10.80,11.04,10.71,10.85,29704
4-Jun-13,10.72,10.88,10.57,10.78,18125
3-Jun-13,10.51,10.75,10.50,10.65,34614
31-May-13,10.59,10.64,10.44,10.48,22471
30-May-13,10.79,10.80,10.60,10.60,26948
29-May-13,10.65,10.74,10.65,10.70,6539
28-May-13,10.78,10.94,10.75,10.77,15368
24-May-13,10.73,10.98,10.61,10.65,15140
23-May-13,10.71,10.79,10.66,10.74,2890
22-May-13,10.84,10.91,10.70,10.70,34113
21-May-13,10.85,10.98,10.85,10.86,16470
20-May-13,10.76,11.01,10.75,10.92,19735
17-May-13,10.71,10.83,10.65,10.82,43293
16-May-13,10.76,10.84,10.70,10.71,12984
15-May-13,10.80,10.85,10.71,10.75,11972
14-May-13,10.71,10.85,10.70,10.81,20444
13-May-13,10.70,10.85,10.67,10.81,23180
10-May-13,10.82,10.83,10.70,10.80,17532
9-May-13,11.22,11.22,10.75,10.84,7666
8-May-13,11.28,11.35,11.07,11.23,33907
7-May-13,11.43,11.51,11.30,11.44,6394
6-May-13,11.69,11.70,11.46,11.65,3875
3-May-13,11.51,11.88,11.46,11.70,24856
2-May-13,11.22,11.64,11.18,11.39,14588
1-May-13,11.52,11.55,11.16,11.35,41892
30-Apr-13,11.64,11.68,11.55,11.60,3525
29-Apr-13,11.55,11.79,11.55,11.59,83312
26-Apr-13,11.59,11.61,11.48,11.55,17212
25-Apr-13,11.55,11.63,11.55,11.59,2243
24-Apr-13,11.97,12.00,11.50,11.63,24667
23-Apr-13,11.83,12.00,11.69,11.93,8248
22-Apr-13,11.80,11.80,11.57,11.76,6344
19-Apr-13,11.71,12.13,11.71,11.96,60275
18-Apr-13,11.55,11.82,11.55,11.73,15593
17-Apr-13,11.75,11.75,11.50,11.51,12289
16-Apr-13,11.66,11.91,11.66,11.90,12388
15-Apr-13,11.85,11.85,11.48,11.73,23223
12-Apr-13,11.90,11.99,11.90,11.92,8745
11-Apr-13,11.99,12.01,11.82,11.93,7295
10-Apr-13,11.89,12.04,11.82,12.00,19181
9-Apr-13,12.15,12.25,11.81,11.83,16716
8-Apr-13,11.98,12.15,11.86,12.10,45863
5-Apr-13,11.94,12.30,11.91,11.92,46393
4-Apr-13,11.95,12.11,11.85,12.07,7132
3-Apr-13,12.07,12.07,11.71,11.97,32222
2-Apr-13,12.10,12.10,11.96,12.00,11567
1-Apr-13,12.12,12.23,12.00,12.01,132505
28-Mar-13,12.14,12.22,12.00,12.09,44047
27-Mar-13,12.20,12.22,12.10,12.11,3320
26-Mar-13,12.26,12.29,12.14,12.29,2100
25-Mar-13,12.27,12.34,12.13,12.18,9702
22-Mar-13,12.14,12.31,12.06,12.28,9649
21-Mar-13,12.04,12.15,11.95,12.10,7316
20-Mar-13,12.04,12.15,12.03,12.14,26598
19-Mar-13,12.00,12.00,11.90,11.92,16205
18-Mar-13,11.90,12.05,11.90,12.01,14415
15-Mar-13,12.03,12.07,11.90,12.00,36628
14-Mar-13,12.00,12.00,11.94,12.00,6747
13-Mar-13,12.03,12.08,11.86,12.05,135898
12-Mar-13,11.97,12.09,11.90,11.91,64901
11-Mar-13,11.75,12.00,11.67,11.96,51474
8-Mar-13,11.97,11.97,11.71,11.75,118637
7-Mar-13,11.77,12.00,11.75,11.99,69040
6-Mar-13,11.64,11.81,11.17,11.81,147303
5-Mar-13,11.51,11.69,11.51,11.58,4220
4-Mar-13,11.50,11.66,11.50,11.65,14102
1-Mar-13,11.33,11.55,11.33,11.55,58586
28-Feb-13,11.48,11.59,11.01,11.44,20897
27-Feb-13,11.67,11.92,11.32,11.61,119228
26-Feb-13,11.79,11.80,11.70,11.75,17184
25-Feb-13,11.78,11.84,11.71,11.71,45445
22-Feb-13,11.81,11.81,11.52,11.73,9923
21-Feb-13,11.75,11.79,11.64,11.74,5407
20-Feb-13,11.78,11.95,11.71,11.71,39665
19-Feb-13,11.54,11.81,11.50,11.81,202343
15-Feb-13,11.70,11.70,11.51,11.62,47821
14-Feb-13,11.70,11.83,11.64,11.66,10294
13-Feb-13,11.79,11.99,11.72,11.74,3993
12-Feb-13,11.80,11.85,11.80,11.82,2539
11-Feb-13,11.70,11.85,11.70,11.80,2906
8-Feb-13,11.61,11.84,11.57,11.70,32201
7-Feb-13,11.72,11.72,11.56,11.56,1894
6-Feb-13,11.72,11.75,11.70,11.70,1946
5-Feb-13,11.61,11.75,11.60,11.68,5002
4-Feb-13,11.72,11.72,11.53,11.54,6026
1-Feb-13,11.66,11.75,11.55,11.75,5743
31-Jan-13,11.67,11.75,11.53,11.64,10364
30-Jan-13,11.75,11.75,11.69,11.70,2707
29-Jan-13,11.80,11.80,11.63,11.79,9930
28-Jan-13,11.75,11.84,11.63,11.84,7141
25-Jan-13,11.68,11.81,11.65,11.78,4018
24-Jan-13,11.76,11.76,11.51,11.62,9142
23-Jan-13,11.73,11.85,11.70,11.71,3461
22-Jan-13,11.67,11.84,11.66,11.77,3663
18-Jan-13,11.78,11.80,11.68,11.76,8963
17-Jan-13,11.76,11.85,11.72,11.82,8330
16-Jan-13,11.81,11.81,11.73,11.73,1216
15-Jan-13,11.73,11.85,11.73,11.81,3593
14-Jan-13,11.80,11.88,11.70,11.80,4303
11-Jan-13,11.90,12.09,11.85,11.91,69344
10-Jan-13,11.86,11.89,11.72,11.88,5499
9-Jan-13,11.84,11.88,11.77,11.81,6659
8-Jan-13,11.58,11.68,11.47,11.56,11456
7-Jan-13,11.78,11.80,11.61,11.72,4296
4-Jan-13,11.87,11.90,11.45,11.85,9626
3-Jan-13,11.90,11.90,11.75,11.80,8693
2-Jan-13,11.65,11.90,11.37,11.86,81436
31-Dec-12,11.29,11.60,11.29,11.50,15767
28-Dec-12,11.18,11.34,11.16,11.29,6206
27-Dec-12,11.21,11.30,11.11,11.18,10057
26-Dec-12,11.42,11.54,11.27,11.27,3138
24-Dec-12,11.37,11.37,11.37,11.37,1287
21-Dec-12,11.51,11.53,11.22,11.48,53300
20-Dec-12,11.08,11.50,11.01,11.49,71416
19-Dec-12,11.29,11.30,11.10,11.26,9841
18-Dec-12,11.18,11.27,11.04,11.27,15307
17-Dec-12,11.22,11.22,10.94,11.19,18337
14-Dec-12,11.26,11.26,11.17,11.22,7638
13-Dec-12,11.28,11.30,11.24,11.26,1765
12-Dec-12,11.42,11.42,11.24,11.24,4360
11-Dec-12,11.38,11.44,11.32,11.44,14425
10-Dec-12,11.23,11.33,11.15,11.31,30090
7-Dec-12,11.34,11.34,11.19,11.19,2647
6-Dec-12,11.34,11.43,11.25,11.30,1185
5-Dec-12,11.25,11.35,11.15,11.35,36416
4-Dec-12,11.15,11.20,11.06,11.19,9331
3-Dec-12,11.06,11.14,11.05,11.13,4302
30-Nov-12,11.15,11.15,11.02,11.04,19772
29-Nov-12,11.10,11.15,11.08,11.14,3402
28-Nov-12,10.95,11.04,10.95,11.03,4990
27-Nov-12,11.02,11.10,11.00,11.00,7579
26-Nov-12,11.13,11.13,11.00,11.04,6063
23-Nov-12,11.07,11.12,11.07,11.12,3834
21-Nov-12,11.15,11.15,11.00,11.05,4644
20-Nov-12,11.00,11.05,10.95,11.02,10485
19-Nov-12,11.06,11.06,11.00,11.05,9501
16-Nov-12,10.90,11.08,10.90,10.98,94844
15-Nov-12,10.98,11.00,10.96,10.96,2495
14-Nov-12,11.00,11.09,10.95,10.95,8874
13-Nov-12,11.00,11.19,10.92,10.95,8287
12-Nov-12,11.00,11.00,10.95,11.00,12110
9-Nov-12,10.95,11.05,10.91,10.95,3733
8-Nov-12,10.94,11.04,10.94,10.98,13496
7-Nov-12,10.95,11.15,10.93,10.97,15988
6-Nov-12,11.02,11.11,11.00,11.05,26951
5-Nov-12,10.98,11.11,10.96,11.06,4638
2-Nov-12,11.09,11.20,10.99,11.00,14919
1-Nov-12,10.94,11.11,10.94,11.04,13928
31-Oct-12,10.95,11.04,10.94,11.00,12811
26-Oct-12,10.96,11.06,10.95,10.96,1987
25-Oct-12,10.96,11.12,10.76,10.99,12236
24-Oct-12,10.87,11.38,10.87,11.01,4419
23-Oct-12,11.00,11.20,10.91,10.91,6653
22-Oct-12,10.87,11.01,10.85,11.01,6778
19-Oct-12,11.26,11.44,10.85,10.85,15727
18-Oct-12,11.35,11.50,11.27,11.33,15626
17-Oct-12,11.34,11.60,11.26,11.42,22563
16-Oct-12,11.40,11.40,11.24,11.36,11138
15-Oct-12,11.33,11.40,11.24,11.34,23476
12-Oct-12,11.25,11.40,11.25,11.31,4273
11-Oct-12,11.39,11.40,11.19,11.26,14364
10-Oct-12,11.31,11.42,11.14,11.39,12101
9-Oct-12,11.37,11.44,11.22,11.27,9620
8-Oct-12,11.55,11.59,11.38,11.40,17700
5-Oct-12,11.59,11.69,11.51,11.59,11499
4-Oct-12,11.68,11.80,11.60,11.69,12729
3-Oct-12,11.70,11.73,11.56,11.63,22472
2-Oct-12,11.70,11.73,11.69,11.71,21678
1-Oct-12,11.68,11.82,11.57,11.70,58591
28-Sep-12,11.72,11.83,11.52,11.72,16902
27-Sep-12,11.55,11.87,11.55,11.80,6703
26-Sep-12,11.65,11.79,11.65,11.77,8576
25-Sep-12,11.70,11.81,11.53,11.65,15677
24-Sep-12,11.35,11.74,11.35,11.70,6916
21-Sep-12,11.89,11.89,11.33,11.33,60213
20-Sep-12,11.68,11.81,11.65,11.76,18041
19-Sep-12,11.79,11.85,11.62,11.74,23016
18-Sep-12,11.76,11.81,11.66,11.76,14860
17-Sep-12,11.72,11.84,11.60,11.80,13718
14-Sep-12,11.75,11.75,11.61,11.68,25503
13-Sep-12,11.61,11.75,11.61,11.75,15438
12-Sep-12,11.80,11.80,11.60,11.75,10079
11-Sep-12,11.75,11.75,11.75,11.75,7232
10-Sep-12,11.72,11.75,11.64,11.66,7553
7-Sep-12,11.84,11.84,11.62,11.75,16093
6-Sep-12,11.80,11.85,11.74,11.76,23551
5-Sep-12,11.66,11.89,11.53,11.80,17414
4-Sep-12,11.55,11.68,11.55,11.66,6938
31-Aug-12,11.63,11.63,11.55,11.55,2279
30-Aug-12,11.55,11.55,11.55,11.55,1673
29-Aug-12,11.63,11.73,11.61,11.71,6442
28-Aug-12,11.75,11.75,11.43,11.63,12301
27-Aug-12,11.60,11.75,11.60,11.65,5345
24-Aug-12,11.46,11.73,11.46,11.61,2767
23-Aug-12,11.66,11.66,11.42,11.46,2733
22-Aug-12,11.65,11.69,11.60,11.62,2448
21-Aug-12,11.74,11.75,11.65,11.73,5990
20-Aug-12,11.74,11.79,11.70,11.79,3490
17-Aug-12,11.62,11.80,11.62,11.77,7298
16-Aug-12,11.68,11.85,11.58,11.68,78032
15-Aug-12,11.61,11.68,11.61,11.65,4162
14-Aug-12,11.65,11.90,11.44,11.70,10316
13-Aug-12,11.40,11.68,11.40,11.63,12760
