Date,Open,High,Low,Close,Volume
31-Dec-13,45.47,45.82,45.05,45.72,38275
30-Dec-13,45.20,45.56,45.00,45.51,34963
27-Dec-13,45.09,45.09,44.82,45.05,10447
26-Dec-13,44.89,45.00,44.82,44.95,28134
24-Dec-13,44.72,45.00,44.60,44.82,11840
23-Dec-13,44.24,44.90,43.84,44.68,56784
20-Dec-13,41.93,43.40,41.90,43.27,42958
19-Dec-13,41.40,41.72,41.05,41.57,14529
18-Dec-13,41.21,41.64,40.87,41.51,28862
17-Dec-13,40.95,41.18,40.86,40.98,10833
16-Dec-13,40.80,41.33,40.50,40.98,48648
13-Dec-13,41.20,41.53,40.20,40.89,34374
12-Dec-13,41.17,41.30,40.86,41.04,29741
11-Dec-13,41.55,42.01,41.50,41.54,30133
10-Dec-13,41.42,41.90,40.88,41.80,38462
9-Dec-13,42.20,42.40,41.14,41.40,34269
6-Dec-13,42.43,42.55,42.24,42.24,7613
5-Dec-13,42.25,42.69,42.10,42.30,25815
4-Dec-13,41.76,42.60,41.55,42.16,12710
3-Dec-13,43.21,43.21,41.29,42.06,51715
2-Dec-13,44.63,44.63,42.90,43.42,28166
29-Nov-13,44.44,44.56,44.32,44.49,7181
27-Nov-13,43.85,44.58,43.62,44.39,8875
26-Nov-13,43.65,43.90,43.03,43.71,17452
25-Nov-13,43.41,43.42,43.00,43.39,12964
22-Nov-13,42.86,43.46,42.75,43.20,19212
21-Nov-13,42.94,43.41,42.77,42.97,21896
20-Nov-13,44.25,44.25,42.10,43.02,63778
19-Nov-13,44.74,44.90,44.03,44.50,25587
18-Nov-13,44.89,45.21,44.60,44.62,37403
15-Nov-13,44.84,45.47,44.43,45.00,19225
14-Nov-13,44.98,45.10,44.40,44.72,26806
13-Nov-13,44.71,45.72,43.96,44.99,60046
12-Nov-13,44.30,46.15,43.77,45.02,167222
11-Nov-13,44.51,44.55,44.10,44.19,11956
8-Nov-13,44.12,44.50,43.74,44.46,41763
7-Nov-13,44.14,44.30,43.30,43.75,38073
6-Nov-13,44.50,44.55,44.10,44.14,34538
5-Nov-13,44.23,44.25,43.84,44.21,12472
4-Nov-13,44.03,44.40,43.72,44.11,31961
1-Nov-13,44.28,44.44,43.18,43.75,36639
31-Oct-13,44.16,44.54,43.23,44.42,64029
30-Oct-13,44.83,44.98,44.18,44.20,27271
29-Oct-13,44.98,45.17,44.63,44.86,42811
28-Oct-13,45.00,45.11,44.10,44.65,38431
25-Oct-13,44.02,45.10,44.00,44.81,53313
24-Oct-13,44.53,44.53,43.48,44.01,55515
23-Oct-13,41.37,44.99,41.37,43.87,113623
22-Oct-13,42.50,42.71,40.57,41.41,84897
21-Oct-13,41.96,43.73,40.05,41.93,350589
18-Oct-13,36.71,36.77,35.90,36.34,45182
17-Oct-13,36.45,36.93,36.09,36.80,17817
16-Oct-13,36.12,36.84,36.00,36.17,12980
15-Oct-13,35.96,36.50,35.68,36.11,14793
14-Oct-13,35.90,36.18,35.59,36.04,10578
11-Oct-13,35.66,36.43,35.52,35.83,12809
10-Oct-13,35.39,35.87,35.11,35.87,19016
9-Oct-13,35.30,35.31,33.84,35.01,23201
8-Oct-13,36.49,36.49,34.65,35.26,31044
7-Oct-13,36.79,37.52,36.40,36.70,17138
4-Oct-13,36.45,37.11,36.30,36.88,22715
3-Oct-13,36.79,37.40,36.39,36.65,24247
2-Oct-13,37.20,37.26,36.82,36.99,16368
1-Oct-13,37.19,37.69,36.79,37.22,20416
30-Sep-13,35.21,37.16,35.04,37.10,57762
27-Sep-13,34.50,35.25,34.03,35.02,11765
26-Sep-13,35.01,35.20,34.50,34.74,9265
25-Sep-13,35.01,35.23,34.73,35.05,18071
24-Sep-13,34.83,35.16,34.70,34.82,18737
23-Sep-13,34.79,35.20,34.58,34.60,24664
20-Sep-13,34.60,35.10,33.79,34.58,22663
19-Sep-13,35.05,35.32,34.60,34.75,12048
18-Sep-13,35.09,35.31,34.56,35.00,30252
17-Sep-13,34.20,34.99,34.16,34.95,35523
16-Sep-13,34.20,34.27,34.00,34.14,35046
13-Sep-13,33.70,34.11,33.35,33.60,32998
12-Sep-13,33.79,33.85,32.76,33.52,35748
11-Sep-13,32.16,34.09,32.16,33.90,58333
10-Sep-13,32.05,32.24,31.80,32.03,19367
9-Sep-13,31.74,32.18,31.11,31.80,50187
6-Sep-13,31.64,32.07,31.29,31.50,14509
5-Sep-13,31.27,31.93,31.27,31.64,14148
4-Sep-13,31.10,31.67,30.83,31.29,20009
3-Sep-13,31.84,32.32,30.94,31.39,40760
30-Aug-13,31.62,31.65,31.10,31.49,13455
29-Aug-13,31.06,32.16,31.06,31.62,44844
28-Aug-13,30.71,31.45,30.68,30.86,29512
27-Aug-13,30.91,31.16,30.28,30.48,40850
26-Aug-13,32.64,32.64,31.06,31.33,69557
23-Aug-13,33.24,33.35,32.43,32.81,33168
22-Aug-13,33.07,33.81,32.60,33.05,23251
21-Aug-13,32.47,33.20,32.22,32.74,31157
20-Aug-13,32.14,32.68,32.09,32.38,46961
19-Aug-13,32.10,32.92,31.45,31.83,72398
16-Aug-13,30.45,32.24,30.11,32.01,67031
15-Aug-13,32.35,32.35,29.85,30.43,156376
14-Aug-13,32.86,33.04,32.66,32.71,26767
13-Aug-13,33.08,33.12,32.77,32.99,23654
12-Aug-13,33.63,33.80,32.50,32.91,47642
9-Aug-13,33.60,33.89,33.11,33.30,22188
8-Aug-13,33.62,33.98,32.68,33.81,39256
7-Aug-13,34.91,34.91,33.26,33.66,112936
6-Aug-13,35.65,35.79,35.14,35.34,43094
5-Aug-13,35.54,35.77,35.40,35.62,26434
2-Aug-13,35.28,35.55,34.84,35.38,36397
1-Aug-13,35.68,35.69,34.77,35.51,50937
31-Jul-13,36.01,36.23,35.20,35.60,74073
30-Jul-13,36.45,36.81,35.74,36.23,61528
29-Jul-13,35.71,36.50,35.71,36.20,81666
26-Jul-13,34.81,35.72,34.81,35.48,45837
25-Jul-13,35.37,35.56,34.22,35.21,123851
24-Jul-13,36.66,36.73,35.31,35.73,62710
23-Jul-13,38.93,38.93,35.14,36.15,334169
22-Jul-13,41.50,42.25,39.26,39.93,309120
19-Jul-13,40.75,42.25,40.75,41.81,94181
18-Jul-13,42.03,42.32,40.33,41.01,55233
17-Jul-13,41.90,42.32,41.46,41.80,26200
16-Jul-13,41.83,42.40,41.38,41.85,56334
15-Jul-13,41.40,41.88,41.20,41.78,47554
12-Jul-13,40.89,41.17,40.63,41.17,37987
11-Jul-13,40.59,41.24,40.20,40.61,97602
10-Jul-13,40.72,40.74,40.04,40.19,73616
9-Jul-13,39.20,40.63,39.06,40.40,119412
8-Jul-13,37.62,39.76,37.51,38.95,144502
5-Jul-13,36.64,37.19,36.60,36.89,72582
3-Jul-13,36.06,36.73,35.90,36.60,64704
2-Jul-13,34.69,35.99,34.48,35.90,147520
1-Jul-13,34.69,34.85,34.31,34.52,49160
28-Jun-13,33.98,34.43,33.98,34.28,21795
27-Jun-13,33.80,34.24,33.68,33.99,19625
26-Jun-13,33.79,33.80,33.07,33.65,29875
25-Jun-13,34.00,34.00,33.38,33.70,38880
24-Jun-13,33.20,33.57,32.10,33.41,89364
21-Jun-13,34.00,34.28,33.31,33.66,52783
20-Jun-13,34.60,34.75,33.60,33.87,78200
19-Jun-13,35.35,35.44,34.15,34.92,81643
18-Jun-13,35.09,35.50,34.85,35.50,76336
17-Jun-13,35.18,35.20,34.80,35.11,44730
14-Jun-13,35.09,35.18,34.72,35.07,37773
13-Jun-13,35.01,35.05,34.56,34.98,58085
12-Jun-13,34.77,35.19,34.41,34.87,91892
11-Jun-13,34.44,34.91,34.28,34.60,81167
10-Jun-13,34.25,34.72,34.20,34.60,48762
7-Jun-13,34.10,34.50,33.80,34.25,54461
6-Jun-13,34.00,34.07,33.16,33.92,53004
5-Jun-13,34.28,34.51,33.69,33.96,44359
4-Jun-13,34.23,34.45,34.15,34.20,31833
3-Jun-13,34.42,34.50,33.72,34.15,72868
31-May-13,33.00,33.85,32.06,33.65,42232
30-May-13,32.99,33.24,32.72,33.16,16871
29-May-13,33.21,33.21,32.81,32.81,12884
28-May-13,32.96,33.51,32.80,33.20,72838
24-May-13,32.14,32.50,32.14,32.40,7599
23-May-13,32.17,32.84,31.65,32.38,81975
22-May-13,33.33,33.75,31.72,32.67,84484
21-May-13,33.49,33.80,33.20,33.35,40632
20-May-13,33.89,34.10,33.25,33.49,75531
17-May-13,34.03,34.03,33.00,33.47,100087
16-May-13,32.35,34.30,32.30,33.34,257585
15-May-13,31.79,32.20,31.79,32.05,42333
