Date,Open,High,Low,Close,Volume
31-Dec-13,13.76,14.17,13.72,14.15,233819
30-Dec-13,14.02,14.26,13.63,13.78,538477
27-Dec-13,14.20,14.31,13.97,14.07,239641
26-Dec-13,14.47,14.54,14.04,14.12,245771
24-Dec-13,14.26,14.60,14.23,14.38,87209
23-Dec-13,14.40,14.44,14.07,14.23,277342
20-Dec-13,14.37,14.49,14.24,14.28,319718
19-Dec-13,14.42,14.48,14.05,14.47,216257
18-Dec-13,14.70,14.87,14.42,14.48,251306
17-Dec-13,14.95,14.95,14.73,14.75,118000
16-Dec-13,14.81,14.95,14.76,14.88,183571
13-Dec-13,14.84,14.97,14.56,14.66,123371
12-Dec-13,14.83,14.88,14.57,14.79,337726
11-Dec-13,15.23,15.29,14.70,14.80,469310
10-Dec-13,15.08,15.41,15.04,15.30,263731
9-Dec-13,15.32,15.34,15.00,15.06,138273
6-Dec-13,14.98,15.30,14.91,15.21,296127
5-Dec-13,14.93,15.05,14.84,14.89,142110
4-Dec-13,14.82,14.95,14.55,14.92,258606
3-Dec-13,14.80,15.10,14.72,14.80,160819
2-Dec-13,14.90,15.10,14.75,14.78,323065
29-Nov-13,15.02,15.05,14.71,14.93,147082
27-Nov-13,15.18,15.18,14.85,14.95,236005
26-Nov-13,15.30,15.34,15.00,15.17,219290
25-Nov-13,15.34,15.48,15.15,15.25,329814
22-Nov-13,15.00,15.35,14.65,15.24,866692
21-Nov-13,14.42,14.89,14.24,14.54,538881
20-Nov-13,14.19,14.43,14.05,14.35,535660
19-Nov-13,13.50,14.29,13.50,14.00,736655
18-Nov-13,12.99,13.34,12.98,13.29,280643
15-Nov-13,13.14,13.16,12.89,12.93,243329
14-Nov-13,13.35,13.40,13.03,13.08,215979
13-Nov-13,13.09,13.36,12.91,13.30,301977
12-Nov-13,12.88,13.30,12.87,13.09,315065
11-Nov-13,12.61,12.97,12.53,12.86,231830
8-Nov-13,12.47,12.63,12.36,12.56,101232
7-Nov-13,12.69,12.69,12.36,12.38,222951
6-Nov-13,12.77,12.80,12.51,12.61,223405
5-Nov-13,12.60,12.90,12.48,12.71,225010
4-Nov-13,12.44,12.71,12.39,12.57,161595
1-Nov-13,12.44,12.50,12.23,12.46,160636
31-Oct-13,12.46,12.59,12.14,12.39,130634
