Date,Open,High,Low,Close,Volume
31-Dec-13,82.32,84.33,82.09,84.25,1698996
30-Dec-13,82.50,83.09,80.60,82.21,1633182
27-Dec-13,79.54,83.48,78.90,82.64,3231265
26-Dec-13,79.98,81.01,78.94,79.22,906902
24-Dec-13,80.00,80.54,78.91,79.76,612437
23-Dec-13,80.50,81.09,79.21,80.09,1366021
20-Dec-13,80.51,80.51,78.64,79.91,1472974
19-Dec-13,78.00,80.42,77.50,79.71,1254948
18-Dec-13,77.50,79.08,76.91,78.84,1692137
17-Dec-13,76.60,78.57,76.52,77.32,1349181
16-Dec-13,78.80,79.28,76.44,76.67,2124271
13-Dec-13,79.45,79.89,78.37,78.39,1981506
12-Dec-13,78.55,80.75,78.34,79.19,2470109
11-Dec-13,80.92,81.32,78.13,78.51,2651270
10-Dec-13,75.80,81.98,75.60,80.95,5785410
9-Dec-13,76.95,78.28,75.50,75.83,2116918
6-Dec-13,80.58,80.85,77.02,77.31,2132415
5-Dec-13,79.88,80.45,78.72,79.61,2241914
4-Dec-13,76.27,79.97,76.27,79.97,2868265
3-Dec-13,76.75,78.00,76.17,77.00,1701445
2-Dec-13,77.10,78.26,75.78,77.69,1690662
29-Nov-13,77.67,78.34,76.21,77.07,769055
27-Nov-13,76.51,78.99,76.51,77.66,2004576
26-Nov-13,74.96,76.99,73.35,76.72,2937316
25-Nov-13,77.70,78.58,74.61,74.83,3080626
22-Nov-13,78.50,79.79,77.16,77.70,1967826
21-Nov-13,78.83,79.42,78.16,78.50,1835900
20-Nov-13,80.15,81.12,78.00,78.46,2190037
19-Nov-13,82.77,83.32,79.02,79.40,4202334
18-Nov-13,85.28,88.47,82.25,82.61,4548804
15-Nov-13,85.49,86.19,84.12,85.05,5317344
14-Nov-13,84.87,85.43,83.00,85.31,3918784
13-Nov-13,83.02,86.69,81.01,84.55,11795843
12-Nov-13,78.28,78.93,75.09,75.91,4627366
11-Nov-13,76.30,78.30,75.08,77.58,3337925
8-Nov-13,77.67,78.26,74.58,76.04,4419720
7-Nov-13,81.97,82.00,76.16,78.10,5404372
6-Nov-13,82.40,84.44,79.88,81.14,3521065
5-Nov-13,82.09,82.46,79.69,81.65,2783653
4-Nov-13,82.62,83.20,81.35,82.44,1736156
1-Nov-13,84.35,85.50,81.81,82.34,2195469
31-Oct-13,81.96,84.87,79.98,83.60,3197824
30-Oct-13,84.29,86.13,81.71,82.41,3243935
29-Oct-13,82.13,83.50,79.62,83.14,3999141
28-Oct-13,81.85,83.95,80.04,81.80,3584522
25-Oct-13,87.40,88.54,83.15,83.23,2969636
24-Oct-13,85.55,87.71,84.51,86.60,2340132
23-Oct-13,84.88,86.10,83.27,85.30,2272787
22-Oct-13,89.50,89.95,84.48,85.96,3019811
21-Oct-13,92.30,92.40,88.33,88.60,2481427
18-Oct-13,89.28,92.83,89.20,91.07,3415253
17-Oct-13,86.50,88.20,85.55,88.03,1622067
16-Oct-13,86.13,87.70,85.78,87.03,2173887
15-Oct-13,85.85,88.23,84.64,85.68,2528999
14-Oct-13,84.70,86.59,84.11,86.07,1873615
11-Oct-13,85.00,86.88,82.84,86.58,3057068
10-Oct-13,86.51,86.62,83.50,84.99,3380411
9-Oct-13,82.00,86.14,79.13,84.33,4752717
8-Oct-13,88.31,89.56,79.81,81.65,5354243
7-Oct-13,89.10,90.34,87.67,88.12,3161253
4-Oct-13,86.61,90.75,84.82,90.48,4165480
3-Oct-13,87.43,89.10,84.00,86.41,4284068
2-Oct-13,84.08,87.37,83.86,86.79,2943792
1-Oct-13,81.44,85.01,80.37,84.92,2469639
30-Sep-13,81.00,82.73,79.28,81.17,1695223
27-Sep-13,83.36,84.49,81.60,82.25,1906734
26-Sep-13,82.75,83.60,81.09,83.59,2617528
25-Sep-13,80.53,83.35,80.19,82.50,2480760
24-Sep-13,79.05,80.80,79.03,79.40,1874067
23-Sep-13,80.90,81.45,77.01,79.82,2846366
20-Sep-13,83.64,84.35,80.41,80.80,1944936
19-Sep-13,83.27,85.04,82.68,83.57,1489751
18-Sep-13,81.33,83.60,80.39,83.11,1889925
17-Sep-13,79.70,81.84,78.56,81.46,2730490
16-Sep-13,84.60,84.78,79.30,80.00,3874831
13-Sep-13,86.22,87.33,82.67,83.04,3681000
12-Sep-13,85.59,87.86,84.56,84.99,2873223
11-Sep-13,83.93,86.80,83.63,85.16,2109627
10-Sep-13,83.15,84.80,82.57,84.56,2022690
9-Sep-13,81.50,82.30,79.81,81.87,1552454
6-Sep-13,83.00,83.00,79.67,80.55,1951182
5-Sep-13,80.00,83.41,79.76,82.84,2618125
4-Sep-13,79.05,79.65,77.63,79.43,1402565
3-Sep-13,78.50,79.10,77.65,78.42,1774819
30-Aug-13,80.00,80.40,76.90,77.42,1929823
29-Aug-13,78.60,80.04,78.21,79.57,1778335
