Date,Open,High,Low,Close,Volume
31-Dec-13,70.61,71.00,70.09,70.20,300420
30-Dec-13,70.40,70.89,70.27,70.59,241723
27-Dec-13,70.24,70.83,70.01,70.39,321949
26-Dec-13,70.36,71.06,69.95,70.35,192722
24-Dec-13,69.84,71.36,69.84,70.16,109907
23-Dec-13,68.98,69.98,68.86,69.67,350065
20-Dec-13,69.30,69.54,68.61,68.77,578140
19-Dec-13,69.64,69.98,68.80,69.39,542654
18-Dec-13,69.14,69.82,68.46,69.70,432858
17-Dec-13,67.97,69.02,67.86,68.89,569768
16-Dec-13,68.14,68.77,67.51,68.11,394293
13-Dec-13,67.71,68.06,67.38,67.92,436073
12-Dec-13,67.05,67.51,66.45,67.40,423043
11-Dec-13,67.47,67.72,66.58,67.00,546458
10-Dec-13,67.39,67.82,67.17,67.35,472197
9-Dec-13,67.86,68.15,67.41,67.91,503162
6-Dec-13,67.23,68.58,67.23,67.66,293216
5-Dec-13,66.74,67.22,66.30,67.01,545078
4-Dec-13,67.61,68.10,66.34,66.90,658709
3-Dec-13,68.67,68.87,67.63,67.96,390142
2-Dec-13,68.75,69.26,68.20,68.61,465716
29-Nov-13,68.52,69.17,68.13,68.78,290498
27-Nov-13,68.01,68.41,67.58,68.35,393148
26-Nov-13,67.24,68.02,67.03,67.59,499134
25-Nov-13,70.10,70.10,67.00,67.30,1299926
22-Nov-13,72.95,73.94,69.40,70.19,1047065
21-Nov-13,72.92,73.16,71.98,72.61,580993
20-Nov-13,72.01,73.25,71.92,72.56,522625
19-Nov-13,71.88,72.39,71.44,72.06,572865
18-Nov-13,72.39,73.14,71.91,72.00,374315
15-Nov-13,71.57,72.19,71.35,72.18,282936
14-Nov-13,71.55,72.03,71.09,71.54,234639
13-Nov-13,70.92,71.57,70.67,71.55,404864
12-Nov-13,70.63,71.19,70.17,71.02,483597
11-Nov-13,71.18,72.04,70.81,70.82,456716
8-Nov-13,71.51,71.85,71.03,71.28,508904
7-Nov-13,72.38,73.10,71.57,71.65,606926
6-Nov-13,72.62,73.09,72.07,72.29,444417
5-Nov-13,72.44,72.77,71.78,72.47,348127
4-Nov-13,71.88,72.48,71.29,72.46,312201
1-Nov-13,72.50,72.95,71.48,71.93,274394
31-Oct-13,72.28,72.55,71.55,72.25,762574
30-Oct-13,70.66,72.08,70.52,71.97,513345
29-Oct-13,69.48,70.49,69.42,70.49,325161
28-Oct-13,69.59,69.98,69.28,69.64,187002
25-Oct-13,69.94,70.64,69.01,69.71,362273
24-Oct-13,69.59,69.83,68.95,69.75,233505
23-Oct-13,69.25,69.68,68.86,69.50,259179
22-Oct-13,70.25,70.96,69.29,69.51,309565
21-Oct-13,70.90,70.98,69.91,70.16,537311
18-Oct-13,69.42,70.58,69.25,70.55,377314
17-Oct-13,69.15,69.30,68.58,69.06,319322
16-Oct-13,68.38,69.41,68.22,69.30,374534
15-Oct-13,68.10,68.74,67.83,68.23,460942
14-Oct-13,67.61,68.12,67.18,68.10,555948
11-Oct-13,67.03,68.10,66.91,68.07,255247
10-Oct-13,66.73,67.17,66.45,67.17,609767
9-Oct-13,66.26,67.10,66.25,66.45,599074
8-Oct-13,66.68,67.02,66.36,66.45,640701
7-Oct-13,67.16,67.25,66.61,66.65,764650
4-Oct-13,66.08,68.00,66.04,67.38,1106193
3-Oct-13,67.64,68.33,67.35,67.96,463891
2-Oct-13,68.11,68.18,67.32,67.89,729346
1-Oct-13,66.85,68.87,66.85,68.26,417335
30-Sep-13,66.78,67.16,66.50,66.93,287139
27-Sep-13,66.83,67.18,66.83,67.08,277422
26-Sep-13,66.78,67.15,66.66,66.95,397603
25-Sep-13,66.95,67.27,66.46,66.90,491243
24-Sep-13,66.89,68.23,66.19,67.20,742785
23-Sep-13,66.10,66.93,65.85,66.76,381964
20-Sep-13,66.79,67.51,65.86,66.28,755281
19-Sep-13,66.21,67.00,66.02,66.93,606454
18-Sep-13,66.21,66.72,65.89,66.25,672549
17-Sep-13,65.92,66.29,65.78,66.18,569185
16-Sep-13,65.95,66.56,65.76,65.82,465789
13-Sep-13,67.00,67.00,65.50,65.86,530291
12-Sep-13,67.37,67.44,66.49,66.74,505334
11-Sep-13,67.72,67.72,66.61,67.47,420354
10-Sep-13,67.67,67.82,67.13,67.64,575165
9-Sep-13,67.30,67.84,66.96,67.66,341632
6-Sep-13,67.51,67.76,66.48,66.90,409654
5-Sep-13,67.14,67.39,66.79,67.21,344451
4-Sep-13,66.21,67.14,65.91,67.04,425989
3-Sep-13,64.98,66.34,64.82,66.11,464506
30-Aug-13,66.13,66.13,64.73,64.77,275959
29-Aug-13,64.80,66.09,64.40,65.98,424894
28-Aug-13,65.03,65.20,64.49,64.90,252676
27-Aug-13,65.58,65.69,64.62,65.08,583196
26-Aug-13,66.54,66.84,65.51,66.18,370092
23-Aug-13,66.58,66.85,65.85,66.37,436953
22-Aug-13,66.77,66.82,66.06,66.41,319846
21-Aug-13,66.99,67.58,66.61,66.67,366107
20-Aug-13,67.06,67.52,66.61,67.09,375055
19-Aug-13,67.56,67.61,66.88,67.07,366590
16-Aug-13,67.97,68.46,66.64,67.53,424678
15-Aug-13,68.90,69.04,68.16,68.49,344158
14-Aug-13,69.90,70.61,69.26,69.35,231224
13-Aug-13,70.40,71.25,69.39,69.77,361388
12-Aug-13,70.27,70.98,69.66,70.38,384673
9-Aug-13,70.99,71.36,70.16,70.36,722462
8-Aug-13,70.10,71.05,69.91,70.73,507497
7-Aug-13,69.38,70.30,68.77,69.90,604318
6-Aug-13,68.72,69.76,68.62,69.34,1051985
5-Aug-13,67.86,68.80,67.65,68.05,556588
2-Aug-13,71.35,71.50,66.84,68.27,1904992
1-Aug-13,70.84,72.63,70.70,72.30,846860
31-Jul-13,69.73,70.91,69.39,70.60,532500
30-Jul-13,68.71,69.78,68.04,69.62,527641
29-Jul-13,68.49,68.92,67.93,68.00,139729
26-Jul-13,68.34,68.77,67.80,68.52,249778
25-Jul-13,67.86,68.68,67.86,68.67,251201
24-Jul-13,68.86,69.30,68.04,68.26,610424
23-Jul-13,69.65,69.76,68.64,68.76,355385
22-Jul-13,70.06,70.06,68.78,69.52,488535
19-Jul-13,68.57,70.00,68.47,69.95,322312
18-Jul-13,68.41,69.03,68.41,68.95,263342
17-Jul-13,67.98,68.36,67.45,68.28,371436
16-Jul-13,67.09,68.12,67.09,67.92,474503
15-Jul-13,67.29,67.83,66.82,67.14,295780
12-Jul-13,67.59,67.87,66.95,67.20,409398
11-Jul-13,67.39,68.15,67.18,67.84,288095
10-Jul-13,66.29,66.83,66.29,66.71,307386
9-Jul-13,66.22,66.30,65.74,66.11,375892
8-Jul-13,65.55,66.09,65.55,65.99,314801
5-Jul-13,65.63,66.03,64.90,65.30,364460
