Date,Open,High,Low,Close,Volume
31-Dec-13,6.71,6.74,6.66,6.67,2271
30-Dec-13,6.71,6.71,6.71,6.71,402
26-Dec-13,6.80,6.80,6.80,6.80,907
24-Dec-13,6.85,6.85,6.85,6.85,2800
23-Dec-13,6.82,6.82,6.82,6.82,159
20-Dec-13,6.80,6.80,6.80,6.80,331
19-Dec-13,6.80,6.95,6.80,6.95,2683
18-Dec-13,6.95,6.95,6.95,6.95,135
17-Dec-13,6.81,6.90,6.80,6.85,3341
16-Dec-13,6.98,6.98,6.95,6.95,455
11-Dec-13,6.85,6.88,6.85,6.85,2990
10-Dec-13,6.85,6.85,6.85,6.85,1546
9-Dec-13,6.85,6.99,6.65,6.80,2203
6-Dec-13,6.88,6.88,6.85,6.85,200
5-Dec-13,6.82,6.83,6.80,6.81,3000
4-Dec-13,6.85,6.85,6.85,6.85,425
2-Dec-13,7.00,7.00,6.85,6.85,2176
29-Nov-13,6.88,6.94,6.85,6.92,2500
27-Nov-13,7.20,7.20,7.13,7.13,699
22-Nov-13,7.01,7.20,6.78,7.13,7579
21-Nov-13,7.00,7.00,7.00,7.00,430
19-Nov-13,6.94,6.94,6.93,6.93,1000
15-Nov-13,6.78,6.80,6.80,6.80,3787
14-Nov-13,6.80,6.80,6.75,6.80,3100
13-Nov-13,6.79,6.90,6.68,6.80,14011
12-Nov-13,6.61,7.00,6.61,6.86,7282
11-Nov-13,6.56,6.80,6.56,6.66,1712
8-Nov-13,6.68,6.86,6.68,6.86,6633
7-Nov-13,6.62,6.62,6.62,6.62,600
5-Nov-13,6.91,6.91,6.88,6.88,371
4-Nov-13,6.61,6.61,6.61,6.61,2048
31-Oct-13,6.72,6.91,6.45,6.61,600
30-Oct-13,6.60,6.80,6.28,6.58,800
29-Oct-13,6.43,6.74,6.43,6.56,6411
28-Oct-13,6.32,6.50,6.32,6.49,2558
25-Oct-13,6.26,6.26,6.26,6.26,248
24-Oct-13,6.47,6.47,6.26,6.26,2236
23-Oct-13,6.50,6.50,6.34,6.48,1801
22-Oct-13,6.79,6.79,6.49,6.50,5000
15-Oct-13,6.89,6.89,6.89,6.89,100
14-Oct-13,6.31,6.97,6.28,6.97,6070
11-Oct-13,6.33,6.33,6.33,6.33,300
10-Oct-13,6.55,6.92,6.51,6.51,300
9-Oct-13,6.48,6.48,6.48,6.48,100
8-Oct-13,6.28,6.70,6.27,6.41,3348
7-Oct-13,6.71,6.79,6.31,6.75,3099
4-Oct-13,6.25,6.45,6.25,6.25,700
3-Oct-13,6.50,6.75,6.11,6.13,1401
2-Oct-13,6.71,6.71,5.90,6.50,105160
30-Sep-13,6.81,6.90,6.75,6.75,3236
27-Sep-13,6.85,6.98,6.77,6.87,800
26-Sep-13,6.78,6.90,6.76,6.76,5210
25-Sep-13,6.85,6.85,6.83,6.83,400
24-Sep-13,6.83,6.83,6.83,6.83,200
23-Sep-13,7.10,7.10,6.82,6.82,2100
20-Sep-13,6.88,7.12,6.70,7.12,1967
19-Sep-13,6.85,6.90,6.67,6.90,1497
18-Sep-13,6.62,6.70,6.62,6.65,901
16-Sep-13,6.68,6.70,6.63,6.66,5254
13-Sep-13,6.70,6.90,6.67,6.67,778
12-Sep-13,6.63,6.63,6.63,6.63,100
11-Sep-13,6.63,6.63,6.63,6.63,100
10-Sep-13,6.83,6.90,6.83,6.90,300
9-Sep-13,6.75,6.75,6.64,6.74,1000
5-Sep-13,6.87,6.88,6.71,6.81,1187
4-Sep-13,6.87,6.87,6.71,6.71,400
3-Sep-13,6.65,7.16,6.65,6.68,2495
30-Aug-13,6.62,6.62,6.62,6.62,100
28-Aug-13,6.65,6.65,6.62,6.62,764
27-Aug-13,6.75,7.05,6.64,6.71,5358
22-Aug-13,6.83,7.20,6.71,6.76,1473
21-Aug-13,6.79,6.90,6.79,6.81,5203
20-Aug-13,6.80,6.80,6.79,6.79,200
19-Aug-13,6.90,6.90,6.71,6.80,1500
16-Aug-13,6.90,6.90,6.79,6.90,4482
15-Aug-13,6.90,6.90,6.90,6.90,1400
14-Aug-13,6.90,6.90,6.90,6.90,200
13-Aug-13,6.95,7.00,6.90,6.90,3561
12-Aug-13,7.09,7.09,6.95,6.98,4105
9-Aug-13,6.79,7.33,6.79,7.09,29068
8-Aug-13,6.71,6.71,6.70,6.70,3161
7-Aug-13,6.62,6.80,6.62,6.75,2600
6-Aug-13,6.73,6.73,6.53,6.53,822
5-Aug-13,6.80,6.80,6.50,6.51,8384
2-Aug-13,6.68,6.68,6.68,6.68,300
1-Aug-13,6.59,6.80,6.59,6.80,2300
31-Jul-13,6.63,6.63,6.52,6.52,1700
30-Jul-13,6.69,6.79,6.60,6.60,1700
29-Jul-13,6.69,6.82,6.69,6.70,3794
26-Jul-13,6.70,6.75,6.59,6.70,2300
25-Jul-13,6.82,6.82,6.75,6.78,6300
24-Jul-13,6.99,6.99,6.99,6.99,500
19-Jul-13,6.88,7.12,6.79,6.79,4464
18-Jul-13,6.77,7.42,6.75,6.90,8173
17-Jul-13,6.35,6.84,6.35,6.75,7795
16-Jul-13,6.57,6.57,6.31,6.31,917
15-Jul-13,6.30,6.50,6.30,6.50,9386
12-Jul-13,6.23,6.30,6.22,6.28,3667
11-Jul-13,6.20,6.20,6.16,6.17,1319
9-Jul-13,6.21,6.21,6.21,6.21,100
8-Jul-13,6.16,6.16,6.16,6.16,100
5-Jul-13,6.16,6.18,6.16,6.18,700
2-Jul-13,6.30,6.40,6.30,6.40,600
1-Jul-13,6.30,6.30,6.30,6.30,100
28-Jun-13,6.39,6.40,6.38,6.38,617
27-Jun-13,6.18,6.40,6.16,6.40,8114
25-Jun-13,6.10,6.29,6.10,6.28,3536
24-Jun-13,6.35,6.35,6.04,6.11,552
21-Jun-13,6.10,6.39,6.05,6.39,4126
20-Jun-13,6.12,6.12,6.07,6.07,201
19-Jun-13,6.07,6.07,6.05,6.05,200
18-Jun-13,6.15,6.16,6.15,6.16,500
17-Jun-13,5.89,6.10,5.89,6.06,2146
13-Jun-13,6.00,6.00,5.43,5.81,9510
12-Jun-13,5.80,6.00,5.80,6.00,4891
11-Jun-13,6.30,6.30,6.30,6.30,6436
10-Jun-13,6.40,6.41,6.35,6.41,4002
7-Jun-13,6.37,6.40,6.35,6.40,652
6-Jun-13,6.40,6.40,6.36,6.36,1324
5-Jun-13,6.45,6.45,6.45,6.45,300
4-Jun-13,6.39,6.40,6.39,6.40,200
3-Jun-13,6.40,6.40,6.36,6.36,256
28-May-13,6.37,6.37,6.37,6.37,225
24-May-13,6.41,6.41,6.41,6.41,100
22-May-13,6.37,6.37,6.35,6.35,900
21-May-13,6.50,6.50,6.15,6.40,18513
20-May-13,6.46,6.46,6.40,6.40,1400
17-May-13,6.46,6.46,6.45,6.45,1500
15-May-13,6.35,6.35,6.35,6.35,700
14-May-13,6.46,6.46,6.46,6.46,310
13-May-13,6.33,6.47,6.32,6.47,5899
10-May-13,6.44,6.44,6.40,6.40,7559
8-May-13,6.16,6.45,6.16,6.45,5164
7-May-13,6.40,6.40,6.40,6.40,800
3-May-13,6.33,6.35,6.33,6.35,555
2-May-13,6.30,6.32,6.30,6.32,1805
1-May-13,6.42,6.46,6.42,6.46,3913
30-Apr-13,6.39,6.41,6.30,6.30,4023
29-Apr-13,6.37,6.40,6.37,6.40,1400
25-Apr-13,6.29,6.31,6.29,6.30,3098
24-Apr-13,6.47,6.47,6.21,6.25,2600
23-Apr-13,6.28,6.47,6.28,6.44,2600
22-Apr-13,6.29,6.30,6.29,6.30,2300
18-Apr-13,6.27,6.27,6.16,6.25,5300
17-Apr-13,6.23,6.47,6.15,6.44,25670
16-Apr-13,6.40,6.40,6.35,6.40,3214
15-Apr-13,6.24,6.40,6.24,6.40,500
12-Apr-13,6.27,6.36,6.25,6.34,3617
10-Apr-13,6.41,6.41,6.36,6.41,1700
9-Apr-13,6.33,6.41,6.33,6.39,3280
8-Apr-13,6.39,6.40,6.30,6.36,3578
5-Apr-13,6.33,6.40,6.26,6.40,9872
4-Apr-13,6.27,6.41,6.25,6.40,8358
3-Apr-13,6.41,6.41,6.10,6.40,17172
2-Apr-13,6.45,6.45,6.40,6.40,6568
1-Apr-13,6.26,6.45,6.25,6.45,3192
28-Mar-13,6.16,6.17,6.16,6.16,1617
27-Mar-13,6.26,6.26,6.26,6.26,537
26-Mar-13,6.25,6.25,6.25,6.25,1665
25-Mar-13,6.25,6.25,6.25,6.25,100
22-Mar-13,6.25,6.25,6.25,6.25,3627
20-Mar-13,6.25,6.25,6.25,6.25,100
19-Mar-13,6.26,6.26,6.25,6.25,942
18-Mar-13,6.25,6.25,6.25,6.25,1800
14-Mar-13,6.29,6.29,6.29,6.29,250
8-Mar-13,6.25,6.25,6.25,6.25,850
7-Mar-13,6.25,6.25,6.25,6.25,100
6-Mar-13,6.30,6.30,6.25,6.25,1350
5-Mar-13,6.35,6.35,6.30,6.30,1200
4-Mar-13,6.30,6.32,6.30,6.30,2196
1-Mar-13,6.28,6.35,6.25,6.35,2000
27-Feb-13,6.28,6.49,6.28,6.49,2100
25-Feb-13,6.25,6.40,6.23,6.30,9997
22-Feb-13,6.30,6.35,6.18,6.26,10612
21-Feb-13,6.13,6.42,6.10,6.42,4100
20-Feb-13,6.15,6.35,6.15,6.35,3100
19-Feb-13,6.30,6.30,6.30,6.30,100
15-Feb-13,6.50,6.50,5.86,6.50,8233
12-Feb-13,6.64,6.65,6.50,6.55,3916
11-Feb-13,6.60,6.60,6.47,6.50,8309
8-Feb-13,6.47,6.47,6.47,6.47,100
7-Feb-13,6.31,6.31,6.31,6.31,100
6-Feb-13,6.32,6.32,6.25,6.26,4913
4-Feb-13,6.25,6.30,6.22,6.30,4668
31-Jan-13,6.21,6.21,6.21,6.21,100
30-Jan-13,6.20,6.20,6.19,6.19,200
29-Jan-13,6.25,6.25,6.20,6.20,1200
28-Jan-13,6.24,6.36,6.24,6.30,3800
25-Jan-13,6.00,6.22,6.00,6.20,8272
24-Jan-13,5.85,5.85,5.85,5.85,102
22-Jan-13,5.80,5.80,5.80,5.80,1698
18-Jan-13,5.83,5.90,5.73,5.73,1934
17-Jan-13,5.80,5.96,5.78,5.96,7841
16-Jan-13,5.50,5.75,5.50,5.72,2842
15-Jan-13,5.50,5.50,5.50,5.50,200
11-Jan-13,5.62,5.62,5.61,5.62,1300
10-Jan-13,5.80,5.80,5.60,5.62,700
8-Jan-13,5.50,5.55,5.50,5.55,359
7-Jan-13,5.51,5.51,5.51,5.51,230
2-Jan-13,5.60,5.60,5.60,5.60,600
31-Dec-12,5.59,5.60,5.50,5.60,6595
28-Dec-12,5.40,5.41,5.40,5.41,2000
27-Dec-12,5.78,5.79,5.44,5.65,3227
26-Dec-12,5.81,5.81,5.43,5.66,2361
24-Dec-12,5.26,5.96,5.26,5.96,642
19-Dec-12,5.79,6.00,5.30,5.95,3059
18-Dec-12,5.30,5.79,5.30,5.79,300
17-Dec-12,4.96,5.30,4.96,5.30,200
14-Dec-12,5.30,5.91,5.30,5.59,400
13-Dec-12,5.40,5.41,5.06,5.30,13880
12-Dec-12,5.49,5.49,5.49,5.49,100
11-Dec-12,5.42,5.50,5.42,5.50,400
10-Dec-12,5.50,5.50,5.33,5.45,5500
7-Dec-12,5.50,5.55,5.39,5.55,2982
6-Dec-12,5.48,5.52,5.40,5.50,834
5-Dec-12,5.52,5.52,5.52,5.52,700
4-Dec-12,5.82,5.95,5.42,5.55,5040
3-Dec-12,5.94,5.94,5.94,5.94,100
30-Nov-12,5.65,5.65,5.65,5.65,200
29-Nov-12,5.58,5.65,5.40,5.65,18475
28-Nov-12,5.57,5.57,5.57,5.57,100
27-Nov-12,5.49,5.60,5.49,5.60,1800
26-Nov-12,5.53,5.53,5.49,5.50,1564
23-Nov-12,5.49,5.67,5.48,5.65,3764
21-Nov-12,5.81,5.91,5.58,5.66,4912
20-Nov-12,5.74,5.81,5.54,5.58,4300
19-Nov-12,5.42,5.86,5.42,5.72,18820
16-Nov-12,5.38,5.40,5.38,5.40,1900
15-Nov-12,5.33,5.33,5.33,5.33,2640
14-Nov-12,-,-,-,5.20,0
13-Nov-12,5.67,5.67,5.39,5.39,2000
12-Nov-12,5.38,5.40,5.20,5.30,3562
9-Nov-12,5.25,5.30,4.96,5.30,4386
8-Nov-12,-,-,-,5.56,0
7-Nov-12,5.56,5.56,5.50,5.50,550
6-Nov-12,5.59,5.59,5.59,5.59,200
5-Nov-12,5.61,5.61,5.61,5.61,100
2-Nov-12,5.71,5.71,5.50,5.55,8150
1-Nov-12,5.76,5.76,5.76,5.76,200
31-Oct-12,5.30,5.69,5.27,5.69,1900
26-Oct-12,-,-,-,5.80,0
25-Oct-12,5.80,5.80,5.80,5.80,100
24-Oct-12,5.44,5.78,5.32,5.78,700
23-Oct-12,5.84,5.84,5.84,5.84,100
22-Oct-12,6.09,6.09,5.85,5.89,700
19-Oct-12,5.72,5.81,5.72,5.75,1100
18-Oct-12,-,-,-,5.85,0
17-Oct-12,-,-,-,5.85,0
16-Oct-12,6.12,6.12,5.45,5.85,4000
15-Oct-12,6.30,6.30,6.09,6.14,1100
12-Oct-12,6.43,6.45,6.13,6.13,10476
11-Oct-12,5.89,6.30,5.89,6.05,11524
10-Oct-12,5.85,5.85,5.76,5.80,9891
9-Oct-12,5.90,5.90,5.90,5.90,100
8-Oct-12,5.88,5.90,5.88,5.89,300
5-Oct-12,5.79,5.89,5.77,5.89,2047
4-Oct-12,5.87,5.87,5.87,5.87,100
3-Oct-12,5.83,5.83,5.83,5.83,200
2-Oct-12,5.77,5.77,5.77,5.77,100
1-Oct-12,-,-,-,5.79,0
28-Sep-12,5.79,5.79,5.75,5.75,3602
27-Sep-12,5.43,5.79,5.43,5.75,32260
26-Sep-12,5.20,5.43,5.09,5.43,14814
25-Sep-12,5.03,5.22,5.03,5.22,2100
24-Sep-12,-,-,-,5.10,0
21-Sep-12,5.06,5.10,4.97,5.10,727
20-Sep-12,4.98,5.10,4.98,5.09,1344
19-Sep-12,4.96,4.96,4.96,4.96,100
18-Sep-12,-,-,-,4.96,0
17-Sep-12,-,-,-,4.96,0
14-Sep-12,5.00,5.01,4.96,5.00,9601
13-Sep-12,4.96,4.97,4.84,4.95,2074
12-Sep-12,4.99,5.04,4.86,4.96,2500
11-Sep-12,5.01,5.02,4.80,4.99,2999
10-Sep-12,5.06,5.06,5.06,5.06,3900
7-Sep-12,5.07,5.07,5.07,5.07,100
6-Sep-12,-,-,-,5.06,0
5-Sep-12,5.06,5.06,5.06,5.06,724
4-Sep-12,5.06,5.06,5.06,5.06,200
31-Aug-12,5.15,5.15,5.15,5.15,258
30-Aug-12,-,-,-,5.10,0
29-Aug-12,-,-,-,5.10,0
28-Aug-12,5.15,5.15,5.15,5.15,100
27-Aug-12,5.10,5.15,5.10,5.15,700
24-Aug-12,-,-,-,5.06,0
23-Aug-12,5.07,5.11,5.06,5.06,2494
22-Aug-12,5.15,5.15,5.06,5.06,5366
21-Aug-12,5.15,5.15,5.15,5.15,421
20-Aug-12,5.30,5.30,5.30,5.30,186
17-Aug-12,-,-,-,5.07,0
16-Aug-12,5.33,5.33,5.33,5.33,327
15-Aug-12,5.07,5.07,5.07,5.07,195
14-Aug-12,-,-,-,5.13,0
13-Aug-12,-,-,-,5.13,0
10-Aug-12,5.13,5.13,5.13,5.13,100
9-Aug-12,5.49,5.49,5.06,5.06,200
8-Aug-12,5.02,5.02,5.02,5.02,195
7-Aug-12,4.86,5.12,4.86,5.08,3456
6-Aug-12,4.94,4.99,4.93,4.99,2220
3-Aug-12,4.78,4.91,4.78,4.91,918
2-Aug-12,-,-,-,4.75,0
1-Aug-12,4.60,4.77,4.60,4.77,11635
31-Jul-12,4.60,4.67,4.60,4.64,3918
30-Jul-12,4.42,4.52,4.40,4.52,300
27-Jul-12,4.75,4.75,4.25,4.73,6537
26-Jul-12,4.87,4.87,4.75,4.75,1881
25-Jul-12,4.87,4.87,4.87,4.87,100
24-Jul-12,4.85,4.85,4.85,4.85,400
23-Jul-12,4.93,4.93,4.80,4.80,641
20-Jul-12,4.96,4.96,4.94,4.96,1500
19-Jul-12,4.87,4.87,4.87,4.87,100
18-Jul-12,4.85,4.85,4.85,4.85,100
17-Jul-12,-,-,-,4.79,0
16-Jul-12,4.79,4.79,4.79,4.79,100
13-Jul-12,4.76,4.76,4.76,4.76,100
12-Jul-12,-,-,-,4.95,0
11-Jul-12,4.75,4.80,4.75,4.80,2078
10-Jul-12,4.75,4.99,4.75,4.99,1200
9-Jul-12,-,-,-,4.95,0
6-Jul-12,4.99,5.00,4.95,4.95,1400
5-Jul-12,4.75,4.75,4.75,4.75,450
3-Jul-12,4.76,4.99,4.50,4.75,1168
2-Jul-12,4.99,5.00,4.94,4.94,1002
29-Jun-12,4.71,4.71,4.65,4.70,1638
