Date,Open,High,Low,Close,Volume
31-Dec-13,24.08,24.32,23.83,24.01,524150
30-Dec-13,24.14,24.14,23.92,24.06,472630
27-Dec-13,23.88,24.18,23.88,24.08,215848
26-Dec-13,24.04,24.14,23.86,24.00,293082
24-Dec-13,23.90,24.18,23.90,24.00,152016
23-Dec-13,23.82,23.94,23.64,23.86,465068
20-Dec-13,23.46,23.70,23.37,23.62,888868
19-Dec-13,23.70,23.89,23.33,23.43,313454
18-Dec-13,23.43,23.74,23.19,23.68,347516
17-Dec-13,23.40,23.58,23.33,23.44,270042
16-Dec-13,23.44,23.56,23.10,23.45,345288
13-Dec-13,23.34,23.51,23.13,23.26,316458
12-Dec-13,23.21,23.44,23.01,23.28,550398
11-Dec-13,23.58,23.58,23.04,23.16,342066
10-Dec-13,23.62,23.72,23.42,23.52,216486
9-Dec-13,23.62,23.91,23.53,23.63,606956
6-Dec-13,23.53,23.80,23.41,23.60,309400
5-Dec-13,23.44,23.48,23.20,23.36,706410
4-Dec-13,23.64,23.80,23.42,23.44,390578
3-Dec-13,23.53,23.79,23.52,23.71,795366
2-Dec-13,23.31,23.70,23.31,23.62,367236
29-Nov-13,23.50,23.58,23.33,23.38,184810
27-Nov-13,23.22,23.56,23.20,23.46,600982
26-Nov-13,23.37,23.48,23.24,23.35,445466
25-Nov-13,23.42,23.67,23.25,23.35,217180
22-Nov-13,23.35,23.42,23.24,23.42,265024
21-Nov-13,23.20,23.48,23.20,23.38,338050
20-Nov-13,23.43,23.54,23.12,23.18,316924
19-Nov-13,23.22,23.51,22.90,23.36,313654
18-Nov-13,23.32,23.50,23.15,23.32,528464
15-Nov-13,23.08,23.39,23.08,23.38,600594
14-Nov-13,23.12,23.58,22.96,23.42,771606
13-Nov-13,22.46,23.20,22.46,23.14,618140
12-Nov-13,22.52,22.62,22.50,22.54,298088
11-Nov-13,22.53,22.68,22.08,22.50,373158
8-Nov-13,22.37,23.11,22.37,22.55,434600
7-Nov-13,22.68,22.72,22.28,22.32,654126
6-Nov-13,22.62,22.70,22.50,22.62,330940
5-Nov-13,22.73,22.74,22.46,22.52,523440
4-Nov-13,22.63,22.78,22.51,22.73,329300
1-Nov-13,22.60,22.70,22.44,22.63,404294
31-Oct-13,22.68,22.78,22.51,22.54,725342
30-Oct-13,22.76,22.80,22.56,22.62,472006
29-Oct-13,22.80,22.98,22.60,22.66,927870
28-Oct-13,22.38,22.79,22.26,22.72,947868
25-Oct-13,22.42,22.54,22.18,22.30,724940
24-Oct-13,22.55,22.70,22.29,22.32,1018044
23-Oct-13,23.47,23.68,22.16,22.50,1385044
22-Oct-13,24.20,24.41,24.08,24.34,400896
21-Oct-13,24.04,24.24,23.95,24.20,364192
18-Oct-13,24.19,24.20,23.95,24.09,302556
17-Oct-13,23.60,24.10,23.56,24.09,424834
16-Oct-13,23.50,23.70,23.35,23.60,286792
15-Oct-13,23.50,23.52,23.34,23.38,227840
14-Oct-13,23.46,23.73,23.28,23.60,204100
11-Oct-13,23.42,23.64,23.33,23.62,483920
10-Oct-13,23.28,23.43,23.10,23.39,313750
9-Oct-13,22.98,23.11,22.86,23.08,397478
8-Oct-13,23.02,23.20,22.92,22.95,302532
7-Oct-13,23.24,23.26,23.05,23.11,484246
4-Oct-13,23.47,23.57,23.30,23.36,287794
3-Oct-13,23.55,23.55,23.28,23.42,621316
2-Oct-13,23.64,23.64,23.41,23.56,344488
1-Oct-13,23.38,23.94,23.31,23.75,723614
30-Sep-13,23.27,23.56,23.26,23.50,385268
27-Sep-13,23.70,23.70,23.37,23.51,431700
26-Sep-13,23.80,23.84,23.64,23.80,331436
25-Sep-13,23.61,23.80,23.38,23.68,363648
24-Sep-13,23.94,24.06,23.80,23.86,309806
23-Sep-13,23.82,24.00,23.59,23.86,277416
20-Sep-13,23.66,23.84,23.60,23.76,909950
19-Sep-13,23.74,23.93,23.51,23.62,204428
18-Sep-13,23.68,23.84,23.34,23.72,282374
17-Sep-13,23.82,23.84,23.56,23.66,236504
16-Sep-13,23.84,24.07,23.73,23.82,336182
